time_ns,gst_buffer_pts_ns,stage
1775909090110521618,8920657287,post_depay
1775909090123260264,8941392506,post_decode
1775909090218624164,9051221296,post_depay
1775909090225985666,9051303571,post_decode
1775909090261166956,9093796655,post_depay
1775909090265250377,9093850829,post_decode
1775909090301855858,9134515307,post_depay
1775909090307248657,9134580991,post_decode
1775909090343344357,9175963352,post_depay
1775909090348651381,9176025719,post_decode
1775909090384363662,9210674079,post_depay
1775909090389868575,9217075185,post_decode
1775909090421024457,9250237747,post_depay
1775909090425505988,9253681317,post_decode
1775909090460980624,9293536939,post_depay
1775909090466880798,9293637069,post_decode
1775909090503824899,9336376832,post_depay
1775909090511622966,9336492577,post_decode
1775909090536766861,9369104753,post_depay
1775909090548879256,9369369906,post_decode
1775909090583007060,9414759354,post_depay
1775909090591761284,9415694983,post_decode
1775909090624344853,9455175451,post_depay
1775909090631172182,9456992038,post_decode
1775909090664518612,9497065758,post_depay
1775909090671312495,9497191725,post_decode
1775909090695684438,9528215630,post_depay
1775909090705354673,9528340112,post_decode
1775909090739714152,9572248936,post_depay
1775909090750081216,9572379423,post_decode
1775909090794547718,9627064268,post_depay
1775909090802170205,9627193868,post_decode
1775909090829046249,9661383758,post_depay
1775909090839303902,9661607297,post_decode
1775909090859823023,9691327900,post_depay
1775909090872759656,9692326347,post_decode
1775909090928577698,9761064576,post_depay
1775909090938070793,9761195068,post_decode
1775909090956071294,9772659085,post_depay
1775909090963592251,9788733170,post_decode
1775909090991460245,9823983486,post_depay
1775909090999530066,9824098997,post_decode
1775909091021870137,9853291158,post_depay
1775909091029858518,9854458540,post_decode
1775909091061558806,9894149278,post_depay
1775909091070421213,9894238521,post_decode
1775909091102713018,9932381493,post_depay
1775909091112975703,9935265680,post_decode
1775909091144596148,9976975668,post_depay
1775909091153022787,9977179314,post_decode
1775909091189379074,10020686507,post_depay
1775909091197252203,10022032215,post_decode
1775909091221052116,10053687849,post_depay
1775909091227892011,10053747182,post_decode
1775909091263872704,10093543669,post_depay
1775909091273195107,10096309764,post_decode
1775909091305979202,10138537438,post_depay
1775909091310934288,10138634600,post_decode
1775909091339387572,10171151982,post_depay
1775909091344191397,10172030494,post_decode
1775909091380382393,10212939693,post_depay
1775909091388929074,10213045417,post_decode
1775909091421287096,10253885363,post_depay
1775909091427646308,10253963890,post_decode
1775909091463654566,10296237437,post_depay
1775909091471372485,10296336953,post_decode
1775909091496755516,10329187541,post_depay
1775909091508054582,10329417674,post_decode
1775909091541723240,10374231565,post_depay
1775909091552941563,10374362383,post_decode
1775909091582534369,10415147890,post_depay
1775909091589393810,10415227158,post_decode
1775909091623237968,10455769528,post_depay
1775909091632091028,10455876677,post_decode
1775909091655726719,10487864654,post_depay
1775909091663743933,10488356416,post_decode
1775909091701450516,10534015096,post_depay
1775909091710531378,10534128949,post_decode
1775909091743305055,10575883426,post_depay
1775909091750447670,10575977914,post_decode
1775909091784180204,10616728598,post_depay
1775909091790404804,10616836014,post_decode
1775909091820558843,10652463963,post_depay
1775909091830718544,10652714973,post_decode
1775909091868848117,10701436134,post_depay
1775909091876229446,10701532148,post_decode
1775909091904371951,10737001318,post_depay
1775909091908532476,10737073626,post_decode
1775909091935585304,10768192871,post_depay
1775909091940816613,10768279138,post_decode
1775909091981420642,10813999854,post_depay
1775909091990990635,10814099478,post_decode
1775909092022992745,10854415030,post_depay
1775909092033329781,10855612117,post_decode
1775909092065282145,10897852324,post_depay
1775909092072470224,10897959904,post_decode
1775909092160681930,10974338363,post_depay
1775909092176595613,10993082514,post_decode
1775909092178611271,11011239741,post_depay
1775909092182244527,11011310176,post_decode
1775909092183855807,11016496464,post_depay
1775909092189285155,11016564419,post_decode
1775909092219822915,11052473581,post_depay
1775909092224542472,11052532080,post_decode
1775909092268640365,11101267310,post_depay
1775909092281046654,11101334898,post_decode
1775909092303562109,11133118147,post_depay
1775909092312044844,11136185501,post_decode
1775909092345363386,11178010705,post_depay
1775909092349328172,11178068038,post_decode
1775909092376490990,11209112364,post_depay
1775909092381607033,11209186341,post_decode
1775909092423760302,11256415820,post_depay
1775909092428561568,11256472000,post_decode
1775909092464190489,11293757658,post_depay
1775909092471444743,11296870589,post_decode
1775909092504385803,11336984912,post_depay
1775909092513060702,11337069948,post_decode
1775909092540892308,11373392413,post_depay
1775909092546945764,11373489640,post_decode
1775909092580876522,11413516728,post_depay
1775909092587790982,11413581450,post_decode
1775909092630918843,11462708357,post_depay
1775909092639122906,11463609658,post_decode
1775909092663701115,11496234614,post_depay
1775909092677545886,11496351762,post_decode
1775909092696387548,11528606862,post_depay
1775909092703000879,11529059644,post_decode
1775909092758888732,11590192111,post_depay
1775909092765230072,11591411172,post_decode
1775909092835778669,11668268474,post_depay
1775909092843505208,11668397927,post_decode
1775909092865694552,11696351778,post_depay
1775909092875046594,11698317694,post_decode
1775909092891743154,11724361635,post_depay
1775909092896190915,11724429260,post_decode
1775909092918934322,11750276502,post_depay
1775909092926353685,11751321309,post_decode
1775909092983081689,11815581930,post_depay
1775909092992582554,11815722719,post_decode
1775909093021592832,11830143765,post_depay
1775909093029474282,11854175463,post_decode
1775909093032426376,11865080312,post_depay
1775909093035781574,11865130581,post_decode
1775909093080820765,11913268465,post_depay
1775909093088919727,11913435203,post_decode
1775909093116633759,11949158267,post_depay
1775909093125605028,11949277947,post_decode
1775909093158144071,11990774004,post_depay
1775909093165183322,11990844753,post_decode
1775909093177015694,12008931176,post_depay
1775909093181213676,12009719810,post_decode
1775909093220615653,12053204341,post_depay
1775909093230507285,12053297260,post_decode
1775909093272758231,12105223628,post_depay
1775909093283003760,12105387231,post_decode
1775909093303949135,12136567519,post_depay
1775909093309441479,12136644366,post_decode
1775909093336566208,12168600562,post_depay
1775909093344881170,12169214228,post_decode
1775909093383087120,12215026849,post_depay
1775909093387104077,12215795860,post_decode
1775909093421381495,12254051544,post_depay
1775909093425131463,12254096272,post_decode
1775909093464827809,12297480004,post_depay
1775909093469501523,12297542849,post_decode
1775909093504595532,12337158026,post_depay
1775909093511417815,12337264751,post_decode
1775909093543786176,12376354381,post_depay
1775909093553949983,12376454232,post_decode
1775909093582282561,12414867424,post_depay
1775909093589552702,12414966115,post_decode
1775909093628613260,12461168987,post_depay
1775909093635926396,12461274739,post_decode
1775909093659016187,12491603694,post_depay
1775909093665900231,12491689330,post_decode
1775909093700626670,12533213044,post_depay
1775909093708750293,12533302254,post_decode
1775909093761082466,12593730967,post_depay
1775909093766800004,12593790376,post_decode
1775909093786581302,12619248903,post_depay
1775909093790910173,12619300285,post_decode
1775909093849107313,12681464832,post_depay
1775909093859092852,12681664729,post_decode
1775909093869048227,12701624822,post_depay
1775909093877916080,12701714513,post_decode
1775909093908296914,12740771262,post_depay
1775909093918736100,12740953621,post_decode
1775909093943900967,12776520203,post_depay
1775909093952994829,12776597124,post_decode
1775909093994231171,12826779690,post_depay
1775909094000456588,12826872284,post_decode
1775909094017198370,12849797389,post_depay
1775909094023323111,12849881015,post_decode
1775909094067214858,12899813995,post_depay
1775909094080218099,12899907568,post_decode
1775909094131505941,12950133920,post_depay
1775909094140981103,12964184809,post_decode
1775909094144382545,12977009150,post_depay
1775909094149026692,12977079227,post_decode
1775909094189799742,13019428813,post_depay
