wall_time,cam_index,full_ms,dropped
15:49:26.818,2,6.0925,296
15:49:26.821,1,0.2276,55
15:49:26.836,0,10.6240,0
15:49:26.879,0,5.2373,0
15:49:26.915,0,3.2041,0
15:49:27.058,0,2.9777,2
15:49:27.072,0,3.2036,0
15:49:27.084,0,3.2201,0
15:49:27.098,0,3.4925,1
15:49:27.113,0,4.0531,2
15:49:27.157,0,2.8402,1
15:49:27.227,0,3.6443,0
15:49:27.238,0,3.2054,0
15:49:27.260,1,3.5603,15
15:49:27.290,0,2.9399,1
15:49:27.311,1,3.9216,1
15:49:27.333,1,2.7295,1
15:49:27.358,0,2.6140,3
15:49:27.382,1,2.9460,0
15:49:27.391,0,2.6785,0
15:49:27.408,2,3.0073,22
15:49:27.586,1,16.5794,0
15:49:27.591,1,4.3678,0
15:49:27.609,0,15.4355,0
15:49:27.613,0,3.3614,0
15:49:27.636,1,4.5212,0
15:49:27.642,0,5.5028,0
15:49:27.642,1,5.4540,0
15:49:27.647,2,19.1851,0
15:49:27.648,0,5.4623,0
15:49:27.648,1,5.1516,0
15:49:27.652,2,4.8471,0
15:49:27.655,0,6.2055,0
15:49:27.655,1,6.1536,0
15:49:27.659,2,6.2549,0
15:49:27.662,0,7.0570,0
15:49:27.664,2,4.6507,0
15:49:27.665,1,4.6448,0
15:49:27.671,2,5.8891,0
15:49:27.675,0,4.1848,0
15:49:27.675,2,4.1083,0
15:49:27.687,2,3.9278,0
15:49:27.696,1,3.9073,0
15:49:27.715,0,3.0716,0
15:49:27.719,2,3.1555,0
15:49:27.739,1,3.6575,0
15:49:27.757,0,4.2494,0
15:49:27.762,2,4.5629,0
15:49:27.779,1,3.2760,0
15:49:27.792,0,3.3789,0
15:49:27.805,2,3.6723,0
15:49:27.829,1,4.1789,0
15:49:27.838,0,3.1260,0
15:49:27.846,2,3.3192,0
15:49:27.879,1,4.5656,0
15:49:27.880,0,4.6443,0
15:49:27.884,2,7.9499,0
15:49:27.908,1,4.5819,0
15:49:27.915,0,2.7656,0
15:49:27.925,2,3.3722,0
15:49:27.943,1,3.3581,0
15:49:27.948,0,4.0773,0
15:49:27.965,2,3.4190,0
15:49:27.985,1,3.3553,0
15:49:27.991,0,2.9147,0
15:49:28.013,2,3.8462,0
15:49:28.018,1,4.6956,0
15:49:28.032,0,3.1540,0
15:49:28.041,2,3.5963,0
15:49:28.065,1,3.3006,0
15:49:28.078,0,4.4448,0
15:49:28.086,2,4.4657,0
15:49:28.108,1,4.6501,0
15:49:28.131,0,4.1098,0
15:49:28.135,2,4.8853,0
15:49:28.146,1,3.9336,0
15:49:28.151,0,4.4000,0
15:49:28.215,2,4.6868,0
15:49:28.271,1,4.9724,0
15:49:28.271,0,4.1111,0
15:49:28.275,2,6.4722,0
15:49:28.334,1,3.5006,0
15:49:28.346,0,4.3147,0
15:49:28.348,2,5.4978,0
15:49:28.353,1,3.5615,0
15:49:28.358,0,3.7811,0
15:49:28.402,2,4.6145,0
15:49:28.418,1,3.7745,0
15:49:28.423,0,4.5902,0
15:49:28.430,2,4.4079,0
15:49:28.450,1,4.1332,0
15:49:28.455,0,4.1380,0
15:49:28.461,2,6.0351,0
15:49:28.467,1,3.8407,0
15:49:28.472,0,3.9236,0
15:49:28.478,2,4.2306,0
15:49:28.484,1,3.5471,0
15:49:28.513,2,3.7696,0
15:49:28.521,1,3.5200,0
15:49:28.799,2,4.7900,0
15:49:28.799,0,15.7698,0
15:49:28.833,1,3.7543,0
15:49:28.841,0,3.0309,1
15:49:28.844,2,4.3030,0
15:49:28.849,1,3.9848,0
15:49:28.862,0,4.2940,0
15:49:28.925,0,3.2772,0
15:49:28.925,2,4.1854,0
15:49:28.931,1,5.8840,1
15:49:28.934,0,3.5165,0
15:49:29.000,0,3.2343,0
15:49:29.000,2,4.3602,1
15:49:29.004,1,4.8708,1
15:49:29.007,0,5.6702,0
15:49:29.007,2,5.2317,1
15:49:29.011,1,6.6771,0
15:49:29.041,0,2.8264,0
15:49:29.049,0,3.5532,0
15:49:29.049,2,5.2748,0
15:49:29.056,0,4.5090,0
15:49:29.056,1,5.4567,1
15:49:29.060,2,8.2831,0
15:49:29.097,1,4.0832,0
15:49:29.102,0,3.2418,0
15:49:29.113,1,3.5408,0
15:49:29.116,0,3.8901,0
15:49:29.123,1,4.4302,0
15:49:29.123,2,5.4882,2
15:49:29.127,0,5.6196,0
15:49:29.133,1,3.4661,0
15:49:29.233,0,3.5989,0
15:49:29.236,1,6.0408,0
15:49:29.239,0,5.9903,0
15:49:29.243,2,5.5302,2
15:49:29.279,0,3.4101,0
15:49:29.284,2,3.7915,0
15:49:29.286,1,3.6441,1
15:49:29.289,0,5.2489,0
15:49:29.294,2,4.6114,0
15:49:29.380,1,4.3098,0
15:49:29.391,0,3.8104,0
15:49:29.394,1,4.6545,0
15:49:29.394,2,5.3262,0
15:49:29.398,0,4.5304,0
15:49:29.401,2,6.0559,0
15:49:29.404,1,4.2597,0
15:49:29.446,0,4.3256,0
15:49:29.449,2,6.0134,0
15:49:29.452,1,4.3447,0
15:49:29.455,0,6.9612,0
