wall_time,cam_index,rtp_seq,network_ms,dropped
15:49:13.594,2,10450,0.0145,0
15:49:13.604,2,10464,0.1027,0
15:49:13.610,2,10478,0.0206,0
15:49:13.620,2,10491,0.0228,0
15:49:13.651,2,10503,0.0523,0
15:49:13.697,2,10515,0.0184,0
15:49:13.733,2,10528,0.0188,0
15:49:13.775,2,10539,0.0181,0
15:49:13.813,2,10552,0.0232,0
15:49:13.855,2,10564,0.0196,0
15:49:13.887,2,10576,0.0163,0
15:49:13.933,2,10589,0.0150,0
15:49:13.979,2,10602,0.0451,0
15:49:14.022,2,10614,0.0414,0
15:49:14.057,2,10627,0.0383,0
15:49:14.095,2,10639,0.0343,0
15:49:14.157,2,10651,0.0325,0
15:49:14.173,2,10662,0.0166,0
15:49:14.210,2,10675,0.0348,0
15:49:14.247,2,10688,0.0160,0
15:49:14.292,2,10701,0.0353,0
15:49:14.344,2,10713,0.0830,0
15:49:14.374,2,10726,0.1365,0
15:49:14.418,2,10738,0.0516,0
15:49:14.452,2,10749,0.0153,0
15:49:14.504,2,10761,0.0632,0
15:49:14.535,2,10773,0.0370,0
15:49:14.567,2,10785,0.0351,0
15:49:14.613,2,10797,0.0470,0
15:49:14.653,2,10809,0.0152,0
15:49:14.696,2,10821,0.0661,0
15:49:14.745,2,10832,0.0299,0
15:49:14.777,2,10845,0.0296,0
15:49:14.818,2,10857,0.0343,0
15:49:14.883,2,10869,0.0184,0
15:49:14.891,2,10881,0.1056,0
15:49:14.937,2,10894,0.0233,0
15:49:15.006,2,10906,0.0201,0
15:49:15.014,2,10917,0.0352,0
15:49:15.082,2,10930,0.6222,0
15:49:15.092,2,10941,0.0420,0
15:49:15.150,2,10954,0.0185,0
15:49:15.176,2,10966,0.0221,0
15:49:15.235,2,10978,0.0163,0
15:49:15.258,2,10991,0.0217,0
15:49:15.288,2,11003,0.0159,0
15:49:15.333,2,11016,0.0151,0
15:49:15.392,2,11026,0.0777,0
15:49:15.426,2,11040,0.0197,0
15:49:15.589,2,11159,0.0205,1
15:49:15.604,2,11173,0.0405,1
15:49:15.658,2,11186,0.0191,1
15:49:15.661,2,11199,0.0141,1
15:49:15.680,2,11212,0.0173,1
15:49:15.691,2,11224,0.0159,1
15:49:15.781,2,11237,0.0374,1
15:49:15.789,2,11249,0.0392,1
15:49:15.810,2,11263,0.0164,1
15:49:15.896,2,11274,0.0170,1
15:49:15.915,2,11286,0.0140,1
15:49:15.934,2,11298,0.0190,1
15:49:15.978,2,11310,0.0202,1
15:49:16.014,2,11324,0.0155,1
15:49:16.053,2,11337,0.0174,1
15:49:16.086,2,11350,0.0174,1
15:49:16.132,2,11363,0.0349,1
15:49:16.193,2,11374,0.0275,1
15:49:16.214,2,11386,0.0177,1
15:49:16.260,2,11397,0.0158,1
15:49:16.288,2,11410,0.0154,1
15:49:16.352,2,11424,0.0290,1
15:49:16.378,2,11438,0.0176,1
15:49:16.416,2,11449,0.0186,1
15:49:16.454,2,11461,0.0163,1
15:49:16.573,2,11475,0.1175,1
15:49:16.577,2,11489,0.0268,1
15:49:16.580,2,11500,0.0147,1
15:49:16.612,2,11511,0.0167,1
15:49:16.657,2,11524,0.0162,1
15:49:16.718,2,11536,0.1247,1
15:49:16.732,2,11548,0.0162,1
15:49:16.783,2,11561,0.0146,1
15:49:16.815,2,11575,0.0166,1
15:49:16.857,2,11588,0.0163,1
15:49:16.909,2,11601,0.0169,1
15:49:16.933,2,11614,0.0175,1
15:49:16.987,2,11626,0.0168,1
15:49:17.052,2,11639,0.0941,1
15:49:17.116,2,11651,0.0659,1
15:49:17.143,2,11677,0.0397,2
15:49:17.189,2,11689,0.0722,2
15:49:17.214,2,11701,0.0183,2
15:49:17.254,2,11714,0.0158,2
15:49:17.315,2,11727,0.0771,2
15:49:17.345,2,11740,0.0370,2
15:49:17.384,2,11753,0.0598,2
15:49:17.418,2,11765,0.0189,2
15:49:17.658,2,11886,0.1269,2
15:49:17.672,2,11900,0.0182,2
15:49:17.776,2,11913,0.0634,2
15:49:17.783,2,11926,0.2031,2
15:49:17.806,2,11939,0.0296,2
15:49:17.843,2,11951,0.0165,2
15:49:17.921,2,11963,0.1053,2
15:49:17.925,2,11976,0.0323,2
15:49:17.976,2,11989,0.0794,2
15:49:18.038,2,12002,0.2378,2
15:49:18.069,2,12014,0.0171,2
15:49:18.108,2,12027,0.0170,2
15:49:18.167,2,12040,0.1669,2
15:49:18.198,2,12053,0.0154,2
15:49:18.253,2,12066,0.1088,2
15:49:18.291,2,12079,0.0796,2
15:49:18.341,2,12091,0.0180,2
15:49:18.400,2,12104,0.0184,2
15:49:18.433,2,12118,0.0321,2
15:49:18.478,2,12130,0.1724,2
15:49:18.507,2,12143,0.0171,2
15:49:18.550,2,12155,0.1283,2
15:49:18.587,2,12168,0.0180,2
15:49:18.617,2,12182,0.0227,2
15:49:18.653,2,12194,0.0172,2
15:49:18.677,2,12207,0.0286,2
15:49:18.798,2,12219,0.0208,2
15:49:18.836,2,12232,0.0570,2
15:49:18.864,2,12247,0.0219,2
15:49:18.935,2,12258,0.1025,2
15:49:18.962,2,12269,0.1361,2
15:49:19.000,2,12281,0.0245,2
15:49:19.027,2,12294,0.0234,2
15:49:19.110,2,12307,0.1439,2
15:49:19.138,2,12320,0.1637,2
15:49:19.156,2,12333,0.0144,2
15:49:19.175,2,12343,0.0321,2
15:49:19.220,2,12355,0.1582,2
15:49:19.250,2,12368,0.0211,2
15:49:19.294,2,12382,0.0429,2
15:49:19.298,2,12395,0.0159,2
15:49:19.330,2,12408,0.0605,2
15:49:19.361,2,12421,0.3866,2
15:49:19.394,2,12433,0.0171,2
15:49:19.452,2,12445,0.0604,2
15:49:19.486,2,12458,0.0198,2
15:49:19.513,2,12469,0.0168,2
15:49:19.537,2,12482,0.0202,2
15:49:19.580,2,12495,0.0705,2
15:49:19.586,2,12507,0.0702,2
15:49:19.811,2,12656,0.0193,2
15:49:19.850,2,12669,0.1098,2
15:49:19.873,2,12681,0.1425,2
15:49:19.890,2,12693,0.0178,2
15:49:19.926,2,12705,0.0348,2
15:49:19.952,2,12716,0.0322,2
15:49:19.999,2,12729,0.0195,2
15:49:20.003,2,12742,0.0163,2
15:49:20.032,2,12755,0.0145,2
15:49:20.061,2,12769,0.0546,2
15:49:20.078,2,12780,0.0370,2
15:49:20.097,2,12792,0.0391,2
15:49:20.151,2,12805,0.0804,2
15:49:20.158,2,12818,0.0143,2
15:49:20.187,2,12828,0.0830,2
15:49:20.217,2,12838,0.0151,2
15:49:20.258,2,12850,0.0235,2
15:49:20.287,2,12864,0.0350,2
15:49:20.352,2,12876,0.0363,2
15:49:20.378,2,12889,0.0361,2
15:49:20.483,2,12902,0.1210,2
15:49:20.487,2,12916,0.0353,2
15:49:20.647,2,12929,0.0933,2
15:49:20.664,2,12940,0.0904,2
15:49:20.704,2,12952,0.0170,2
15:49:20.726,2,12963,0.0263,2
15:49:20.772,2,12976,0.0181,2
15:49:20.787,2,12990,0.1420,2
15:49:20.827,2,13002,0.0434,2
15:49:20.840,2,13013,0.0374,2
15:49:20.867,2,13025,0.0177,2
15:49:20.876,2,13038,0.0197,2
15:49:20.906,2,13050,0.0219,2
15:49:20.931,2,13062,0.0150,2
15:49:20.992,2,13076,0.1106,2
15:49:21.018,2,13089,0.0148,2
15:49:21.056,2,13100,0.0167,2
15:49:21.116,2,13112,0.0600,2
15:49:21.144,2,13124,0.0163,2
15:49:21.177,2,13136,0.0173,2
15:49:21.214,2,13147,0.0155,2
15:49:21.258,2,13161,0.0157,2
15:49:21.320,2,13174,0.0201,2
15:49:21.338,2,13186,0.0177,2
15:49:21.460,2,13197,0.1028,2
15:49:21.464,2,13209,0.0377,2
15:49:21.899,2,13416,0.1339,2
15:49:21.902,2,13428,0.0144,2
15:49:21.934,2,13438,0.0963,2
15:49:21.992,2,13450,0.0582,2
15:49:22.003,2,13461,0.1507,2
15:49:22.027,2,13473,0.0400,2
