Linux 7.0.0-15-generic (bruker-ThinkPad-P14s-Gen-3) 	05/12/2026 	_x86_64_	(16 CPU)

06:58:37 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:58:38 PM     0     19890   59.00   12.00    0.00    0.00   71.00     2  python3
06:58:39 PM     0     19890   58.00    6.00    0.00    0.00   64.00     2  python3
06:58:40 PM     0     19890   67.00    7.00    0.00    0.00   74.00     2  python3
06:58:41 PM     0     19890   63.00    4.00    0.00    0.00   67.00     2  python3
06:58:42 PM     0     19890   66.00    6.00    0.00    0.00   72.00     2  python3
06:58:43 PM     0     19890   62.00    5.00    0.00    0.00   67.00     2  python3
06:58:44 PM     0     19890   65.00    5.00    0.00    0.00   70.00     2  python3
06:58:45 PM     0     19890   62.00    5.00    0.00    0.00   67.00     2  python3
06:58:46 PM     0     19890   62.00    6.00    0.00    0.00   68.00     2  python3
06:58:47 PM     0     19890   62.00    6.00    0.00    0.00   68.00     2  python3
06:58:48 PM     0     19890   65.00    7.00    0.00    0.00   72.00     2  python3
06:58:49 PM     0     19890   58.00    7.00    0.00    0.00   65.00     2  python3
06:58:50 PM     0     19890   66.00    7.00    0.00    0.00   73.00     2  python3
06:58:51 PM     0     19890   63.00    6.00    0.00    0.00   69.00     2  python3
06:58:52 PM     0     19890   67.33    6.93    0.00    0.00   74.26     2  python3
06:58:53 PM     0     19890   58.00    8.00    0.00    0.00   66.00     2  python3
06:58:54 PM     0     19890   69.00    6.00    0.00    0.00   75.00     2  python3
06:58:55 PM     0     19890   60.00    4.00    0.00    0.00   64.00     2  python3
06:58:56 PM     0     19890   64.00    5.00    0.00    0.00   69.00     2  python3
06:58:57 PM     0     19890   58.00    6.00    0.00    0.00   64.00     2  python3
06:58:58 PM     0     19890   64.00    7.00    0.00    0.00   71.00     2  python3
06:58:59 PM     0     19890   59.00    7.00    0.00    0.00   66.00     2  python3
06:59:00 PM     0     19890   68.00    6.00    0.00    0.00   74.00     2  python3
06:59:01 PM     0     19890   61.00    6.00    0.00    0.00   67.00     2  python3
06:59:02 PM     0     19890   63.00   10.00    0.00    0.00   73.00     2  python3
06:59:03 PM     0     19890   59.00    7.00    0.00    0.00   66.00     2  python3
06:59:04 PM     0     19890   69.00    6.00    0.00    0.00   75.00     2  python3
06:59:05 PM     0     19890   61.00    7.00    0.00    0.00   68.00     2  python3
06:59:06 PM     0     19890   65.00    8.00    0.00    0.00   73.00     2  python3
06:59:07 PM     0     19890   58.00    8.00    0.00    0.00   66.00     2  python3
06:59:08 PM     0     19890   62.00    6.00    0.00    0.00   68.00     2  python3
06:59:09 PM     0     19890   61.00    6.00    0.00    0.00   67.00     2  python3
06:59:10 PM     0     19890   65.00    7.00    0.00    0.00   72.00     2  python3
06:59:11 PM     0     19890   62.00    5.00    0.00    0.00   67.00     2  python3
06:59:12 PM     0     19890   60.00    9.00    0.00    0.00   69.00     2  python3
06:59:13 PM     0     19890   59.00    7.00    0.00    0.00   66.00     2  python3
06:59:14 PM     0     19890   64.00    5.00    0.00    0.00   69.00     2  python3
06:59:15 PM     0     19890   60.00    4.00    0.00    0.00   64.00     2  python3
06:59:16 PM     0     19890   64.00    6.00    0.00    0.00   70.00     2  python3
06:59:17 PM     0     19890   59.00    6.00    0.00    0.00   65.00     2  python3
06:59:18 PM     0     19890   66.00    7.00    0.00    0.00   73.00     2  python3
06:59:19 PM     0     19890   61.00    8.00    0.00    0.00   69.00     2  python3
06:59:20 PM     0     19890   64.00    6.00    0.00    0.00   70.00     2  python3
06:59:21 PM     0     19890   59.00    7.00    0.00    0.00   66.00     2  python3
06:59:22 PM     0     19890   63.00    7.00    0.00    0.00   70.00     2  python3
06:59:23 PM     0     19890   64.00    7.00    0.00    0.00   71.00     2  python3
06:59:24 PM     0     19890   69.00    5.00    0.00    0.00   74.00     2  python3
06:59:25 PM     0     19890   63.00    6.00    0.00    0.00   69.00     2  python3
06:59:26 PM     0     19890   66.00    7.00    0.00    0.00   73.00     2  python3
06:59:27 PM     0     19890   62.00    7.00    0.00    0.00   69.00     2  python3
06:59:28 PM     0     19890   64.00    7.00    0.00    0.00   71.00     2  python3
06:59:29 PM     0     19890   60.00    8.00    0.00    0.00   68.00     2  python3
06:59:30 PM     0     19890   67.00    7.00    0.00    0.00   74.00     2  python3

Average:        0     19890   62.74    6.55    0.00    0.00   69.29     -  python3
