Linux 7.0.0-15-generic (bruker-ThinkPad-P14s-Gen-3) 	05/23/2026 	_x86_64_	(16 CPU)

01:23:27 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
01:23:28 PM     all     22.88      0.00      3.10      0.06      0.00      0.00      0.32      0.00      0.00     73.64
01:23:29 PM     all     31.49      0.00      1.78      0.00      0.00      0.00      0.25      0.00      0.00     66.48
01:23:30 PM     all     35.59      0.00      1.88      0.00      0.00      0.00      0.25      0.00      0.00     62.27
01:23:31 PM     all     33.99      0.00      1.84      0.06      0.00      0.00      0.38      0.00      0.00     63.73
01:23:32 PM     all     35.94      0.00      1.39      0.00      0.00      0.00      0.32      0.00      0.00     62.36
01:23:33 PM     all     33.50      0.00      1.77      0.06      0.00      0.00      0.44      0.00      0.00     64.22
01:23:34 PM     all     33.10      0.00      1.90      0.00      0.00      0.00      0.19      0.00      0.00     64.81
01:23:35 PM     all     33.77      0.00      1.58      0.00      0.00      0.00      0.32      0.00      0.00     64.34
01:23:36 PM     all     31.71      0.00      1.71      0.00      0.00      0.00      0.25      0.00      0.00     66.33
01:23:37 PM     all     33.88      0.00      1.52      0.00      0.00      0.00      0.25      0.00      0.00     64.34
01:23:38 PM     all     34.05      0.00      2.02      0.06      0.00      0.00      0.25      0.00      0.00     63.61
01:23:39 PM     all     32.79      0.00      1.83      0.00      0.00      0.00      0.25      0.00      0.00     65.14
01:23:40 PM     all     29.61      0.00      1.97      0.00      0.00      0.00      0.25      0.00      0.00     68.17
01:23:41 PM     all     33.44      0.00      1.40      0.00      0.00      0.00      0.25      0.00      0.00     64.91
01:23:42 PM     all     32.32      0.00      1.52      0.00      0.00      0.00      0.25      0.00      0.00     65.90
01:23:43 PM     all     32.97      0.00      1.85      0.06      0.00      0.00      0.25      0.00      0.00     64.86
01:23:44 PM     all     40.10      0.00      1.83      0.00      0.00      0.00      0.25      0.00      0.00     57.81
01:23:45 PM     all     35.90      0.00      1.39      0.00      0.00      0.00      0.25      0.00      0.00     62.46
01:23:46 PM     all     34.86      0.00      1.64      0.00      0.00      0.00      0.19      0.00      0.00     63.31
01:23:47 PM     all     29.36      0.00      1.89      0.00      0.00      0.00      0.25      0.00      0.00     68.50
01:23:48 PM     all     35.45      0.00      1.65      0.00      0.00      0.00      0.44      0.00      0.00     62.45
01:23:49 PM     all     30.93      0.00      1.64      0.06      0.00      0.00      0.25      0.00      0.00     67.11
01:23:50 PM     all     31.20      0.00      1.59      0.00      0.00      0.00      0.38      0.00      0.00     66.84
01:23:51 PM     all     29.92      0.00      2.02      0.00      0.00      0.00      0.32      0.00      0.00     67.74
01:23:52 PM     all     33.06      0.00      2.03      0.00      0.00      0.00      0.57      0.00      0.00     64.34
01:23:53 PM     all     37.10      0.00      2.79      0.00      0.00      0.00      0.38      0.00      0.00     59.73
01:23:54 PM     all     48.29      0.00      4.51      0.19      0.00      0.00      0.71      0.00      0.00     46.30
01:23:55 PM     all     58.55      0.00      6.33      0.00      0.00      0.00      0.77      0.00      0.00     34.34
01:23:56 PM     all     63.44      0.00      6.44      0.13      0.00      0.00      0.59      0.00      0.00     29.41
01:23:57 PM     all     62.09      0.00      6.19      0.00      0.00      0.00      0.71      0.00      0.00     31.01
01:23:58 PM     all     67.74      0.00      5.64      0.13      0.00      0.00      0.77      0.00      0.00     25.72
01:23:59 PM     all     69.00      0.00      6.75      0.00      0.00      0.00      0.77      0.00      0.00     23.47
01:24:00 PM     all     63.11      0.00      6.07      0.00      0.00      0.00      0.78      0.00      0.00     30.04
01:24:01 PM     all     62.57      0.00      5.53      0.00      0.00      0.00      0.77      0.00      0.00     31.13
01:24:02 PM     all     60.32      0.00      5.81      0.00      0.00      0.00      0.58      0.00      0.00     33.29
01:24:03 PM     all     60.87      0.00      5.76      0.00      0.00      0.00      0.71      0.00      0.00     32.66
01:24:04 PM     all     58.50      0.00      4.75      0.00      0.00      0.00      0.64      0.00      0.00     36.11
01:24:05 PM     all     49.17      0.00      3.91      0.00      0.00      0.00      0.32      0.00      0.00     46.61
01:24:06 PM     all     46.38      0.00      4.17      0.00      0.00      0.00      0.51      0.00      0.00     48.94
01:24:07 PM     all     44.57      0.00      3.83      0.00      0.00      0.00      0.45      0.00      0.00     51.15
01:24:08 PM     all     38.58      0.00      3.08      0.00      0.00      0.00      0.32      0.00      0.00     58.02


Average:        all     41.66      0.00      3.07      0.02      0.00      0.00      0.42      0.00      0.00     54.84
