Linux 7.0.0-15-generic (bruker-ThinkPad-P14s-Gen-3) 	05/26/2026 	_x86_64_	(16 CPU)

09:52:35 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
09:52:36 AM     all     25.18      0.00      4.41      0.00      0.00      0.00      0.96      0.00      0.00     69.46
09:52:37 AM     all     18.35      0.00      2.60      0.00      0.00      0.00      0.70      0.00      0.00     78.35
09:52:38 AM     all     19.12      0.00      2.93      0.00      0.00      0.00      0.70      0.00      0.00     77.25
09:52:39 AM     all     18.50      0.00      3.07      0.06      0.00      0.00      0.77      0.00      0.00     77.59
09:52:40 AM     all     16.77      0.00      2.30      0.00      0.00      0.00      0.70      0.00      0.00     80.23
09:52:41 AM     all     17.16      0.00      2.29      0.00      0.00      0.00      0.95      0.00      0.00     79.59
09:52:42 AM     all     17.97      0.00      2.17      0.00      0.00      0.00      0.83      0.00      0.00     79.03
09:52:43 AM     all     16.73      0.00      2.18      0.00      0.00      0.00      0.71      0.00      0.00     80.38
09:52:44 AM     all     17.19      0.00      2.11      0.00      0.00      0.00      0.70      0.00      0.00     80.00
09:52:45 AM     all     18.04      0.00      2.10      0.06      0.00      0.00      0.83      0.00      0.00     78.97
09:52:46 AM     all     17.36      0.00      2.11      0.00      0.00      0.00      0.64      0.00      0.00     79.90
09:52:47 AM     all     18.25      0.00      2.09      0.00      0.00      0.00      0.82      0.00      0.00     78.83
09:52:48 AM     all     17.86      0.00      2.61      0.00      0.00      0.00      0.57      0.00      0.00     78.95
09:52:49 AM     all     17.32      0.00      2.04      0.06      0.00      0.00      0.64      0.00      0.00     79.94
09:52:50 AM     all     17.63      0.00      2.09      0.13      0.00      0.00      0.82      0.00      0.00     79.33
09:52:51 AM     all     17.47      0.00      1.91      0.00      0.00      0.00      0.64      0.00      0.00     79.97
09:52:52 AM     all     16.68      0.00      2.29      0.00      0.00      0.00      0.89      0.00      0.00     80.14
