wall_time,cam,rtp_seq,rtsp_unwrap_ms,depay_ms,pay_ms,udpsink_ms,total_sender_ms
14:47:32.342,1,26097,0.005,0.081,0.019,0.031,0.143
14:47:32.343,1,26098,0.005,0.081,0.283,0.009,0.385
14:47:32.343,1,26099,0.005,0.081,0.283,0.205,0.581
14:47:32.343,1,26100,0.005,0.081,0.283,0.230,0.606
14:47:32.343,1,26101,0.005,0.081,0.283,0.249,0.625
14:47:32.343,1,26102,0.005,0.081,0.283,0.263,0.638
14:47:32.343,1,26103,0.005,0.081,0.283,0.275,0.651
14:47:32.343,1,26104,0.005,0.081,0.283,0.288,0.663
14:47:32.343,1,26105,0.005,0.081,0.283,0.300,0.676
14:47:32.343,1,26106,0.005,0.081,0.283,0.311,0.686
14:47:32.343,1,26107,0.005,0.081,0.283,0.321,0.697
14:47:32.343,1,26108,0.005,0.081,0.283,0.332,0.708
14:47:32.343,1,26109,0.005,0.081,0.283,0.345,0.720
14:47:32.343,1,26110,0.005,0.081,0.283,0.357,0.733
14:47:32.343,1,26111,0.005,0.081,0.283,0.369,0.745
14:47:32.343,1,26112,0.005,0.081,0.283,0.381,0.757
14:47:32.343,1,26113,0.005,0.081,0.283,0.392,0.768
14:47:32.343,1,26114,0.005,0.081,0.283,0.404,0.779
14:47:32.343,1,26115,0.005,0.081,0.283,0.415,0.790
14:47:32.343,1,26116,0.005,0.081,0.283,0.430,0.805
14:47:32.343,1,26117,0.005,0.081,0.283,0.443,0.818
14:47:32.343,1,26118,0.005,0.081,0.283,0.455,0.831
14:47:32.343,1,26119,0.005,0.081,0.283,0.466,0.841
14:47:32.343,1,26120,0.005,0.081,0.283,0.478,0.853
14:47:32.343,1,26121,0.005,0.081,0.283,0.489,0.865
14:47:32.343,1,26122,0.005,0.081,0.283,0.501,0.876
14:47:32.343,1,26123,0.005,0.081,0.283,0.512,0.887
14:47:32.343,1,26124,0.005,0.081,0.283,0.522,0.898
14:47:32.343,1,26125,0.005,0.081,0.283,0.534,0.909
14:47:32.343,1,26126,0.005,0.081,0.283,0.545,0.921
14:47:32.343,1,26127,0.005,0.081,0.283,0.556,0.932
14:47:32.343,1,26128,0.005,0.081,0.283,0.567,0.942
14:47:32.343,1,26129,0.005,0.081,0.283,0.577,0.953
14:47:32.343,1,26130,0.005,0.081,0.283,0.590,0.966
14:47:32.343,1,26131,0.005,0.081,0.283,0.602,0.978
