wall_time,cam_index,decoder_ms,dropped
15:47:46.304,1,18.9632,0
15:47:54.180,0,14.4225,0
15:48:06.253,2,19.7623,0
15:48:06.255,0,208.2683,295
15:48:06.257,1,213.8463,479
15:48:06.280,2,4.2104,0
15:48:06.284,2,3.8381,0
15:48:06.290,2,4.8203,0
15:48:06.297,2,6.8118,0
15:48:06.301,1,22.0894,0
15:48:06.302,2,4.5951,0
15:48:06.306,0,21.6261,0
15:48:06.307,1,5.0753,0
15:48:06.312,0,3.7738,0
15:48:06.314,1,6.2250,0
15:48:06.317,0,4.4593,0
15:48:06.321,1,5.7731,0
15:48:06.321,2,6.4099,0
15:48:06.327,0,9.3409,0
15:48:06.333,0,3.0668,0
15:48:06.349,1,3.3181,0
15:48:06.352,2,5.4862,0
15:48:06.374,0,4.0150,0
15:48:06.390,1,3.4348,0
15:48:06.397,2,5.4048,0
15:48:06.409,0,3.2479,0
15:48:06.446,1,3.6199,0
15:48:06.447,2,4.2918,0
15:48:06.452,0,6.6043,0
15:48:06.468,2,3.3752,0
15:48:06.469,1,3.5237,0
15:48:06.501,0,3.3953,0
15:48:06.508,1,2.8917,0
15:48:06.513,2,4.6168,0
15:48:06.521,0,3.4843,0
15:48:06.557,1,3.3557,0
15:48:06.562,2,4.7430,0
15:48:06.567,0,5.0849,0
15:48:06.591,1,2.9672,0
15:48:06.610,2,4.1474,0
15:48:06.610,0,3.9950,0
15:48:06.629,1,3.1362,0
15:48:06.629,2,3.3012,0
15:48:06.668,0,3.2792,0
15:48:06.673,2,4.8006,0
15:48:06.673,1,4.9202,0
15:48:06.686,0,3.6024,0
15:48:06.728,2,4.0471,0
15:48:06.728,1,4.0098,0
15:48:06.731,0,4.9369,0
15:48:06.761,2,4.4057,0
15:48:06.761,1,4.4191,0
15:48:06.812,1,3.2040,0
15:48:06.812,0,3.0592,0
15:48:06.822,2,3.6320,0
15:48:06.823,0,3.4866,0
15:48:06.830,2,3.4908,0
15:48:06.831,1,4.1502,0
15:48:06.842,0,3.8233,0
15:48:06.886,1,3.3584,0
15:48:06.887,2,3.2951,0
15:48:06.890,0,4.2301,0
15:48:06.913,1,3.2846,0
15:48:06.913,2,3.4276,0
15:48:06.944,0,2.9794,0
15:48:06.945,1,3.6630,0
15:48:06.950,2,5.0435,0
15:48:06.973,0,3.9362,0
15:48:06.998,1,2.8934,0
15:48:06.998,2,3.0559,0
15:48:07.004,0,5.2941,0
15:48:07.028,1,3.0711,0
15:48:07.033,2,4.6447,0
15:48:07.047,0,2.9117,0
15:48:07.094,1,3.0398,0
15:48:07.095,2,3.3901,0
15:48:07.104,1,3.5747,0
15:48:07.108,2,5.0581,0
15:48:07.229,1,2.9982,0
15:48:07.230,2,3.8037,0
15:48:07.236,1,5.4404,0
15:48:07.237,2,5.8629,0
15:48:07.243,1,6.2668,0
15:48:07.244,2,4.2818,0
15:48:07.252,0,23.0960,0
15:48:07.256,0,3.8538,0
15:48:07.262,0,5.2308,0
15:48:07.267,0,4.7191,0
15:48:07.268,1,4.5751,0
15:48:07.276,2,2.9998,0
15:48:07.290,0,3.6692,0
15:48:07.309,1,3.5184,0
15:48:07.312,2,3.5483,0
15:48:07.330,0,2.8068,0
15:48:07.350,1,2.8473,0
15:48:07.353,2,4.0526,0
15:48:07.362,0,3.7342,0
15:48:07.395,1,4.1944,0
15:48:07.395,2,4.0665,0
15:48:07.408,0,3.6360,0
15:48:07.457,1,3.2718,0
15:48:07.460,2,5.1282,0
15:48:07.460,0,4.6403,0
15:48:07.471,1,3.3384,0
15:48:07.471,2,3.4871,0
15:48:07.504,0,3.6729,0
15:48:07.511,1,3.6003,0
