wall_time,cam_index,pipeline_ms
11:31:12.923,2,1952.7755
11:31:19.896,0,8898.9799
11:31:21.092,1,10083.3778
11:31:21.094,2,10085.8545
11:31:21.096,0,10097.9222
11:31:21.099,2,10088.3560
11:31:21.100,1,10091.0606
11:31:21.100,0,10091.7098
11:31:21.109,2,10081.8678
11:31:21.110,1,10100.3938
11:31:21.117,1,10106.0862
11:31:21.179,0,10167.9313
11:31:21.180,2,10102.5555
11:31:21.180,1,10102.7609
11:31:21.190,2,10091.3317
11:31:21.191,0,10113.9607
11:31:21.192,1,10092.8483
11:31:21.200,2,10089.2164
11:31:21.200,1,10089.9208
11:31:21.200,0,10122.2066
11:31:21.211,0,10100.5917
11:31:21.236,1,10099.6031
11:31:21.236,2,10099.6518
11:31:21.242,0,10131.3016
11:31:21.253,1,10109.9163
11:31:21.260,2,10117.1666
11:31:21.318,0,10175.5582
11:31:21.321,1,10147.2324
11:31:21.321,2,10145.0385
11:31:21.327,0,10178.1248
11:31:21.378,1,10170.4366
11:31:21.384,2,10162.8735
11:31:21.385,0,10203.1439
11:31:21.385,1,10112.1721
11:31:21.393,2,10115.0613
11:31:21.395,0,10160.2951
11:31:21.668,0,10390.5409
11:31:21.669,2,10368.1859
11:31:21.669,1,10379.6918
11:31:21.676,0,10363.1150
11:31:21.676,1,10344.9192
11:31:21.677,2,10333.7162
11:31:21.685,0,10339.2054
11:31:21.685,2,10282.9034
11:31:21.685,1,10297.7549
11:31:21.693,1,10285.6541
11:31:21.693,2,10279.7777
11:31:21.693,0,10291.1725
11:31:21.712,2,10246.7643
11:31:21.712,1,10250.2125
11:31:21.712,0,10256.4200
11:31:21.720,1,10200.0709
11:31:21.731,2,10193.9675
11:31:21.732,0,10254.3939
11:31:21.736,1,10196.7089
11:31:21.739,2,10200.0869
11:31:21.739,0,10202.0807
11:31:21.743,1,10176.4798
11:31:21.747,2,10158.2086
11:31:21.750,0,10204.1698
11:31:21.750,1,10131.8986
11:31:21.754,2,10135.3973
11:31:21.793,0,10204.0178
11:31:21.796,1,10136.4289
11:31:21.796,2,10133.7747
11:31:21.818,1,10118.3576
11:31:21.878,1,10146.8357
11:31:21.878,2,10169.2053
11:31:21.886,2,10154.9854
11:31:21.894,0,10262.6686
11:31:21.898,0,10229.5129
11:31:21.905,0,10193.3157
11:31:21.972,0,10222.6740
11:31:21.973,1,10195.9291
11:31:21.973,2,10196.6436
11:31:21.980,2,10085.3367
11:31:21.981,0,10085.9381
11:31:21.981,1,10097.2666
11:31:21.990,1,10090.1477
11:31:21.990,2,10091.0297
11:31:22.031,1,10105.3171
11:31:22.031,0,10132.1648
11:31:22.034,2,10109.3442
11:31:22.041,0,10121.4922
11:31:22.056,1,10125.6883
11:31:22.059,2,10121.6298
11:31:22.150,0,10225.2568
11:31:22.158,2,10182.3677
11:31:22.158,0,10201.4381
11:31:22.159,1,10183.5632
11:31:22.167,1,10154.3680
11:31:22.167,2,10148.4304
11:31:22.168,0,10157.9508
11:31:22.219,1,10166.9772
11:31:22.219,2,10151.7978
11:31:22.219,0,10191.2878
11:31:22.226,1,10071.9861
11:31:22.229,2,10074.5099
11:31:22.355,0,10278.3472
11:31:22.359,1,10202.2166
11:31:22.359,2,10185.5988
11:31:22.364,0,10208.9336
11:31:22.367,1,10175.2548
11:31:22.367,2,10175.1269
11:31:22.371,0,10188.1875
11:31:22.424,1,10214.3119
11:31:22.431,2,10220.3469
11:31:22.434,0,10230.7557
11:31:22.435,1,10182.8145
11:31:22.439,2,10168.4047
11:31:22.443,1,10142.7515
11:31:22.443,0,10207.6959
11:31:22.447,2,10146.8135
11:31:22.450,0,10178.7237
11:31:22.498,1,10160.8335
11:31:22.499,2,10158.1820
11:31:22.503,0,10184.5987
11:31:22.503,1,10114.7240
11:31:22.508,2,10120.0551
11:31:22.518,0,10163.1193
11:31:22.564,2,10134.2476
11:31:22.564,1,10153.1760
11:31:22.564,0,10157.3864
11:31:22.578,1,10123.7739
11:31:22.617,0,10178.3634
11:31:22.617,1,10131.4071
11:31:22.617,2,10159.5344
11:31:22.626,2,10117.5235
11:31:22.637,0,10161.4812
11:31:22.689,2,10141.0257
11:31:22.689,1,10141.4529
11:31:22.690,0,10178.7874
11:31:22.697,1,10124.2638
11:31:22.697,2,10120.6232
11:31:22.717,0,10164.1446
11:31:22.757,2,10134.6997
11:31:22.758,1,10144.4523
11:31:22.761,0,10172.9215
11:31:22.777,1,10126.2912
11:31:22.785,2,10128.5236
11:31:22.967,2,10256.9055
11:31:23.058,2,10323.0162
11:31:23.066,0,10435.2872
11:31:23.066,2,10289.7387
11:31:23.071,0,10389.8308
11:31:23.074,2,10164.9779
11:31:23.077,1,10375.6180
11:31:23.078,0,10367.9989
11:31:23.084,0,10332.6339
11:31:23.085,1,10351.5512
11:31:23.091,1,10318.8102
11:31:23.114,0,10304.4085
11:31:23.114,2,10190.2985
11:31:23.119,1,10241.3656
11:31:23.123,2,10189.6611
11:31:23.123,0,10213.3221
11:31:23.128,1,10214.8899
11:31:23.131,2,10191.4273
11:31:23.132,0,10216.4400
11:31:23.136,1,10220.2502
11:31:23.140,0,10210.3092
11:31:23.140,2,10164.0022
11:31:23.145,1,10207.5906
11:31:23.148,2,10124.0110
11:31:23.175,0,10224.6844
11:31:23.186,2,10140.2770
11:31:23.186,1,10209.6225
11:31:23.194,0,10202.2346
11:31:23.248,0,10215.3497
11:31:23.249,1,10224.9814
11:31:23.249,2,10158.5854
11:31:23.259,1,10209.8236
11:31:23.270,2,10135.1810
11:31:23.276,0,10194.7207
11:31:23.316,2,10118.8673
11:31:23.317,1,10225.1765
11:31:23.324,0,10205.4601
11:31:23.340,1,10208.5429
11:31:23.342,2,10085.3979
11:31:23.389,2,10128.4985
11:31:23.390,0,10237.2099
11:31:23.390,1,10193.2685
11:31:23.402,0,10203.9906
11:31:23.505,2,10211.1701
11:31:23.506,1,10286.9226
11:31:23.506,0,10248.5624
11:31:23.514,1,10255.5241
11:31:23.515,0,10243.0962
11:31:23.515,2,10164.8243
11:31:23.519,0,10206.9459
11:31:23.522,1,10232.7908
11:31:23.522,2,10104.6218
11:31:23.619,0,10267.6467
11:31:23.619,1,10268.6140
11:31:23.620,2,10193.6639
11:31:23.627,1,10210.0835
11:31:23.628,0,10210.3426
11:31:23.631,2,10177.4694
