wall_time,cam_index,latency_ms
15:22:45.596,0,17.4279
15:22:45.608,2,15.9100
15:22:45.619,1,9.6830
15:22:45.629,2,6.0909
15:22:45.633,1,5.0697
15:22:45.635,0,7.2740
15:22:45.639,2,6.4195
15:22:45.639,1,4.1291
15:22:45.644,0,6.0904
15:22:45.648,1,6.0331
15:22:45.648,2,4.8261
15:22:45.653,0,6.2324
15:22:45.655,1,5.0809
15:22:45.659,0,4.4407
15:22:45.659,2,6.9570
15:22:45.667,1,9.3884
15:22:45.670,2,7.4905
15:22:45.670,0,9.8897
15:22:45.675,1,6.0669
15:22:45.680,0,6.4345
15:22:45.685,2,6.1316
15:22:45.689,0,4.8244
15:22:45.696,1,4.0856
15:22:45.735,1,4.1671
15:22:45.735,2,4.6008
15:22:45.735,0,4.2348
15:22:45.774,0,4.5491
15:22:45.775,2,5.1452
15:22:45.775,1,5.3974
15:22:45.813,0,3.5044
15:22:45.813,2,3.5614
15:22:45.818,1,7.7098
15:22:45.851,2,3.8444
15:22:45.874,0,7.6755
15:22:45.878,1,6.6795
15:22:45.890,1,5.1381
15:22:45.890,0,3.7774
15:22:45.891,2,6.0281
15:22:45.939,1,8.0974
15:22:45.941,2,10.3967
15:22:45.963,0,10.4482
15:22:45.967,2,10.7087
15:22:45.970,0,4.1113
15:22:45.976,1,5.7645
15:22:46.006,2,4.0259
15:22:46.012,0,3.5701
15:22:46.017,1,3.4723
15:22:46.049,2,8.6622
15:22:46.053,0,7.4471
15:22:46.057,1,6.9711
15:22:46.112,1,7.3468
15:22:46.112,2,7.8978
15:22:46.112,0,7.8592
15:22:46.125,0,5.0204
15:22:46.134,2,8.3736
15:22:46.135,1,5.8255
15:22:46.167,2,9.3872
15:22:46.172,0,7.4401
15:22:46.179,1,6.8947
15:22:46.214,2,10.0117
15:22:46.215,0,7.8826
15:22:46.219,1,8.6921
15:22:46.254,2,10.1720
15:22:46.255,0,8.2007
15:22:46.261,1,7.8542
15:22:46.302,1,8.5869
15:22:46.302,0,7.7407
15:22:46.302,2,8.8284
15:22:46.362,1,7.5974
15:22:46.363,2,9.2237
15:22:46.367,0,11.7493
15:22:46.374,2,7.1747
15:22:46.376,1,5.1863
15:22:46.447,2,7.0052
15:22:46.453,0,15.2343
15:22:46.460,0,2.5683
15:22:46.462,1,4.6571
15:22:46.468,2,4.2332
15:22:46.468,0,3.3177
15:22:46.468,1,3.5626
15:22:46.479,2,3.4324
15:22:46.545,1,8.0504
15:22:46.545,0,8.9807
15:22:46.550,2,9.7384
15:22:46.555,0,5.4495
15:22:46.555,1,8.3301
15:22:46.568,2,6.1114
15:22:46.570,0,4.9001
15:22:46.589,1,4.5172
15:22:46.615,2,9.1798
15:22:46.619,1,6.7985
15:22:46.619,0,6.6578
15:22:46.693,1,8.9589
15:22:46.694,0,8.8838
15:22:46.694,2,8.9000
15:22:46.703,1,7.4316
15:22:46.704,2,5.4449
15:22:46.704,0,4.0469
15:22:46.729,2,6.9059
15:22:46.733,0,7.9606
15:22:46.739,1,6.7606
15:22:46.776,1,7.9992
15:22:46.777,2,8.8516
15:22:46.778,0,8.9936
15:22:46.865,2,8.6581
15:22:46.865,1,6.4754
15:22:46.865,0,6.3509
15:22:46.876,1,6.5403
15:22:46.876,2,9.4133
15:22:46.880,0,8.5645
15:22:46.886,2,5.1615
15:22:46.889,0,4.3536
15:22:46.896,1,3.9761
15:22:46.929,1,3.4972
15:22:46.929,2,4.1139
15:22:46.991,0,8.9871
15:22:47.008,2,8.0696
15:22:47.008,1,7.6384
15:22:47.008,0,7.5904
15:22:47.018,2,8.1049
15:22:47.019,0,5.3794
15:22:47.024,1,5.3573
15:22:47.052,2,8.3017
15:22:47.055,0,8.1826
15:22:47.056,1,4.6244
15:22:47.094,2,9.1335
15:22:47.097,1,8.1567
15:22:47.097,0,8.1697
15:22:47.189,2,8.4603
15:22:47.189,1,8.0156
15:22:47.189,0,7.9665
15:22:47.200,1,7.0421
15:22:47.200,2,9.1492
15:22:47.205,0,11.1190
15:22:47.209,2,4.6478
15:22:47.225,0,7.5364
15:22:47.225,1,7.3707
15:22:47.307,1,8.7594
15:22:47.308,0,7.7832
15:22:47.308,2,8.8790
15:22:47.316,2,4.6411
15:22:47.316,1,6.5327
15:22:47.316,0,3.9707
15:22:47.326,0,3.9980
15:22:47.326,2,4.2176
15:22:47.339,1,6.3199
15:22:47.507,0,16.9570
15:22:47.634,0,8.4693
15:22:47.668,0,7.3425
15:22:47.674,0,3.7482
15:22:47.709,0,7.3740
15:22:47.783,0,6.8503
15:22:47.787,0,2.6374
15:22:47.792,0,3.7649
15:22:47.798,0,3.9521
15:22:47.809,0,3.9982
15:22:47.819,0,3.4380
15:22:47.857,0,7.0671
15:22:47.953,0,6.6994
15:22:47.958,0,3.0410
15:22:47.963,0,3.3688
15:22:48.016,0,7.3155
15:22:48.056,0,8.1646
15:22:48.094,0,4.5894
15:22:48.130,0,6.2441
15:22:48.208,0,7.6148
15:22:48.221,0,6.6149
15:22:48.261,0,7.9000
15:22:48.506,0,8.6608
15:22:48.524,0,8.8663
15:22:48.554,0,11.0565
15:22:48.558,0,2.6813
15:22:48.589,0,5.4086
15:22:48.596,0,4.5658
15:22:48.622,0,5.9513
15:22:48.667,0,8.2503
15:22:48.673,0,3.4853
15:22:48.678,0,3.4193
15:22:48.698,0,4.4213
15:22:48.725,0,4.9244
15:22:48.773,0,5.5582
15:22:48.824,0,6.8311
15:22:48.855,0,3.9082
15:22:48.892,0,8.7411
15:22:48.933,0,5.9828
15:22:48.982,0,7.6934
15:22:49.026,0,7.1049
15:22:49.076,0,7.5969
15:22:49.147,0,6.3838
15:22:49.164,0,4.9628
15:22:49.179,0,3.4018
15:22:49.208,0,3.1590
15:22:49.263,0,2.9363
15:22:49.302,0,2.8276
15:22:49.333,2,3.1397
15:22:49.338,1,3.2919
15:22:49.341,0,7.1522
15:22:49.439,0,11.0001
15:22:49.527,0,2.8112
15:22:49.640,0,8.7067
15:22:49.647,0,4.5201
15:22:49.658,2,19.3056
15:22:49.662,2,3.0899
15:22:49.665,0,3.3811
15:22:49.667,2,3.6171
15:22:49.670,1,22.1432
15:22:49.670,0,3.3338
15:22:49.673,2,4.5777
15:22:49.676,1,3.8916
15:22:49.679,2,3.5020
15:22:49.681,0,3.8686
15:22:49.681,1,3.2958
15:22:49.685,2,4.2303
15:22:49.687,0,4.6097
15:22:49.687,1,3.2561
15:22:49.690,2,4.1236
15:22:49.695,2,3.0179
15:22:49.700,0,4.0597
15:22:49.702,1,3.9334
15:22:49.728,2,3.1466
15:22:49.735,0,2.9855
15:22:49.742,1,3.5829
15:22:49.794,2,9.5732
15:22:49.795,1,7.7628
15:22:49.795,0,7.9926
15:22:49.809,2,8.1170
15:22:49.813,0,4.2168
15:22:49.820,1,6.9570
15:22:49.853,2,8.6140
15:22:49.857,0,10.5692
15:22:49.861,1,8.3971
15:22:49.900,2,9.0377
15:22:49.912,1,8.4610
15:22:49.913,0,8.7229
15:22:49.941,1,7.4971
15:22:49.941,2,7.4824
15:22:49.942,0,7.2195
15:22:49.979,2,9.5078
15:22:49.980,1,6.9942
15:22:49.985,0,12.8158
15:22:50.016,2,10.2135
15:22:50.027,1,8.7930
15:22:50.027,0,9.1732
15:22:50.057,2,8.1816
15:22:50.061,0,7.5731
15:22:50.062,1,6.7543
15:22:50.102,1,8.2747
15:22:50.102,2,8.3700
15:22:50.107,0,11.4292
15:22:50.127,2,7.8400
15:22:50.159,1,9.8633
15:22:50.160,0,9.0955
15:22:50.168,2,6.7729
15:22:50.171,0,5.0966
15:22:50.176,1,5.2179
15:22:50.214,2,9.4591
15:22:50.218,0,11.1054
15:22:50.223,1,6.5104
15:22:50.267,2,8.7989
15:22:50.267,1,8.8461
15:22:50.279,0,10.4076
15:22:50.283,2,6.9289
15:22:50.301,0,6.7606
15:22:50.301,1,6.7474
15:22:50.337,0,7.9475
15:22:50.338,1,6.6620
15:22:50.339,2,8.3430
15:22:50.376,2,9.8202
15:22:50.390,1,7.9977
15:22:50.433,1,6.9452
15:22:50.433,2,7.6438
15:22:50.440,2,3.6656
15:22:50.441,0,13.9802
15:22:50.446,0,2.3394
15:22:50.456,1,4.1676
15:22:50.464,0,7.6617
15:22:50.499,2,7.7035
