abs_time,cam_index,rtp_seq
1777723079.773644,2,20714
1777723079.775021,2,20715
1777723079.775243,2,20716
1777723079.775397,2,20717
1777723079.775498,2,20718
1777723079.775588,2,20719
1777723079.775674,2,20720
1777723079.775782,2,20721
1777723079.775866,2,20722
1777723079.775943,2,20723
1777723079.776027,2,20724
1777723079.776131,2,20725
1777723079.776462,2,20726
1777723079.776608,2,20727
1777723079.776678,2,20728
1777723079.776756,2,20729
1777723079.776833,2,20730
1777723079.776909,2,20731
1777723079.776981,2,20732
1777723079.777077,2,20733
1777723079.777149,2,20734
1777723079.777209,2,20735
1777723079.777275,2,20736
1777723079.777373,2,20737
1777723079.777442,2,20738
1777723079.777509,2,20739
1777723079.777594,2,20740
1777723079.777658,2,20741
1777723079.777731,2,20742
1777723079.777792,2,20743
1777723079.777851,2,20744
1777723079.777917,2,20745
1777723079.777975,2,20746
1777723079.778039,2,20747
1777723079.778096,2,20748
1777723079.778155,2,20749
1777723079.778208,2,20750
1777723079.778269,2,20751
1777723079.778331,2,20752
1777723079.778391,2,20753
1777723079.778445,2,20754
1777723079.778501,2,20755
1777723079.778563,2,20756
1777723079.778623,2,20757
1777723079.778685,2,20762
1777723079.778858,0,19264
1777723079.779181,2,20763
1777723079.779586,0,19265
1777723079.779905,2,20764
1777723079.780167,2,20765
1777723079.780240,2,20766
1777723079.780312,2,20767
1777723079.780384,2,20768
1777723079.780469,0,19266
1777723079.780648,2,20769
1777723079.780707,2,20770
1777723079.780757,2,20771
1777723079.780805,2,20772
1777723079.780854,2,20773
1777723079.780898,2,20774
1777723079.780941,2,20775
1777723079.780986,2,20776
1777723079.781033,2,20777
1777723079.781079,2,20778
1777723079.781121,2,20779
1777723079.781166,2,20780
1777723079.781209,2,20781
1777723079.781252,2,20782
1777723079.781309,2,20783
1777723079.783635,0,19267
1777723079.783946,0,19268
1777723079.784051,0,19269
1777723079.784165,2,20784
1777723079.784472,0,19270
1777723079.784750,2,20785
1777723079.785025,0,19271
1777723079.785227,2,20786
1777723079.785342,0,19272
1777723079.785443,0,19273
1777723079.785542,2,20787
1777723079.785720,0,19274
1777723079.785790,2,20788
1777723079.785881,0,19275
1777723079.785941,2,20789
1777723079.786006,0,19276
1777723079.786069,2,20790
1777723079.786130,0,19277
1777723079.786220,2,20791
1777723079.786280,2,20792
1777723079.786380,2,20793
1777723079.786428,2,20794
1777723079.786473,2,20795
1777723079.786518,2,20796
1777723079.789473,0,19278
1777723079.789734,0,19279
1777723079.789892,0,19280
1777723079.790043,0,19281
1777723079.790182,0,19282
1777723079.790365,0,19283
1777723079.790517,0,19284
1777723079.790679,0,19285
1777723079.790823,0,19286
1777723079.790973,0,19287
1777723079.791113,0,19288
1777723079.791252,0,19289
1777723079.791646,0,19290
1777723079.791785,0,19291
1777723079.791853,0,19292
1777723079.791909,0,19293
1777723079.791980,0,19294
1777723079.792032,0,19295
1777723079.792158,0,19296
1777723079.792216,0,19297
1777723079.792273,0,19298
1777723079.792336,0,19299
1777723079.792385,0,19300
1777723079.792460,0,19301
1777723079.792505,0,19302
1777723079.792557,0,19303
1777723079.792603,0,19304
1777723079.792654,0,19305
1777723079.792708,0,19306
1777723079.792759,0,19307
1777723079.792804,0,19308
1777723079.792867,0,19309
1777723079.792914,0,19310
1777723079.792959,0,19311
1777723079.793007,0,19312
1777723079.793051,0,19313
1777723079.793101,0,19314
1777723079.793146,0,19315
1777723079.793194,0,19316
1777723079.793238,0,19317
1777723079.793287,0,19318
1777723079.793345,0,19319
1777723079.793389,0,19320
1777723079.793437,0,19321
1777723079.793481,0,19322
1777723079.793531,0,19323
1777723079.793576,0,19324
1777723079.793624,0,19325
1777723079.793670,0,19326
1777723079.793720,0,19327
1777723079.793765,0,19328
1777723079.793809,0,19329
1777723079.794830,0,19330
1777723079.795078,1,23929
1777723079.795288,0,19331
1777723079.795805,1,23930
1777723079.796068,0,19332
1777723079.796288,1,23931
1777723079.796538,0,19333
1777723079.796756,1,23932
1777723079.796902,0,19334
1777723079.796987,0,19335
1777723079.797097,1,23933
1777723079.797424,0,19336
1777723079.797628,0,19337
1777723079.797833,1,23934
1777723079.798012,0,19338
1777723079.798159,1,23935
1777723079.798287,0,19339
1777723079.798378,1,23936
1777723079.798507,0,19340
1777723079.798599,1,23937
1777723079.798713,0,19341
1777723079.798789,1,23938
1777723079.798898,0,19342
1777723079.798970,1,23939
1777723079.799078,0,19343
1777723079.799150,1,23940
1777723079.799256,0,19344
1777723079.799330,1,23941
1777723079.799433,0,19345
1777723079.799509,1,23942
1777723079.799614,0,19346
1777723079.799687,1,23943
1777723079.799796,0,19347
1777723079.799869,1,23944
1777723079.800003,1,23945
1777723079.800144,1,23946
1777723079.800259,1,23947
1777723079.800380,1,23948
1777723079.800490,1,23949
1777723079.800600,1,23950
1777723079.800704,1,23951
1777723079.800834,1,23952
1777723079.800940,1,23953
1777723079.801048,1,23954
1777723079.801171,1,23955
1777723079.801276,1,23956
1777723079.801397,1,23957
1777723079.801503,1,23958
1777723079.801639,1,23959
1777723079.801768,1,23960
1777723079.801890,1,23961
1777723079.801999,1,23962
1777723079.802132,1,23963
1777723079.802247,1,23964
1777723079.802364,1,23965
1777723079.802514,1,23966
1777723079.802620,1,23967
1777723079.802752,1,23968
1777723079.802881,1,23969
1777723079.803001,1,23970
1777723079.803107,1,23971
1777723079.803288,1,23972
1777723079.803417,1,23973
1777723079.803580,1,23974
1777723079.803700,1,23975
1777723079.803833,1,23976
1777723079.803956,1,23977
1777723079.804060,1,23978
1777723079.804175,1,23979
1777723079.804282,1,23980
1777723079.804414,1,23981
1777723079.804530,1,23982
1777723079.804642,1,23983
1777723079.804762,1,23984
1777723079.804867,1,23985
1777723079.804992,1,23986
1777723079.805098,1,23987
1777723079.805213,1,23988
1777723079.805329,1,23989
1777723079.805444,1,23990
1777723079.805548,1,23991
1777723079.805659,1,23992
1777723079.805763,1,23993
1777723079.805863,1,23994
1777723079.805976,1,23995
1777723079.806079,1,23996
1777723079.806191,1,23997
1777723079.806304,1,23998
1777723079.806430,1,23999
1777723079.806563,1,24000
1777723079.806682,1,24001
1777723079.806791,1,24002
1777723079.806905,1,24003
1777723079.807017,1,24004
1777723079.807158,2,20797
1777723079.807357,1,24005
1777723079.807533,2,20798
1777723079.807739,2,20799
1777723079.807693,1,24006
1777723079.807952,2,20800
1777723079.808094,1,24007
1777723079.808220,2,20801
1777723079.808362,1,24008
1777723079.808535,2,20802
1777723079.808665,1,24009
1777723079.808789,2,20803
1777723079.808913,1,24010
1777723079.809117,1,24011
1777723079.809238,1,24016
1777723079.809392,1,24017
1777723079.809511,1,24018
1777723079.809613,1,24019
1777723079.809719,1,24020
1777723079.809825,1,24021
1777723079.809931,1,24022
1777723079.810046,1,24023
1777723079.810150,1,24024
1777723079.810256,1,24025
1777723079.862809,0,19348
1777723079.863197,2,20804
1777723079.863443,2,20805
1777723079.863694,1,24026
1777723079.863910,2,20806
1777723079.864089,0,19349
1777723079.864258,1,24027
1777723079.864465,1,24028
1777723079.864661,1,24029
1777723079.864812,0,19350
1777723079.865040,1,24030
1777723079.865506,2,20807
1777723079.865838,2,20808
1777723079.865967,0,19351
1777723079.866228,0,19352
1777723079.866344,2,20809
1777723079.866871,2,20810
1777723079.866820,0,19353
1777723079.865791,1,24031
1777723079.867437,1,24032
1777723079.867543,0,19354
1777723079.867751,2,20811
1777723079.867982,0,19355
1777723079.868069,2,20812
1777723079.868193,1,24033
1777723079.868369,0,19356
1777723079.868464,1,24034
1777723079.868573,1,24035
1777723079.868636,0,19357
1777723079.868717,0,19358
1777723079.868763,0,19359
1777723079.883038,2,20813
1777723079.883313,2,20814
1777723079.883386,2,20815
1777723079.883439,2,20816
1777723079.883486,2,20817
1777723079.883554,2,20818
1777723079.883602,2,20819
1777723079.883652,2,20820
1777723079.883699,2,20821
1777723079.883748,2,20822
1777723079.883796,2,20823
1777723079.883841,2,20824
1777723079.886521,1,24036
1777723079.886730,1,24037
1777723079.886807,1,24038
1777723079.886862,1,24039
1777723079.886913,1,24040
1777723079.886960,1,24041
1777723079.887008,1,24042
