abs_time,cam_index,rtp_seq
1776961998.758624,2,31591
1776961998.759364,2,31592
1776961998.759577,2,31593
1776961998.759691,2,31594
1776961998.759799,2,31595
1776961998.759897,2,31596
1776961998.760016,2,31597
1776961998.760117,2,31598
1776961998.760209,2,31599
1776961998.760308,2,31600
1776961998.760402,2,31601
1776961998.760492,2,31602
1776961998.760584,2,31603
1776961998.760676,2,31604
1776961998.760755,2,31605
1776961998.760837,2,31606
1776961998.760917,2,31607
1776961998.761043,2,31608
1776961998.761122,2,31609
1776961998.761224,2,31610
1776961998.761308,2,31611
1776961998.761386,2,31612
1776961998.761471,2,31613
1776961998.761543,2,31614
1776961998.761621,2,31615
1776961998.764662,2,31616
1776961998.764881,2,31617
1776961998.764974,2,31618
1776961998.765077,2,31619
1776961998.765144,2,31620
1776961998.765217,2,31621
1776961998.765282,2,31622
1776961998.765347,2,31623
1776961998.765418,2,31624
1776961998.765478,2,31625
1776961998.765565,2,31626
1776961998.765632,2,31627
1776961998.765708,2,31628
1776961998.765778,2,31629
1776961998.765853,2,31630
1776961998.765921,2,31631
1776961998.766015,2,31632
1776961998.766090,2,31633
1776961998.766162,2,31634
1776961998.766242,2,31635
1776961998.766310,2,31636
1776961998.766385,2,31637
1776961998.766451,2,31638
1776961998.767430,2,31639
1776961998.767626,2,31640
1776961998.767708,2,31641
1776961998.767787,2,31642
1776961998.767857,2,31643
1776961998.767926,2,31644
1776961998.768018,2,31645
1776961998.768090,2,31646
1776961998.768173,2,31647
1776961998.768250,2,31648
1776961998.768315,2,31649
1776961998.768384,2,31650
1776961998.768446,2,31651
1776961998.768504,2,31652
1776961998.768566,2,31653
1776961998.768623,2,31654
1776961998.768686,2,31655
1776961998.768742,2,31656
1776961998.768804,2,31657
1776961998.768860,2,31658
1776961998.768921,2,31659
1776961998.768991,2,31660
1776961998.769050,2,31661
1776961998.770273,2,31662
1776961998.770435,2,31663
1776961998.770516,2,31664
1776961998.770573,2,31665
1776961998.770637,2,31666
1776961998.770707,2,31667
1776961998.770771,2,31668
1776961998.770826,2,31669
1776961998.770884,2,31670
1776961998.770937,2,31671
1776961998.771011,2,31672
1776961998.771070,2,31673
1776961998.771126,2,31674
1776961998.771182,2,31675
1776961998.771233,2,31676
1776961998.771289,2,31677
1776961998.771340,2,31678
1776961998.771397,2,31679
1776961998.771446,2,31680
1776961998.771497,2,31681
1776961998.771548,2,31682
1776961998.771600,2,31683
1776961998.771652,2,31684
1776961998.772945,2,31685
1776961998.773146,2,31686
1776961998.773216,2,31687
1776961998.773276,2,31688
1776961998.773326,2,31689
1776961998.773382,2,31690
1776961998.773437,2,31691
1776961998.773485,2,31692
1776961998.773540,2,31693
1776961998.773588,2,31694
1776961998.773638,2,31695
1776961998.773685,2,31696
1776961998.773734,2,31697
1776961998.773778,2,31698
1776961998.773826,2,31699
1776961998.773872,2,31700
1776961998.773916,2,31701
1776961998.773965,2,31702
1776961998.774025,2,31703
1776961998.774077,2,31704
1776961998.774121,2,31705
1776961998.774170,2,31706
1776961998.774225,2,31707
1776961998.775722,2,31708
1776961998.775869,2,31709
1776961998.775931,2,31710
1776961998.776015,2,31711
1776961998.776071,2,31712
1776961998.776124,2,31713
1776961998.776174,2,31714
1776961998.776229,2,31715
1776961998.776277,2,31716
1776961998.776331,2,31717
1776961998.776380,2,31718
1776961998.776428,2,31719
1776961998.776474,2,31720
1776961998.776519,2,31721
1776961998.776571,2,31722
1776961998.776615,2,31723
1776961998.776666,2,31724
1776961998.776708,2,31725
1776961998.776754,2,31726
1776961998.776796,2,31727
1776961998.776850,2,31728
1776961998.776893,2,31729
1776961998.776940,2,31730
1776961998.779524,2,31731
1776961998.779662,2,31732
1776961998.779732,2,31733
1776961998.779784,2,31734
1776961998.779834,2,31735
1776961998.779880,2,31736
1776961998.779930,2,31737
1776961998.779975,2,31738
1776961998.780040,2,31739
1776961998.783998,1,24946
1776961998.784215,1,24947
1776961998.784383,1,24948
1776961998.784537,1,24949
1776961998.784669,1,24950
1776961998.784803,1,24951
1776961998.787155,1,24952
1776961998.787219,1,24953
1776961998.787247,1,24954
1776961998.787271,1,24955
1776961998.787295,1,24956
1776961998.787325,1,24957
1776961998.787346,1,24958
1776961998.787366,1,24959
1776961998.787387,1,24960
1776961998.787408,1,24961
1776961998.787430,1,24962
1776961998.787451,1,24963
1776961998.787472,1,24964
1776961998.787493,1,24965
