wall_time,cam,rtp_seq,pipeline_ms,dropped_nals
15:47:44.168,1,9124,2.366,0
15:47:44.170,2,15074,1.900,0
15:47:44.182,0,22439,1.980,0
15:47:44.222,1,9145,1.369,1
15:47:44.229,2,15097,9.845,1
15:47:44.252,1,9154,0.382,0
15:47:44.260,2,15105,0.443,0
15:47:44.297,1,9163,0.482,0
15:47:44.302,2,15114,0.629,0
15:47:44.327,0,22470,14.737,3
15:47:44.334,2,15124,0.332,0
15:47:44.339,1,9174,0.578,0
15:47:44.358,0,22476,0.493,0
15:47:44.379,2,15133,0.431,0
15:47:44.381,1,9184,0.370,0
15:47:44.398,0,22481,0.298,0
15:47:44.413,1,9194,0.538,0
15:47:44.420,2,15142,0.264,0
15:47:44.440,0,22487,0.516,0
15:47:44.457,1,9203,0.422,0
15:47:44.462,2,15150,0.332,0
15:47:44.471,0,22492,0.379,0
15:47:44.493,2,15159,0.164,0
15:47:44.499,1,9212,0.320,0
15:47:44.513,0,22497,0.509,0
15:47:44.538,2,15168,0.172,0
15:47:44.541,1,9222,0.138,0
15:47:44.557,0,22502,0.743,0
15:47:44.573,1,9232,0.592,0
15:47:44.580,2,15179,0.439,0
15:47:44.598,0,22508,0.259,0
15:47:44.616,1,9240,0.205,0
15:47:44.621,2,15189,0.182,0
15:47:44.640,0,22513,0.508,0
15:47:44.659,1,9250,0.439,0
15:47:44.662,2,15198,0.283,0
15:47:44.671,0,22519,0.388,0
15:47:44.694,2,15209,0.364,0
15:47:44.700,1,9260,0.559,0
15:47:44.713,0,22526,0.485,0
15:47:44.739,2,15218,0.421,0
15:47:44.741,1,9268,0.406,0
15:47:44.757,0,22533,0.303,0
15:47:44.773,1,9276,0.653,0
15:47:44.780,2,15227,0.248,0
15:47:44.797,0,22539,0.194,0
15:47:44.817,1,9285,0.542,0
15:47:44.822,2,15238,0.277,0
15:47:44.839,0,22545,0.323,0
15:47:44.854,2,15248,0.362,0
15:47:44.859,1,9296,0.456,0
15:47:44.881,0,22552,0.282,0
15:47:44.898,2,15256,0.271,0
15:47:44.899,1,9304,0.385,0
15:47:44.912,0,22559,0.339,0
15:47:44.940,2,15265,0.509,0
15:47:44.941,1,9314,0.303,0
15:47:44.957,0,22565,0.372,0
15:47:44.973,1,9324,0.264,0
15:47:44.981,2,15273,0.267,0
15:47:44.998,0,22571,0.310,0
15:47:45.015,1,9332,0.430,0
15:47:45.022,2,15282,0.453,0
15:47:45.040,0,22577,0.215,0
15:47:45.053,2,15291,0.154,0
15:47:45.059,1,9342,0.416,0
15:47:45.071,0,22583,0.187,0
15:47:45.096,2,15301,0.328,0
15:47:45.099,1,9351,0.172,0
15:47:45.113,0,22590,0.336,0
15:47:45.141,2,15311,0.659,0
15:47:45.141,1,9361,0.253,0
