abs_time,cam_index,rtp_seq
1777988121.328830,1,15620
1777988121.328958,1,15621
1777988121.328982,1,15622
1777988121.328990,1,15623
1777988121.328998,1,15624
1777988121.329005,1,15625
1777988121.329012,1,15626
1777988121.329019,1,15627
1777988121.329025,1,15628
1777988121.329032,1,15629
1777988121.329039,1,15630
1777988121.329045,1,15631
1777988121.329053,1,15632
1777988121.329060,1,15633
1777988121.329066,1,15634
1777988121.329072,1,15635
1777988121.329079,1,15636
1777988121.329085,1,15637
1777988121.329092,1,15638
1777988121.329098,1,15639
1777988121.329104,1,15640
1777988121.329110,1,15641
1777988121.329117,1,15642
1777988121.329124,1,15643
1777988121.329130,1,15644
1777988121.329136,1,15645
1777988121.329143,1,15646
1777988121.329150,1,15647
1777988121.329157,1,15648
1777988121.329164,1,15649
1777988121.329170,1,15650
1777988121.329177,1,15651
1777988121.329183,1,15652
1777988121.329191,1,15653
1777988121.329197,1,15654
1777988121.329204,1,15655
1777988121.329210,1,15656
1777988121.329225,1,15657
1777988121.329231,1,15658
1777988121.329237,1,15659
1777988121.329245,1,15660
1777988121.329251,1,15661
1777988121.329257,1,15662
1777988121.329264,1,15663
1777988121.329270,1,15664
1777988121.329277,1,15665
1777988121.329283,1,15666
1777988121.329290,1,15667
1777988121.329296,1,15668
1777988121.329303,1,15669
1777988121.329309,1,15670
1777988121.329316,1,15671
1777988121.329325,1,15672
1777988121.329332,1,15673
1777988121.329338,1,15674
1777988121.329344,1,15675
1777988121.329350,1,15676
1777988121.329356,1,15677
1777988121.329362,1,15678
1777988121.329369,1,15679
1777988121.329375,1,15680
1777988121.329382,1,15681
1777988121.329388,1,15682
1777988121.329394,1,15683
1777988121.329401,1,15684
1777988121.329407,1,15685
1777988121.331053,2,26397
1777988121.331168,2,26398
1777988121.331184,2,26399
1777988121.331198,2,26400
1777988121.331210,2,26401
1777988121.331223,2,26402
1777988121.331234,2,26403
1777988121.331249,2,26404
1777988121.331261,2,26405
1777988121.331274,2,26406
1777988121.331286,2,26407
1777988121.331298,2,26408
1777988121.331310,2,26409
1777988121.331321,2,26410
1777988121.331333,2,26411
1777988121.331345,2,26412
1777988121.331357,2,26413
1777988121.331372,2,26414
1777988121.331383,2,26415
1777988121.331395,2,26416
1777988121.331407,2,26417
1777988121.331418,2,26418
1777988121.331431,2,26419
1777988121.331442,2,26420
1777988121.331455,2,26421
1777988121.331467,2,26422
1777988121.331479,2,26423
1777988121.331490,2,26424
1777988121.331502,2,26425
1777988121.331513,2,26426
1777988121.331524,2,26427
1777988121.331538,2,26428
1777988121.331550,2,26429
1777988121.331562,2,26430
1777988121.331573,2,26431
1777988121.331585,2,26432
1777988121.331597,2,26433
1777988121.331608,2,26434
1777988121.331619,2,26435
1777988121.331633,2,26436
1777988121.331645,2,26437
1777988121.331656,2,26438
1777988121.331667,2,26439
1777988121.331679,2,26440
1777988121.331692,2,26441
1777988121.331703,2,26442
1777988121.331715,2,26443
1777988121.331726,2,26444
1777988121.331738,2,26445
1777988121.331751,2,26446
1777988121.331763,2,26447
1777988121.331774,2,26448
1777988121.331786,2,26449
1777988121.331797,2,26450
1777988121.331809,2,26451
1777988121.331820,2,26452
1777988121.331832,2,26453
1777988121.331844,2,26454
1777988121.331855,2,26455
1777988121.331867,2,26456
1777988121.331878,2,26457
1777988121.331890,2,26458
1777988121.331901,2,26459
1777988121.331913,2,26460
1777988121.331930,2,26461
1777988121.331944,2,26462
1777988121.346534,0,260
1777988121.346569,0,261
1777988121.346595,0,262
1777988121.346619,0,263
1777988121.346643,0,264
1777988121.346667,0,265
1777988121.346690,0,266
1777988121.346713,0,267
1777988121.346737,0,268
1777988121.346760,0,269
1777988121.346783,0,270
1777988121.346806,0,271
1777988121.346829,0,272
1777988121.346853,0,273
1777988121.346876,0,274
1777988121.346898,0,275
1777988121.346933,0,276
1777988121.346958,0,277
1777988121.346982,0,278
1777988121.347006,0,279
1777988121.347029,0,280
1777988121.347052,0,281
1777988121.347074,0,282
1777988121.347088,0,283
1777988121.347103,0,284
1777988121.347121,0,285
1777988121.347143,0,286
1777988121.347166,0,287
1777988121.347189,0,288
1777988121.347212,0,289
1777988121.347234,0,290
1777988121.347257,0,291
1777988121.347279,0,292
1777988121.347302,0,293
1777988121.347325,0,294
1777988121.347347,0,295
1777988121.347370,0,296
1777988121.347392,0,297
1777988121.347415,0,298
1777988121.347437,0,299
1777988121.347459,0,300
1777988121.347482,0,301
1777988121.347505,0,302
1777988121.347527,0,303
1777988121.347546,0,304
1777988121.347561,0,305
1777988121.347576,0,306
1777988121.347590,0,307
1777988121.347605,0,308
1777988121.347620,0,309
1777988121.347634,0,310
1777988121.347649,0,311
1777988121.347667,0,312
1777988121.347682,0,313
1777988121.347696,0,314
1777988121.347711,0,315
1777988121.347726,0,316
1777988121.347741,0,317
1777988121.347755,0,318
1777988121.347769,0,319
1777988121.347784,0,320
1777988121.347799,0,321
1777988121.347813,0,322
1777988121.347827,0,323
1777988121.347842,0,324
1777988121.347856,0,325
1777988121.347871,0,326
1777988121.347886,0,327
1777988121.351637,1,15686
1777988121.351646,1,15687
1777988121.351652,1,15688
1777988121.351658,1,15689
1777988121.351664,1,15690
1777988121.351670,1,15691
1777988121.351677,1,15692
1777988121.351683,1,15693
1777988121.351688,1,15694
1777988121.351694,1,15695
1777988121.351700,1,15696
1777988121.356809,2,26463
1777988121.356825,2,26464
1777988121.356838,2,26465
1777988121.356851,2,26466
1777988121.356863,2,26467
1777988121.356875,2,26468
1777988121.356887,2,26469
1777988121.356899,2,26470
1777988121.356911,2,26471
1777988121.356930,2,26472
1777988121.356945,2,26473
1777988121.356960,2,26474
1777988121.375614,0,328
1777988121.375637,0,329
1777988121.375654,0,330
1777988121.375670,0,331
1777988121.375685,0,332
1777988121.375700,0,333
1777988121.375715,0,334
1777988121.375730,0,335
1777988121.375745,0,336
1777988121.375760,0,337
1777988121.393411,1,15697
1777988121.393426,1,15698
1777988121.393434,1,15699
1777988121.393442,1,15700
1777988121.393450,1,15701
1777988121.393458,1,15702
1777988121.393465,1,15703
1777988121.393473,1,15704
1777988121.393481,1,15705
1777988121.397435,2,26475
1777988121.397450,2,26476
1777988121.397463,2,26477
1777988121.397475,2,26478
1777988121.397488,2,26479
1777988121.397500,2,26480
1777988121.397512,2,26481
1777988121.397524,2,26482
1777988121.397537,2,26483
1777988121.397550,2,26484
1777988121.416143,0,338
1777988121.416178,0,339
1777988121.416203,0,340
1777988121.416228,0,341
1777988121.416252,0,342
1777988121.416276,0,343
1777988121.416301,0,344
1777988121.424690,1,15706
1777988121.424698,1,15707
1777988121.424704,1,15708
1777988121.424710,1,15709
1777988121.424716,1,15710
1777988121.424722,1,15711
1777988121.424727,1,15712
1777988121.424733,1,15713
1777988121.424739,1,15714
1777988121.424744,1,15715
1777988121.424750,1,15716
1777988121.427839,2,26485
1777988121.427857,2,26486
1777988121.427873,2,26487
1777988121.427887,2,26488
1777988121.427899,2,26489
1777988121.427911,2,26490
1777988121.427927,2,26491
1777988121.427940,2,26492
1777988121.427952,2,26493
1777988121.456764,0,345
1777988121.456782,0,346
1777988121.456797,0,347
1777988121.456810,0,348
1777988121.456823,0,349
1777988121.456835,0,350
1777988121.469341,1,15717
1777988121.469352,1,15718
1777988121.469358,1,15719
1777988121.469364,1,15720
1777988121.469371,1,15721
1777988121.469377,1,15722
1777988121.469383,1,15723
1777988121.469388,1,15724
1777988121.469394,1,15725
1777988121.469400,1,15726
1777988121.469406,1,15727
1777988121.470821,2,26494
1777988121.470841,2,26495
1777988121.470855,2,26496
1777988121.470869,2,26497
1777988121.470882,2,26498
1777988121.470895,2,26499
1777988121.470907,2,26500
1777988121.470925,2,26501
1777988121.470941,2,26502
1777988121.486901,0,351
1777988121.486925,0,352
1777988121.486940,0,353
1777988121.486954,0,354
1777988121.486966,0,355
1777988121.486979,0,356
1777988121.511578,1,15728
1777988121.511615,1,15729
1777988121.511630,1,15730
1777988121.511642,1,15731
1777988121.511655,1,15732
1777988121.511666,1,15733
1777988121.511677,1,15734
1777988121.511689,1,15735
1777988121.511701,1,15736
1777988121.511712,1,15737
1777988121.513500,2,26503
