wall_time,cam,rtp_seq,rtsp_unwrap_ms,depay_ms,pay_ms,udpsink_ms,total_sender_ms
15:04:05.691,0,8273,0.017,0.135,0.039,0.020,0.231
15:04:05.731,1,10790,0.010,0.159,0.020,0.008,0.209
15:04:05.755,2,24192,0.030,0.108,0.028,0.014,0.198
15:04:06.725,0,8731,0.051,0.239,0.046,0.026,0.399
15:04:07.718,0,9086,0.013,0.050,0.019,0.010,0.106
15:04:07.758,1,11585,0.009,0.099,0.015,0.008,0.140
15:04:07.761,2,24839,0.009,0.108,0.013,0.006,0.145
15:04:08.715,0,9419,0.019,0.052,0.026,0.014,0.134
15:04:09.714,0,9746,0.021,0.051,0.020,0.010,0.115
15:04:09.723,1,12271,0.011,0.040,0.012,0.006,0.077
15:04:09.750,2,25546,0.007,0.048,0.014,0.006,0.084
15:04:10.720,0,10097,0.012,0.056,0.019,0.010,0.117
15:04:11.718,0,10443,0.053,0.064,0.062,0.053,0.293
15:04:11.732,1,12924,0.008,0.063,0.013,0.007,0.101
15:04:11.759,2,26208,0.008,0.058,0.012,0.006,0.092
15:04:12.726,0,10827,0.009,0.065,0.015,0.007,0.105
15:04:13.733,0,11241,0.007,0.059,0.051,0.011,0.138
15:04:13.751,1,13652,0.009,0.060,0.012,0.007,0.096
15:04:13.767,2,26932,0.022,20.544,0.012,0.007,20.596
15:04:14.734,0,11636,0.008,0.052,0.011,0.006,0.085
15:04:15.730,0,12027,0.013,0.077,0.022,0.011,0.137
15:04:15.753,1,14401,0.014,0.118,0.021,0.011,0.177
15:04:15.764,2,27659,0.008,0.048,0.012,0.007,0.083
15:04:16.715,0,12365,0.010,0.030,0.014,0.007,0.070
15:04:17.726,0,12713,0.007,0.053,0.012,0.006,0.085
15:04:17.744,1,15150,0.009,0.085,0.020,0.010,0.134
15:04:17.768,2,28400,0.009,0.064,0.015,0.007,0.104
15:04:18.729,0,13100,0.010,0.039,0.012,0.006,0.075
15:04:19.725,0,13477,0.015,0.074,0.016,0.008,0.126
15:04:19.748,1,15889,0.008,0.131,0.012,0.007,0.168
15:04:19.767,2,29163,0.007,0.082,0.014,0.007,0.119
15:04:20.721,0,13855,0.013,0.049,0.017,0.009,0.099
15:04:21.725,0,14232,0.018,0.063,0.027,0.015,0.140
15:04:21.753,1,16640,0.020,0.107,0.015,0.007,0.160
15:04:21.771,2,29929,0.119,0.163,0.076,0.022,0.406
15:04:22.725,0,14597,0.016,0.072,0.023,0.013,0.142
15:04:23.717,0,14964,0.009,0.037,0.015,0.008,0.079
15:04:23.751,1,17377,0.007,0.054,0.012,0.007,0.088
15:04:23.778,2,30681,0.012,0.061,0.016,0.010,0.110
15:04:24.717,0,15298,0.014,0.047,0.020,0.012,0.104
15:04:25.729,0,15668,0.011,0.034,0.013,0.008,0.074
15:04:25.746,1,18118,0.007,0.062,0.012,0.006,0.095
15:04:25.778,2,31422,0.007,0.049,0.011,0.006,0.081
15:04:26.734,0,16051,0.008,0.039,0.012,0.006,0.073
15:04:27.732,0,16453,0.008,0.066,0.012,0.006,0.101
15:04:27.773,2,32180,0.018,0.147,0.066,0.019,0.277
15:04:27.776,1,18870,0.008,0.214,0.016,0.007,0.256
15:04:28.741,0,16854,0.007,0.066,0.013,0.006,0.098
15:04:29.724,0,17225,0.010,0.041,0.015,0.009,0.193
