wall_time,cam,rtp_seq,pay_ms,udpsink_ms,total_ms
18:41:02.228,0,6591,0.118,0.079,0.391
18:41:02.260,2,5583,0.074,0.121,0.265
18:41:02.288,1,23760,0.111,0.194,0.383
18:41:03.268,0,6981,0.039,0.181,0.284
18:41:04.269,0,7298,0.036,0.135,0.208
18:41:04.283,1,24448,0.035,0.031,0.104
18:41:04.294,2,6368,0.038,0.124,0.197
18:41:05.274,0,7648,0.035,0.037,0.133
18:41:06.284,0,8025,0.033,0.032,0.128
18:41:06.297,1,25158,0.083,0.052,0.174
18:41:06.297,2,7066,0.034,0.101,0.175
18:41:07.272,0,8399,0.062,0.035,0.264
18:41:08.280,0,8774,0.079,0.147,0.366
18:41:08.282,1,25885,0.086,0.045,0.275
18:41:08.293,2,7793,0.037,0.037,0.201
18:41:09.268,0,9137,0.038,0.020,0.104
18:41:10.268,0,9507,0.064,0.063,0.270
18:41:10.293,1,26623,0.032,0.042,0.142
18:41:10.295,2,8519,0.038,0.062,0.139
18:41:11.279,0,9878,0.038,0.063,0.139
18:41:12.278,0,10247,0.025,0.033,0.086
18:41:12.295,2,9255,0.045,0.045,0.143
18:41:12.302,1,27372,0.046,0.169,0.258
18:41:13.276,0,10630,0.027,0.152,0.200
18:41:14.287,0,11008,0.061,0.138,0.249
18:41:14.293,2,9992,0.037,0.031,0.106
18:41:14.303,1,28118,0.042,0.051,0.139
18:41:15.282,0,11380,0.052,0.041,0.141
18:41:16.284,0,11753,0.077,0.051,0.280
18:41:16.293,1,28874,0.040,0.040,0.159
18:41:16.304,2,10730,0.029,0.070,0.157
18:41:17.274,0,12124,0.034,0.040,0.117
18:41:18.280,0,12496,0.038,0.040,0.241
18:41:18.291,2,11481,0.031,0.181,0.248
18:41:18.308,1,29627,0.036,0.132,0.214
18:41:19.283,0,12869,0.038,0.021,0.255
18:41:20.275,0,13244,0.051,0.049,0.139
18:41:20.293,2,12217,0.033,0.189,0.294
18:41:20.308,1,30400,0.046,0.031,0.107
18:41:21.266,0,13611,0.034,0.041,0.117
18:41:22.271,0,13966,0.014,0.028,0.068
18:41:22.292,2,12913,0.025,0.018,0.083
18:41:22.306,1,31159,0.046,0.023,0.113
18:41:23.283,0,14332,0.026,0.029,0.089
18:41:24.289,0,14713,0.064,0.073,0.200
18:41:24.302,2,13648,0.048,0.057,0.313
18:41:24.306,1,31910,0.200,0.058,0.449
18:41:25.287,0,15095,0.040,0.023,0.179
18:41:26.290,0,15475,0.033,0.024,0.095
18:41:26.295,1,32658,0.037,0.052,0.163
18:41:26.305,2,14412,0.064,0.034,0.173
18:41:27.289,0,15851,0.049,0.055,0.157
18:41:28.292,0,16225,0.048,0.042,0.258
18:41:28.303,2,15173,0.033,0.065,0.135
18:41:28.310,1,33411,0.025,0.022,0.073
18:41:29.290,0,16600,0.042,0.038,0.158
18:41:30.291,0,16974,0.037,0.022,0.104
18:41:30.302,2,15929,0.035,0.031,0.130
18:41:30.309,1,34159,0.038,0.021,0.091
18:41:31.294,0,17347,0.024,0.039,0.087
18:41:32.292,0,17728,0.032,0.037,0.108
18:41:32.303,2,16678,0.036,0.025,0.099
18:41:32.310,1,34903,0.024,0.033,0.084
18:41:33.281,0,18098,0.035,0.063,0.136
18:41:34.289,0,18469,0.031,0.056,0.139
18:41:34.301,2,17434,0.038,0.150,0.226
18:41:34.302,1,35635,0.034,0.027,0.089
18:41:35.293,0,18837,0.032,0.047,0.118
18:41:36.282,0,19216,0.039,0.045,0.174
18:41:36.314,2,18172,0.035,0.133,0.214
18:41:37.296,0,19588,0.049,0.231,0.329
18:41:38.292,0,19959,0.042,0.144,0.248
18:41:38.303,2,18910,0.032,0.021,0.078
18:41:39.288,0,20327,0.079,0.042,0.259
