wall_time,cam,rtp_seq,pipeline_ms
12:57:38.713,2,9643,1.428
12:57:38.720,0,32819,1.953
12:57:38.727,1,24251,2.053
12:57:38.730,2,9656,0.314
12:57:38.742,0,32828,0.265
12:57:38.753,1,24263,7.145
12:57:38.773,2,9670,0.357
12:57:38.777,1,24277,0.169
12:57:38.783,0,32842,0.305
12:57:38.805,2,9683,0.624
12:57:38.818,1,24291,0.167
12:57:38.824,0,32853,0.655
12:57:38.849,2,9694,0.463
12:57:38.857,0,32864,0.460
12:57:38.859,1,24304,0.146
12:57:38.890,2,9706,0.452
12:57:38.891,1,24317,0.329
12:57:38.898,0,32874,0.318
12:57:38.933,2,9719,0.740
12:57:38.936,1,24330,0.159
12:57:38.939,0,32884,0.535
12:57:38.964,2,9731,0.302
12:57:38.977,1,24341,0.150
12:57:38.980,0,32894,0.306
12:57:39.008,2,9743,0.564
12:57:39.012,0,32904,0.299
12:57:39.020,1,24354,0.145
12:57:39.051,1,24366,0.227
12:57:39.051,2,9754,1.277
12:57:39.057,0,32914,0.384
12:57:39.091,2,9766,0.469
12:57:39.096,1,24378,0.139
12:57:39.098,0,32923,0.282
12:57:39.133,2,9778,0.631
12:57:39.138,1,24390,0.206
12:57:39.141,0,32933,0.381
12:57:39.164,2,9790,0.520
12:57:39.172,0,32943,0.236
12:57:39.180,1,24402,0.367
12:57:39.210,2,9802,1.075
12:57:39.215,1,24415,0.544
12:57:39.217,0,32953,0.315
12:57:39.251,2,9814,1.223
12:57:39.257,1,24426,0.438
12:57:39.259,0,32963,0.321
12:57:39.293,2,9826,0.830
12:57:39.298,1,24438,0.278
12:57:39.301,0,32973,0.407
12:57:39.324,2,9838,0.662
12:57:39.333,0,32983,0.528
12:57:39.340,1,24451,0.386
12:57:39.366,2,9850,0.973
12:57:39.371,1,24463,0.279
12:57:39.378,0,32993,0.317
12:57:39.410,2,9862,0.621
12:57:39.418,1,24475,0.624
12:57:39.419,0,33003,0.466
12:57:39.452,2,9873,0.372
12:57:39.458,1,24486,0.413
12:57:39.461,0,33013,0.502
12:57:39.493,0,33023,0.474
12:57:39.493,2,9884,0.646
12:57:39.500,1,24496,0.322
12:57:39.528,2,9897,0.352
12:57:39.531,1,24508,0.245
12:57:39.536,0,33033,0.356
12:57:39.568,2,9908,0.529
12:57:39.576,1,24521,0.335
12:57:39.579,0,33043,0.584
12:57:39.610,2,9919,0.497
12:57:39.618,1,24533,0.315
12:57:39.621,0,33053,0.415
12:57:39.653,0,33063,0.685
12:57:39.654,2,9932,1.286
12:57:39.660,1,24546,0.331
12:57:39.685,2,9944,0.731
12:57:39.692,1,24559,0.383
12:57:39.724,0,33151,2.346
12:57:39.729,2,9957,1.078
12:57:39.737,1,24570,0.266
12:57:39.742,0,33163,0.457
12:57:39.771,2,9969,0.585
12:57:39.778,1,24583,0.269
12:57:39.783,0,33175,0.592
12:57:39.814,2,9981,0.584
12:57:39.817,0,33187,0.502
12:57:39.820,1,24596,0.210
12:57:39.844,2,9993,0.150
12:57:39.851,1,24607,0.182
12:57:39.859,0,33199,0.810
12:57:39.888,2,10005,0.173
12:57:39.897,1,24620,0.199
12:57:39.900,0,33209,0.844
12:57:39.930,2,10017,0.138
12:57:39.938,1,24632,0.163
12:57:39.941,0,33220,0.735
12:57:39.973,0,33231,0.543
12:57:39.973,2,10029,0.146
12:57:39.980,1,24644,0.198
12:57:40.004,2,10041,0.256
12:57:40.012,1,24655,0.611
12:57:40.017,0,33242,0.606
12:57:40.049,2,10053,0.168
12:57:40.057,1,24667,0.328
12:57:40.059,0,33252,0.574
12:57:40.091,2,10065,0.191
12:57:40.098,1,24680,0.385
12:57:40.101,0,33263,0.590
12:57:40.133,2,10077,0.208
12:57:40.134,0,33274,0.879
12:57:40.140,1,24692,0.241
12:57:40.164,2,10089,0.150
12:57:40.172,1,24704,0.457
12:57:40.178,0,33285,0.465
12:57:40.208,2,10099,0.229
12:57:40.218,1,24717,0.425
12:57:40.219,0,33294,0.447
12:57:40.251,2,10111,0.283
12:57:40.258,1,24730,0.191
12:57:40.261,0,33305,0.593
12:57:40.293,0,33316,0.657
12:57:40.293,2,10123,0.211
12:57:40.300,1,24743,0.168
12:57:40.325,2,10135,0.262
12:57:40.335,1,24756,0.378
12:57:40.337,0,33327,0.456
12:57:40.369,2,10146,0.319
12:57:40.377,1,24768,0.294
12:57:40.379,0,33338,0.342
12:57:40.411,2,10158,0.327
12:57:40.417,1,24780,0.318
12:57:40.420,0,33349,0.278
12:57:40.453,2,10170,0.268
12:57:40.459,1,24792,0.365
12:57:40.461,0,33360,0.268
12:57:40.484,2,10182,0.322
12:57:40.491,1,24805,0.507
12:57:40.493,0,33371,0.296
12:57:40.530,2,10195,0.929
12:57:40.537,1,24816,0.474
12:57:40.538,0,33382,0.323
12:57:40.571,2,10207,0.628
12:57:40.578,1,24828,0.529
12:57:40.579,0,33393,0.306
12:57:40.613,2,10220,0.581
12:57:40.619,1,24841,0.258
12:57:40.621,0,33404,0.272
12:57:40.644,2,10232,0.157
12:57:40.653,0,33414,0.297
12:57:40.660,1,24854,0.219
12:57:40.715,2,10320,1.059
12:57:40.717,0,33491,1.111
