wall_time,cam_index,latency_ms
18:33:18.677,2,0.4344
18:33:18.678,2,0.8830
18:33:18.693,1,0.1019
18:33:18.693,1,0.3888
18:33:18.695,0,0.1199
18:33:18.695,0,0.2681
18:33:19.697,0,0.1664
18:33:19.697,0,0.4217
18:33:20.700,0,0.0616
18:33:20.700,0,0.2440
18:33:20.700,1,0.1364
18:33:20.700,1,0.2495
18:33:20.704,2,0.0706
18:33:20.704,2,0.1583
18:33:21.682,0,0.0559
18:33:21.682,0,0.2916
18:33:22.686,1,0.0767
18:33:22.687,1,0.3570
18:33:22.687,2,0.0785
18:33:22.687,2,0.2637
18:33:22.697,0,0.0654
18:33:22.697,0,0.2636
18:33:23.691,0,0.0768
18:33:23.692,0,0.3710
18:33:24.684,1,0.0934
18:33:24.684,1,0.4496
18:33:24.685,2,0.0994
18:33:24.686,2,0.4538
18:33:24.688,0,0.0531
18:33:24.688,0,0.2230
18:33:25.690,0,0.0680
18:33:25.690,0,0.3559
18:33:26.689,1,0.0863
18:33:26.690,1,0.4248
18:33:26.691,0,0.0811
18:33:26.691,0,0.2748
18:33:26.698,2,0.0810
18:33:26.698,2,0.2062
18:33:27.682,0,0.0523
18:33:27.682,0,0.2742
18:33:28.680,2,0.0978
18:33:28.680,2,0.3811
18:33:28.688,1,0.1383
18:33:28.688,1,0.3840
18:33:28.691,0,0.0906
18:33:28.692,0,0.3469
18:33:29.688,0,0.0612
18:33:29.689,0,0.3028
18:33:30.691,0,0.0537
18:33:30.691,0,0.2489
18:33:30.695,1,0.0702
18:33:30.696,1,0.3174
18:33:30.697,2,0.1183
18:33:30.697,2,0.3044
18:33:31.690,0,0.0566
18:33:31.690,0,0.2953
18:33:32.691,0,0.0674
18:33:32.691,0,0.3111
18:33:32.692,1,0.0734
18:33:32.692,1,0.2612
18:33:32.697,2,0.0995
18:33:32.697,2,0.2937
18:33:33.689,0,0.0627
18:33:33.690,0,0.3115
18:33:34.695,0,0.0986
18:33:34.695,0,0.4821
18:33:34.697,2,0.0647
18:33:34.697,2,0.2153
18:33:34.702,1,0.0592
18:33:34.703,1,0.1981
18:33:35.691,0,0.0638
18:33:35.691,0,0.2940
18:33:36.691,1,0.0871
18:33:36.691,1,0.3982
18:33:36.693,0,0.0450
18:33:36.694,0,0.2506
18:33:36.701,2,0.2422
18:33:36.701,2,0.4774
18:33:37.690,0,0.0650
18:33:37.690,0,0.3085
18:33:38.688,2,0.0852
18:33:38.689,2,0.3644
18:33:38.692,0,0.0675
18:33:38.692,0,0.2545
18:33:38.694,1,0.0814
18:33:38.694,1,0.2371
18:33:39.695,0,0.0794
18:33:39.696,0,0.3737
18:33:40.694,0,0.0600
18:33:40.694,0,0.3720
18:33:40.698,1,0.0605
18:33:40.698,1,0.1851
18:33:40.702,2,0.0574
18:33:40.702,2,0.1525
18:33:41.695,0,0.0787
18:33:41.695,0,0.3824
18:33:42.691,0,0.0935
18:33:42.692,0,0.4630
18:33:42.692,2,0.1430
18:33:42.692,2,0.5035
18:33:42.697,1,0.1931
18:33:42.698,1,0.5467
18:33:43.698,0,0.0701
18:33:43.698,0,0.3303
18:33:44.689,2,0.1061
18:33:44.690,0,0.1411
18:33:44.690,2,1.3696
18:33:44.691,0,1.0854
18:33:44.703,1,0.0735
18:33:44.703,1,0.2337
18:33:45.691,0,0.1243
18:33:45.691,0,0.4389
18:33:46.696,0,0.0416
18:33:46.697,0,0.2559
18:33:46.699,1,0.0544
18:33:46.699,2,0.0800
18:33:46.699,1,0.2485
18:33:46.699,2,0.1897
18:33:47.690,0,0.0584
18:33:47.690,0,0.2937
18:33:48.699,2,0.1045
18:33:48.700,0,0.0736
18:33:48.701,1,0.0507
18:33:48.705,2,5.4015
18:33:48.705,0,5.2999
18:33:48.705,1,4.4487
18:33:49.690,0,0.0649
18:33:49.690,0,0.2991
18:33:50.695,1,0.0907
18:33:50.695,1,0.3522
18:33:50.696,0,0.0582
18:33:50.696,0,0.2501
18:33:50.700,2,0.0815
18:33:50.700,2,0.2127
18:33:51.697,0,0.0662
18:33:51.697,0,0.3054
18:33:52.691,2,0.1094
18:33:52.691,2,0.4173
18:33:52.694,0,0.0565
18:33:52.694,0,0.2294
18:33:52.701,1,0.1162
18:33:52.701,1,0.3436
18:33:53.690,0,0.0655
18:33:53.690,0,0.3019
18:33:54.692,2,0.0862
18:33:54.692,2,0.3844
18:33:54.695,1,0.0550
18:33:54.695,1,0.2334
18:33:54.698,0,0.0563
18:33:54.698,0,0.2311
18:33:55.693,0,0.0791
18:33:55.693,0,0.3739
18:33:56.695,0,0.0649
18:33:56.695,0,0.3377
18:33:56.698,2,0.1013
18:33:56.699,2,0.3217
18:33:56.702,1,0.1332
18:33:56.702,1,0.3834
18:33:57.702,0,0.0890
18:33:57.702,0,0.3844
18:33:58.696,2,0.1094
18:33:58.696,2,0.4042
18:33:58.699,0,0.0883
18:33:58.699,0,0.2997
18:33:58.709,1,0.0845
18:33:58.709,1,0.2582
18:33:59.707,0,0.0899
18:33:59.712,0,5.5589
18:34:00.696,2,0.1004
18:34:00.696,2,0.3944
18:34:00.697,0,0.0753
18:34:00.697,0,0.2886
18:34:01.696,0,0.0597
18:34:01.696,0,0.3060
18:34:02.692,0,0.0783
18:34:02.692,0,0.3189
18:34:02.698,2,0.0960
18:34:02.698,2,0.2658
18:34:03.705,0,0.1225
18:34:03.705,0,0.4094
