abs_time,cam,rtp_seq
1777818953.179622,0,29809
1777818953.184030,2,3079
1777818953.186166,1,582
1777818954.183030,0,30131
1777818955.204303,0,30485
1777818955.205129,2,3764
1777818956.178002,0,30868
1777818957.181820,1,2077
1777818957.191545,0,31233
1777818957.206271,2,4491
1777818958.200349,0,31608
1777818959.185598,1,2820
1777818959.208102,0,31986
1777818959.212165,2,5227
1777818960.206804,0,32368
1777818961.183692,1,3560
1777818961.207823,0,32748
1777818961.213563,2,5974
1777818962.199200,0,33138
1777818963.167956,1,4286
1777818963.170127,0,33495
1777818963.183083,2,6750
1777818964.181347,0,33830
1777818965.181429,0,34193
1777818966.190624,0,34559
1777818967.171004,1,5705
1777818967.179121,0,34927
1777818967.184589,2,8193
1777818968.188483,0,35288
1777818969.179023,1,6452
1777818969.209012,0,35670
1777818969.213326,2,8918
1777818970.208592,0,36058
1777818971.182728,1,7220
1777818971.207686,0,36444
1777818971.210088,2,9660
1777818972.189788,0,36823
1777818973.168194,1,7934
1777818973.191908,0,37179
1777818973.194585,2,10421
1777818974.191009,0,37538
1777818975.180074,1,8688
1777818975.207646,0,37915
1777818975.212801,2,11149
1777818976.203326,0,38300
1777818977.177058,1,9428
1777818977.200855,0,38684
1777818977.208021,2,11902
1777818978.213561,0,39064
1777818979.176028,1,10173
1777818979.192269,0,39447
1777818979.194507,2,12670
1777818980.195476,0,39780
1777818981.186237,1,10934
1777818981.203019,2,13397
1777818981.212106,0,40159
1777818982.220238,0,40543
1777818983.193108,1,11683
1777818983.205461,2,14133
1777818983.218766,0,40926
1777818984.212647,0,41308
1777818985.191944,1,12449
1777818985.204156,0,41686
1777818985.214806,2,14885
1777818986.218211,0,42056
1777818987.179882,1,13211
1777818987.191149,0,42446
1777818987.198931,2,15648
1777818988.197546,0,42774
1777818989.174625,1,13907
1777818989.199491,0,43132
1777818989.200657,2,16366
1777818990.208683,0,43512
1777818991.180861,1,14633
1777818991.186257,0,43896
1777818991.194987,2,17108
1777818992.202799,0,44245
