abs_time,cam_index,rtp_seq
1777893052.994937,2,22133
1777893052.994971,2,22134
1777893052.994987,2,22135
1777893052.995002,2,22136
1777893052.995015,2,22137
1777893052.995030,2,22138
1777893052.995044,2,22139
1777893052.995059,2,22140
1777893052.995076,2,22141
1777893052.995090,2,22142
1777893052.995104,2,22143
1777893052.995116,2,22144
1777893052.995130,2,22145
1777893052.995143,2,22146
1777893052.995156,2,22147
1777893052.995168,2,22148
1777893052.995182,2,22149
1777893052.995195,2,22150
1777893052.995208,2,22151
1777893052.995220,2,22152
1777893052.995233,2,22153
1777893052.995248,2,22154
1777893052.995261,2,22155
1777893052.995274,2,22156
1777893052.995287,2,22157
1777893052.995301,2,22158
1777893052.995313,2,22159
1777893052.995325,2,22160
1777893052.995337,2,22161
1777893052.995350,2,22162
1777893052.995363,2,22163
1777893052.995374,2,22164
1777893052.995387,2,22165
1777893052.995399,2,22166
1777893052.995411,2,22167
1777893052.995423,2,22168
1777893052.995439,2,22169
1777893052.995454,2,22170
1777893052.995466,2,22171
1777893052.995480,2,22172
1777893052.995493,2,22173
1777893052.995505,2,22174
1777893052.995518,2,22175
1777893052.995530,2,22176
1777893052.995542,2,22177
1777893052.995558,2,22178
1777893052.995570,2,22179
1777893052.995585,2,22180
1777893052.995598,2,22181
1777893052.995611,2,22182
1777893052.995623,2,22183
1777893052.995639,2,22184
1777893052.995654,2,22185
1777893052.995667,2,22186
1777893052.995679,2,22187
1777893052.995700,2,22188
1777893052.995715,2,22189
1777893052.995728,2,22190
1777893052.995742,2,22191
1777893052.995755,2,22192
1777893052.995767,2,22193
1777893052.995779,2,22194
1777893052.995792,2,22195
1777893052.995804,2,22196
1777893052.995816,2,22197
1777893052.995829,2,22198
1777893052.995841,2,22199
1777893052.995857,2,22200
1777893052.995872,2,22201
1777893052.995884,2,22202
1777893052.995897,2,22203
1777893052.995909,2,22204
1777893052.995922,2,22205
1777893052.995934,2,22206
1777893052.995945,2,22207
1777893052.995958,2,22208
1777893052.995970,2,22209
1777893052.995983,2,22210
1777893052.995995,2,22211
1777893052.996007,2,22212
1777893052.996020,2,22213
1777893053.033619,2,22214
1777893053.033647,2,22215
1777893053.033664,2,22216
1777893053.033687,2,22217
1777893053.033709,2,22218
1777893053.033726,2,22219
1777893053.033743,2,22220
1777893053.033764,2,22221
1777893053.033778,2,22222
1777893053.033792,2,22223
1777893053.033805,2,22224
1777893053.033818,2,22225
1777893053.033833,2,22226
1777893053.033846,2,22227
1777893053.033859,2,22228
1777893053.033872,2,22229
1777893053.033886,2,22230
1777893053.033899,2,22231
1777893053.033912,2,22232
1777893053.033926,2,22233
1777893053.033939,2,22234
1777893053.033952,2,22235
1777893053.033966,2,22236
1777893053.033979,2,22237
1777893053.033992,2,22238
1777893053.034005,2,22239
1777893053.034019,2,22240
1777893053.034032,2,22241
1777893053.034045,2,22242
1777893053.034060,2,22243
1777893053.034073,2,22244
1777893053.034086,2,22245
1777893053.034101,2,22246
1777893053.034117,2,22247
1777893053.034136,2,22248
1777893053.034151,2,22249
1777893053.034167,2,22250
1777893053.034182,2,22251
1777893053.034197,2,22252
1777893053.034223,2,22253
1777893053.034240,2,22254
1777893053.034249,2,22255
1777893053.034255,2,22256
1777893053.034261,2,22257
1777893053.034267,2,22258
1777893053.034275,2,22259
1777893053.034281,2,22260
1777893053.034287,2,22261
1777893053.034293,2,22262
1777893053.034299,2,22263
1777893053.034305,2,22264
1777893053.034310,2,22265
1777893053.034317,2,22266
1777893053.034323,2,22267
1777893053.034329,2,22268
1777893053.034334,2,22269
1777893053.034340,2,22270
1777893053.034345,2,22271
1777893053.034351,2,22272
1777893053.034357,2,22273
1777893053.034362,2,22274
1777893053.034368,2,22275
1777893053.034374,2,22276
1777893053.034380,2,22277
1777893053.034385,2,22278
1777893053.034392,2,22279
