abs_time,cam_index,rtp_seq
1776961998.678163,2,31591
1776961998.678429,2,31592
1776961998.693395,1,24946
1776961998.693577,1,24947
1776961998.695875,0,5944
1776961998.695992,0,5945
1776961999.697615,0,6240
1776961999.697752,0,6241
1776962000.700567,0,6580
1776962000.700665,0,6581
1776962000.700806,1,25621
1776962000.700893,1,25622
1776962000.704641,2,32376
1776962000.704712,2,32377
1776962001.682590,0,6929
1776962001.682727,0,6930
1776962002.687045,1,26305
1776962002.687220,1,26306
1776962002.687919,2,33075
1776962002.688141,2,33076
1776962002.697390,0,7233
1776962002.697575,0,7234
1776962003.692126,0,7573
1776962003.692268,0,7574
1776962004.684704,1,26943
1776962004.684922,1,26944
1776962004.686097,2,33776
1776962004.686393,2,33777
1776962004.688337,0,7933
1776962004.688478,0,7934
1776962005.690907,0,8311
1776962005.691056,0,8312
1776962006.689844,1,27687
1776962006.690095,1,27688
1776962006.691603,0,8675
1776962006.691812,0,8676
1776962006.698236,2,34470
1776962006.698334,2,34471
1776962007.682917,0,9052
1776962007.683050,0,9053
1776962008.680529,2,35197
1776962008.680694,2,35198
1776962008.688600,1,28429
1776962008.688800,1,28430
1776962008.692069,0,9422
1776962008.692283,0,9423
1776962009.689131,0,9793
1776962009.689279,0,9794
1776962010.691864,0,10161
1776962010.691984,0,10162
1776962010.695996,1,29171
1776962010.696166,1,29172
1776962010.697690,2,35912
1776962010.697835,2,35913
1776962011.690409,0,10536
1776962011.690557,0,10537
1776962012.691654,0,10905
1776962012.691795,0,10906
1776962012.692834,1,29918
1776962012.692972,1,29919
1776962012.697686,2,36624
1776962012.697845,2,36625
1776962013.689948,0,11279
1776962013.690106,0,11280
1776962014.695544,0,11649
1776962014.695831,0,11650
1776962014.697821,2,37382
1776962014.697950,2,37383
1776962014.702950,1,30662
1776962014.703060,1,30663
1776962015.691871,0,12026
1776962015.692008,0,12027
1776962016.691645,1,31406
1776962016.691862,1,31407
1776962016.694020,0,12395
1776962016.694145,0,12396
1776962016.701298,2,38110
1776962016.701484,2,38111
1776962017.690520,0,12770
1776962017.690663,0,12771
1776962018.688992,2,38865
1776962018.689178,2,38866
1776962018.692430,0,13139
1776962018.692536,0,13140
1776962018.694538,1,32150
1776962018.694651,1,32151
1776962019.696081,0,13512
1776962019.696219,0,13513
1776962020.694584,0,13883
1776962020.694766,0,13884
1776962020.698651,1,32893
1776962020.698743,1,32894
1776962020.702513,2,39610
1776962020.702581,2,39611
1776962021.695275,0,14258
1776962021.695424,0,14259
1776962022.691983,0,14626
1776962022.692371,0,14627
1776962022.692605,2,40375
1776962022.692910,2,40376
1776962022.698020,1,33635
1776962022.698325,1,33636
1776962023.698760,0,15000
1776962023.704170,0,15001
1776962024.690221,2,41120
1776962024.690921,0,15372
1776962024.691051,2,41121
1776962024.691538,0,15373
1776962024.703256,1,34378
1776962024.703381,1,34379
1776962025.691762,0,15743
1776962025.691928,0,15744
1776962026.697067,0,16117
1776962026.697184,0,16118
1776962026.699389,1,35114
1776962026.699460,2,41873
1776962026.699558,1,35115
1776962026.699590,2,41874
1776962027.690769,0,16492
1776962027.690904,0,16493
1776962028.700050,2,42634
1776962028.705128,0,16860
1776962028.705233,1,35862
1776962028.705342,2,42635
1776962028.705510,0,16861
1776962028.705565,1,35863
1776962029.690779,0,17235
1776962029.690920,0,17236
1776962030.695794,1,36600
1776962030.695957,1,36601
1776962030.696536,0,17607
1776962030.696681,0,17608
1776962030.700216,2,43390
1776962030.700318,2,43391
1776962031.697226,0,17979
1776962031.697369,0,17980
1776962032.691445,2,44140
1776962032.691606,2,44141
1776962032.694367,0,18355
1776962032.694509,0,18356
1776962032.701601,1,37345
1776962032.701794,1,37346
1776962033.690713,0,18729
1776962033.690860,0,18730
1776962034.692394,2,44869
1776962034.692600,2,44870
1776962034.695630,1,38088
1776962034.695738,1,38089
1776962034.698108,0,19099
1776962034.698243,0,19100
1776962035.693258,0,19468
1776962035.693408,0,19469
1776962036.695907,0,19841
1776962036.696113,0,19842
1776962036.699052,2,45562
1776962036.699236,2,45563
1776962036.702738,1,38838
1776962036.702953,1,38839
1776962037.702756,0,20215
1776962037.702904,0,20216
1776962038.696212,2,46332
1776962038.696420,2,46333
1776962038.699326,0,20588
1776962038.699537,0,20589
1776962038.709850,1,39581
1776962038.709979,1,39582
1776962039.707598,0,20956
1776962039.712925,0,20957
1776962040.696231,2,47097
1776962040.696490,2,47098
1776962040.697400,0,21335
1776962040.697565,0,21336
1776962041.696451,0,21705
1776962041.696601,0,21706
1776962042.692239,0,22082
1776962042.692387,0,22083
1776962042.698920,2,47856
1776962042.699046,2,47857
1776962043.705223,0,22455
1776962043.705358,0,22456
