cam_index,rtp_seq,transit_ms
0,11340,19.8720
0,11341,20.1111
0,11932,18.3730
0,11933,18.5020
0,12295,18.2970
0,12296,18.4431
0,12673,22.3129
0,12674,22.5899
0,13047,20.8838
0,13048,21.1520
0,13445,22.4240
0,13446,22.5289
0,13802,17.7510
0,13803,17.9789
0,14151,21.9381
0,14152,22.1450
0,14537,20.2541
0,14538,20.5030
0,14914,26.6819
0,14915,22.0520
0,15273,18.6760
0,15274,19.2380
0,15662,17.9181
0,15663,18.0590
0,16028,17.8790
0,16029,18.0628
0,16395,18.0089
0,16396,18.4891
0,16764,17.6680
0,16765,17.9849
0,17142,20.9320
0,17143,21.2262
0,17509,20.9050
0,17510,21.4741
0,17875,23.0389
0,17876,23.5031
0,18251,21.2309
0,18252,21.4210
0,18627,21.7080
0,18628,21.9932
0,19000,20.5040
0,19001,20.5691
0,19367,16.9549
0,19368,17.2501
0,19745,18.0979
0,19746,18.5170
0,20140,17.8850
0,20141,18.0418
0,20563,23.2160
0,20564,23.4370
0,20956,21.4739
0,20957,21.6548
0,21341,39.9449
0,21342,40.1120
0,21720,18.5270
0,21721,19.1059
0,22092,18.1940
0,22093,18.3809
0,22420,20.1540
0,22421,20.3450
0,22745,25.3758
0,22746,25.6860
0,23096,14.7240
0,23097,14.9601
0,23471,19.4721
0,23472,19.7580
0,23846,38.4102
0,23847,38.6670
0,24211,18.3470
0,24212,18.6689
0,24589,17.7970
0,24590,19.0032
0,24961,19.0969
0,24962,19.2950
0,25337,17.7000
0,25338,18.0111
0,25709,15.2409
0,25710,17.8421
0,26101,26.6628
0,26102,27.0002
1,4802,40.4320
1,4803,40.7319
1,5484,23.9542
1,5485,24.6179
1,6204,26.9890
1,6205,27.4370
1,6926,43.1440
1,6927,44.9820
1,7616,40.2300
1,7617,40.5030
1,8370,21.8699
1,8371,22.1860
1,9125,17.8771
1,9126,17.9479
1,9832,44.3070
1,9833,45.1992
1,10600,36.4740
1,10601,37.3309
1,11334,22.7749
1,11335,23.0041
1,12105,31.3721
1,12106,31.4701
1,12828,28.1560
1,12829,28.4150
1,13571,96.1099
1,13572,96.5478
1,14344,66.2100
1,14345,66.9200
1,15099,44.4970
1,15100,44.8291
1,15856,35.6650
1,15857,36.0970
1,16589,37.5051
1,16590,37.8671
1,18049,26.3140
1,18050,26.3660
1,18801,30.9651
1,18802,32.9220
2,29843,38.7468
2,29844,39.7110
2,30548,18.1170
2,30549,18.1770
2,31269,33.7172
2,31270,34.3370
2,31979,26.9461
2,31980,26.9299
2,32717,38.0802
2,32718,38.5060
2,33479,29.7420
2,33480,29.9480
2,34218,26.9430
2,34219,27.2110
2,34958,42.4950
2,34959,37.0100
2,35706,20.1390
2,35707,20.1759
2,36449,22.1598
2,36450,22.1701
2,37196,15.2941
2,37197,29.7620
2,37934,21.1799
2,37935,21.7528
2,38679,67.4529
2,38680,67.9331
2,39430,55.9359
2,39431,56.6552
2,40169,16.7520
2,40170,16.7732
2,40919,26.9630
2,40920,27.0870
2,41656,22.0301
2,41657,22.1078
2,42399,17.7162
2,42400,20.0050
2,43138,18.9159
2,43139,18.5418
2,43881,18.3380
2,43882,18.8720
