wall_time,cam_index,decoder_ms,dropped
12:59:13.813,0,15.1435,0
12:59:27.898,1,22.4294,0
13:00:11.889,2,17.1712,0
13:00:11.890,1,57.4455,1100
13:00:11.893,0,3.2005,1449
13:00:11.898,2,8.9044,0
13:00:11.907,0,2.9517,0
13:00:11.911,1,3.1291,0
13:00:11.912,2,3.4590,0
13:00:11.914,1,2.9318,0
13:00:11.921,0,4.1537,0
13:00:11.921,1,3.4320,0
13:00:11.922,2,4.1708,0
13:00:11.926,2,2.8648,0
13:00:11.927,1,2.9899,0
13:00:11.927,0,3.3327,0
13:00:11.932,0,3.2545,0
13:00:11.933,1,3.8822,0
13:00:11.933,2,4.0129,0
13:00:11.934,0,2.4595,0
13:00:11.941,2,2.9974,0
13:00:11.972,0,2.7102,0
13:00:11.975,1,2.4325,0
13:00:11.985,2,2.9310,0
13:00:12.010,1,3.1272,0
13:00:12.010,0,2.8854,0
13:00:12.045,2,3.2611,0
13:00:12.050,1,3.1814,0
13:00:12.052,0,2.2352,0
13:00:12.057,2,2.4934,0
13:00:12.099,0,2.8620,0
13:00:12.100,1,3.0408,0
13:00:12.102,2,2.8350,0
13:00:12.131,0,3.1450,0
13:00:12.132,1,2.3574,0
13:00:12.165,2,3.3376,0
13:00:12.169,1,3.3316,0
13:00:12.174,0,2.8944,0
13:00:12.186,2,2.4439,0
13:00:12.219,0,2.9458,0
13:00:12.219,1,3.2756,0
13:00:12.222,2,2.5658,0
13:00:12.244,0,2.7454,0
13:00:12.254,1,3.1957,0
13:00:12.272,2,2.9498,0
13:00:12.297,0,2.9751,0
13:00:12.301,1,3.5494,0
13:00:12.311,2,2.9111,0
13:00:12.333,1,2.6797,0
13:00:12.336,0,3.0662,0
13:00:12.346,2,3.1749,0
13:00:12.395,2,2.5964,0
13:00:12.395,1,3.1006,0
13:00:12.395,0,2.9839,0
13:00:12.407,0,2.8292,0
13:00:12.417,1,3.5040,0
13:00:12.427,2,3.2568,0
13:00:12.460,0,2.8267,0
13:00:12.460,1,2.9746,0
13:00:12.462,2,2.4153,0
13:00:12.487,1,2.4026,0
13:00:12.561,0,3.0306,0
13:00:12.562,2,3.0727,0
13:00:12.563,1,3.2984,0
13:00:12.565,0,3.0350,0
13:00:12.567,2,3.5555,0
13:00:12.570,0,3.0189,0
13:00:12.574,1,3.1664,0
13:00:12.585,2,2.3844,0
13:00:12.613,0,2.9482,0
13:00:12.619,1,2.8715,0
13:00:12.626,2,3.1137,0
13:00:12.646,1,2.5635,0
13:00:12.651,0,2.8082,0
13:00:12.672,2,3.1040,0
13:00:12.692,1,2.6488,0
13:00:12.695,0,3.1380,0
13:00:12.699,2,3.1350,0
13:00:12.735,1,2.2982,0
13:00:12.745,2,3.3764,0
13:00:12.801,1,2.4331,0
13:00:12.803,2,3.0412,0
13:00:12.807,1,3.0283,0
13:00:12.810,0,13.9064,0
13:00:12.813,0,2.4490,0
13:00:12.816,0,2.3189,0
13:00:12.844,2,3.2440,0
13:00:12.855,0,3.0497,0
13:00:12.855,1,3.2588,0
13:00:12.859,2,3.3452,0
13:00:12.901,1,2.2790,0
13:00:12.901,0,2.7113,0
13:00:12.905,2,2.8510,0
13:00:12.955,1,2.4374,0
13:00:12.955,0,3.0446,0
13:00:12.958,2,3.0846,0
13:00:12.969,1,3.1812,0
13:00:12.974,0,2.5159,0
13:00:12.990,2,3.3029,0
13:00:13.023,0,2.6149,0
13:00:13.023,1,2.5180,0
13:00:13.028,2,3.2714,0
13:00:13.053,0,2.1154,0
13:00:13.055,1,3.3105,0
13:00:13.077,2,3.2447,0
13:00:13.094,0,2.9938,0
13:00:13.096,1,3.1830,0
13:00:13.106,2,3.0439,0
13:00:13.133,1,3.1301,0
13:00:13.133,0,1.9638,0
13:00:13.147,2,3.0153,0
13:00:13.184,0,2.1962,0
13:00:13.186,1,2.8216,0
13:00:13.186,2,3.4584,0
13:00:13.214,0,2.7813,0
13:00:13.220,1,3.2046,0
13:00:13.236,2,3.0180,0
13:00:13.254,0,2.1149,0
13:00:13.259,1,2.8799,0
13:00:13.267,2,3.0295,0
13:00:13.299,0,2.4613,0
13:00:13.299,1,2.8320,0
13:00:13.306,2,2.6270,0
13:00:13.324,0,1.9490,0
13:00:13.352,1,2.9934,0
13:00:13.353,2,2.7007,0
13:00:13.372,0,2.5829,0
13:00:13.373,1,2.8969,0
13:00:13.386,2,2.2792,0
13:00:13.413,0,2.4491,0
13:00:13.419,1,2.9788,0
13:00:13.428,2,2.8414,0
13:00:13.460,0,1.7777,0
13:00:13.462,1,2.8987,0
13:00:13.471,2,2.4063,0
13:00:13.496,0,2.4573,0
13:00:13.520,2,2.2831,0
13:00:13.521,1,2.8040,0
13:00:13.530,0,2.3930,0
13:00:13.549,1,3.1810,0
13:00:13.555,2,2.4656,0
13:00:13.585,0,1.8207,0
13:00:13.587,2,3.2265,0
13:00:13.587,1,3.3577,0
13:00:13.613,0,1.9938,0
13:00:13.616,1,2.6711,0
13:00:13.639,2,2.6460,0
13:00:13.660,1,2.6896,0
13:00:13.660,0,2.7015,0
13:00:13.660,2,2.6263,0
13:00:13.693,0,1.8957,0
13:00:13.790,1,14.6992,0
13:00:13.858,1,3.0208,0
13:00:13.869,2,14.7572,0
13:00:13.873,2,2.7591,0
13:00:13.880,1,2.8587,0
13:00:13.882,2,3.8400,0
13:00:13.882,1,2.5936,0
13:00:13.885,0,13.2692,0
13:00:13.887,2,3.5679,0
13:00:13.888,0,2.8066,0
13:00:13.888,1,3.4494,0
13:00:13.891,0,2.4050,0
13:00:13.893,0,2.3074,0
13:00:13.899,0,2.1931,0
13:00:13.899,2,2.7595,0
13:00:13.901,1,2.7140,0
13:00:13.902,2,2.7992,0
13:00:13.931,0,2.0016,0
13:00:13.935,1,2.5129,0
13:00:13.953,2,2.2941,0
13:00:13.971,1,3.0170,0
13:00:13.973,0,2.0487,0
13:00:13.984,2,3.0083,0
13:00:14.010,0,1.9262,0
13:00:14.012,1,3.0614,0
13:00:14.025,2,2.2681,0
13:00:14.074,0,2.4830,0
13:00:14.075,1,2.9199,0
13:00:14.075,2,2.1728,0
13:00:14.092,0,1.9657,0
13:00:14.096,1,2.6894,0
13:00:14.102,2,3.0412,0
13:00:14.128,1,2.8595,0
13:00:14.134,0,2.5605,0
13:00:14.146,2,2.9702,0
13:00:14.180,0,2.5418,0
13:00:14.180,1,3.2441,0
13:00:14.190,2,2.9843,0
13:00:14.212,0,2.5237,0
13:00:14.234,1,3.0233,0
13:00:14.235,2,3.1588,0
13:00:14.255,0,2.8347,0
13:00:14.259,1,2.2409,0
13:00:14.265,2,3.1459,0
13:00:14.292,1,2.4332,0
13:00:14.295,0,2.6029,0
13:00:14.307,2,2.4185,0
13:00:14.325,0,1.8613,0
13:00:14.359,1,2.0337,0
13:00:14.373,2,2.6751,0
13:00:14.377,0,2.4690,0
13:00:14.377,1,2.4445,0
13:00:14.384,2,2.6277,0
13:00:14.425,0,2.9377,0
13:00:14.426,1,2.9820,0
13:00:14.426,2,3.0949,0
13:00:14.453,1,3.2787,0
13:00:14.455,0,2.6162,0
13:00:14.492,0,2.5928,0
13:00:14.492,2,2.4143,0
13:00:14.493,1,2.8734,0
13:00:14.509,2,3.1740,0
13:00:14.547,0,2.7505,0
13:00:14.547,1,2.6124,0
13:00:14.547,2,2.6593,0
13:00:14.574,0,2.6462,0
13:00:14.579,1,3.2240,0
13:00:14.586,2,3.3519,0
13:00:14.607,1,3.1283,0
13:00:14.613,0,2.4399,0
13:00:14.625,2,3.0991,0
13:00:14.659,0,2.1961,0
13:00:14.660,1,2.9793,0
13:00:14.670,2,3.1154,0
13:00:14.699,0,2.4104,0
13:00:14.712,1,2.1579,0
13:00:14.713,2,2.8090,0
13:00:14.737,1,2.9691,0
13:00:14.749,2,2.8979,0
13:00:14.796,1,3.1904,0
13:00:14.804,0,11.9800,0
13:00:14.805,2,2.8213,0
13:00:14.807,0,2.4459,0
13:00:14.832,0,3.0567,0
13:00:14.832,1,3.1677,0
13:00:14.832,2,3.3109,0
13:00:14.850,0,3.0715,0
13:00:14.852,1,2.6505,0
13:00:14.862,2,3.3094,0
13:00:14.890,0,2.6495,0
13:00:14.898,1,3.0931,0
13:00:14.903,2,2.9230,0
13:00:14.943,1,2.7751,0
13:00:14.943,0,2.8884,0
13:00:14.948,2,3.2129,0
13:00:14.972,1,2.4309,0
13:00:14.975,0,2.6523,0
13:00:15.001,2,3.2808,0
13:00:15.012,0,2.9546,0
13:00:15.015,1,3.3432,0
13:00:15.019,2,3.4196,0
13:00:15.119,0,2.9063,0
13:00:15.119,1,2.5666,0
13:00:15.121,2,3.5184,0
13:00:15.123,1,2.6693,0
13:00:15.124,0,2.8435,0
13:00:15.125,2,3.2553,0
13:00:15.132,1,3.3972,0
13:00:15.133,0,2.1939,0
13:00:15.147,2,3.0712,0
13:00:15.174,0,2.1467,0
13:00:15.175,1,2.4872,0
13:00:15.181,2,3.1362,0
13:00:15.212,0,2.6949,0
13:00:15.231,1,3.0726,0
13:00:15.232,2,3.0182,0
13:00:15.249,1,3.1726,0
13:00:15.252,0,2.7100,0
13:00:15.270,2,3.2529,0
13:00:15.296,0,1.8929,0
13:00:15.297,1,2.9907,0
13:00:15.307,2,3.2351,0
13:00:15.350,1,3.2293,0
13:00:15.350,0,3.0739,0
13:00:15.351,2,3.1345,0
13:00:15.386,1,2.4344,0
13:00:15.386,0,3.0305,0
13:00:15.403,2,2.4729,0
13:00:15.409,1,3.2104,0
13:00:15.413,0,2.9271,0
13:00:15.424,2,2.9613,0
13:00:15.459,0,2.1817,0
13:00:15.460,1,2.9706,0
13:00:15.470,2,3.1653,0
13:00:15.489,0,2.7787,0
13:00:15.492,1,2.4434,0
13:00:15.519,2,3.0172,0
13:00:15.532,0,2.5840,0
13:00:15.536,1,3.1159,0
13:00:15.548,2,2.9615,0
13:00:15.571,1,2.5426,0
13:00:15.576,0,2.5096,0
13:00:15.587,2,2.8616,0
13:00:15.630,0,2.6497,0
13:00:15.631,1,3.1626,0
13:00:15.631,2,3.0847,0
13:00:15.648,0,2.5594,0
13:00:15.656,1,2.9559,0
13:00:15.657,2,2.3107,0
13:00:15.698,0,2.5438,0
13:00:15.780,1,14.7537,0
13:00:15.789,1,3.3049,0
13:00:15.797,2,12.8128,0
13:00:15.826,2,3.0888,0
13:00:15.847,2,2.3585,0
13:00:15.848,1,3.6426,0
13:00:15.851,0,11.2926,0
13:00:15.852,1,3.3726,0
13:00:15.855,0,2.8852,0
13:00:15.855,2,3.3790,0
13:00:15.858,0,2.2128,0
13:00:15.891,2,2.2111,0
13:00:15.892,0,3.3552,0
13:00:15.892,1,3.3233,0
13:00:15.897,0,2.9390,0
13:00:15.898,1,3.3560,0
13:00:15.903,2,2.8680,0
13:00:15.948,0,2.6443,0
13:00:15.949,1,2.7258,0
13:00:15.949,2,3.0562,0
13:00:15.975,0,2.8356,0
13:00:15.999,1,2.9489,0
13:00:16.069,1,2.4376,0
13:00:16.069,0,3.2743,0
13:00:16.071,2,3.8972,0
13:00:16.073,0,2.8820,0
13:00:16.074,1,3.0964,0
13:00:16.075,2,3.4251,0
13:00:16.094,0,2.6692,0
13:00:16.095,1,2.8481,0
13:00:16.106,2,2.7617,0
13:00:16.134,0,1.8432,0
13:00:16.136,1,3.1612,0
13:00:16.144,2,3.0071,0
13:00:16.180,0,1.9552,0
13:00:16.181,1,3.0381,0
13:00:16.190,2,2.7958,0
13:00:16.210,0,2.5153,0
13:00:16.210,1,2.8389,0
13:00:16.220,2,3.7765,0
13:00:16.252,0,1.9246,0
13:00:16.253,1,3.0352,0
13:00:16.263,2,3.0577,0
13:00:16.299,0,2.2810,0
13:00:16.300,1,3.2437,0
13:00:16.308,2,3.2377,0
13:00:16.334,0,2.4026,0
13:00:16.403,1,3.3219,0
13:00:16.403,0,1.9347,0
13:00:16.404,2,2.8037,0
13:00:16.406,1,2.8521,0
13:00:16.406,2,2.5039,0
13:00:16.413,0,2.1433,0
13:00:16.414,1,2.1972,0
13:00:16.422,2,2.3371,0
13:00:16.459,0,2.4886,0
13:00:16.460,1,3.0084,0
13:00:16.464,2,3.2228,0
13:00:16.525,0,1.8848,0
13:00:16.526,1,2.9699,0
13:00:16.526,2,3.0219,0
13:00:16.530,0,2.6697,0
13:00:16.531,1,3.2103,0
13:00:16.539,2,2.8360,0
13:00:16.576,0,2.1040,0
13:00:16.576,1,2.4066,0
13:00:16.585,2,3.3351,0
13:00:16.634,0,2.6009,0
13:00:16.636,1,2.9717,0
13:00:16.636,2,3.0478,0
13:00:16.653,0,2.5875,0
13:00:16.655,1,2.5854,0
13:00:16.667,2,3.1242,0
13:00:16.695,0,2.0724,0
13:00:16.697,1,3.0956,0
13:00:16.701,2,3.2702,0
13:00:16.744,1,3.1557,0
13:00:16.746,2,2.4434,0
13:00:16.799,0,13.8043,0
