wall_time,cam_index,rtp_seq,depay_ms,dropped
16:24:43.004,0,8659,997.6569,1
16:24:44.014,0,9364,1001.6233,1
16:24:45.949,2,16240,1202.3774,2
16:24:49.234,0,13778,201.5857,4
16:24:50.206,0,14507,99.5882,4
16:24:53.069,2,20543,2386.9809,5
16:24:55.046,0,17090,1713.5898,8
16:25:15.196,2,4949,1076.9309,11
16:25:16.582,1,2496,198.7987,17
16:25:17.254,0,14118,987.6688,26
16:25:18.054,1,3212,824.5925,18
16:25:20.663,0,17071,394.4790,29
16:25:23.702,1,7556,474.0640,20
16:25:27.302,0,22496,31.3001,38
16:25:30.822,1,12111,1541.7348,21
