wall_time,cam_index,full_ms,dropped
11:47:51.320,2,52.9447,5
11:47:51.383,0,6.6035,10
11:47:51.397,1,5.7955,12
11:47:51.398,2,2.1934,3
11:47:51.405,0,8.4063,3
11:47:51.406,1,5.9080,0
11:47:51.444,0,3.2725,2
11:47:51.444,1,3.6143,1
11:47:51.449,1,3.8370,0
11:47:51.478,0,3.3183,2
11:47:51.478,2,4.0140,0
11:47:51.481,1,3.0710,1
11:47:51.482,2,3.2379,0
11:47:51.512,1,3.3593,1
11:47:51.513,2,3.5171,2
11:47:51.525,0,2.8643,0
11:47:51.547,1,3.4278,1
11:47:51.557,2,3.5174,0
11:47:51.595,0,3.1560,0
11:47:51.601,1,3.8427,0
11:47:51.601,2,3.3278,1
11:47:51.612,0,3.2319,0
11:47:51.631,1,3.6076,2
11:47:51.636,2,3.1467,0
11:47:51.650,0,2.9797,0
11:47:51.674,1,11.7745,1
11:47:51.675,2,3.1220,0
11:47:51.699,0,2.8954,2
11:47:51.710,2,2.8135,0
11:47:51.758,1,2.1730,0
11:47:51.766,2,5.7098,1
11:47:51.771,0,2.8709,0
11:47:51.794,1,3.0973,1
11:47:51.797,2,3.2504,1
11:47:51.813,0,2.8616,1
11:47:51.824,1,2.8229,2
11:47:51.851,2,3.5718,0
11:47:51.869,1,12.5789,0
11:47:51.876,2,9.3709,1
11:47:51.903,0,2.8770,0
11:47:51.910,1,6.5690,0
11:47:51.927,0,2.7059,1
11:47:51.928,2,3.1399,0
11:47:51.941,1,2.8399,0
11:47:51.958,2,3.1478,2
11:47:51.972,0,2.9804,2
11:47:51.992,1,3.2964,0
11:47:51.999,2,3.5019,0
11:47:52.015,0,2.8980,1
11:47:52.020,1,5.4826,1
11:47:52.030,2,3.3646,1
11:47:52.064,1,2.2639,1
11:47:52.092,2,17.6539,0
11:47:52.107,1,2.4832,0
11:47:52.116,2,2.4224,1
11:47:52.154,1,7.6784,0
11:47:52.158,2,6.2975,0
11:47:52.210,2,3.1842,1
11:47:52.215,0,0.0755,24
11:47:52.218,0,2.3960,0
11:47:52.224,1,3.2824,0
11:47:52.224,0,3.4493,0
11:47:52.227,0,2.8706,2
11:47:52.230,0,2.7178,1
11:47:52.232,2,3.5244,0
11:47:52.254,0,4.4434,1
11:47:52.270,1,3.2368,1
11:47:52.278,2,2.5878,0
11:47:52.289,0,2.8262,0
11:47:52.305,1,3.0799,0
11:47:52.337,2,2.4905,1
11:47:52.353,0,2.4745,1
11:47:52.379,2,3.5952,3
11:47:52.427,1,2.9720,2
11:47:52.448,2,0.0725,2
11:47:52.449,0,2.9473,1
11:47:52.450,1,2.8231,1
11:47:52.452,2,3.3941,0
11:47:52.456,0,2.3214,0
11:47:52.495,2,2.8559,0
11:47:52.503,0,3.2177,0
11:47:52.504,1,3.3075,1
11:47:52.510,2,3.4059,0
11:47:52.524,0,4.7254,0
11:47:52.568,1,3.0513,1
11:47:52.569,2,3.1941,0
11:47:52.574,0,2.8354,0
11:47:52.588,1,3.2092,2
11:47:52.592,2,2.7737,0
11:47:52.610,0,2.6572,1
11:47:52.639,1,2.8741,2
11:47:52.640,2,3.7764,1
11:47:52.655,0,2.0309,1
11:47:52.661,1,3.2740,3
11:47:52.673,2,2.9262,2
11:47:52.683,0,3.0546,0
11:47:52.736,1,3.3642,1
11:47:52.737,0,3.2082,1
11:47:52.737,2,4.0041,2
11:47:52.746,1,3.1037,2
11:47:52.753,2,3.3192,2
11:47:52.785,0,10.7202,0
11:47:52.789,1,2.9502,1
11:47:52.801,2,3.3804,3
11:47:52.809,0,2.0363,1
11:47:52.816,1,5.7773,0
11:47:52.825,2,2.4180,1
11:47:52.858,0,3.0455,0
11:47:52.863,1,2.9165,2
11:47:52.873,2,3.1973,2
11:47:52.898,0,2.5182,0
11:47:52.907,1,2.4801,0
11:47:52.920,2,9.3810,0
11:47:52.931,0,5.5593,0
11:47:52.949,1,2.4505,1
11:47:52.967,2,4.7363,0
11:47:52.980,1,2.4189,0
11:47:52.981,0,2.8176,1
11:47:53.008,0,3.0333,0
11:47:53.009,2,11.6525,1
11:47:53.022,1,3.5557,0
11:47:53.301,0,0.0544,24
11:47:53.303,0,2.1630,0
11:47:53.306,0,0.0673,2
11:47:53.313,2,17.1950,31
11:47:53.366,2,0.0768,2
11:47:53.368,2,0.0642,0
11:47:53.374,2,0.0685,3
11:47:53.379,0,0.0865,2
11:47:53.382,0,2.7362,0
11:47:53.406,1,0.0806,26
11:47:53.408,1,0.1506,2
11:47:53.428,0,0.0896,1
11:47:53.430,2,3.7781,2
11:47:53.431,0,0.0662,0
11:47:53.433,1,3.4319,3
11:47:53.433,0,2.6171,1
11:47:53.434,2,4.0158,0
11:47:53.436,0,2.4433,1
11:47:53.438,1,3.6387,1
11:47:53.441,1,0.0867,2
11:47:53.447,2,3.5928,1
11:47:53.447,1,5.8842,1
11:47:53.450,2,2.4969,0
11:47:53.461,0,14.2596,0
11:47:53.461,1,2.9053,1
11:47:53.507,1,2.3573,0
11:47:53.510,1,0.1024,2
11:47:53.513,1,0.0636,0
11:47:53.515,0,3.2736,0
11:47:53.515,2,3.5669,1
11:47:53.516,1,3.1955,1
11:47:53.519,2,3.1744,2
11:47:53.530,1,3.2176,1
11:47:53.531,0,2.8078,0
11:47:53.565,1,2.2177,1
11:47:53.568,2,3.1385,2
11:47:53.573,0,2.7436,0
11:47:53.582,1,2.4622,0
11:47:53.592,2,5.4794,0
11:47:53.615,0,2.8252,0
11:47:53.623,1,2.8716,2
11:47:53.634,2,5.9151,0
11:47:53.649,0,2.9916,1
11:47:53.657,1,3.3042,0
11:47:53.712,0,9.5091,0
11:47:53.718,1,3.2419,2
11:47:53.718,2,3.7388,2
11:47:53.731,0,2.3406,0
11:47:53.778,2,2.5511,1
11:47:53.778,1,3.5930,3
11:47:53.786,1,6.9596,1
11:47:53.796,2,5.5237,0
11:47:53.810,0,2.7032,0
11:47:53.851,2,3.5599,0
11:47:53.852,0,2.9413,0
11:47:53.868,2,3.2247,0
11:47:53.911,0,3.2454,0
11:47:53.914,1,6.6854,0
11:47:53.930,0,7.8886,0
11:47:53.942,1,2.6392,0
11:47:53.960,2,11.9229,0
11:47:54.010,1,2.3752,1
11:47:54.017,0,2.7587,2
11:47:54.021,1,3.3318,0
11:47:54.029,2,2.5767,2
11:47:54.070,1,3.3044,1
11:47:54.077,2,3.3567,1
11:47:54.136,0,0.0509,22
11:47:54.142,0,2.5494,2
11:47:54.146,1,2.3997,1
11:47:54.160,2,3.0523,1
11:47:54.167,0,2.8870,0
11:47:54.200,2,3.3926,1
11:47:54.210,0,2.9679,0
11:47:54.222,1,2.6356,0
11:47:54.230,2,2.4616,2
11:47:54.274,2,3.2008,1
11:47:54.297,1,3.0269,1
11:47:54.330,0,1.9699,1
11:47:54.331,2,3.3050,1
11:47:54.342,1,3.1598,2
11:47:54.349,2,2.7844,1
11:47:54.404,0,2.0740,2
11:47:54.405,1,3.3074,2
11:47:54.405,2,3.5002,1
11:47:54.425,1,4.3786,1
11:47:54.439,2,2.5737,1
11:47:54.464,1,4.5064,1
11:47:54.477,2,3.3468,1
11:47:54.483,0,2.6836,0
11:47:54.519,1,2.2363,2
11:47:54.530,2,3.3770,1
11:47:54.532,0,2.5667,1
11:47:54.555,2,5.2477,1
11:47:54.600,0,3.5533,0
11:47:54.601,1,3.1118,2
11:47:54.601,2,3.5033,1
11:47:54.617,1,2.3639,2
11:47:54.617,0,2.8643,0
11:47:54.640,2,3.2013,1
11:47:54.652,0,2.9107,0
11:47:54.694,1,3.2287,0
11:47:54.698,0,2.8835,0
11:47:54.699,2,8.0944,0
11:47:54.715,1,3.3092,1
11:47:54.716,2,3.2585,0
11:47:54.745,0,3.6422,0
11:47:54.745,1,3.3054,0
11:47:54.753,2,3.4692,1
11:47:54.776,1,2.7323,1
11:47:54.818,0,3.4223,0
11:47:54.818,2,3.3428,2
11:47:54.830,1,11.1172,1
11:47:54.830,2,3.6460,0
11:47:54.915,0,0.0809,2
11:47:54.917,2,3.5715,1
11:47:54.917,1,3.4918,1
11:47:54.917,0,2.4218,0
11:47:54.922,1,3.8498,0
11:47:54.922,2,3.5158,0
11:47:54.936,1,3.1223,0
11:47:54.990,2,0.0854,4
11:47:54.990,0,3.0555,0
11:47:54.991,1,3.2159,2
11:47:54.997,2,3.5008,0
11:47:55.014,0,2.7102,0
11:47:55.055,1,3.2852,2
11:47:55.208,0,13.2065,15
11:47:55.211,0,0.0831,1
11:47:55.275,0,0.0653,2
11:47:55.279,0,0.0767,1
11:47:55.279,2,15.8314,30
11:47:55.282,2,0.1002,1
11:47:55.285,1,16.4043,16
11:47:55.293,2,0.0824,1
11:47:55.294,0,3.0183,0
11:47:55.296,2,0.0537,2
11:47:55.338,2,3.4222,0
11:47:55.340,1,3.6212,2
11:47:55.343,1,3.2454,0
11:47:55.347,1,3.3806,1
11:47:55.351,0,3.6016,0
11:47:55.351,2,3.6099,1
11:47:55.355,1,0.1567,2
11:47:55.355,0,3.4154,0
11:47:55.355,2,3.4721,1
11:47:55.358,1,2.5825,0
11:47:55.368,1,3.0853,1
11:47:55.406,0,3.7815,1
11:47:55.407,1,3.8355,0
11:47:55.450,0,2.1276,1
11:47:55.451,2,0.0584,2
11:47:55.452,1,3.4958,0
11:47:55.463,0,3.3093,0
11:47:55.465,1,4.8642,1
11:47:55.518,2,0.0764,0
11:47:55.520,0,2.9228,1
11:47:55.520,1,3.2714,0
11:47:55.521,2,2.5773,0
11:47:55.531,0,5.7569,0
11:47:55.538,1,3.3534,1
11:47:55.595,2,0.0656,4
11:47:55.596,1,3.9235,1
11:47:55.611,0,2.9660,1
11:47:55.622,1,3.3021,0
11:47:55.673,2,0.0441,3
11:47:55.674,0,3.1407,0
11:47:55.675,2,2.6069,0
11:47:55.695,0,2.9245,0
11:47:55.696,1,3.3548,3
11:47:55.742,2,2.3339,0
11:47:55.743,0,2.8783,0
11:47:55.744,1,2.9744,2
11:47:55.830,1,3.9715,0
11:47:55.831,0,3.1348,0
11:47:55.832,2,3.8258,0
11:47:55.839,1,3.2248,1
11:47:55.839,2,3.3996,2
11:47:55.896,0,2.3495,2
11:47:55.899,1,3.3161,1
11:47:55.899,0,2.3259,0
11:47:55.899,2,3.1299,1
11:47:55.904,1,3.2635,1
11:47:55.914,2,2.8182,2
11:47:55.984,0,3.6215,0
11:47:55.985,1,4.2786,1
11:47:55.985,2,3.2365,0
11:47:55.994,2,3.2275,1
11:47:56.050,0,4.8244,0
11:47:56.050,1,3.3639,3
11:47:56.053,2,5.8589,0
11:47:56.065,1,3.1906,0
11:47:56.072,2,3.1589,0
11:47:56.128,1,4.0944,0
11:47:56.128,2,3.4549,3
11:47:56.195,1,0.2247,2
11:47:56.200,1,3.1567,1
11:47:56.202,0,0.0506,17
11:47:56.204,0,0.1000,0
11:47:56.206,0,0.1317,1
11:47:56.212,0,0.0611,0
11:47:56.215,0,2.7953,0
11:47:56.223,1,3.2146,2
11:47:56.276,2,0.0993,3
11:47:56.277,1,3.1796,0
11:47:56.277,0,3.8026,1
11:47:56.290,0,3.0227,0
11:47:56.349,0,2.0028,0
11:47:56.350,1,0.1039,1
11:47:56.350,2,2.9511,0
11:47:56.371,0,5.5914,1
11:47:56.426,1,3.2542,1
11:47:56.426,0,3.1092,1
11:47:56.426,2,3.2896,1
11:47:56.429,1,2.8747,0
11:47:56.436,2,2.5571,2
11:47:56.451,0,3.0992,0
11:47:56.501,1,13.6650,0
11:47:56.502,2,3.6265,1
11:47:56.507,1,2.9447,2
11:47:56.507,0,8.2201,1
11:47:56.514,2,3.4839,0
11:47:56.524,0,2.9668,1
11:47:56.574,1,2.7722,1
11:47:56.575,2,2.6734,2
11:47:56.575,0,2.8303,0
11:47:56.595,2,3.3433,0
11:47:56.641,0,2.0749,1
11:47:56.642,2,2.2824,1
11:47:56.643,1,3.4943,3
11:47:56.657,0,2.8846,0
11:47:56.662,1,7.5731,0
