wall_time,cam_index,rtp_seq,network_ms,dropped
15:43:47.848,1,3614,0.0499,0
15:43:47.857,0,1793,0.0458,0
15:43:47.859,1,3627,0.0377,0
15:43:47.860,1,3640,0.0436,0
15:43:47.869,0,1807,0.0193,0
15:43:47.869,0,1817,0.0118,0
15:43:47.906,0,1828,0.0261,0
15:43:47.906,1,3652,0.0388,0
15:43:47.911,0,1838,0.0390,0
15:43:47.917,1,3665,0.0234,0
15:43:47.936,1,3677,0.0159,0
15:43:47.944,0,1848,0.0255,0
15:43:47.979,1,3688,0.0459,0
15:43:47.990,0,1858,0.0502,0
15:43:48.024,0,1870,0.0784,0
15:43:48.025,1,3701,0.0400,0
15:43:48.062,0,1879,0.0167,0
15:43:48.065,1,3713,0.0157,0
15:43:48.096,1,3724,0.0420,0
15:43:48.104,0,1889,0.0165,0
15:43:48.140,1,3736,0.0351,0
15:43:48.146,0,1899,0.0425,0
15:43:48.178,0,1909,0.0134,0
15:43:48.186,1,3748,0.0392,0
15:43:48.225,0,1921,0.0234,0
15:43:48.227,1,3759,0.0319,0
15:43:48.256,1,3771,0.0336,0
15:43:48.264,0,1931,0.0346,0
15:43:48.320,1,3784,0.0657,0
15:43:48.320,0,1942,0.0333,0
15:43:48.335,0,1951,0.0118,0
15:43:48.350,1,3796,0.0156,0
15:43:48.385,0,1962,0.0634,0
15:43:48.387,1,3808,0.0325,0
15:43:48.423,1,3819,0.0320,0
15:43:48.425,0,1972,0.0147,0
15:43:48.464,1,3830,0.0513,0
15:43:48.471,0,1981,0.0117,0
15:43:48.499,0,1992,0.0165,0
15:43:48.519,1,3841,0.0159,0
15:43:48.548,0,2002,0.0180,0
15:43:48.551,1,3855,0.0400,0
15:43:48.592,1,3869,0.0360,0
15:43:48.600,0,2013,0.0466,0
15:43:48.621,1,3882,0.0325,0
15:43:48.635,0,2023,0.0126,0
15:43:48.678,0,2035,0.0977,0
15:43:48.683,1,3892,0.0534,0
15:43:48.739,1,3902,0.0877,0
15:43:48.827,0,2159,0.2181,0
15:43:48.829,1,3914,0.0826,0
15:43:48.843,0,2171,0.0326,0
15:43:48.855,1,3927,0.0318,0
