wall_time,cam_index,latency_ms
13:38:04.913,0,13.5983
13:38:06.012,2,19.4991
13:38:18.003,1,12.9809
13:38:18.010,2,4.4860
13:38:18.013,0,4.9468
13:38:18.014,1,4.2742
13:38:18.017,2,4.7243
13:38:18.025,0,8.1429
13:38:18.025,1,7.5203
13:38:18.032,2,7.3894
13:38:18.036,0,7.9441
13:38:18.037,1,5.4883
13:38:18.042,2,7.3550
13:38:18.049,0,9.8998
13:38:18.049,1,7.3522
13:38:18.055,2,9.8105
13:38:18.058,1,4.9635
13:38:18.058,0,6.7324
13:38:18.061,2,4.5197
13:38:18.064,0,3.0666
13:38:18.098,2,4.5934
13:38:18.101,1,4.6043
13:38:18.115,0,4.3542
13:38:18.118,2,6.1504
13:38:18.124,1,4.8365
13:38:18.174,0,4.5761
13:38:18.175,2,4.8225
13:38:18.175,1,4.4810
13:38:18.190,2,3.8667
13:38:18.197,0,4.3887
13:38:18.199,1,3.1959
13:38:18.263,0,4.4754
13:38:18.266,1,5.4295
13:38:18.266,2,5.7921
13:38:18.274,0,3.3780
13:38:18.277,2,4.4553
13:38:18.281,1,3.6966
13:38:18.328,2,3.4422
13:38:18.335,0,4.4692
13:38:18.338,1,5.8379
13:38:18.351,2,4.4795
13:38:18.354,0,4.4434
13:38:18.360,1,5.6731
13:38:18.394,0,4.3236
13:38:18.397,2,5.3252
13:38:18.404,1,3.2102
13:38:18.429,0,4.0005
13:38:18.463,2,3.7617
13:38:18.465,1,3.3515
13:38:18.470,2,4.6339
13:38:18.474,0,4.3535
13:38:18.476,1,3.1802
13:38:18.533,2,4.7514
13:38:18.534,0,4.6922
13:38:18.534,1,4.6635
13:38:18.544,0,3.5110
13:38:18.552,2,4.6091
13:38:18.561,1,3.5703
13:38:18.593,0,3.4182
13:38:18.596,2,5.1712
13:38:18.600,1,3.0805
13:38:18.625,2,4.3812
13:38:18.667,1,3.5492
13:38:18.667,0,3.5789
13:38:18.674,2,7.7292
13:38:18.675,0,4.0353
13:38:18.678,1,3.8655
13:38:18.726,0,3.4600
13:38:18.735,1,3.1247
13:38:18.737,2,5.2345
13:38:18.753,0,3.1945
13:38:18.756,2,4.3111
13:38:18.761,1,3.2710
