wall_time,cam_index,latency_ms
13:57:59.828,2,19.7189
13:57:59.829,1,19.0699
13:57:59.852,0,53.0222
13:57:59.878,2,10.4038
13:57:59.879,1,10.7346
13:57:59.895,0,26.2416
13:57:59.895,2,11.4819
13:57:59.906,1,19.3249
13:57:59.914,0,12.3143
13:57:59.924,2,18.7795
13:57:59.933,0,12.1259
13:57:59.933,1,21.7861
13:57:59.948,2,16.0649
13:57:59.961,0,22.2514
13:57:59.968,2,12.4036
13:57:59.969,1,17.2924
13:57:59.992,0,25.2100
13:58:00.002,2,19.2874
13:58:00.003,1,22.9873
13:58:00.024,0,24.1210
13:58:00.033,2,18.2258
13:58:00.043,1,12.7949
13:58:00.043,0,12.2737
13:58:00.079,0,15.9339
13:58:00.080,2,21.6782
13:58:00.082,1,15.0097
13:58:00.115,0,17.5599
13:58:00.115,2,16.2135
13:58:00.131,1,25.6946
13:58:00.158,0,16.6507
13:58:00.160,1,14.7161
13:58:00.169,2,24.0841
13:58:00.186,2,11.3123
13:58:00.193,0,11.4792
13:58:00.201,1,13.9005
13:58:00.229,2,12.6339
13:58:00.237,0,14.2646
13:58:00.237,1,12.3746
13:58:00.270,2,12.6614
13:58:00.277,0,12.7667
13:58:00.278,1,11.6714
13:58:00.320,2,12.1002
13:58:00.320,0,11.0160
13:58:00.321,1,11.7161
13:58:00.343,2,12.6994
13:58:00.353,0,10.9291
13:58:00.361,1,18.0042
13:58:00.385,2,11.9216
13:58:00.392,0,10.2180
13:58:00.400,1,13.6984
13:58:00.448,0,11.1666
13:58:00.449,2,10.5101
13:58:00.450,1,11.5791
13:58:00.474,2,13.1702
13:58:00.476,1,12.1687
13:58:00.484,0,18.1085
13:58:00.501,2,11.5240
13:58:00.507,0,11.8955
13:58:00.517,1,15.5338
13:58:00.547,2,11.6372
13:58:00.553,0,13.6584
13:58:00.555,1,11.1664
13:58:00.588,2,11.6508
13:58:00.594,0,12.3338
13:58:00.604,1,14.8011
13:58:00.632,2,10.3638
13:58:00.632,1,11.5037
13:58:00.637,0,13.8735
13:58:00.661,2,10.8492
13:58:00.680,0,9.0539
13:58:00.681,1,9.6636
13:58:00.722,2,8.5671
13:58:00.729,1,14.7168
13:58:00.749,2,12.0012
13:58:00.758,1,10.2445
13:58:00.759,0,28.8769
13:58:00.776,0,8.8778
13:58:00.814,2,11.0057
13:58:00.820,1,14.7454
13:58:00.821,0,15.4767
13:58:00.834,2,15.4868
13:58:00.844,1,17.0550
13:58:00.845,0,12.6639
13:58:00.869,2,12.2050
13:58:00.877,1,11.4520
13:58:00.878,0,11.8004
13:58:00.911,2,12.0452
13:58:00.912,0,11.2040
13:58:00.921,1,16.3133
13:58:00.952,1,12.1135
13:58:00.953,2,12.2133
13:58:00.962,0,18.9952
13:58:00.980,2,9.9580
13:58:00.988,0,11.3577
13:58:00.996,1,13.9221
13:58:01.026,2,11.3905
13:58:01.032,1,9.5574
13:58:01.032,0,12.8035
13:58:01.069,2,11.3932
13:58:01.076,0,12.2244
13:58:01.078,1,11.3865
13:58:01.119,0,10.6431
13:58:01.119,2,11.0979
13:58:01.120,1,11.1115
13:58:01.140,2,11.4107
13:58:01.146,0,10.1351
13:58:01.154,1,12.7697
13:58:01.190,2,10.7559
13:58:01.191,0,10.3798
13:58:01.200,1,16.6338
13:58:01.228,2,11.7297
13:58:01.234,0,11.2488
13:58:01.240,1,13.1824
13:58:01.272,2,9.3740
13:58:01.273,1,10.3611
13:58:01.283,0,18.1373
13:58:01.302,2,11.4672
13:58:01.308,0,12.0199
13:58:01.318,1,13.3845
13:58:01.347,2,12.3958
13:58:01.353,0,11.6377
13:58:01.360,1,14.7314
13:58:01.387,2,10.1847
13:58:01.392,0,9.2072
13:58:01.398,1,12.0506
13:58:01.441,1,10.0735
13:58:01.442,2,11.0810
13:58:01.442,0,10.4285
13:58:01.466,2,12.4916
13:58:01.473,0,14.0802
13:58:01.473,1,12.4678
13:58:01.505,2,10.7304
