wall_time,cam_index,latency_ms
18:33:18.802,2,22.1736
18:33:18.815,1,18.9225
18:33:18.830,0,13.1522
18:33:18.839,1,6.2176
18:33:18.842,0,6.5581
18:33:18.850,1,8.6247
18:33:18.850,0,7.3855
18:33:18.858,0,5.0280
18:33:18.861,1,6.1771
18:33:18.862,2,9.2250
18:33:18.903,1,4.0152
18:33:18.908,0,6.0718
18:33:18.908,2,5.4148
18:33:18.918,0,3.8975
18:33:18.921,1,5.8591
18:33:18.943,2,3.5031
18:33:18.961,0,3.4761
18:33:18.962,1,4.1972
18:33:18.987,2,4.3744
18:33:18.992,1,4.0639
18:33:18.999,0,3.2727
18:33:19.021,2,3.4681
18:33:19.035,1,3.5855
18:33:19.042,0,3.4455
18:33:19.061,2,3.5366
18:33:19.070,0,3.2311
18:33:19.075,1,4.2188
18:33:19.106,2,6.8259
18:33:19.119,0,4.6422
18:33:19.119,1,4.9367
18:33:19.154,2,9.2274
18:33:19.159,1,9.4193
18:33:19.166,0,9.0216
18:33:19.183,2,9.8929
18:33:19.199,1,6.9344
18:33:19.202,0,4.3439
18:33:19.225,2,6.8898
18:33:19.232,0,4.2093
18:33:19.238,1,3.8483
18:33:19.270,2,7.1750
18:33:19.282,0,6.7108
18:33:19.283,1,6.2682
18:33:19.311,2,8.8143
18:33:19.316,1,9.6907
18:33:19.322,0,6.1630
18:33:19.339,2,6.6648
18:33:19.359,1,7.8333
18:33:19.363,0,6.5737
18:33:19.386,2,7.7296
18:33:19.399,1,7.1574
18:33:19.404,0,6.6566
18:33:19.430,2,9.2515
18:33:19.433,0,5.0483
18:33:19.437,1,4.7740
18:33:19.474,2,9.0034
18:33:19.481,0,5.8007
18:33:19.487,1,9.5897
18:33:19.505,2,9.6912
18:33:19.519,1,7.1773
18:33:19.523,0,7.0442
18:33:19.545,2,6.7220
18:33:19.558,1,5.1303
18:33:19.574,0,7.0092
18:33:19.585,2,4.8161
18:33:19.592,0,4.0631
18:33:19.595,1,3.5077
18:33:19.633,2,9.2609
18:33:19.645,0,10.7801
18:33:19.646,1,10.1373
18:33:19.658,2,4.9348
18:33:19.674,1,4.8600
18:33:19.678,0,3.2496
18:33:19.706,2,6.8691
18:33:19.719,1,7.9594
18:33:19.759,2,6.2176
18:33:19.762,1,5.7231
18:33:19.766,0,15.3593
18:33:19.771,0,2.8633
18:33:19.786,2,3.7986
18:33:19.797,1,3.9029
18:33:19.802,0,4.9790
18:33:19.818,2,4.5645
18:33:19.845,1,9.2678
18:33:19.849,0,8.1550
18:33:19.864,2,3.2830
18:33:19.871,1,3.5748
18:33:19.877,0,3.8466
