wall_time,cam,rtp_seq,pipeline_ms,dropped_nals
15:41:24.149,0,12480,26.600,3
15:41:24.150,2,18288,32.954,3
15:41:24.169,0,12481,5.016,0
15:41:24.173,2,18289,15.781,0
15:41:24.194,1,24864,1.953,3
15:41:24.206,2,18291,7.837,0
15:41:24.211,0,12483,15.767,0
15:41:24.232,1,24866,7.040,0
15:41:24.249,0,12485,11.676,0
15:41:24.250,2,18293,11.140,0
15:41:24.278,1,24868,11.870,0
15:41:24.283,2,18294,13.674,0
15:41:24.293,0,12486,9.794,0
15:41:24.328,1,24869,16.041,0
15:41:24.331,2,18295,17.783,0
15:41:24.340,0,12487,15.375,0
15:41:24.352,1,24870,9.700,0
15:41:24.371,0,12488,15.307,0
15:41:24.373,2,18296,16.472,0
15:41:24.395,1,24871,10.088,0
15:41:24.409,0,12489,10.938,0
15:41:24.411,2,18297,13.069,0
15:41:24.438,1,24872,11.910,0
15:41:24.444,2,18298,13.918,0
15:41:24.454,0,12490,11.034,0
15:41:24.480,1,24873,9.517,0
15:41:24.482,2,18299,10.402,0
15:41:24.494,0,12491,10.598,0
15:41:24.522,1,24874,9.720,0
15:41:24.529,0,12492,13.244,0
15:41:24.531,2,18300,14.733,0
15:41:24.555,1,24875,11.211,0
15:41:24.572,0,12493,13.984,0
15:41:24.574,2,18301,15.637,0
15:41:24.598,1,24876,11.580,0
15:41:24.608,2,18302,17.062,0
15:41:24.615,0,12494,12.693,0
15:41:24.643,1,24877,11.213,0
15:41:24.727,0,12500,3.855,2
15:41:24.730,2,18310,11.554,2
15:41:24.734,1,24878,18.328,1
15:41:24.767,1,24886,19.709,0
15:41:24.772,2,18313,11.373,0
15:41:24.777,0,12503,13.087,0
15:41:24.806,2,18314,14.060,0
15:41:24.806,1,24888,14.427,0
15:41:24.818,0,12504,12.718,0
15:41:24.851,1,24889,17.755,0
15:41:24.851,2,18315,18.060,0
15:41:24.856,0,12505,19.336,0
15:41:24.876,1,24890,10.869,0
15:41:24.892,0,12506,13.080,0
15:41:24.892,2,18316,15.267,0
15:41:24.920,1,24891,12.703,0
15:41:24.932,2,18317,12.963,0
15:41:24.938,0,12507,14.830,0
15:41:24.965,2,18318,14.564,0
15:41:24.971,1,24892,18.587,0
15:41:24.980,0,12508,15.183,0
15:41:25.006,1,24893,13.524,0
15:41:25.009,2,18322,16.380,0
15:41:25.015,0,12512,18.787,0
15:41:25.035,1,24894,10.195,0
15:41:25.049,2,18323,11.977,0
15:41:25.055,0,12513,15.910,0
15:41:25.080,1,24898,12.423,0
15:41:25.092,2,18324,12.375,0
15:41:25.099,0,12514,16.225,0
15:41:25.127,1,24899,14.907,0
15:41:25.128,2,18325,17.105,0
15:41:25.135,0,12515,10.140,0
15:41:25.169,1,24900,16.018,0
15:41:25.170,2,18326,16.719,0
15:41:25.175,0,12516,17.671,0
15:41:25.197,1,24901,12.179,0
15:41:25.208,2,18327,11.080,0
15:41:25.211,0,12517,12.160,0
15:41:25.239,1,24902,11.855,0
15:41:25.321,2,18335,6.095,2
15:41:25.324,0,12523,36.746,1
15:41:25.336,0,12524,6.943,0
15:41:25.342,1,24903,20.513,1
15:41:25.371,2,18338,15.478,0
15:41:25.373,1,24911,27.104,0
15:41:25.376,0,12526,12.119,0
15:41:25.398,1,24913,9.988,0
15:41:25.408,2,18339,10.159,0
15:41:25.418,0,12527,13.196,0
15:41:25.444,1,24914,12.301,0
15:41:25.454,2,18340,14.035,0
15:41:25.460,0,12528,14.680,0
15:41:25.486,2,18341,14.338,0
15:41:25.488,1,24915,14.819,0
