wall_time,cam,rtp_seq,passthrough_ms,dropped_packets
16:42:59.663,1,46268,0.993,0
16:42:59.665,1,46270,1.651,1
16:42:59.665,1,46271,1.979,0
16:42:59.665,2,34746,1.859,0
16:42:59.666,2,34750,1.324,3
16:42:59.666,2,34751,1.577,0
16:42:59.666,1,46272,2.367,0
16:42:59.667,2,34752,1.596,0
16:42:59.667,1,46273,1.601,0
16:42:59.668,2,34753,1.820,0
16:42:59.668,1,46274,2.183,0
16:42:59.669,2,34755,1.417,1
16:42:59.669,1,46275,2.052,0
16:42:59.669,1,46276,1.502,0
16:42:59.670,1,46277,1.170,0
16:42:59.670,2,34756,2.173,0
16:42:59.670,2,34757,2.058,0
16:42:59.671,0,26026,1.056,0
16:42:59.671,2,34758,2.003,0
16:42:59.672,1,46278,0.365,0
16:42:59.672,0,26027,1.774,0
16:42:59.673,0,26028,2.244,0
16:42:59.673,2,34759,2.650,0
16:42:59.674,0,26029,2.002,0
16:42:59.674,1,46279,0.373,0
16:42:59.674,0,26030,1.733,0
16:42:59.675,0,26031,0.974,0
16:42:59.675,2,34762,2.858,2
16:42:59.676,2,34764,2.225,1
16:42:59.676,1,46280,0.316,0
16:42:59.676,0,26032,2.108,0
16:42:59.677,2,34765,1.940,0
16:42:59.677,0,26033,0.262,0
16:42:59.677,2,34767,1.587,1
16:42:59.678,1,46281,0.597,0
16:42:59.678,0,26034,0.436,0
16:42:59.679,2,34768,2.459,0
16:42:59.679,0,26035,1.033,0
16:42:59.679,1,46282,1.996,0
16:42:59.679,0,26037,1.039,1
16:42:59.680,2,34769,0.375,0
16:42:59.680,0,26038,1.061,0
16:42:59.680,1,46284,2.043,1
16:42:59.680,1,46285,1.784,0
16:42:59.681,0,26039,0.423,0
16:42:59.681,1,46286,0.748,0
16:42:59.682,0,26040,0.930,0
16:42:59.682,2,34770,0.823,0
16:42:59.682,0,26041,0.963,0
16:42:59.683,1,46287,0.283,0
16:42:59.683,0,26042,0.837,0
16:42:59.683,2,34771,1.456,0
16:42:59.684,1,46288,0.267,0
16:42:59.684,0,26043,1.385,0
16:42:59.684,2,34772,2.016,0
16:42:59.686,1,46289,1.792,0
16:42:59.686,2,34773,3.121,0
16:42:59.687,0,26045,3.034,1
16:42:59.687,2,34774,2.670,0
16:42:59.687,1,46296,1.262,6
