wall_time,cam,rtp_seq,rtsp_unwrap_ms,depay_ms,pay_ms,udpsink_ms,total_sender_ms
15:22:45.361,2,1989,0.010,0.091,0.084,0.019,0.223
15:22:45.366,0,26105,0.043,0.125,0.047,0.014,0.248
15:22:45.379,1,19741,0.009,0.095,0.018,0.008,0.141
15:22:46.364,0,26423,0.024,0.141,0.037,0.022,0.252
15:22:47.370,0,26761,0.010,0.168,0.173,0.140,0.704
15:22:47.383,2,2623,0.029,26.767,0.029,0.017,26.862
15:22:47.399,1,20347,0.009,30.605,0.014,0.008,30.647
15:22:48.363,0,27115,0.010,0.059,0.019,0.010,0.115
15:22:49.371,0,27467,0.014,0.097,0.023,0.012,0.163
15:22:49.390,2,3337,0.011,0.220,0.019,0.010,0.275
15:22:49.404,1,21044,0.007,0.196,0.013,0.008,0.234
15:22:50.372,0,27829,0.018,14.993,0.016,0.008,15.045
15:22:51.367,0,28192,0.013,0.073,0.017,0.008,0.121
15:22:51.391,2,4063,0.018,0.124,0.014,0.007,0.175
15:22:51.406,1,21771,0.008,0.181,0.015,0.008,0.224
15:22:52.370,0,28559,0.008,0.047,0.015,0.008,0.091
15:22:53.368,0,28925,0.023,0.112,0.049,0.020,0.224
15:22:53.392,2,4805,0.008,0.235,0.023,0.013,0.297
15:22:53.406,1,22505,0.011,0.174,0.014,0.008,0.218
15:22:54.377,0,29301,0.017,0.085,0.029,0.016,0.167
15:22:55.366,0,29673,0.009,0.051,0.015,0.008,0.095
15:22:55.393,2,5545,0.066,0.207,0.016,0.008,0.312
15:22:55.410,1,23243,0.010,0.176,0.014,0.008,0.218
15:22:56.378,0,30050,0.032,0.106,0.045,0.026,0.243
15:22:57.372,0,30420,0.008,0.062,0.016,0.008,0.103
15:22:57.388,2,6288,0.007,0.186,0.014,0.008,0.224
15:22:57.414,1,23981,0.012,0.285,0.015,0.008,0.331
15:22:58.378,0,30805,0.009,0.074,0.018,0.009,0.120
15:22:58.405,0,30910,0.033,0.029,0.025,0.015,0.122
15:22:59.362,2,7033,0.058,0.074,0.069,0.021,0.247
15:22:59.368,0,31191,0.007,0.042,0.013,0.007,0.078
15:22:59.389,1,24729,0.008,0.112,0.014,0.007,0.152
15:23:00.360,0,31543,0.021,0.062,0.028,0.015,0.148
15:23:01.355,2,7709,0.015,0.040,0.023,0.014,0.109
15:23:01.357,0,31883,0.017,0.041,0.026,0.015,0.119
15:23:01.373,1,25436,0.010,0.038,0.015,0.008,0.082
15:23:02.364,0,32235,0.015,0.072,0.023,0.013,0.139
15:23:03.358,2,8419,0.016,0.051,0.073,0.018,0.714
15:23:03.368,0,32617,0.021,0.076,0.023,0.012,0.150
15:23:03.373,1,26135,0.018,0.045,0.014,0.010,0.097
15:23:04.358,0,33008,0.025,0.071,0.052,0.022,0.195
15:23:05.357,2,9114,0.075,0.066,0.028,0.017,0.206
15:23:05.364,0,33358,0.011,0.030,0.017,0.010,0.081
15:23:05.369,1,26855,0.009,0.026,0.013,0.007,0.064
15:23:06.361,0,33715,0.019,0.056,0.028,0.015,0.137
15:23:07.370,2,9860,0.023,0.197,0.108,0.016,0.371
15:23:07.372,1,27557,0.035,0.068,0.041,0.013,0.173
15:23:07.372,0,34094,0.009,0.049,0.051,0.027,0.146
15:23:08.375,0,34478,0.008,0.055,0.014,0.008,0.093
15:23:09.377,1,28293,0.009,0.080,0.122,0.015,0.238
15:23:09.377,0,34883,0.024,0.227,0.099,0.021,0.385
15:23:09.378,2,10634,0.020,0.189,0.036,0.476,0.801
15:23:10.379,0,35280,0.010,0.044,0.013,0.006,0.083
15:23:11.376,0,35667,0.009,0.056,0.016,0.009,0.100
15:23:11.381,2,11391,0.038,0.243,0.120,0.068,0.634
15:23:11.402,1,29039,0.014,0.069,0.014,0.008,0.114
15:23:12.371,0,36047,0.015,0.053,0.017,0.008,0.102
15:23:13.373,0,36417,0.015,0.071,0.048,0.159,0.313
15:23:13.374,2,12152,0.020,0.152,0.016,0.020,0.234
15:23:13.389,1,29819,0.008,0.051,0.012,0.007,0.087
15:23:14.375,0,36784,0.009,0.051,0.015,0.008,0.092
15:23:15.372,0,37156,0.009,0.030,0.013,0.007,0.067
15:23:15.389,2,12909,0.008,0.060,0.016,0.007,0.101
15:23:15.398,1,30569,0.007,0.053,0.014,0.007,0.090
15:23:16.372,0,37522,0.012,0.053,0.019,0.010,0.106
15:23:17.379,0,37893,0.088,0.106,0.039,0.027,0.307
15:23:17.379,2,13671,0.010,0.100,0.031,0.024,0.198
15:23:17.386,1,31325,0.011,0.089,0.030,0.016,0.175
15:23:18.368,0,38265,0.016,0.050,0.024,0.013,0.122
15:23:19.382,0,38622,0.185,0.400,0.092,0.027,0.741
15:23:19.384,2,14413,0.023,0.117,0.097,0.055,0.315
15:23:19.404,1,32062,0.010,0.059,0.015,0.008,0.105
