wall_time,cam,rtp_seq,pipeline_ms
12:49:59.070,2,19151,3.801
12:49:59.076,1,10291,2.284
12:49:59.107,1,10387,2.578
12:49:59.111,2,19255,1.714
12:49:59.114,0,16771,1.109
12:49:59.127,1,10399,0.735
12:49:59.139,2,19268,20.842
12:49:59.159,2,19280,0.592
12:49:59.168,1,10412,0.491
12:49:59.199,1,10425,0.437
12:49:59.201,2,19294,0.398
12:49:59.232,2,19306,0.200
12:49:59.234,0,16804,105.484
12:49:59.247,0,16813,76.853
12:49:59.259,1,10436,16.145
12:49:59.278,2,19316,0.328
12:49:59.286,1,10449,0.465
12:49:59.288,0,16822,86.123
12:49:59.318,2,19328,0.334
12:49:59.327,1,10461,0.511
12:49:59.331,0,16831,83.755
12:49:59.361,2,19340,0.281
12:49:59.362,0,16840,74.526
12:49:59.368,1,10473,0.727
12:49:59.392,2,19352,0.299
12:49:59.399,1,10485,0.228
12:49:59.407,0,16849,76.752
12:49:59.438,2,19365,0.799
12:49:59.444,1,10498,0.534
12:49:59.448,0,16859,86.297
12:49:59.479,2,19377,0.513
12:49:59.486,1,10511,0.589
12:49:59.490,0,16867,83.550
12:49:59.521,2,19389,0.773
12:49:59.522,0,16877,73.976
12:49:59.528,1,10522,0.602
12:49:59.553,2,19401,0.665
12:49:59.561,1,10534,0.461
12:49:59.567,0,16885,77.569
12:49:59.598,2,19413,0.649
12:49:59.605,1,10546,0.514
12:49:59.608,0,16894,86.230
12:49:59.639,2,19425,0.476
12:49:59.646,1,10559,0.365
12:49:59.650,0,16903,82.933
12:49:59.681,2,19437,0.532
12:49:59.682,0,16913,74.141
12:49:59.687,1,10569,0.492
12:49:59.713,2,19449,0.568
12:49:59.723,0,16922,73.618
12:49:59.728,1,10579,0.483
12:49:59.757,2,19462,0.322
12:49:59.759,1,10591,0.287
12:49:59.768,0,16930,86.134
12:49:59.799,2,19474,0.368
12:49:59.804,1,10604,0.411
12:49:59.809,0,16938,85.350
12:49:59.841,2,19485,0.395
12:49:59.846,1,10616,0.420
12:49:59.850,0,16947,82.425
12:49:59.872,2,19496,0.281
12:49:59.886,0,16958,77.562
12:49:59.889,1,10629,0.542
12:49:59.917,2,19509,0.250
12:49:59.919,1,10641,0.265
12:49:59.928,0,16968,78.365
12:49:59.959,2,19523,0.436
12:49:59.964,1,10653,0.523
12:49:59.971,0,16977,85.369
12:50:00.001,2,19535,0.287
12:50:00.003,0,16986,74.423
12:50:00.006,1,10664,0.406
12:50:00.032,2,19545,0.285
12:50:00.048,0,16995,77.725
12:50:00.048,1,10675,0.344
12:50:00.078,2,19557,0.645
12:50:00.079,1,10687,0.295
12:50:00.119,2,19569,0.441
12:50:00.126,0,17110,124.222
12:50:00.126,1,10700,0.479
12:50:00.143,0,17120,95.686
12:50:00.161,2,19582,0.448
12:50:00.166,1,10711,0.220
12:50:00.170,0,17131,47.647
12:50:00.193,2,19595,0.706
12:50:00.208,1,10723,0.196
12:50:00.212,0,17142,83.273
12:50:00.238,2,19607,0.669
12:50:00.239,1,10736,0.173
12:50:00.243,0,17152,73.800
12:50:00.279,2,19621,0.427
12:50:00.285,1,10749,0.293
12:50:00.287,0,17160,76.468
12:50:00.321,2,19631,0.335
12:50:00.326,1,10761,0.157
12:50:00.329,0,17170,86.747
