wall_time,cam,rtp_seq,pipeline_ms,dropped_nals
13:12:00.988,2,9960,2.342,0
13:12:01.026,0,20070,1.464,0
13:12:01.032,1,23755,1.121,0
13:12:01.054,2,10072,16.438,1
13:12:01.079,0,20082,34.661,0
13:12:01.080,2,10086,0.371,0
13:12:01.085,0,20093,0.632,0
13:12:01.094,1,23777,5.249,1
13:12:01.122,1,23788,0.976,0
13:12:01.122,2,10098,0.333,0
13:12:01.127,0,20103,0.876,0
13:12:01.153,2,10111,0.351,0
13:12:01.159,0,20113,0.423,0
13:12:01.166,1,23800,0.371,0
13:12:01.199,2,10124,0.527,0
13:12:01.203,0,20121,0.435,0
13:12:01.208,1,23812,0.435,0
13:12:01.240,2,10136,0.473,0
13:12:01.245,0,20131,0.358,0
13:12:01.250,1,23824,0.480,0
13:12:01.283,1,23837,1.551,0
13:12:01.284,2,10148,0.544,0
13:12:01.287,0,20141,0.320,0
13:12:01.313,2,10160,0.354,0
13:12:01.320,0,20151,0.436,0
13:12:01.327,1,23850,0.386,0
13:12:01.359,2,10173,0.319,0
13:12:01.364,0,20162,0.405,0
13:12:01.368,1,23862,0.706,0
13:12:01.400,2,10185,0.539,0
13:12:01.405,0,20173,0.424,0
13:12:01.410,1,23874,0.579,0
13:12:01.442,1,23886,0.630,0
13:12:01.443,2,10199,0.562,0
13:12:01.447,0,20183,0.470,0
13:12:01.474,2,10212,0.523,0
13:12:01.480,0,20193,0.380,0
13:12:01.486,1,23897,0.422,0
13:12:01.519,2,10223,0.718,0
13:12:01.524,0,20201,0.580,0
13:12:01.529,1,23909,0.741,0
13:12:01.560,2,10234,0.618,0
13:12:01.566,0,20212,0.568,0
13:12:01.571,1,23920,0.744,0
13:12:01.602,1,23932,0.808,0
13:12:01.603,2,10248,0.616,0
13:12:01.607,0,20223,0.258,0
13:12:01.634,2,10260,0.499,0
13:12:01.639,0,20233,0.232,0
13:12:01.646,1,23944,0.397,0
13:12:01.678,2,10272,0.450,0
13:12:01.684,0,20243,0.227,0
13:12:01.688,1,23957,0.404,0
13:12:01.720,2,10284,0.414,0
13:12:01.725,0,20253,0.212,0
13:12:01.730,1,23969,0.436,0
13:12:01.762,1,23982,0.695,0
13:12:01.763,2,10297,0.544,0
13:12:01.767,0,20262,0.214,0
13:12:01.794,2,10310,0.620,0
