wall_time,cam_index,latency_ms
13:57:59.729,2,0.1074
13:57:59.739,0,0.0805
13:57:59.741,1,0.0601
13:57:59.751,2,0.0259
13:57:59.759,1,0.0181
13:57:59.767,0,0.0231
13:57:59.792,2,0.0224
13:57:59.798,0,0.0284
13:57:59.802,1,0.0369
13:57:59.833,2,0.0221
13:57:59.835,1,0.0232
13:57:59.838,0,0.0252
13:57:59.865,2,0.0273
13:57:59.879,0,0.0254
13:57:59.880,1,0.0264
13:57:59.911,2,0.0238
13:57:59.921,0,0.0456
13:57:59.921,1,0.0250
13:57:59.951,2,0.0282
13:57:59.953,0,0.0249
13:57:59.963,1,0.0263
13:57:59.993,2,0.0276
13:57:59.995,1,0.0518
13:57:59.997,0,0.0132
13:58:00.025,2,0.0265
13:58:00.039,0,0.0348
13:58:00.040,1,0.0359
13:58:00.070,2,0.0258
13:58:00.080,0,0.0315
13:58:00.081,1,0.0148
13:58:00.111,2,0.0288
13:58:00.112,0,0.0222
13:58:00.123,1,0.0226
13:58:00.153,2,0.0280
13:58:00.154,0,0.0373
13:58:00.154,1,0.2351
13:58:00.185,2,0.0264
13:58:00.198,0,0.0205
13:58:00.200,1,0.0336
13:58:00.231,2,0.0238
13:58:00.239,0,0.0255
13:58:00.241,1,0.0367
13:58:00.271,2,0.0233
13:58:00.280,0,0.0257
13:58:00.282,1,0.0248
13:58:00.313,0,0.0418
13:58:00.313,2,0.0298
13:58:00.314,1,0.0250
13:58:00.345,2,0.0224
13:58:00.356,0,0.0234
13:58:00.358,1,0.0275
13:58:00.389,2,0.0219
13:58:00.399,0,0.0206
13:58:00.401,1,0.0275
13:58:00.431,2,0.0216
13:58:00.439,0,0.0202
13:58:00.443,1,0.0233
13:58:00.473,2,0.0298
13:58:00.474,1,0.0244
13:58:00.481,0,0.0239
13:58:00.505,2,0.0240
13:58:00.513,0,0.0240
13:58:00.519,1,0.0268
13:58:00.551,2,0.0243
13:58:00.557,0,0.0220
13:58:00.561,1,0.0254
13:58:00.591,2,0.0261
13:58:00.599,0,0.0235
13:58:00.603,1,0.0257
13:58:00.633,2,0.0309
13:58:00.635,1,0.0201
13:58:00.641,0,0.0244
13:58:00.665,2,0.0573
13:58:00.673,0,0.0523
13:58:00.680,1,0.0365
