wall_time,cam_index,latency_ms
16:27:18.508,2,0.1314
16:27:18.523,1,0.1264
16:27:18.531,0,0.1161
16:27:18.532,2,0.0434
16:27:18.547,1,0.0425
16:27:18.557,0,0.0267
16:27:18.573,2,0.0308
16:27:18.588,1,0.0260
16:27:18.600,0,0.0402
16:27:18.606,2,0.0283
16:27:18.621,1,0.0262
16:27:18.631,0,0.0422
16:27:18.647,2,0.0261
16:27:18.662,1,0.0262
16:27:18.671,0,0.0422
16:27:18.688,2,0.0256
16:27:18.703,1,0.0258
16:27:18.712,0,0.0412
16:27:18.730,2,0.0285
16:27:18.745,1,0.0277
16:27:18.753,0,0.0248
16:27:18.761,2,0.0242
16:27:18.776,1,0.0341
16:27:18.785,0,0.0303
16:27:18.805,2,0.0367
16:27:18.821,1,0.0264
16:27:18.830,0,0.0278
16:27:18.848,2,0.0267
16:27:18.862,1,0.0286
16:27:18.871,0,0.0547
16:27:18.889,2,0.0278
16:27:18.905,1,0.0668
16:27:18.913,0,0.0334
16:27:18.921,2,0.0347
16:27:18.936,1,0.0434
16:27:18.945,0,0.0319
16:27:18.965,2,0.0413
16:27:18.981,1,0.1020
16:27:18.989,0,0.0351
16:27:19.007,2,0.0532
16:27:19.022,1,0.0603
16:27:19.031,0,0.0672
16:27:19.049,2,0.0360
16:27:19.064,1,0.0560
16:27:19.073,0,0.0636
16:27:19.080,2,0.0407
16:27:19.096,1,0.0370
16:27:19.105,0,0.0304
16:27:19.125,2,0.0315
16:27:19.142,1,0.0484
16:27:19.149,0,0.0283
16:27:19.166,2,0.0257
16:27:19.184,1,0.0298
16:27:19.190,0,0.0244
16:27:19.209,2,0.0382
16:27:19.215,1,0.0347
16:27:19.232,0,0.0274
16:27:19.240,2,0.0314
16:27:19.260,1,0.0410
16:27:19.264,0,0.0262
16:27:19.284,2,0.0398
16:27:19.301,1,0.0361
16:27:19.308,0,0.0343
16:27:19.326,2,0.0254
16:27:19.344,1,0.0328
16:27:19.350,0,0.0264
16:27:19.367,2,0.0262
16:27:19.375,1,0.0252
16:27:19.390,0,0.0261
16:27:19.408,2,0.0296
16:27:19.419,1,0.0316
16:27:19.431,0,0.0287
16:27:19.439,2,0.0503
16:27:19.461,1,0.0390
16:27:19.463,0,0.0287
16:27:19.481,2,0.0304
16:27:19.503,1,0.0286
16:27:19.525,2,0.0292
16:27:19.535,1,0.0674
16:27:19.538,0,0.2984
16:27:19.554,0,0.0448
16:27:19.566,2,0.0327
16:27:19.579,1,0.0292
16:27:19.588,0,0.0499
16:27:19.608,2,0.0571
16:27:19.621,1,0.0499
16:27:19.629,0,0.0434
16:27:19.639,2,0.0284
16:27:19.663,1,0.0736
16:27:19.670,0,0.0264
16:27:19.683,2,0.0286
16:27:19.694,1,0.0279
16:27:19.711,0,0.0380
16:27:19.725,2,0.0299
16:27:19.738,1,0.0338
16:27:19.743,0,0.0266
16:27:19.768,2,0.0595
16:27:19.780,1,0.0303
16:27:19.788,0,0.0286
16:27:19.799,2,0.0602
16:27:19.822,1,0.0275
16:27:19.829,0,0.0262
16:27:19.842,2,0.0385
16:27:19.854,1,0.0271
16:27:19.870,0,0.0261
16:27:19.885,2,0.0290
16:27:19.899,1,0.0406
16:27:19.903,0,0.0252
16:27:19.926,2,0.0613
16:27:19.940,1,0.0290
16:27:19.947,0,0.0473
16:27:19.967,2,0.0314
16:27:19.982,1,0.0295
16:27:19.988,0,0.0288
16:27:19.998,2,0.0468
16:27:20.014,1,0.0546
16:27:20.031,0,0.0322
16:27:20.042,2,0.0292
16:27:20.058,1,0.0454
16:27:20.063,0,0.0551
16:27:20.084,2,0.0274
16:27:20.100,1,0.0725
16:27:20.107,0,0.0258
16:27:20.126,2,0.0259
16:27:20.142,1,0.0450
16:27:20.148,0,0.0259
16:27:20.157,2,0.0275
16:27:20.173,1,0.0259
16:27:20.190,0,0.0399
16:27:20.199,2,0.0282
16:27:20.217,1,0.0466
16:27:20.222,0,0.0266
16:27:20.244,2,0.0334
16:27:20.259,1,0.0481
16:27:20.267,0,0.0258
16:27:20.285,2,0.0310
16:27:20.301,1,0.0421
16:27:20.308,0,0.0295
16:27:20.326,2,0.0271
16:27:20.333,1,0.0435
16:27:20.350,0,0.0465
16:27:20.357,2,0.0248
16:27:20.377,1,0.0279
16:27:20.382,0,0.0277
16:27:20.401,2,0.0289
16:27:20.419,1,0.0277
16:27:20.426,0,0.0328
16:27:20.444,2,0.0300
16:27:20.461,1,0.0406
16:27:20.467,0,0.0238
16:27:20.514,2,0.3605
16:27:20.521,1,0.3667
16:27:20.527,2,0.0259
16:27:20.539,0,0.2434
16:27:20.559,1,0.0406
16:27:20.567,2,0.0377
16:27:20.588,1,0.0343
16:27:20.608,2,0.0280
16:27:20.619,1,0.0255
16:27:20.642,2,0.0334
16:27:20.659,1,0.0296
16:27:20.668,0,0.0239
16:27:20.668,0,0.0241
16:27:20.669,0,0.0209
16:27:20.670,0,0.0199
16:27:20.682,2,0.0265
16:27:20.700,1,0.0550
16:27:20.706,0,0.0269
16:27:20.723,2,0.0256
16:27:20.741,1,0.0276
16:27:20.747,0,0.0322
16:27:20.765,2,0.0277
16:27:20.772,1,0.0274
16:27:20.789,0,0.0233
16:27:20.796,2,0.0260
16:27:20.817,1,0.0263
16:27:20.820,0,0.0251
16:27:20.840,2,0.0287
16:27:20.858,1,0.0300
16:27:20.866,0,0.0263
16:27:20.883,2,0.0289
16:27:20.899,1,0.0266
16:27:20.907,0,0.0536
16:27:20.923,2,0.0356
16:27:20.931,1,0.0287
16:27:20.948,0,0.0271
16:27:20.964,2,0.0249
16:27:20.973,1,0.0281
16:27:20.980,0,0.0371
16:27:20.995,2,0.0256
16:27:21.017,1,0.0276
16:27:21.025,0,0.0354
16:27:21.040,2,0.0301
16:27:21.059,1,0.0292
16:27:21.066,0,0.0251
16:27:21.082,2,0.0280
16:27:21.100,1,0.0266
16:27:21.108,0,0.0882
16:27:21.123,2,0.0250
16:27:21.131,1,0.0296
16:27:21.140,0,0.0262
16:27:21.164,2,0.0333
16:27:21.175,1,0.0301
16:27:21.185,0,0.0267
16:27:21.196,2,0.0306
16:27:21.217,1,0.0270
16:27:21.225,0,0.0237
16:27:21.240,2,0.0435
16:27:21.259,1,0.0296
16:27:21.267,0,0.0265
16:27:21.282,2,0.0583
16:27:21.290,1,0.0295
16:27:21.299,0,0.0270
16:27:21.324,2,0.0285
16:27:21.335,1,0.0302
16:27:21.343,0,0.0260
16:27:21.355,2,0.0282
16:27:21.377,1,0.0314
16:27:21.385,0,0.0260
16:27:21.399,2,0.0259
16:27:21.419,1,0.0296
16:27:21.427,0,0.0272
16:27:21.441,2,0.0389
16:27:21.450,1,0.0271
16:27:21.459,0,0.0320
16:27:21.484,2,0.0609
16:27:21.495,1,0.0297
16:27:21.515,2,0.0258
16:27:21.533,0,0.2219
16:27:21.536,1,0.0815
16:27:21.559,0,0.0985
16:27:21.560,2,0.0343
16:27:21.578,1,0.0271
16:27:21.584,0,0.0412
16:27:21.601,2,0.0295
16:27:21.610,1,0.0285
16:27:21.625,0,0.0269
16:27:21.643,2,0.0304
16:27:21.655,1,0.0291
16:27:21.666,0,0.0549
16:27:21.674,2,0.0387
16:27:21.696,1,0.0293
16:27:21.710,0,0.0258
16:27:21.719,2,0.0333
16:27:21.738,1,0.0288
16:27:21.744,0,0.0307
16:27:21.761,2,0.0254
16:27:21.769,1,0.0266
16:27:21.785,0,0.0281
16:27:21.803,2,0.0295
16:27:21.814,1,0.0273
16:27:21.826,0,0.0251
16:27:21.834,2,0.0259
16:27:21.855,1,0.0292
16:27:21.858,0,0.0224
16:27:21.879,2,0.0271
16:27:21.897,1,0.0266
16:27:21.902,0,0.0252
16:27:21.921,2,0.0362
16:27:21.929,1,0.0275
16:27:21.944,0,0.0301
16:27:21.963,2,0.0315
16:27:21.975,1,0.0275
16:27:21.986,0,0.0250
16:27:21.994,2,0.0304
16:27:22.015,1,0.0267
16:27:22.018,0,0.0255
16:27:22.040,2,0.0279
16:27:22.057,1,0.0269
16:27:22.063,0,0.0312
16:27:22.080,2,0.0268
16:27:22.089,1,0.0266
16:27:22.104,0,0.0603
16:27:22.122,2,0.0284
16:27:22.133,1,0.0287
16:27:22.146,0,0.0243
16:27:22.153,2,0.0445
16:27:22.175,1,0.0292
16:27:22.178,0,0.0252
16:27:22.199,2,0.0309
16:27:22.217,1,0.0294
16:27:22.222,0,0.0295
16:27:22.240,2,0.0581
16:27:22.248,1,0.0268
16:27:22.264,0,0.0724
16:27:22.282,2,0.0297
16:27:22.293,1,0.0304
16:27:22.305,0,0.0261
16:27:22.317,2,0.0312
16:27:22.335,1,0.0336
16:27:22.338,0,0.0288
16:27:22.359,2,0.0288
16:27:22.376,1,0.0265
16:27:22.382,0,0.0242
16:27:22.399,2,0.0247
16:27:22.408,1,0.0271
16:27:22.423,0,0.0260
16:27:22.442,2,0.0627
16:27:22.452,1,0.0280
16:27:22.465,0,0.0265
16:27:22.501,2,0.2458
16:27:22.524,2,0.0438
16:27:22.528,1,0.1996
16:27:22.529,0,0.1922
16:27:22.548,1,0.0435
16:27:22.568,2,0.0267
16:27:22.574,1,0.0296
16:27:22.589,0,0.0541
16:27:22.590,0,0.0252
16:27:22.598,2,0.0356
16:27:22.616,1,0.0260
16:27:22.617,0,0.0287
16:27:22.639,2,0.0283
16:27:22.647,1,0.0280
16:27:22.662,0,0.0265
16:27:22.679,2,0.0272
16:27:22.693,1,0.0288
16:27:22.703,0,0.0568
16:27:22.720,2,0.0415
16:27:22.734,1,0.0271
16:27:22.745,0,0.0267
16:27:22.751,2,0.0361
16:27:22.776,1,0.1932
16:27:22.777,0,0.0358
16:27:22.796,2,0.0667
16:27:22.807,1,0.0246
16:27:22.822,0,0.0293
16:27:22.838,2,0.0275
16:27:22.853,1,0.0576
16:27:22.862,0,0.0248
16:27:22.879,2,0.0351
16:27:22.893,1,0.0369
16:27:22.905,0,0.0629
16:27:22.920,2,0.0253
16:27:22.935,1,0.0423
16:27:22.936,0,0.1146
16:27:22.952,2,0.0356
16:27:22.967,1,0.0298
16:27:22.981,0,0.0255
16:27:22.996,2,0.0288
16:27:23.011,1,0.0309
16:27:23.021,0,0.0254
16:27:23.038,2,0.0636
16:27:23.053,1,0.0319
16:27:23.063,0,0.0254
16:27:23.080,2,0.0292
16:27:23.095,1,0.0300
16:27:23.095,0,0.0431
16:27:23.111,2,0.0269
16:27:23.126,1,0.0259
16:27:23.139,0,0.0304
16:27:23.156,2,0.0572
16:27:23.171,1,0.0322
16:27:23.181,0,0.0311
16:27:23.198,2,0.0296
16:27:23.213,1,0.0270
16:27:23.222,0,0.0283
16:27:23.240,2,0.0271
