wall_time,cam_index,latency_ms
16:09:41.303,0,14.0030
16:09:42.381,1,11.0638
16:09:42.391,2,29.2640
16:09:42.398,2,6.7169
16:09:42.399,0,5.7645
16:09:42.404,1,6.5967
16:09:42.405,2,5.5685
16:09:42.408,0,6.4129
16:09:42.414,2,7.3054
16:09:42.415,1,7.6730
16:09:42.419,0,5.4096
16:09:42.423,1,4.1876
16:09:42.426,0,4.6063
16:09:42.437,0,3.5571
16:09:42.440,2,6.6749
16:09:42.443,1,5.9108
16:09:42.473,2,3.4016
16:09:42.473,0,3.8531
16:09:42.477,1,4.6550
16:09:42.507,2,4.7638
16:09:42.513,1,5.5658
16:09:42.522,0,4.4924
16:09:42.556,2,4.3694
16:09:42.559,1,4.7507
16:09:42.560,0,4.9429
16:09:42.594,0,6.2763
16:09:42.598,2,7.8876
16:09:42.604,1,7.2726
16:09:42.655,1,6.0241
16:09:42.655,2,6.1606
16:09:42.655,0,6.5495
16:09:42.686,2,6.1987
16:09:42.686,1,6.8576
16:09:42.690,0,10.0273
16:09:42.712,2,8.1535
16:09:42.715,1,6.7744
16:09:42.724,0,6.3904
16:09:42.772,0,9.4028
16:09:42.772,1,7.7390
16:09:42.773,2,8.3099
16:09:42.801,2,3.9571
16:09:42.801,1,3.7866
16:09:42.805,0,8.3614
16:09:42.834,1,7.7840
16:09:42.844,2,8.6661
16:09:42.845,0,9.3840
16:09:42.877,2,9.4648
16:09:42.880,1,8.0435
16:09:42.891,0,9.6119
16:09:42.918,2,8.9475
16:09:42.918,0,8.7655
16:09:42.921,1,5.4417
16:09:42.957,2,7.3765
16:09:42.961,0,6.4724
16:09:42.961,1,6.4889
16:09:42.994,1,9.3599
16:09:43.043,0,10.5362
16:09:43.043,2,10.9024
16:09:43.043,1,8.8619
16:09:43.051,0,5.7469
16:09:43.054,2,6.7382
16:09:43.073,2,5.0953
16:09:43.076,0,8.3509
16:09:43.077,1,5.7691
16:09:43.138,0,8.0834
16:09:43.138,2,8.8518
16:09:43.139,1,8.0044
16:09:43.183,2,9.2787
16:09:43.183,1,9.6205
16:09:43.183,0,6.9047
16:09:43.194,2,8.3485
16:09:43.196,1,5.9291
16:09:43.198,0,5.5571
16:09:43.243,2,8.1015
16:09:43.247,1,9.1548
16:09:43.316,2,7.9779
16:09:43.323,2,3.9143
16:09:43.323,1,5.3668
16:09:43.326,0,17.8929
16:09:43.329,1,3.5663
16:09:43.332,0,3.3743
16:09:43.336,0,3.2290
16:09:43.414,2,8.6034
16:09:43.414,1,7.1318
16:09:43.414,0,8.0901
16:09:43.422,0,5.1806
16:09:43.422,2,6.7712
16:09:43.422,1,4.0030
16:09:43.434,2,3.8273
16:09:43.439,0,4.9189
16:09:43.444,1,4.9085
16:09:43.472,1,6.4698
16:09:43.475,2,5.7538
16:09:43.483,0,7.0597
16:09:43.529,2,5.4757
16:09:43.535,1,5.9269
16:09:43.538,0,8.7950
16:09:43.554,2,5.1727
16:09:43.557,1,4.2622
16:09:43.557,0,4.6697
16:09:43.601,2,11.2372
16:09:43.604,1,10.1040
16:09:43.608,0,10.3895
16:09:43.659,2,9.2764
16:09:43.659,0,9.4295
16:09:43.664,1,12.3387
16:09:43.673,2,4.0812
16:09:43.676,0,3.4754
16:09:43.677,1,3.9682
16:09:43.730,2,4.4421
16:09:43.730,0,4.4184
16:09:43.730,1,4.8336
16:09:43.760,2,6.6736
16:09:43.760,1,6.7910
16:09:43.761,0,6.9657
16:09:43.801,2,11.3958
16:09:43.805,1,8.4797
16:09:43.806,0,8.3992
16:09:43.866,0,6.3543
16:09:43.866,2,8.0704
16:09:43.867,1,8.3183
16:09:43.875,2,3.4543
16:09:43.881,1,3.4877
16:09:43.883,0,5.8451
16:09:43.928,2,6.9734
16:09:43.928,1,7.1179
16:09:43.932,0,9.2165
16:09:43.964,1,8.0883
16:09:43.965,2,8.4988
16:09:44.004,0,7.7838
16:09:44.004,1,7.8681
16:09:44.004,2,8.1527
16:09:44.015,0,8.3334
16:09:44.031,2,8.5044
16:09:44.039,1,7.9039
16:09:44.068,0,10.8906
16:09:44.079,2,6.9814
16:09:44.082,1,5.9443
16:09:44.084,0,5.5393
16:09:44.143,2,6.0171
16:09:44.143,1,7.3118
16:09:44.143,0,6.9949
16:09:44.158,1,6.5056
16:09:44.158,2,5.6383
16:09:44.159,0,6.7546
16:09:44.208,2,7.9152
16:09:44.208,1,7.8758
16:09:44.209,0,8.2087
16:09:44.312,0,14.4084
16:09:44.371,0,6.2486
16:09:44.377,0,3.7012
16:09:44.381,1,16.1708
16:09:44.385,1,2.8674
16:09:44.390,1,2.9555
16:09:44.392,2,13.5604
16:09:44.396,2,2.6488
16:09:44.401,2,3.1657
16:09:44.405,2,2.6162
16:09:44.451,2,7.3703
16:09:44.451,1,7.6933
16:09:44.451,0,9.2003
16:09:44.464,1,5.0880
16:09:44.464,2,9.8125
16:09:44.464,0,7.5658
16:09:44.475,2,6.0462
16:09:44.476,0,4.1553
16:09:44.476,1,9.5631
16:09:44.492,1,3.7059
16:09:44.493,0,6.1947
16:09:44.520,2,8.5745
16:09:44.520,0,8.3604
16:09:44.526,1,8.2479
16:09:44.553,1,8.6622
16:09:44.586,2,9.1759
16:09:44.586,0,9.3026
16:09:44.597,1,4.9036
16:09:44.597,2,5.0003
16:09:44.601,0,5.9359
16:09:44.664,2,9.1302
16:09:44.665,1,9.8640
16:09:44.669,0,9.9839
16:09:44.675,2,6.6227
16:09:44.676,0,4.1290
16:09:44.679,1,5.8220
16:09:44.739,2,10.0040
16:09:44.744,1,9.0317
16:09:44.744,0,12.0506
16:09:44.759,2,5.5752
16:09:44.759,1,5.6320
16:09:44.763,0,6.5988
16:09:44.799,2,11.6326
16:09:44.806,1,8.4152
16:09:44.807,0,8.5214
16:09:44.860,2,4.0500
16:09:44.860,0,4.4769
16:09:44.864,1,4.5846
16:09:44.872,2,4.2075
16:09:44.873,1,4.7210
16:09:44.880,0,7.4938
16:09:44.938,1,8.2957
16:09:44.939,2,9.8796
16:09:44.939,0,8.6973
16:09:44.948,2,6.6271
16:09:44.957,1,5.6222
16:09:44.961,0,5.3052
16:09:45.015,2,9.4939
16:09:45.015,0,9.0703
16:09:45.015,1,9.4483
16:09:45.031,1,5.2515
16:09:45.034,2,4.5818
16:09:45.060,0,7.1501
16:09:45.081,2,7.1644
16:09:45.084,0,7.0228
16:09:45.084,1,7.6356
16:09:45.142,0,8.6121
16:09:45.142,2,9.5955
16:09:45.142,1,10.4264
16:09:45.158,2,4.2773
16:09:45.158,0,4.0693
16:09:45.162,1,7.6203
16:09:45.206,2,9.4236
16:09:45.207,1,9.2625
16:09:45.208,0,8.9217
16:09:45.271,2,8.7644
16:09:45.272,1,9.7595
16:09:45.287,2,4.9508
16:09:45.290,1,8.1309
16:09:45.294,0,13.1987
16:09:45.299,0,3.2585
16:09:45.342,2,11.1799
16:09:45.342,1,10.3003
16:09:45.343,0,10.6072
16:09:45.351,1,3.5640
16:09:45.359,2,5.3688
16:09:45.359,0,5.3750
16:09:45.411,1,8.8472
16:09:45.411,2,9.7238
16:09:45.412,0,10.0587
16:09:45.445,2,11.0295
16:09:45.473,0,9.0868
16:09:45.473,1,9.5298
16:09:45.478,2,10.2981
16:09:45.481,0,6.0313
16:09:45.481,1,4.7018
16:09:45.545,2,9.1943
16:09:45.546,1,9.2883
16:09:45.550,0,13.4115
16:09:45.555,2,4.3686
16:09:45.556,1,4.9035
16:09:45.562,0,5.0752
16:09:45.605,2,9.0278
16:09:45.605,0,9.1123
16:09:45.605,1,7.4175
16:09:45.629,2,3.7707
16:09:45.640,0,4.6907
16:09:45.695,1,7.1178
16:09:45.705,1,4.3956
16:09:45.707,2,6.1625
16:09:45.707,0,6.0174
16:09:45.743,2,8.7919
16:09:45.743,0,8.3797
16:09:45.750,1,15.0497
16:09:45.758,0,8.1402
16:09:45.759,2,7.4473
16:09:45.765,1,11.4879
16:09:45.825,2,9.7442
16:09:45.826,0,9.5919
16:09:45.826,1,9.7430
16:09:45.834,2,4.5446
16:09:45.835,1,4.1793
16:09:45.840,0,5.8436
16:09:45.897,2,10.9816
16:09:45.900,1,12.2070
16:09:45.901,0,11.6880
16:09:45.923,2,8.0813
16:09:45.959,0,9.7637
16:09:45.960,1,10.3575
16:09:45.964,2,7.8897
16:09:45.967,1,4.2113
16:09:45.968,0,6.2400
16:09:46.002,2,10.1784
16:09:46.029,1,6.9058
16:09:46.032,0,8.9477
16:09:46.344,2,7.6913
16:09:46.344,1,7.5639
16:09:46.344,0,7.4535
16:09:46.358,2,11.5357
16:09:46.359,0,9.2901
16:09:46.359,1,7.4486
16:09:46.369,2,8.1517
16:09:46.369,1,5.1496
16:09:46.369,0,6.7815
16:09:46.377,2,6.0032
16:09:46.377,1,3.9031
16:09:46.377,0,4.9267
16:09:46.384,0,4.8135
16:09:46.384,2,6.1082
16:09:46.385,1,4.4584
16:09:46.399,1,6.9149
16:09:46.409,1,3.7086
16:09:46.409,0,6.5541
16:09:46.415,0,3.2786
16:09:46.415,1,5.1058
16:09:46.455,0,8.0564
16:09:46.458,1,9.5510
16:09:46.461,0,4.1724
16:09:46.464,1,4.1618
16:09:46.467,0,4.5360
16:09:46.470,1,4.1413
16:09:46.473,0,4.0464
16:09:46.476,1,4.0073
16:09:46.478,0,3.9038
16:09:46.610,0,7.3382
16:09:46.610,1,7.1843
16:09:46.618,0,5.4917
16:09:46.618,1,4.0678
16:09:46.624,1,3.3787
16:09:46.624,0,4.6561
16:09:46.674,1,9.2341
16:09:46.675,0,9.8183
16:09:46.682,1,5.8313
16:09:46.683,0,4.8308
16:09:46.777,1,11.4913
16:09:46.822,0,8.9794
16:09:46.822,1,6.9107
