wall_time,cam_index,latency_ms
11:46:03.435,0,21.7845
11:46:03.455,2,17.5326
11:46:03.464,1,19.6434
11:46:03.548,2,4.8439
11:46:03.553,0,5.5780
11:46:03.554,2,3.6822
11:46:03.559,1,15.9991
11:46:03.565,1,3.4496
11:46:03.571,1,3.7807
11:46:03.585,1,4.0936
11:46:03.589,2,6.3177
11:46:03.589,0,6.9239
11:46:03.594,1,6.3202
11:46:03.597,2,5.8845
11:46:03.598,0,4.2400
11:46:03.603,1,6.1522
11:46:03.606,2,5.4575
11:46:03.606,0,4.3204
11:46:03.611,1,6.3044
11:46:03.615,2,7.0299
11:46:03.615,0,4.3365
11:46:03.620,1,5.5914
11:46:03.623,2,5.6988
11:46:03.626,0,7.0727
11:46:03.629,1,6.5568
11:46:03.633,0,4.4838
11:46:03.646,1,4.0383
11:46:03.646,0,5.2573
11:46:03.646,2,4.9910
11:46:03.688,2,4.4084
11:46:03.689,0,4.7476
11:46:03.693,1,5.6720
11:46:03.714,0,5.7308
11:46:03.719,1,6.9536
11:46:03.732,2,6.3197
11:46:03.775,0,8.6685
11:46:03.775,2,8.5382
11:46:03.775,1,8.2581
11:46:03.804,0,9.4505
11:46:03.811,2,6.4165
11:46:03.812,1,6.3610
11:46:03.858,0,8.3215
11:46:03.858,2,8.5595
11:46:03.859,1,8.4911
11:46:03.877,0,8.1872
11:46:03.900,2,8.2408
11:46:03.901,1,8.1755
11:46:03.926,2,9.4499
11:46:03.927,0,10.0299
11:46:03.927,1,8.8587
11:46:03.966,2,7.7790
11:46:03.966,0,9.8162
11:46:03.972,1,8.6651
11:46:04.011,2,8.0080
11:46:04.012,0,8.3402
11:46:04.017,1,12.3473
11:46:04.059,1,8.8129
11:46:04.061,0,7.9931
11:46:04.066,2,12.0478
11:46:04.074,0,6.4671
11:46:04.077,2,7.0891
11:46:04.080,1,3.5171
11:46:04.121,0,8.3259
11:46:04.132,2,6.3440
11:46:04.133,1,6.7777
11:46:04.163,0,9.4630
11:46:04.167,2,9.4884
11:46:04.177,1,9.1981
11:46:04.226,2,8.1042
11:46:04.226,0,8.2762
11:46:04.226,1,8.7782
11:46:04.268,1,7.5557
11:46:04.268,0,7.4176
11:46:04.269,2,8.1176
11:46:04.281,2,5.7779
11:46:04.292,1,8.3231
11:46:04.401,2,7.8306
11:46:04.407,1,7.3020
11:46:04.411,2,5.5191
11:46:04.417,1,6.1398
11:46:04.418,2,4.2569
11:46:04.420,0,19.7307
11:46:04.425,1,5.2697
11:46:04.427,0,4.2369
11:46:04.433,0,3.4590
11:46:04.438,0,3.2928
11:46:04.451,2,3.1780
11:46:04.451,0,3.5490
11:46:04.454,1,6.3144
11:46:04.489,0,6.1816
11:46:04.489,2,5.9267
11:46:04.493,1,8.0791
11:46:04.522,1,8.6186
11:46:04.528,0,4.5322
11:46:04.528,2,4.9047
11:46:04.556,0,8.9873
11:46:04.563,2,4.0969
11:46:04.564,1,3.9683
11:46:04.624,0,7.5578
11:46:04.625,2,7.6382
11:46:04.625,1,7.7920
11:46:04.638,0,6.0546
11:46:04.641,2,3.7918
11:46:04.643,1,4.8838
11:46:04.687,1,13.0386
11:46:04.691,0,7.0115
11:46:04.691,2,6.9975
11:46:04.722,0,7.3217
11:46:04.725,2,5.1637
11:46:04.729,1,4.4639
11:46:04.778,0,8.5958
11:46:04.778,2,8.1272
11:46:04.778,1,7.7513
11:46:04.857,0,8.8942
11:46:04.862,2,9.1538
11:46:04.865,1,10.1739
11:46:04.865,0,5.1583
11:46:04.871,2,6.9117
11:46:04.874,1,6.3038
11:46:04.875,0,4.5707
11:46:04.878,2,4.8169
11:46:04.880,1,4.3181
11:46:04.935,0,9.1910
11:46:04.936,2,7.4686
11:46:04.941,1,11.3193
11:46:04.964,0,9.8825
11:46:04.970,2,6.2993
11:46:04.975,1,10.6356
11:46:05.014,0,7.6005
11:46:05.014,2,6.7095
11:46:05.015,1,7.1113
11:46:05.038,0,8.7559
11:46:05.042,2,5.8990
11:46:05.059,1,8.4847
11:46:05.081,0,8.9275
11:46:05.086,2,8.6346
11:46:05.088,1,8.8689
11:46:05.127,0,9.9227
11:46:05.130,1,8.1985
11:46:05.130,2,10.3430
11:46:05.197,1,8.0180
11:46:05.197,2,8.0567
11:46:05.198,0,8.1263
11:46:05.211,1,9.0856
11:46:05.211,2,5.2442
11:46:05.211,0,7.1182
11:46:05.257,0,8.0710
11:46:05.257,2,8.0876
11:46:05.257,1,7.8947
11:46:05.459,0,18.9537
11:46:05.463,0,3.0954
11:46:05.472,2,15.3035
11:46:05.477,2,3.0832
11:46:05.481,2,3.1768
11:46:05.540,0,6.7643
11:46:05.548,0,4.8811
11:46:05.572,2,7.2957
11:46:05.576,0,6.4420
11:46:05.585,2,3.5256
11:46:05.588,0,5.7044
11:46:05.591,2,3.9967
11:46:05.594,0,3.5727
11:46:05.599,0,3.3860
11:46:05.599,2,5.4646
11:46:05.605,0,4.6443
11:46:05.608,2,5.2745
11:46:05.614,2,3.5958
11:46:05.645,0,8.8767
11:46:05.649,2,4.8610
11:46:05.698,0,7.8011
11:46:05.698,2,7.5360
11:46:05.723,0,7.0517
11:46:05.727,2,10.1164
11:46:05.756,0,6.9017
11:46:05.766,2,9.1620
11:46:05.819,0,8.1991
11:46:05.820,2,7.7989
11:46:05.839,2,5.9469
11:46:05.875,0,8.8912
11:46:05.886,2,10.2973
11:46:05.887,0,8.6581
11:46:05.933,2,7.2582
11:46:05.933,0,8.4497
11:46:05.961,0,7.6904
11:46:05.964,2,6.2120
11:46:06.012,2,6.7265
11:46:06.013,0,7.8767
11:46:06.070,0,8.2252
11:46:06.070,2,8.3610
11:46:06.079,0,6.6213
11:46:06.085,2,7.9422
11:46:06.167,2,7.9597
11:46:06.170,0,10.5102
11:46:06.173,2,3.7496
11:46:06.175,0,3.4003
11:46:06.236,2,7.4506
11:46:06.237,0,8.3830
11:46:06.244,2,4.2444
11:46:06.244,0,4.0989
11:46:06.311,2,8.2476
11:46:06.319,2,5.0568
11:46:06.328,0,17.7128
11:46:06.334,0,3.5045
11:46:06.368,2,7.6092
11:46:06.371,0,8.8844
11:46:06.423,0,7.0195
11:46:06.423,2,6.8856
11:46:06.442,0,8.2849
11:46:06.447,2,7.4635
11:46:06.486,2,7.7849
11:46:06.490,0,9.6631
11:46:06.551,2,7.8929
11:46:06.551,0,8.0406
11:46:06.562,0,5.5801
11:46:06.565,2,4.9703
11:46:06.601,0,8.6015
11:46:06.608,2,5.5536
11:46:06.676,2,8.9236
11:46:06.681,0,11.1339
11:46:06.685,2,4.5616
11:46:06.688,0,5.5229
11:46:06.741,2,7.5200
11:46:06.744,0,8.3960
11:46:06.790,2,7.9422
11:46:06.790,0,9.3043
11:46:06.797,2,4.0097
11:46:06.799,0,5.0856
11:46:06.869,0,6.0053
11:46:06.872,2,5.0513
11:46:06.881,0,7.9220
11:46:06.884,2,5.8966
11:46:06.933,0,3.2798
11:46:06.933,2,3.0472
11:46:07.021,2,8.2699
11:46:07.021,0,8.2278
11:46:07.031,0,5.6930
11:46:07.032,2,5.2537
11:46:07.043,0,5.1655
11:46:07.059,2,6.9488
11:46:07.080,0,8.9431
11:46:07.086,2,4.7861
11:46:07.136,2,7.6178
11:46:07.139,0,9.2792
11:46:07.172,2,7.0185
11:46:07.173,0,7.3814
11:46:07.214,2,8.5477
11:46:07.215,0,9.0695
11:46:07.234,0,6.6465
11:46:07.271,2,6.8211
11:46:07.271,1,6.8148
11:46:07.464,1,15.5653
11:46:07.467,2,13.4077
11:46:07.471,1,4.1833
11:46:07.473,2,3.5549
11:46:07.476,1,3.6806
11:46:07.479,2,3.7736
11:46:07.482,1,3.6537
11:46:07.518,2,7.5297
11:46:07.518,1,7.4725
11:46:07.525,1,3.2400
11:46:07.527,2,4.8134
11:46:07.579,2,8.2310
11:46:07.583,1,6.7901
11:46:07.600,1,6.3937
11:46:07.603,2,6.4286
11:46:07.654,2,7.0114
11:46:07.657,1,10.0342
11:46:07.708,2,7.0193
11:46:07.709,1,7.5627
11:46:07.717,2,4.5782
11:46:07.731,1,6.2825
11:46:07.789,2,7.8388
11:46:07.789,1,7.6428
11:46:07.801,1,4.2133
11:46:07.806,2,4.3650
11:46:07.855,1,4.5214
11:46:07.859,2,7.7403
11:46:07.878,2,5.7581
11:46:07.931,2,8.1830
11:46:07.931,1,8.2637
11:46:07.940,1,4.7429
11:46:07.990,2,6.0511
11:46:08.002,1,7.4794
11:46:08.005,2,5.5154
11:46:08.008,1,3.6502
11:46:08.063,2,8.2000
11:46:08.063,1,7.7567
11:46:08.080,2,4.4097
11:46:08.125,1,8.5118
11:46:08.129,2,7.5351
11:46:08.134,1,5.3909
11:46:08.209,1,9.3741
11:46:08.213,2,10.0135
11:46:08.216,1,3.7829
11:46:08.218,2,3.5910
11:46:08.275,0,8.9663
11:46:08.276,2,8.3800
11:46:08.276,1,9.0125
11:46:08.286,1,7.0932
11:46:08.286,2,5.9894
11:46:08.343,1,6.9151
11:46:08.343,2,7.3210
11:46:08.408,1,7.3454
11:46:08.408,2,6.7351
11:46:08.417,2,4.3903
11:46:08.418,1,5.0767
11:46:08.464,2,7.1995
11:46:08.465,1,7.7307
11:46:08.488,2,6.4190
11:46:08.489,1,7.0665
11:46:08.523,1,3.6303
11:46:08.527,2,5.4880
11:46:08.579,2,7.6702
11:46:08.579,1,7.3738
11:46:08.608,1,7.2309
11:46:08.621,2,7.9270
11:46:08.645,2,4.9131
11:46:08.648,1,8.0281
11:46:08.704,1,8.6205
11:46:08.704,2,8.2628
11:46:08.716,2,5.1845
11:46:08.728,1,7.4120
