abs_time,cam_index,rtp_seq
1776958104.914286,1,4252
1776958104.914895,2,29301
1776958104.915754,1,4253
1776958104.916029,2,29302
1776958104.916551,0,11139
1776958104.916752,1,4254
1776958104.917439,0,11140
1776958104.917193,2,29303
1776958104.917804,1,4255
1776958104.917957,0,11141
1776958104.918350,1,4256
1776958104.918744,2,29304
1776958104.919056,0,11142
1776958104.919249,1,4257
1776958104.919582,2,29305
1776958104.919719,0,11143
1776958104.920014,1,4258
1776958104.920126,2,29306
1776958104.920429,0,11144
1776958104.920547,1,4259
1776958104.920997,0,11145
1776958104.920817,2,29307
1776958104.921440,0,11146
1776958104.921315,1,4260
1776958104.921855,2,29308
1776958104.921749,0,11147
1776958104.922163,1,4261
1776958104.922272,2,29309
1776958104.922596,1,4262
1776958104.922702,2,29310
1776958104.922923,0,11148
1776958104.923050,1,4263
1776958104.923485,0,11149
1776958104.923319,2,29311
1776958104.923903,0,11150
1776958104.923760,1,4264
1776958104.924348,0,11151
1776958104.924203,2,29312
1776958104.924652,1,4265
1776958104.924779,0,11152
1776958104.925056,2,29313
1776958104.925190,1,4266
1776958104.925467,0,11153
1776958104.925666,2,29314
1776958104.925775,1,4267
1776958104.926108,2,29315
1776958104.926222,1,4268
1776958104.926406,0,11154
1776958104.926517,2,29316
1776958104.926782,1,4269
1776958104.926893,0,11155
1776958104.927166,2,29317
1776958104.927270,1,4270
1776958104.927487,0,11156
1776958104.927792,1,4271
1776958104.927918,0,11157
1776958104.928103,2,29318
1776958104.928218,1,4272
1776958104.928470,0,11158
1776958104.928593,2,29319
1776958104.928846,1,4273
1776958104.928965,0,11159
1776958104.929435,2,29320
1776958104.929570,1,4274
1776958104.929758,0,11160
1776958104.930261,1,4275
1776958104.930132,2,29321
1776958104.930538,0,11161
1776958104.930745,1,4276
1776958104.930877,2,29322
1776958104.931177,1,4277
1776958104.931312,0,11162
1776958104.931567,2,29323
1776958104.931752,1,4278
1776958104.931931,0,11163
1776958104.932055,2,29324
1776958104.932333,1,4279
1776958104.932407,2,29325
1776958104.932575,0,11164
1776958104.932687,1,4280
1776958104.932868,2,29326
1776958104.933077,0,11165
1776958104.933195,1,4281
1776958104.933346,2,29327
1776958104.933450,0,11166
1776958104.933710,2,29328
1776958104.933649,1,4282
1776958104.933917,0,11167
1776958104.934057,2,29329
1776958104.934267,1,4283
1776958104.934328,2,29330
1776958104.934513,0,11168
1776958104.934620,2,29331
1776958104.934741,0,11169
1776958104.934798,2,29332
1776958104.935008,1,4284
1776958104.935061,2,29333
1776958104.935152,0,11170
1776958104.935289,2,29334
1776958104.935459,1,4285
1776958104.935514,2,29335
1776958104.935684,0,11171
1776958104.935901,2,29336
1776958104.936092,1,4286
1776958104.936193,0,11172
1776958104.936414,2,29337
1776958104.936531,1,4287
1776958104.936736,0,11173
1776958104.936878,2,29338
1776958104.936977,1,4288
1776958104.937252,2,29339
1776958104.937195,0,11174
1776958104.937445,1,4289
1776958104.937577,2,29340
1776958104.937672,0,11175
1776958104.937938,2,29341
1776958104.937848,1,4290
1776958104.938096,2,29342
1776958104.938264,1,4291
1776958104.938321,2,29343
1776958104.938495,0,11176
1776958104.938583,2,29344
1776958104.938752,1,4292
1776958104.938807,2,29345
1776958104.939002,0,11177
1776958104.939085,2,29346
1776958104.939252,1,4293
1776958104.939310,2,29347
1776958104.939481,0,11178
1776958104.939574,2,29348
1776958104.939744,1,4294
1776958104.939845,2,29349
1776958104.939972,1,4295
1776958104.940072,2,29350
1776958104.940242,0,11179
1776958104.940296,2,29351
1776958104.940465,1,4296
1776958104.940518,2,29352
