wall_time,cam_index,latency_ms
16:09:40.223,0,0.0949
16:09:40.223,0,0.2614
16:09:40.225,2,0.1235
16:09:40.225,2,0.2278
16:09:40.228,1,0.0789
16:09:40.228,1,0.1255
16:09:41.224,0,0.1415
16:09:41.224,0,0.2515
16:09:42.220,0,0.0665
16:09:42.220,0,0.2446
16:09:42.244,2,0.1978
16:09:42.244,2,0.2731
16:09:42.246,1,0.2128
16:09:42.246,1,0.3113
16:09:43.230,0,0.0490
16:09:43.230,0,0.1300
16:09:44.212,0,0.0268
16:09:44.212,0,0.1197
16:09:44.223,1,0.0569
16:09:44.223,1,0.1604
16:09:44.227,2,0.1102
16:09:44.227,2,0.1926
16:09:45.220,0,0.0403
16:09:45.220,0,0.1572
16:09:46.213,2,0.0520
16:09:46.213,2,0.1407
16:09:46.214,1,0.0295
16:09:46.214,1,0.0885
16:09:46.216,0,0.0248
16:09:46.216,0,0.0741
16:09:47.228,0,0.0341
16:09:47.228,0,0.1152
16:09:48.227,0,0.0561
16:09:48.228,0,0.1589
16:09:48.232,2,0.0661
16:09:48.232,2,0.1279
16:09:48.249,1,0.1841
16:09:48.249,1,0.2505
16:09:49.231,0,0.0546
16:09:49.231,0,0.1466
16:09:50.228,0,0.0618
16:09:50.228,0,0.1776
16:09:50.229,2,0.0593
16:09:50.234,2,4.3197
16:09:50.241,1,0.1758
16:09:50.241,1,0.2768
16:09:51.219,0,0.0515
16:09:51.219,0,0.1618
16:09:52.218,0,0.0268
16:09:52.218,0,0.1140
16:09:52.227,2,0.0840
16:09:52.228,2,0.1608
16:09:52.237,1,0.0466
16:09:52.237,1,0.0879
16:09:53.224,0,0.0469
16:09:53.224,0,0.1374
16:09:54.231,0,0.0395
16:09:54.231,0,0.1269
16:09:54.235,2,0.0812
16:09:54.235,2,0.1897
16:09:54.241,1,0.1052
16:09:54.241,1,0.2216
16:09:55.224,0,0.0680
16:09:55.224,0,0.1883
16:09:56.229,0,0.1019
16:09:56.229,0,0.2091
16:09:56.250,1,0.1269
16:09:56.250,1,0.1937
16:09:56.252,2,0.1586
16:09:56.252,2,0.2856
16:09:57.224,0,0.0367
16:09:57.224,0,0.1341
16:09:58.225,0,0.0768
16:09:58.225,0,0.2537
16:09:58.235,2,0.1608
16:09:58.235,2,0.2131
16:09:58.243,1,0.0821
16:09:58.243,1,0.1394
16:09:59.223,0,0.0348
16:09:59.223,0,0.1310
16:10:00.226,1,0.0946
16:10:00.226,1,0.2518
16:10:00.227,0,0.0752
16:10:00.227,0,0.1720
16:10:00.232,2,0.0971
16:10:00.232,2,0.1783
16:10:01.227,0,0.0477
16:10:01.227,0,0.1427
16:10:02.215,0,0.0236
16:10:02.215,0,0.1067
16:10:02.241,1,0.0632
16:10:02.241,1,0.1441
16:10:02.244,2,0.0573
16:10:02.244,2,0.1125
16:10:03.231,0,0.0507
16:10:03.231,0,0.1551
16:10:04.245,0,0.0841
16:10:04.246,0,0.2298
16:10:04.256,2,0.2335
16:10:04.256,2,0.3980
16:10:04.256,1,0.1603
16:10:04.256,1,0.2547
