wall_time,cam_index,latency_ms
17:28:24.604,0,0.1077
17:28:24.604,0,0.3455
17:28:24.616,2,0.1729
17:28:24.616,2,0.4459
17:28:24.623,1,0.1054
17:28:24.623,1,0.2994
17:28:25.597,0,0.0485
17:28:25.597,0,0.2730
17:28:26.597,0,0.0663
17:28:26.597,0,0.2707
17:28:26.619,2,0.2324
17:28:26.619,2,0.6554
17:28:26.624,1,0.3779
17:28:26.624,1,0.5734
17:28:27.607,0,0.1834
17:28:27.607,0,0.4221
17:28:28.595,0,0.0320
17:28:28.595,0,0.1753
17:28:28.620,2,0.0857
17:28:28.620,2,0.3191
17:28:28.631,1,0.1151
17:28:28.631,1,0.2795
17:28:29.598,0,0.0506
17:28:29.598,0,0.2510
17:28:30.605,0,0.0468
17:28:30.605,0,0.2983
17:28:30.614,2,0.0956
17:28:30.614,2,0.2425
17:28:30.631,1,0.0887
17:28:30.631,1,0.3056
17:28:31.615,0,0.0585
17:28:31.615,0,0.1980
17:28:32.597,0,0.0309
17:28:32.597,0,0.1640
17:28:32.618,2,0.1272
17:28:32.618,2,0.3935
17:28:32.629,1,0.0530
17:28:32.629,1,0.2652
17:28:33.608,0,0.0906
17:28:33.609,0,0.3139
17:28:34.612,0,0.1054
17:28:34.613,0,0.2803
17:28:34.628,2,0.1910
17:28:34.629,2,0.4583
17:28:34.640,1,0.1052
17:28:34.640,1,0.2444
17:28:35.609,0,0.0687
17:28:35.615,0,5.5207
17:28:36.598,0,0.0318
17:28:36.598,0,0.1752
17:28:36.632,1,0.0797
17:28:36.632,1,0.2886
17:28:36.634,2,0.1829
17:28:36.634,2,0.4117
17:28:37.609,0,0.0473
17:28:37.610,0,0.1927
17:28:38.598,0,0.0322
17:28:38.598,0,0.1651
17:28:38.623,1,0.1029
17:28:38.624,1,0.4390
17:28:38.625,2,0.1193
17:28:38.625,2,0.2732
17:28:39.607,0,0.0416
17:28:39.607,0,0.1784
17:28:40.607,0,0.0394
17:28:40.607,0,0.1817
17:28:40.635,2,0.0921
17:28:40.637,1,0.1358
17:28:40.641,2,5.6085
17:28:40.641,1,4.4998
17:28:41.602,0,0.0366
17:28:41.602,0,0.1744
17:28:42.608,0,0.0370
17:28:42.608,0,0.1721
17:28:42.628,2,0.0886
17:28:42.628,2,0.3232
17:28:42.639,1,0.1096
17:28:42.639,1,0.3423
17:28:43.607,0,0.0745
17:28:43.607,0,0.2773
17:28:44.611,0,0.0433
17:28:44.611,0,0.1851
17:28:44.630,2,0.0929
17:28:44.630,2,0.3336
17:28:44.660,1,0.2115
17:28:44.660,1,0.5046
17:28:45.602,0,0.0475
17:28:45.602,0,0.2448
17:28:46.613,0,0.0827
17:28:46.614,0,0.3558
17:28:46.630,2,0.0918
17:28:46.630,2,0.3517
17:28:46.636,1,0.1070
17:28:46.636,1,0.3269
17:28:47.609,0,0.0544
17:28:47.609,0,0.2655
17:28:48.612,0,0.0434
17:28:48.612,0,0.1903
17:28:48.626,2,0.1235
17:28:48.627,2,0.3965
17:28:48.657,1,0.1227
17:28:48.657,1,0.3449
17:28:49.629,0,0.1135
17:28:49.629,0,0.3308
17:28:50.626,0,0.0551
17:28:50.626,0,0.2052
17:28:50.631,2,0.0618
17:28:50.631,2,0.1651
17:28:50.658,1,0.2003
17:28:50.658,1,0.3661
17:28:51.628,0,0.0958
17:28:51.628,0,0.3182
17:28:52.624,0,0.0582
17:28:52.624,0,0.2699
17:28:52.634,2,0.1327
17:28:52.634,2,0.4045
17:28:52.661,1,0.1741
17:28:52.662,1,0.4152
17:28:53.618,0,0.0944
17:28:53.618,0,0.2877
17:28:54.615,0,0.0802
17:28:54.615,0,0.5601
17:28:54.642,2,0.1297
17:28:54.642,2,0.3690
17:28:54.653,1,0.1052
17:28:54.653,1,0.2305
17:28:55.610,0,0.0783
17:28:55.610,0,0.3518
17:28:56.606,0,0.0397
17:28:56.606,0,0.1904
17:28:56.642,2,0.2035
17:28:56.642,2,0.5106
17:28:56.645,1,0.0913
17:28:56.645,1,0.3267
17:28:57.610,0,0.0386
17:28:57.610,0,0.1993
17:28:58.616,0,0.0372
17:28:58.616,0,0.1865
17:28:58.644,2,0.1433
17:28:58.644,2,0.4140
17:28:58.653,1,0.0777
17:28:58.653,1,0.2068
17:28:59.611,0,0.0795
17:28:59.611,0,0.2988
17:29:00.614,0,0.0401
17:29:00.614,0,0.2427
17:29:00.644,2,0.0828
17:29:00.644,2,0.2449
17:29:00.652,1,0.1085
17:29:00.652,1,0.2875
17:29:01.616,0,0.0667
17:29:01.617,0,0.2134
17:29:02.615,0,0.0464
17:29:02.615,0,0.2611
17:29:02.645,2,0.2071
17:29:02.645,2,0.7982
17:29:02.653,1,0.1498
17:29:02.653,1,0.5806
17:29:03.616,0,0.0534
17:29:03.616,0,0.2009
17:29:04.624,0,0.0646
17:29:04.624,0,0.2726
17:29:04.643,2,0.1760
17:29:04.643,2,0.4744
17:29:04.654,1,0.0611
17:29:04.654,1,0.1752
17:29:05.613,0,0.0414
17:29:05.614,0,0.2040
