wall_time,cam_index,latency_ms
16:46:34.693,0,0.1826
16:46:34.704,2,0.3843
16:46:34.710,1,0.5384
16:46:34.753,2,49.6430
16:46:34.753,0,60.0429
16:46:34.753,1,43.7202
16:46:35.691,0,0.1671
16:46:35.691,0,0.5622
16:46:36.700,0,0.0780
16:46:36.700,0,0.3949
16:46:36.720,2,0.2656
16:46:36.721,2,0.9173
16:46:36.729,1,0.2626
16:46:36.729,1,0.5352
16:46:37.704,0,0.0689
16:46:37.704,0,0.3519
16:46:38.700,0,0.0816
16:46:38.700,0,0.6709
16:46:38.724,2,0.1738
16:46:38.724,2,0.6351
16:46:38.736,1,0.1791
16:46:38.736,1,0.4050
16:46:39.709,0,0.0970
16:46:39.709,0,0.4167
16:46:40.704,0,0.0825
16:46:40.705,0,0.5352
16:46:40.717,2,0.2306
16:46:40.717,2,0.6617
16:46:40.738,1,0.2660
16:46:40.739,1,0.7492
16:46:41.700,0,0.0795
16:46:41.701,0,0.5091
16:46:42.710,0,0.0879
16:46:42.711,0,0.6089
16:46:42.724,2,0.2170
16:46:42.724,2,1.0379
16:46:42.736,1,0.1227
16:46:42.736,1,0.4258
16:46:43.701,0,0.0898
16:46:43.701,0,0.3883
16:46:44.697,0,0.0790
16:46:44.697,0,0.5057
16:46:44.726,2,0.2381
16:46:44.727,2,0.8009
16:46:44.740,1,0.2726
16:46:44.740,1,0.5059
16:46:45.707,0,0.0737
16:46:45.708,0,0.5963
