abs_time,cam_index,rtp_seq
1776958104.604330,0,11030
1776958104.604451,0,11031
1776958104.616731,2,29195
1776958104.616930,2,29196
1776958104.623438,1,4158
1776958104.623618,1,4159
1776958105.597454,0,11340
1776958105.597550,0,11341
1776958106.597538,0,11613
1776958106.597610,0,11614
1776958106.619286,2,29843
1776958106.619601,2,29844
1776958106.624326,1,4802
1776958106.624488,1,4803
1776958107.607449,0,11932
1776958107.607576,0,11933
1776958108.595310,0,12295
1776958108.595384,0,12296
1776958108.620377,2,30548
1776958108.620502,2,30549
1776958108.631635,1,5484
1776958108.631747,1,5485
1776958109.598757,0,12673
1776958109.598828,0,12674
1776958110.605595,0,13047
1776958110.605783,0,13048
1776958110.614493,2,31269
1776958110.614583,2,31270
1776958110.631669,1,6204
1776958110.631855,1,6205
1776958111.615750,0,13445
1776958111.615823,0,13446
1776958112.597830,0,13802
1776958112.597892,0,13803
1776958112.618803,2,31979
1776958112.618940,2,31980
1776958112.629324,1,6926
1776958112.629452,1,6927
1776958113.609094,0,14151
1776958113.609215,0,14152
1776958114.613066,0,14537
1776958114.613163,0,14538
1776958114.628893,2,32717
1776958114.629081,2,32718
1776958114.640857,1,7616
1776958114.640936,1,7617
1776958115.609935,0,14914
1776958115.615344,0,14915
1776958116.598290,0,15273
1776958116.598361,0,15274
1776958116.632157,1,8370
1776958116.632272,1,8371
1776958116.634739,2,33479
1776958116.634851,2,33480
1776958117.610005,0,15662
1776958117.610076,0,15663
1776958118.598203,0,16028
1776958118.598267,0,16029
1776958118.624188,1,9125
1776958118.624349,1,9126
1776958118.625412,2,34218
1776958118.625511,2,34219
1776958119.607369,0,16395
1776958119.607435,0,16396
1776958120.607496,0,16764
1776958120.607561,0,16765
1776958120.635694,2,34958
1776958120.641351,1,9832
1776958120.641407,2,34959
1776958120.641626,1,9833
1776958121.602149,0,17142
1776958121.602218,0,17143
1776958122.608787,0,17509
1776958122.608852,0,17510
1776958122.628438,2,35706
1776958122.628598,2,35707
1776958122.639529,1,10600
1776958122.639672,1,10601
1776958123.607264,0,17875
1776958123.607336,0,17876
1776958124.611238,0,18251
1776958124.611311,0,18252
1776958124.630340,2,36449
1776958124.630511,2,36450
1776958124.660713,1,11334
1776958124.660866,1,11335
1776958125.602686,0,18627
1776958125.602758,0,18628
1776958126.613986,0,19000
1776958126.614142,0,19001
1776958126.630349,2,37196
1776958126.630548,2,37197
1776958126.636699,1,12105
1776958126.636826,1,12106
1776958127.609435,0,19367
1776958127.609518,0,19368
1776958128.612826,0,19745
1776958128.612900,0,19746
1776958128.626951,2,37934
1776958128.627144,2,37935
1776958128.657768,1,12828
1776958128.657865,1,12829
1776958129.629771,0,20140
1776958129.629862,0,20141
1776958130.626203,0,20563
1776958130.626278,0,20564
1776958130.631478,2,38679
1776958130.631547,2,38680
1776958130.658374,1,13571
1776958130.658467,1,13572
1776958131.628420,0,20956
1776958131.628508,0,20957
1776958132.624818,0,21341
1776958132.624955,0,21342
1776958132.634833,2,39430
1776958132.635038,2,39431
1776958132.662061,1,14344
1776958132.662215,1,14345
1776958133.618562,0,21720
1776958133.618637,0,21721
1776958134.615709,0,22092
1776958134.615947,0,22093
1776958134.642561,2,40169
1776958134.642717,2,40170
1776958134.653387,1,15099
1776958134.653467,1,15100
1776958135.610563,0,22420
1776958135.610704,0,22421
1776958136.606352,0,22745
1776958136.606424,0,22746
1776958136.642401,2,40919
1776958136.642638,2,40920
1776958136.645601,1,15856
1776958136.645738,1,15857
1776958137.610574,0,23096
1776958137.610657,0,23097
1776958138.616829,0,23471
1776958138.616899,0,23472
1776958138.644789,2,41656
1776958138.644906,2,41657
1776958138.653910,1,16589
1776958138.653992,1,16590
1776958139.611667,0,23846
1776958139.611761,0,23847
1776958140.614590,0,24211
1776958140.614660,0,24212
1776958140.644754,2,42399
1776958140.644839,2,42400
1776958140.652265,1,17328
1776958140.652365,1,17329
1776958141.617097,0,24589
1776958141.617168,0,24590
1776958142.615437,0,24961
1776958142.615516,0,24962
1776958142.645514,2,43138
1776958142.646048,2,43139
1776958142.653285,1,18049
1776958142.653558,1,18050
1776958143.616699,0,25337
1776958143.616761,0,25338
1776958144.624635,0,25709
1776958144.630097,0,25710
1776958144.643778,2,43881
1776958144.643926,2,43882
1776958144.654919,1,18801
1776958144.654994,1,18802
1776958145.614041,0,26101
1776958145.614132,0,26102
