wall_time,iface,tx_mbps,rx_mbps
15:48:21,enp0s31f6,0.097,3.734
15:48:21,enx0c3796ba2d6a,0.139,5.219
15:48:21,enx0c3796ba2d67,0.083,2.638
15:48:22,enp0s31f6,0.066,3.236
15:48:22,enx0c3796ba2d6a,0.065,2.951
15:48:22,enx0c3796ba2d67,0.096,3.846
15:48:23,enp0s31f6,0.117,4.839
15:48:23,enx0c3796ba2d6a,0.115,4.854
15:48:23,enx0c3796ba2d67,0.098,4.156
15:48:24,enp0s31f6,0.099,3.330
15:48:24,enx0c3796ba2d6a,0.116,3.164
15:48:24,enx0c3796ba2d67,0.133,4.018
15:48:25,enp0s31f6,0.103,4.569
15:48:25,enx0c3796ba2d6a,0.107,4.799
15:48:25,enx0c3796ba2d67,0.090,3.922
15:48:26,enp0s31f6,0.074,3.496
15:48:26,enx0c3796ba2d6a,0.075,3.305
15:48:26,enx0c3796ba2d67,0.107,4.203
15:48:27,enp0s31f6,0.098,4.690
15:48:27,enx0c3796ba2d6a,0.100,4.612
15:48:27,enx0c3796ba2d67,0.092,4.100
15:48:28,enp0s31f6,0.072,3.563
15:48:28,enx0c3796ba2d6a,0.077,3.440
15:48:28,enx0c3796ba2d67,0.092,4.306
15:48:29,enp0s31f6,0.099,4.675
15:48:29,enx0c3796ba2d6a,0.105,4.911
15:48:29,enx0c3796ba2d67,0.092,4.181
15:48:30,enp0s31f6,0.072,3.606
15:48:30,enx0c3796ba2d6a,0.077,3.489
15:48:30,enx0c3796ba2d67,0.093,4.368
15:48:31,enp0s31f6,0.083,4.037
15:48:31,enx0c3796ba2d6a,0.113,4.653
15:48:31,enx0c3796ba2d67,0.096,4.355
15:48:32,enp0s31f6,0.080,3.772
15:48:32,enx0c3796ba2d6a,0.081,3.555
15:48:32,enx0c3796ba2d67,0.104,4.529
15:48:33,enp0s31f6,0.091,4.595
15:48:33,enx0c3796ba2d6a,0.096,4.369
15:48:33,enx0c3796ba2d67,0.080,3.510
15:48:34,enp0s31f6,0.084,3.990
15:48:34,enx0c3796ba2d6a,0.083,3.704
15:48:34,enx0c3796ba2d67,0.087,3.742
15:48:35,enp0s31f6,0.108,5.198
15:48:35,enx0c3796ba2d6a,0.113,5.259
15:48:35,enx0c3796ba2d67,0.102,4.497
15:48:36,enp0s31f6,0.066,3.605
15:48:36,enx0c3796ba2d6a,0.076,3.540
15:48:36,enx0c3796ba2d67,0.099,4.414
15:48:37,enp0s31f6,0.096,4.612
15:48:37,enx0c3796ba2d6a,0.108,4.937
15:48:37,enx0c3796ba2d67,0.098,4.325
15:48:38,enp0s31f6,0.077,3.756
15:48:38,enx0c3796ba2d6a,0.076,3.532
15:48:38,enx0c3796ba2d67,0.095,4.286
15:48:39,enp0s31f6,0.101,4.815
15:48:39,enx0c3796ba2d6a,0.110,5.091
15:48:39,enx0c3796ba2d67,0.097,4.283
15:48:40,enp0s31f6,0.077,3.708
15:48:40,enx0c3796ba2d6a,0.076,3.485
15:48:40,enx0c3796ba2d67,0.093,4.189
15:48:41,enp0s31f6,0.099,4.760
15:48:41,enx0c3796ba2d6a,0.107,4.998
15:48:41,enx0c3796ba2d67,0.093,4.198
15:48:42,enp0s31f6,0.077,3.747
15:48:42,enx0c3796ba2d6a,0.074,3.462
15:48:42,enx0c3796ba2d67,0.093,4.195
15:48:43,enp0s31f6,0.104,4.805
15:48:43,enx0c3796ba2d6a,0.108,4.915
15:48:43,enx0c3796ba2d67,0.092,4.177
15:48:44,enp0s31f6,0.072,3.714
15:48:44,enx0c3796ba2d6a,0.074,3.496
15:48:44,enx0c3796ba2d67,0.092,4.253
15:48:45,enp0s31f6,0.099,4.788
15:48:45,enx0c3796ba2d6a,0.104,4.797
15:48:45,enx0c3796ba2d67,0.090,4.155
15:48:46,enp0s31f6,0.076,3.628
15:48:46,enx0c3796ba2d6a,0.078,3.491
15:48:46,enx0c3796ba2d67,0.099,4.336
15:48:47,enp0s31f6,0.103,5.103
15:48:47,enx0c3796ba2d6a,0.118,5.286
15:48:47,enx0c3796ba2d67,0.098,4.461
15:48:48,enp0s31f6,0.073,3.534
15:48:48,enx0c3796ba2d6a,0.079,3.367
15:48:48,enx0c3796ba2d67,0.100,4.369
15:48:49,enp0s31f6,0.110,5.248
15:48:49,enx0c3796ba2d6a,0.120,5.406
15:48:49,enx0c3796ba2d67,0.095,4.320
15:48:50,enp0s31f6,0.070,3.422
15:48:50,enx0c3796ba2d6a,0.074,3.273
15:48:50,enx0c3796ba2d67,0.092,4.176
15:48:51,enp0s31f6,0.100,5.004
15:48:51,enx0c3796ba2d6a,0.110,5.170
15:48:51,enx0c3796ba2d67,0.093,4.263
15:48:52,enp0s31f6,0.068,3.435
15:48:52,enx0c3796ba2d6a,0.073,3.298
15:48:52,enx0c3796ba2d67,0.093,4.298
15:48:53,enp0s31f6,0.100,4.897
15:48:53,enx0c3796ba2d6a,0.112,5.159
15:48:53,enx0c3796ba2d67,0.089,4.110
15:48:54,enp0s31f6,0.071,3.413
15:48:54,enx0c3796ba2d6a,0.071,3.246
15:48:54,enx0c3796ba2d67,0.096,4.286
15:48:55,enp0s31f6,0.108,5.202
15:48:55,enx0c3796ba2d6a,0.117,5.394
15:48:55,enx0c3796ba2d67,0.093,4.270
15:48:56,enp0s31f6,0.063,3.359
15:48:56,enx0c3796ba2d6a,0.071,3.224
15:48:56,enx0c3796ba2d67,0.094,4.251
15:48:57,enp0s31f6,0.114,5.216
15:48:57,enx0c3796ba2d6a,0.116,5.301
15:48:57,enx0c3796ba2d67,0.092,4.205
15:48:58,enp0s31f6,0.071,3.395
15:48:58,enx0c3796ba2d6a,0.069,3.183
15:48:58,enx0c3796ba2d67,0.095,4.228
15:48:59,enp0s31f6,0.102,4.862
15:48:59,enx0c3796ba2d6a,0.112,5.176
15:48:59,enx0c3796ba2d67,0.095,4.230
15:49:00,enp0s31f6,0.067,3.439
15:49:00,enx0c3796ba2d6a,0.065,3.161
15:49:00,enx0c3796ba2d67,0.093,4.173
15:49:01,enp0s31f6,0.103,5.224
15:49:01,enx0c3796ba2d6a,0.115,5.325
15:49:01,enx0c3796ba2d67,0.091,4.229
15:49:02,enp0s31f6,0.069,3.386
15:49:02,enx0c3796ba2d6a,0.069,3.194
15:49:02,enx0c3796ba2d67,0.096,4.252
15:49:03,enp0s31f6,0.108,5.076
15:49:03,enx0c3796ba2d6a,0.110,5.101
15:49:03,enx0c3796ba2d67,0.090,4.045
15:49:04,enp0s31f6,0.066,3.340
15:49:04,enx0c3796ba2d6a,0.071,3.228
15:49:04,enx0c3796ba2d67,0.089,4.142
15:49:05,enp0s31f6,0.109,5.116
15:49:05,enx0c3796ba2d6a,0.126,5.168
15:49:05,enx0c3796ba2d67,0.092,4.292
15:49:06,enp0s31f6,0.068,3.411
15:49:06,enx0c3796ba2d6a,0.072,3.288
15:49:06,enx0c3796ba2d67,0.109,3.813
15:49:07,enp0s31f6,0.094,4.461
15:49:07,enx0c3796ba2d6a,0.105,4.659
15:49:07,enx0c3796ba2d67,0.091,4.060
15:49:08,enp0s31f6,0.073,3.595
15:49:08,enx0c3796ba2d6a,0.078,3.431
15:49:08,enx0c3796ba2d67,0.091,4.154
15:49:09,enp0s31f6,0.096,4.625
15:49:09,enx0c3796ba2d6a,0.104,4.680
15:49:09,enx0c3796ba2d67,0.090,4.174
15:49:10,enp0s31f6,0.079,3.700
15:49:10,enx0c3796ba2d6a,0.077,3.549
15:49:10,enx0c3796ba2d67,0.093,4.203
15:49:11,enp0s31f6,0.101,4.772
15:49:11,enx0c3796ba2d6a,0.118,4.901
15:49:11,enx0c3796ba2d67,0.090,4.204
15:49:12,enp0s31f6,0.075,3.671
15:49:12,enx0c3796ba2d6a,0.078,3.473
15:49:12,enx0c3796ba2d67,0.090,4.210
15:49:13,enp0s31f6,0.096,4.724
15:49:13,enx0c3796ba2d6a,0.106,5.009
15:49:13,enx0c3796ba2d67,0.089,4.228
15:49:14,enp0s31f6,0.078,3.674
15:49:14,enx0c3796ba2d6a,0.071,3.379
15:49:14,enx0c3796ba2d67,0.088,4.187
15:49:15,enp0s31f6,0.105,4.809
15:49:15,enx0c3796ba2d6a,0.108,4.813
15:49:15,enx0c3796ba2d67,0.092,4.171
15:49:16,enp0s31f6,0.082,3.640
15:49:16,enx0c3796ba2d6a,0.079,3.571
15:49:16,enx0c3796ba2d67,0.102,4.436
15:49:17,enp0s31f6,0.111,5.239
15:49:17,enx0c3796ba2d6a,0.117,5.405
15:49:17,enx0c3796ba2d67,0.093,4.426
15:49:18,enp0s31f6,0.071,3.517
15:49:18,enx0c3796ba2d6a,0.070,3.252
15:49:18,enx0c3796ba2d67,0.088,3.967
15:49:19,enp0s31f6,0.101,4.824
15:49:19,enx0c3796ba2d6a,0.112,5.099
15:49:19,enx0c3796ba2d67,0.094,4.166
15:49:20,enp0s31f6,0.071,3.556
15:49:20,enx0c3796ba2d6a,0.070,3.247
15:49:20,enx0c3796ba2d67,0.096,4.224
15:49:21,enp0s31f6,0.096,4.755
15:49:21,enx0c3796ba2d6a,0.105,4.717
15:49:21,enx0c3796ba2d67,0.092,4.095
15:49:22,enp0s31f6,0.070,3.424
15:49:22,enx0c3796ba2d6a,0.073,3.360
15:49:22,enx0c3796ba2d67,0.096,4.421
15:49:23,enp0s31f6,0.109,5.316
15:49:23,enx0c3796ba2d6a,0.116,5.236
15:49:23,enx0c3796ba2d67,0.099,4.507
15:49:24,enp0s31f6,0.067,3.356
15:49:24,enx0c3796ba2d6a,0.075,3.426
15:49:24,enx0c3796ba2d67,0.091,4.195
15:49:25,enp0s31f6,0.108,5.008
15:49:25,enx0c3796ba2d6a,0.112,5.036
15:49:25,enx0c3796ba2d67,0.092,4.054
15:49:26,enp0s31f6,0.075,3.564
15:49:26,enx0c3796ba2d6a,0.074,3.450
15:49:26,enx0c3796ba2d67,0.090,4.054
15:49:27,enp0s31f6,0.096,4.637
15:49:27,enx0c3796ba2d6a,0.102,4.805
15:49:27,enx0c3796ba2d67,0.089,4.129
