wall_time,iface,tx_mbps
19:06:52,tailscale0,13.342
19:06:53,tailscale0,9.559
19:06:54,tailscale0,13.420
19:06:55,tailscale0,10.101
19:06:56,tailscale0,13.829
19:06:57,tailscale0,10.320
19:06:58,tailscale0,14.506
19:06:59,tailscale0,7.723
19:07:00,tailscale0,10.160
19:07:01,tailscale0,6.792
19:07:02,tailscale0,9.738
19:07:03,tailscale0,7.033
19:07:04,tailscale0,9.312
19:07:05,tailscale0,6.951
19:07:06,tailscale0,9.539
19:07:07,tailscale0,6.901
19:07:08,tailscale0,9.870
19:07:09,tailscale0,6.867
19:07:10,tailscale0,9.811
19:07:11,tailscale0,7.144
19:07:12,tailscale0,8.888
19:07:13,tailscale0,7.087
19:07:14,tailscale0,9.542
19:07:15,tailscale0,7.158
19:07:16,tailscale0,9.697
19:07:17,tailscale0,6.935
19:07:18,tailscale0,9.684
19:07:19,tailscale0,6.832
19:07:20,tailscale0,9.720
19:07:21,tailscale0,6.876
19:07:22,tailscale0,9.650
19:07:23,tailscale0,6.883
19:07:24,tailscale0,9.650
19:07:25,tailscale0,7.222
19:07:26,tailscale0,9.541
19:07:27,tailscale0,6.891
19:07:28,tailscale0,9.732
19:07:29,tailscale0,4.330
19:07:30,tailscale0,4.749
19:07:31,tailscale0,3.593
19:07:32,tailscale0,4.714
19:07:33,tailscale0,3.577
19:07:34,tailscale0,4.857
19:07:35,tailscale0,3.412
19:07:36,tailscale0,4.937
19:07:37,tailscale0,3.390
19:07:38,tailscale0,4.766
19:07:39,tailscale0,3.378
19:07:40,tailscale0,4.812
19:07:41,tailscale0,3.537
19:07:42,tailscale0,4.876
19:07:43,tailscale0,3.372
19:07:44,tailscale0,4.922
19:07:45,tailscale0,3.349
19:07:46,tailscale0,4.897
19:07:47,tailscale0,3.467
19:07:48,tailscale0,4.785
19:07:49,tailscale0,3.542
19:07:50,tailscale0,4.836
19:07:51,tailscale0,3.393
19:07:52,tailscale0,5.026
19:07:53,tailscale0,3.506
19:07:54,tailscale0,4.928
19:07:55,tailscale0,3.540
19:07:56,tailscale0,4.656
19:07:57,tailscale0,3.533
19:07:58,tailscale0,4.729
19:07:59,tailscale0,3.457
19:08:00,tailscale0,4.727
19:08:01,tailscale0,3.434
19:08:02,tailscale0,4.853
19:08:03,tailscale0,3.519
19:08:04,tailscale0,5.079
19:08:05,tailscale0,3.446
19:08:06,tailscale0,4.657
19:08:07,tailscale0,3.418
19:08:08,tailscale0,4.870
19:08:09,tailscale0,3.412
19:08:10,tailscale0,4.955
19:08:11,tailscale0,3.431
19:08:12,tailscale0,4.871
19:08:13,tailscale0,3.439
19:08:14,tailscale0,4.940
19:08:15,tailscale0,3.312
19:08:16,tailscale0,4.934
19:08:17,tailscale0,3.443
19:08:18,tailscale0,4.921
19:08:19,tailscale0,3.477
19:08:20,tailscale0,4.786
19:08:21,tailscale0,3.522
19:08:22,tailscale0,4.535
19:08:23,tailscale0,3.651
19:08:24,tailscale0,4.890
19:08:25,tailscale0,3.581
19:08:26,tailscale0,4.509
19:08:27,tailscale0,3.650
19:08:28,tailscale0,4.762
19:08:29,tailscale0,3.631
19:08:30,tailscale0,4.761
19:08:31,tailscale0,3.530
19:08:32,tailscale0,4.776
19:08:33,tailscale0,3.467
19:08:34,tailscale0,4.818
19:08:35,tailscale0,3.512
19:08:36,tailscale0,4.778
19:08:37,tailscale0,3.375
19:08:38,tailscale0,4.720
19:08:39,tailscale0,3.394
19:08:40,tailscale0,5.041
19:08:41,tailscale0,3.553
19:08:42,tailscale0,4.745
