abs_time,cam_index,frame_in,rtp_seq
1778609426.469254,0,1,2979
1778609426.474207,2,1,17125
1778609426.476898,1,1,18953
1778609426.483410,0,2,2992
1778609426.488353,2,2,17148
1778609426.493312,1,2,18981
1778609426.505720,0,3,3012
1778609426.506784,1,3,19001
1778609426.512179,2,3,17169
1778609426.544363,0,4,3036
1778609426.550666,1,4,19016
1778609426.556721,2,4,17192
1778609426.582557,0,5,3053
1778609426.587297,2,5,17209
1778609426.592948,1,5,19042
1778609426.619489,0,6,3083
1778609426.628504,2,6,17238
1778609426.631920,1,6,19069
1778609426.663233,1,7,19085
1778609426.663422,0,7,3101
1778609426.672160,2,7,17255
1778609426.707174,0,8,3127
1778609426.709548,1,8,19103
1778609426.712206,2,8,17281
1778609426.736854,0,9,3149
1778609426.741724,2,9,17300
1778609426.749565,1,9,19119
1778609426.780807,0,10,3169
1778609426.786416,2,10,17319
1778609426.792393,1,10,19137
1778609426.823749,0,11,3193
1778609426.824892,1,11,19164
1778609426.830292,2,11,17340
1778609426.866186,0,12,3215
1778609426.870326,1,12,19180
1778609426.880117,2,12,17359
1778609426.896288,0,13,3236
1778609426.902780,2,13,17379
1778609426.911710,1,13,19204
1778609426.937341,0,14,3258
1778609426.946383,2,14,17409
1778609426.951994,1,14,19224
1778609426.987412,0,15,3280
1778609426.988632,1,15,19245
1778609426.996434,2,15,17433
1778609427.023222,0,16,3302
1778609427.027331,1,16,19266
1778609427.030838,2,16,17455
1778609427.065564,2,17,17473
1778609427.069468,0,17,3326
1778609427.072280,1,17,19285
1778609427.098328,0,18,3345
1778609427.111693,2,18,17496
1778609427.120229,1,18,19304
1778609427.138469,0,19,3374
1778609427.143867,1,19,19334
1778609427.151482,2,19,17519
1778609427.183193,0,20,3394
1778609427.196772,1,20,19360
1778609427.199266,2,20,17541
1778609427.199588,1,21,19376
1778609427.226898,2,21,17562
1778609427.231945,0,21,3418
1778609427.268913,2,22,17584
1778609427.276981,1,22,19394
1778609427.292428,0,22,3441
1778609427.348722,1,23,19417
1778609427.348853,0,23,3485
1778609427.367202,2,23,17614
1778609427.371170,0,24,3527
1778609427.377245,1,24,19434
1778609427.385523,2,24,17639
1778609427.388079,0,25,3554
1778609427.389247,2,25,17662
1778609427.392844,1,25,19453
1778609427.425430,0,26,3570
1778609427.433051,2,26,17683
1778609427.434602,1,26,19612
1778609427.465175,1,27,19625
1778609427.465291,0,27,3602
1778609427.481320,2,27,17705
1778609427.505382,0,28,3724
1778609427.507043,1,28,19639
1778609427.510223,2,28,17851
1778609427.540858,0,29,3740
1778609427.542613,2,29,17864
1778609427.549790,1,29,19653
1778609427.587979,0,30,3755
1778609427.590160,2,30,17876
1778609427.592138,1,30,19668
1778609427.623783,0,31,3776
1778609427.629137,1,31,19685
1778609427.635675,2,31,17893
1778609427.665269,0,32,3798
1778609427.670961,2,32,17912
1778609427.672557,1,32,19703
1778609427.700081,0,33,3816
1778609427.706741,2,33,17931
1778609427.715281,1,33,19727
1778609427.741297,0,34,3840
1778609427.746452,2,34,17955
1778609427.752820,1,34,19748
1778609427.786668,0,35,3858
1778609427.789644,1,35,19767
1778609427.793648,2,35,17980
1778609427.827071,0,36,3876
1778609427.833629,1,36,19787
1778609427.835655,2,36,18001
1778609427.863413,2,37,18019
1778609427.869450,0,37,3896
1778609427.870460,1,37,19807
1778609427.908750,0,38,3916
1778609427.912251,2,38,18048
1778609427.916589,1,38,19836
1778609427.944129,0,39,3941
1778609427.948661,2,39,18072
1778609427.953552,1,39,19860
1778609427.984604,0,40,3964
1778609427.989153,1,40,19878
1778609427.995937,2,40,18092
1778609428.021936,2,41,18114
1778609428.027754,0,41,3986
1778609428.031774,1,41,19901
1778609428.062409,0,42,4007
1778609428.070215,2,42,18134
1778609428.072027,1,42,19919
1778609428.105974,0,43,4027
1778609428.114173,2,43,18155
1778609428.119926,1,43,19937
1778609428.144427,0,44,4053
1778609428.146372,1,44,19957
1778609428.170393,2,44,18174
1778609428.188820,2,45,18193
1778609428.190571,0,45,4072
1778609428.193400,1,45,19984
1778609428.230681,0,46,4100
1778609428.231659,2,46,18214
1778609428.285855,1,46,20006
1778609428.300542,1,47,20045
1778609428.301413,0,47,4117
1778609428.312023,1,48,20086
1778609428.315603,0,48,4152
1778609428.325028,2,47,18234
1778609428.333133,2,48,18272
1778609428.346035,0,49,4190
1778609428.350785,2,49,18314
1778609428.358668,1,49,20125
1778609428.387445,1,50,20143
1778609428.387600,0,50,4226
1778609428.400911,2,50,18352
1778609428.424691,2,51,18375
1778609428.428503,0,51,4246
1778609428.431497,1,51,20160
1778609428.467569,0,52,4264
1778609428.469409,2,52,18405
1778609428.472193,1,52,20192
1778609428.502336,0,53,4284
1778609428.513858,2,53,18427
1778609428.516699,1,53,20216
1778609428.544074,0,54,4313
1778609428.545413,1,54,20238
1778609428.553094,2,54,18448
1778609428.585521,0,55,4337
1778609428.585685,2,55,18469
1778609428.628294,1,55,20260
1778609428.652722,0,56,4355
1778609428.658244,2,56,18489
1778609428.658313,1,56,20377
1778609428.666094,0,57,4376
1778609428.684397,2,57,18511
1778609428.700368,1,57,20389
1778609428.702373,0,58,4479
1778609428.710405,1,58,20401
1778609428.712009,2,58,18616
1778609428.744416,2,59,18634
1778609428.744516,0,59,4495
1778609428.755184,1,59,20417
1778609428.781663,0,60,4508
1778609428.790071,2,60,18646
1778609428.792047,1,60,20439
1778609428.827350,0,61,4522
1778609428.836708,2,61,18667
1778609428.838103,1,61,20463
1778609428.857756,0,62,4543
1778609428.866067,1,62,20490
1778609428.866156,2,62,18691
1778609428.909060,0,63,4564
1778609428.913351,2,63,18720
1778609428.919701,1,63,20514
1778609428.947094,0,64,4591
1778609428.959579,2,64,18756
1778609428.963936,1,64,20531
1778609428.985703,0,65,4609
1778609428.990656,2,65,18781
1778609428.992880,1,65,20549
1778609429.020260,0,66,4626
1778609429.024236,1,66,20566
1778609429.040176,2,66,18801
1778609429.070166,0,67,4644
1778609429.071485,2,67,18823
1778609429.074768,1,67,20584
1778609429.105740,0,68,4664
1778609429.110149,2,68,18843
1778609429.114425,1,68,20601
1778609429.145705,0,69,4682
1778609429.152052,2,69,18863
1778609429.155715,1,69,20621
1778609429.177747,0,70,4701
1778609429.184411,1,70,20641
1778609429.190710,2,70,18885
1778609429.224955,0,71,4720
1778609429.229465,2,71,18907
1778609429.240920,1,71,20661
1778609429.270047,2,72,18927
1778609429.276012,1,72,20678
1778609429.299760,0,72,4740
1778609429.310406,0,73,4770
1778609429.319792,2,73,18945
1778609429.323886,1,73,20699
1778609429.347901,0,74,4805
1778609429.354561,1,74,20717
1778609429.360087,2,74,18964
1778609429.382848,2,75,18983
1778609429.386231,0,75,4833
1778609429.395519,1,75,20745
1778609429.417547,0,76,4866
1778609429.433801,2,76,19001
1778609429.437413,1,76,20767
1778609429.465901,0,77,4892
1778609429.470825,2,77,19019
1778609429.473530,1,77,20787
1778609429.504743,0,78,4911
1778609429.506742,1,78,20808
1778609429.510709,2,78,19037
1778609429.546757,2,79,19054
1778609429.549054,0,79,4929
1778609429.553376,1,79,20826
1778609429.582998,0,80,4957
1778609429.591055,2,80,19081
1778609429.594098,1,80,20854
1778609429.624753,0,81,4980
1778609429.630332,2,81,19106
1778609429.634301,1,81,20884
1778609429.664554,0,82,4999
1778609429.667866,1,82,20905
1778609429.672694,2,82,19126
1778609429.701432,2,83,19145
1778609429.704828,0,83,5017
1778609429.710633,1,83,20924
1778609429.738198,0,84,5036
1778609429.748794,2,84,19166
1778609429.749758,1,84,20945
1778609429.787432,0,85,5056
1778609429.790199,2,85,19185
1778609429.797531,1,85,20965
1778609429.831047,0,86,5075
1778609429.832494,2,86,19204
1778609429.834791,1,86,21097
1778609429.864726,2,87,19223
1778609429.942185,1,87,21109
1778609429.942245,0,87,5095
1778609429.959544,2,88,19357
1778609429.960642,1,88,21123
1778609429.961430,0,88,5202
1778609429.962976,0,89,5217
1778609429.963081,2,89,19373
1778609429.964584,1,89,21139
1778609429.986502,0,90,5233
1778609429.986608,1,90,21160
1778609429.991304,2,90,19389
1778609430.023210,2,91,19406
1778609430.025391,0,91,5249
1778609430.028501,1,91,21186
1778609430.058275,0,92,5268
1778609430.067848,2,92,19426
1778609430.069472,1,92,21204
1778609430.102732,0,93,5287
1778609430.110911,2,93,19443
1778609430.113140,1,93,21221
1778609430.145404,1,94,21246
1778609430.156118,0,94,5304
1778609430.159702,2,94,19461
1778609430.189539,2,95,19482
1778609430.191068,0,95,5329
1778609430.192260,1,95,21273
1778609430.218303,0,96,5346
1778609430.228471,2,96,19500
1778609430.274658,1,96,21291
1778609430.288295,1,97,21327
1778609430.306672,0,97,5364
1778609430.313193,0,98,5394
1778609430.316854,2,97,19521
1778609430.324796,2,98,19556
1778609430.331024,1,98,21358
1778609430.341268,0,99,5428
1778609430.353064,2,99,19596
1778609430.360111,1,99,21384
1778609430.386592,0,100,5459
1778609430.390240,1,100,21402
1778609430.394940,2,100,19622
1778609430.424069,2,101,19641
1778609430.425573,0,101,5482
1778609430.429689,1,101,21420
1778609430.467206,0,102,5503
1778609430.469994,2,102,19661
1778609430.476366,1,102,21446
1778609430.499374,0,103,5521
1778609430.513537,2,103,19680
1778609430.517100,1,103,21474
1778609430.544708,2,104,19701
1778609430.549432,0,104,5539
1778609430.553469,1,104,21493
1778609430.585439,0,105,5559
1778609430.594259,2,105,19721
1778609430.595208,1,105,21512
1778609430.628618,0,106,5579
1778609430.632869,2,106,19742
1778609430.635623,1,106,21533
1778609430.660016,0,107,5598
1778609430.672169,2,107,19762
1778609430.675675,1,107,21553
1778609430.706451,0,108,5617
1778609430.708538,1,108,21572
1778609430.715628,2,108,19784
1778609430.744264,2,109,19805
1778609430.749485,0,109,5636
1778609430.756418,1,109,21592
1778609430.786360,0,110,5661
1778609430.790549,2,110,19826
1778609430.793552,1,110,21612
1778609430.817839,0,111,5691
1778609430.831922,2,111,19846
1778609430.834382,1,111,21632
1778609430.860661,0,112,5711
1778609430.868265,1,112,21652
1778609430.871448,2,112,19867
