abs_time,cam_index,rtp_seq
1779292268.719343,0,9704
1779292268.727074,0,9705
1779292268.727263,1,11135
1779292268.727366,0,9706
1779292268.727563,1,11136
1779292268.727946,1,11137
1779292268.727994,1,11138
1779292268.728114,0,9707
1779292268.728191,1,11139
1779292268.728266,0,9708
1779292268.728328,1,11140
1779292268.728395,0,9709
1779292268.746286,0,9710
1779292268.746335,0,9711
1779292268.746376,0,9712
1779292268.746594,0,9713
1779292268.746730,0,9714
1779292268.746791,0,9715
1779292268.746836,0,9716
1779292268.746878,0,9717
1779292268.747858,0,9718
1779292268.747946,0,9719
1779292268.747996,0,9720
1779292268.748076,0,9721
1779292268.748122,0,9722
1779292268.748162,0,9723
1779292268.748207,0,9724
1779292268.748252,0,9725
1779292268.751395,1,11141
1779292268.751447,1,11142
1779292268.751592,1,11143
1779292268.751632,1,11144
1779292268.751672,1,11145
1779292268.751711,1,11146
1779292268.751752,1,11147
1779292268.751791,1,11148
1779292268.752194,0,9726
1779292268.752228,0,9727
1779292268.752247,0,9728
1779292268.752268,0,9729
1779292268.752286,0,9730
1779292268.752304,0,9731
1779292268.752328,0,9732
1779292268.752345,0,9733
1779292268.752362,0,9734
1779292268.752380,0,9735
1779292268.752397,0,9736
1779292268.752417,0,9737
1779292268.752436,0,9738
1779292268.752454,0,9739
1779292268.752473,0,9740
1779292268.752491,0,9741
1779292268.752508,0,9742
1779292268.752528,0,9743
1779292268.752544,0,9744
1779292268.752560,0,9745
1779292268.752579,0,9746
1779292268.752656,0,9747
1779292268.752678,0,9748
1779292268.752696,0,9749
1779292268.752712,0,9750
1779292268.752731,0,9751
1779292268.757956,1,11149
1779292268.758014,1,11150
1779292268.758055,1,11151
1779292268.758094,1,11152
1779292268.758133,1,11153
1779292268.758171,1,11154
1779292268.758209,1,11155
1779292268.758270,1,11156
1779292268.758315,1,11157
1779292268.758356,1,11158
1779292268.758395,1,11159
1779292268.758630,1,11160
1779292268.758713,1,11161
1779292268.758780,1,11162
1779292268.758821,1,11163
1779292268.758861,1,11164
1779292268.758904,1,11165
1779292268.758944,1,11166
1779292268.762670,1,11167
1779292268.762698,1,11168
1779292268.762717,1,11169
1779292268.762737,1,11170
1779292268.762753,1,11171
1779292268.762770,1,11172
1779292268.762789,1,11173
1779292268.762805,1,11174
1779292268.762821,1,11175
1779292268.762839,1,11176
1779292268.762855,1,11177
1779292268.762871,1,11178
1779292268.762893,1,11179
1779292268.762910,1,11180
1779292268.762926,1,11181
1779292268.762943,1,11182
1779292268.762959,1,11183
1779292268.762975,1,11184
1779292268.763001,1,11185
1779292268.763018,1,11186
1779292268.763034,1,11187
1779292268.763050,1,11188
1779292268.763067,1,11189
1779292268.763083,1,11190
1779292268.763099,1,11191
1779292268.763116,1,11192
1779292268.763132,1,11193
1779292268.763149,1,11194
1779292268.763165,1,11195
1779292268.763181,1,11196
1779292268.763197,1,11197
1779292268.763214,1,11198
1779292268.763230,1,11199
1779292268.763251,1,11200
1779292268.763267,1,11201
1779292268.763283,1,11202
1779292268.763302,1,11203
1779292268.767367,1,11204
1779292268.767428,1,11205
1779292268.767492,1,11206
1779292268.767610,0,9752
1779292268.767708,0,9753
1779292268.767789,1,11207
1779292268.767848,0,9754
1779292268.767894,1,11208
1779292268.767941,0,9755
1779292268.767978,1,11209
1779292268.768019,0,9756
1779292268.768054,1,11210
1779292268.768095,0,9757
1779292268.768130,1,11211
1779292268.768172,0,9758
1779292268.768206,1,11212
1779292268.768246,0,9759
1779292268.768281,1,11213
1779292268.768321,0,9760
1779292268.768355,1,11214
1779292268.768391,0,9761
1779292268.768431,1,11215
1779292268.768473,0,9762
1779292268.768640,1,11216
1779292268.768690,0,9763
1779292268.768737,0,9764
1779292268.768775,0,9765
1779292268.768833,1,11217
1779292268.768881,0,9766
1779292268.768924,1,11218
1779292268.768969,0,9767
1779292268.769000,1,11219
1779292268.769038,0,9768
1779292268.769068,1,11220
1779292268.769105,0,9769
1779292268.769134,1,11221
1779292268.769171,0,9770
1779292268.769202,1,11222
1779292268.769239,0,9771
1779292268.769268,1,11223
1779292268.769305,0,9772
1779292268.769333,1,11224
1779292268.769371,0,9773
1779292268.769400,1,11225
1779292268.769441,0,9774
1779292268.769472,1,11226
1779292268.769511,0,9775
1779292268.769539,1,11227
1779292268.769576,0,9776
1779292268.769605,1,11228
1779292268.769642,0,9777
1779292268.769669,1,11229
1779292268.769716,0,9778
1779292268.769749,1,11230
1779292268.769788,0,9779
1779292268.769818,1,11231
1779292268.769855,0,9780
1779292268.769884,1,11232
1779292268.769922,0,9781
1779292268.769950,1,11233
1779292268.769987,0,9782
1779292268.770017,1,11234
1779292268.770054,0,9783
1779292268.770084,1,11235
1779292268.770120,0,9784
1779292268.770148,1,11236
1779292268.770182,0,9785
1779292268.770227,0,9786
1779292268.770265,0,9787
1779292268.771327,1,11237
1779292268.771381,0,9788
1779292268.771422,1,11238
1779292268.771451,1,11239
1779292268.771477,0,9789
1779292268.771501,1,11240
1779292268.771528,1,11241
1779292268.771547,0,9790
1779292268.771571,1,11242
1779292268.771595,1,11243
1779292268.771616,0,9791
1779292268.771641,1,11244
1779292268.771667,0,9792
1779292268.771691,1,11245
1779292268.771717,1,11246
1779292268.771738,0,9793
1779292268.771769,0,9794
1779292268.771801,0,9795
1779292268.771830,0,9796
1779292268.771857,0,9797
1779292268.778539,0,9798
1779292268.778578,0,9799
1779292268.778612,0,9800
1779292268.778645,0,9801
1779292268.778679,0,9802
1779292268.778736,0,9803
1779292268.778773,0,9804
1779292268.778806,0,9805
1779292268.778840,0,9806
1779292268.778948,2,31212
1779292268.779013,0,9807
1779292268.779098,2,31213
1779292268.779150,0,9808
1779292268.779215,2,31214
1779292268.779264,0,9809
1779292268.779325,2,31215
1779292268.779375,0,9810
1779292268.779442,2,31216
1779292268.779492,0,9811
1779292268.779532,0,9812
1779292268.779566,0,9813
1779292268.779599,0,9814
1779292268.779692,2,31217
1779292268.779750,0,9815
1779292268.779825,2,31218
1779292268.779876,0,9816
1779292268.779941,2,31219
1779292268.779989,0,9817
1779292268.780057,2,31220
1779292268.780107,0,9818
1779292268.780147,0,9819
1779292268.780182,0,9820
1779292268.780216,0,9821
1779292268.780253,0,9822
1779292268.780292,0,9823
1779292268.780323,0,9824
1779292268.780353,0,9825
1779292268.780380,0,9826
1779292268.780404,0,9827
1779292268.780433,0,9828
1779292268.780460,0,9829
1779292268.784727,2,31221
1779292268.784807,2,31222
1779292268.784857,2,31223
1779292268.784904,2,31224
1779292268.784951,2,31225
1779292268.785002,2,31226
1779292268.785042,2,31227
1779292268.785081,2,31228
1779292268.785120,2,31229
1779292268.785160,2,31230
1779292268.785206,2,31231
1779292268.785251,2,31232
1779292268.785292,2,31233
1779292268.785391,2,31234
1779292268.785439,2,31235
1779292268.785479,2,31236
1779292268.785517,2,31237
1779292268.785558,2,31238
1779292268.797448,2,31239
1779292268.797733,2,31240
1779292268.797784,2,31241
1779292268.797812,2,31242
1779292268.797843,2,31243
1779292268.797867,2,31244
1779292268.797891,2,31245
1779292268.797914,2,31246
1779292268.797941,2,31247
1779292268.797965,2,31248
1779292268.797987,2,31249
1779292268.798009,2,31250
1779292268.798032,2,31251
1779292268.798054,2,31252
1779292268.798305,2,31253
1779292268.798330,2,31254
1779292268.798357,2,31255
1779292268.798410,2,31256
1779292268.798445,2,31257
1779292268.798468,2,31258
1779292268.798499,2,31259
1779292268.798522,2,31260
1779292268.803758,0,9830
1779292268.803804,0,9831
1779292268.803831,0,9832
1779292268.803854,0,9833
1779292268.803877,0,9834
