abs_time,cam_index,rtp_seq
1777726052.512858,1,26097
1777726052.517764,1,26098
1777726052.518189,1,26099
1777726052.518741,1,26100
1777726052.518955,1,26101
1777726052.519038,1,26102
1777726052.519111,1,26103
1777726052.519255,1,26104
1777726052.519343,1,26105
1777726052.519408,1,26106
1777726052.519466,1,26107
1777726052.519525,1,26108
1777726052.519589,1,26109
1777726052.519653,1,26110
1777726052.519707,1,26111
1777726052.519770,1,26112
1777726052.519831,1,26113
1777726052.519891,1,26114
1777726052.519948,1,26115
1777726052.520005,1,26116
1777726052.520066,1,26117
1777726052.520140,1,26118
1777726052.520195,1,26119
1777726052.520246,1,26120
1777726052.520346,1,26121
1777726052.524861,1,26122
1777726052.525120,1,26123
1777726052.525208,1,26124
1777726052.525272,1,26125
1777726052.525365,1,26126
1777726052.525430,1,26127
1777726052.525491,1,26128
1777726052.525544,1,26129
1777726052.525601,1,26130
1777726052.525651,1,26131
1777726052.525711,1,26132
1777726052.525764,1,26133
1777726052.525823,1,26134
1777726052.525897,1,26135
1777726052.525944,1,26136
1777726052.525994,1,26137
1777726052.526040,1,26138
1777726052.526093,1,26139
1777726052.526142,1,26140
1777726052.526194,1,26141
1777726052.526242,1,26142
1777726052.526299,1,26143
1777726052.526353,1,26144
1777726052.527385,1,26145
1777726052.527639,1,26146
1777726052.527793,1,26147
1777726052.527940,1,26148
1777726052.528076,1,26149
1777726052.528215,1,26150
1777726052.528363,1,26151
1777726052.528502,1,26152
1777726052.528628,1,26153
1777726052.528758,1,26154
1777726052.528897,1,26155
1777726052.529029,1,26156
1777726052.529169,1,26157
1777726052.529308,1,26158
1777726052.529465,1,26159
1777726052.529591,1,26160
1777726052.529725,1,26161
1777726052.529974,1,26162
1777726052.530120,1,26163
1777726052.530312,0,10845
1777726052.530543,1,26164
1777726052.530692,0,10846
1777726052.530854,1,26165
1777726052.531005,1,26166
1777726052.531127,1,26167
1777726052.531262,1,26168
1777726052.531414,1,26169
1777726052.531549,1,26170
1777726052.531672,1,26171
1777726052.531808,1,26172
1777726052.531935,1,26173
1777726052.532059,1,26174
1777726052.532196,1,26175
1777726052.532335,1,26176
1777726052.532743,1,26177
1777726052.532835,1,26178
1777726052.532920,1,26179
1777726052.532973,1,26180
1777726052.533049,1,26181
1777726052.533106,1,26182
1777726052.533257,0,10847
1777726052.533535,1,26183
1777726052.533748,0,10848
1777726052.533937,1,26184
1777726052.534044,0,10849
1777726052.534144,0,10850
1777726052.534218,0,10851
1777726052.534365,1,26185
1777726052.534583,0,10852
1777726052.534666,1,26186
1777726052.534758,0,10853
1777726052.534824,1,26187
1777726052.534892,0,10854
1777726052.534952,1,26188
1777726052.535010,0,10855
1777726052.535071,1,26189
1777726052.535144,0,10856
1777726052.535202,1,26190
1777726052.535259,0,10857
1777726052.535403,0,10858
1777726052.535460,0,10859
1777726052.535506,0,10860
1777726052.535553,0,10861
1777726052.535597,0,10862
1777726052.535642,0,10863
1777726052.535687,0,10864
1777726052.535732,0,10865
1777726052.535786,0,10866
1777726052.535829,0,10867
1777726052.535876,0,10868
1777726052.535918,0,10869
1777726052.535968,0,10870
1777726052.536012,0,10871
1777726052.536059,0,10872
1777726052.536107,0,10873
1777726052.536152,0,10874
1777726052.536202,0,10875
1777726052.536244,0,10876
1777726052.536312,0,10877
1777726052.536354,0,10878
1777726052.536399,0,10879
1777726052.536438,0,10880
1777726052.536482,0,10881
1777726052.536524,0,10882
1777726052.536563,0,10883
1777726052.536607,0,10884
1777726052.536647,0,10885
1777726052.536691,0,10886
1777726052.536729,0,10887
1777726052.536774,0,10888
1777726052.536813,0,10889
1777726052.536891,0,10890
1777726052.536933,0,10891
1777726052.536974,0,10892
1777726052.538638,0,10893
1777726052.538894,0,10894
1777726052.539064,0,10895
1777726052.539203,0,10896
1777726052.539375,0,10897
1777726052.539511,0,10898
1777726052.539650,0,10899
1777726052.539779,0,10900
1777726052.539912,0,10901
1777726052.540034,0,10902
1777726052.540153,0,10903
1777726052.540276,0,10904
1777726052.540407,0,10905
1777726052.540704,0,10906
1777726052.540944,0,10907
1777726052.541102,0,10908
1777726052.541233,0,10909
1777726052.541382,0,10910
1777726052.541505,0,10911
1777726052.541623,0,10912
1777726052.549861,0,10913
1777726052.550243,2,19524
1777726052.550660,0,10914
1777726052.550969,2,19525
1777726052.551208,0,10915
1777726052.551583,2,19526
1777726052.551877,0,10916
1777726052.552101,2,19527
1777726052.552248,0,10917
1777726052.552435,2,19528
1777726052.552544,0,10918
1777726052.552744,0,10919
1777726052.552902,0,10920
1777726052.553070,0,10921
1777726052.553245,0,10922
1777726052.553421,0,10923
1777726052.553577,0,10924
1777726052.553800,0,10925
1777726052.553998,2,19529
1777726052.554200,0,10926
1777726052.554311,2,19530
1777726052.554404,0,10927
1777726052.554486,2,19531
1777726052.554579,0,10928
1777726052.554650,0,10929
1777726052.554704,0,10930
1777726052.554813,2,19532
1777726052.554991,0,10931
1777726052.555069,2,19533
1777726052.555162,0,10932
1777726052.555223,2,19534
1777726052.555314,2,19535
1777726052.555374,2,19536
1777726052.555426,2,19537
1777726052.555479,2,19538
1777726052.555532,2,19539
1777726052.555581,2,19540
1777726052.555633,2,19541
1777726052.555680,2,19542
1777726052.555730,2,19543
1777726052.555777,2,19544
1777726052.555826,2,19545
1777726052.555873,2,19546
1777726052.564353,2,19547
1777726052.564778,0,10933
1777726052.565144,2,19548
1777726052.565356,0,10934
1777726052.565662,2,19549
1777726052.565990,0,10935
1777726052.566207,2,19550
1777726052.566399,0,10936
1777726052.566602,2,19551
1777726052.566786,0,10937
1777726052.567049,0,10938
1777726052.567203,2,19552
1777726052.567533,2,19553
1777726052.567653,2,19554
1777726052.567728,2,19555
1777726052.567797,2,19556
1777726052.567862,2,19557
1777726052.567931,2,19558
1777726052.567990,2,19559
1777726052.568056,2,19560
1777726052.568132,2,19561
1777726052.568206,2,19562
1777726052.568268,2,19563
1777726052.568340,2,19564
1777726052.568402,2,19565
1777726052.568457,2,19566
1777726052.568537,2,19567
1777726052.568591,2,19568
1777726052.568649,2,19569
1777726052.568703,2,19570
1777726052.568759,2,19571
1777726052.568816,2,19572
1777726052.568870,2,19573
1777726052.568931,2,19574
1777726052.568986,2,19575
1777726052.569044,2,19576
1777726052.569095,2,19577
1777726052.569148,2,19578
1777726052.569196,2,19579
1777726052.569247,2,19580
1777726052.569315,2,19581
1777726052.569366,2,19582
1777726052.569422,2,19583
1777726052.569477,2,19584
1777726052.569536,2,19585
1777726052.569588,2,19586
1777726052.569658,2,19587
1777726052.569709,2,19588
1777726052.569758,2,19589
1777726052.569815,2,19590
1777726052.569863,2,19591
1777726052.569919,2,19592
1777726052.569969,2,19593
1777726052.570022,2,19594
1777726052.570073,2,19595
1777726052.570122,2,19596
1777726052.570167,2,19597
1777726052.570216,2,19598
1777726052.570261,2,19599
1777726052.570329,2,19600
1777726052.570380,2,19601
1777726052.570427,2,19602
1777726052.570476,2,19603
1777726052.570521,2,19604
1777726052.618432,2,19605
1777726052.618730,2,19606
1777726052.618849,2,19607
1777726052.618907,2,19608
1777726052.618954,2,19609
1777726052.620278,2,19610
1777726052.620485,2,19611
1777726052.620561,2,19612
1777726052.620611,2,19613
1777726052.620716,1,26191
1777726052.620990,1,26192
1777726052.620936,2,19614
1777726052.621359,1,26193
1777726052.621526,2,19615
1777726052.621631,1,26194
1777726052.621797,1,26195
1777726052.621927,1,26196
1777726052.622066,1,26197
1777726052.622199,1,26198
1777726052.622359,1,26199
1777726052.622494,1,26200
1777726052.622641,1,26201
1777726052.622775,1,26202
1777726052.622914,1,26203
1777726052.623042,1,26204
1777726052.623162,1,26205
1777726052.623308,1,26206
1777726052.623432,1,26207
1777726052.623560,1,26208
1777726052.623698,1,26209
1777726052.623830,1,26210
1777726052.623949,1,26211
1777726052.624144,1,26212
1777726052.624272,1,26213
1777726052.624410,1,26214
1777726052.626998,1,26215
1777726052.628935,0,10939
1777726052.629145,0,10940
1777726052.629282,0,10941
1777726052.629444,0,10942
1777726052.699001,2,19616
1777726052.699411,1,26216
1777726052.699706,0,10943
1777726052.699926,2,19617
1777726052.700167,1,26217
1777726052.700445,0,10944
1777726052.700641,2,19618
1777726052.700868,2,19619
1777726052.700820,1,26218
1777726052.701150,2,19620
1777726052.701376,2,19621
1777726052.701513,1,26219
1777726052.701669,2,19622
1777726052.701815,1,26220
1777726052.701954,2,19623
1777726052.702091,1,26221
1777726052.702221,2,19624
1777726052.702365,1,26222
1777726052.702513,2,19625
1777726052.702643,1,26223
1777726052.702783,2,19626
1777726052.702911,1,26224
1777726052.703041,2,19627
1777726052.703166,1,26225
1777726052.701333,0,10945
1777726052.703846,0,10946
1777726052.704012,1,26226
1777726052.704213,0,10947
1777726052.704413,0,10948
1777726052.704565,1,26227
1777726052.704806,1,26228
1777726052.704951,0,10949
1777726052.705193,0,10950
1777726052.705399,0,10951
1777726052.705565,0,10952
1777726052.705720,0,10953
1777726052.705863,0,10954
1777726052.706007,0,10955
1777726052.721421,2,19628
1777726052.721642,2,19629
1777726052.721705,2,19630
1777726052.721757,2,19631
1777726052.721806,2,19632
1777726052.721855,2,19633
1777726052.721904,2,19634
1777726052.721950,2,19635
1777726052.722009,2,19636
1777726052.722069,2,19637
1777726052.725121,0,10956
1777726052.725503,1,26229
1777726052.725801,1,26230
1777726052.725753,0,10957
1777726052.726142,0,10958
1777726052.726097,1,26231
1777726052.726453,0,10959
1777726052.726624,1,26232
1777726052.726770,0,10960
1777726052.726913,1,26233
1777726052.727052,0,10961
1777726052.727190,1,26234
1777726052.727337,0,10962
1777726052.727495,1,26235
1777726052.727640,0,10963
1777726052.727777,1,26236
1777726052.727922,0,10964
1777726052.728061,1,26237
1777726052.728600,1,26238
1777726052.728770,1,26239
1777726052.745000,0,10965
1777726052.745449,0,10966
1777726052.745666,0,10967
1777726052.745821,0,10968
1777726052.746043,0,10969
1777726052.746194,0,10970
1777726052.746353,0,10971
1777726052.746508,0,10972
1777726052.746653,0,10973
1777726052.746793,0,10974
1777726052.746933,0,10975
1777726052.753373,1,26240
1777726052.753706,2,19638
1777726052.753927,1,26241
1777726052.754028,2,19639
1777726052.754168,1,26242
1777726052.754254,2,19640
