abs_time,cam_index,rtp_seq
1777032308.566770,1,18921
1777032308.567370,1,18922
1777032308.567482,1,18923
1777032308.567550,1,18924
1777032308.567621,1,18925
1777032308.567690,1,18926
1777032308.567747,1,18927
1777032308.567807,1,18928
1777032308.567865,1,18929
1777032308.567922,1,18930
1777032308.567979,1,18931
1777032308.568037,1,18932
1777032308.568092,1,18933
1777032308.568146,1,18934
1777032308.568204,1,18935
1777032308.568270,1,18936
1777032308.568326,1,18937
1777032308.568379,1,18938
1777032308.568434,1,18939
1777032308.568486,1,18940
1777032308.568537,1,18941
1777032308.598267,1,18942
1777032308.598640,1,18943
1777032308.598751,1,18944
1777032308.598892,1,18945
1777032308.598990,1,18946
1777032308.599089,1,18947
1777032308.599180,1,18948
1777032308.599290,1,18949
1777032308.599381,1,18950
1777032308.599472,1,18951
1777032308.599563,1,18952
1777032308.599659,1,18953
1777032308.599766,1,18954
1777032308.599844,1,18955
1777032308.599924,1,18956
1777032308.600003,1,18957
1777032308.600101,1,18958
1777032308.600176,1,18959
1777032308.600269,1,18960
1777032308.600348,1,18961
1777032308.600422,1,18962
1777032308.600499,1,18963
1777032308.600572,1,18964
1777032308.600641,1,18965
1777032308.600709,1,18966
1777032308.600776,1,18967
1777032308.600846,1,18968
1777032308.600912,1,18969
1777032308.600979,1,18970
1777032308.601046,1,18971
1777032308.601113,1,18972
1777032308.601196,1,18973
1777032308.601276,1,18974
1777032308.601345,1,18975
1777032308.601405,1,18976
1777032308.601481,1,18977
1777032308.601624,1,18978
1777032308.601716,1,18979
1777032308.601800,1,18980
1777032308.601859,1,18981
1777032308.601920,1,18982
1777032308.601979,1,18983
1777032308.602038,1,18984
1777032308.602099,1,18985
1777032308.602158,1,18986
1777032308.602238,1,18987
1777032308.602301,1,18988
1777032308.602361,1,18989
1777032308.602443,1,18990
1777032308.602496,1,18991
1777032308.602550,1,18992
1777032308.602609,1,18993
1777032308.603032,1,18994
1777032308.603096,1,18995
1777032308.603348,0,11810
1777032308.603778,2,3420
1777032308.603987,0,11811
1777032308.604126,2,3421
1777032308.604317,0,11812
1777032308.604639,2,3422
1777032308.604814,0,11813
1777032308.604932,2,3423
1777032308.605162,1,18996
1777032308.605285,0,11814
1777032308.605614,2,3424
1777032308.605797,1,18997
1777032308.605952,2,3425
1777032308.606029,1,18998
1777032308.606173,0,11815
1777032308.606263,1,18999
1777032308.606317,0,11816
1777032308.606431,1,19000
1777032308.606535,2,3426
1777032308.606669,0,11817
1777032308.606853,2,3427
1777032308.606906,0,11818
1777032308.607021,0,11819
1777032308.607112,2,3428
1777032308.607242,0,11820
1777032308.607355,2,3429
1777032308.607429,0,11821
1777032308.607547,0,11822
1777032308.607637,2,3430
1777032308.607754,0,11823
1777032308.607848,2,3431
1777032308.607959,0,11824
1777032308.608075,2,3432
1777032308.608126,0,11825
1777032308.608248,0,11826
1777032308.608299,0,11827
1777032308.608348,0,11828
1777032308.608396,0,11829
1777032308.608438,0,11830
1777032308.608483,0,11831
1777032308.608529,0,11832
1777032308.608576,0,11833
1777032308.608631,0,11834
1777032308.608680,0,11835
1777032308.608722,0,11836
1777032308.608767,0,11837
1777032308.608811,0,11838
1777032308.608852,0,11839
1777032308.608920,0,11840
1777032308.608963,0,11841
1777032308.609016,0,11842
1777032308.609058,0,11843
1777032308.609549,0,11844
1777032308.609694,0,11845
1777032308.609857,0,11846
1777032308.609979,0,11847
1777032308.610093,0,11848
1777032308.610240,0,11849
1777032308.610366,0,11850
1777032308.610521,0,11851
1777032308.610643,0,11852
1777032308.610782,0,11853
1777032308.610905,0,11854
1777032308.611044,0,11855
1777032308.611168,0,11856
1777032308.611315,0,11857
1777032308.611468,0,11858
1777032308.611591,0,11859
1777032308.611730,0,11860
1777032308.611852,0,11861
1777032308.611992,0,11862
1777032308.612114,0,11863
1777032308.612266,0,11864
1777032308.622441,0,11865
1777032308.622858,0,11866
1777032308.623147,0,11867
1777032308.623421,0,11868
1777032308.623718,0,11869
1777032308.623921,0,11870
1777032308.624167,0,11871
1777032308.624576,1,19001
1777032308.624790,0,11872
1777032308.625088,1,19002
1777032308.625305,0,11873
1777032308.625399,1,19003
1777032308.625643,0,11874
1777032308.625720,1,19004
1777032308.625883,1,19005
1777032308.626044,0,11875
1777032308.626116,1,19006
1777032308.626338,0,11876
1777032308.626412,1,19007
1777032308.626617,0,11877
1777032308.626735,1,19008
1777032308.626861,0,11878
1777032308.626923,1,19009
1777032308.627105,0,11879
1777032308.627169,1,19010
1777032308.627351,1,19011
1777032308.627510,0,11880
1777032308.627574,1,19012
1777032308.627747,0,11881
1777032308.627910,0,11882
1777032308.628046,0,11883
1777032308.628198,0,11884
1777032308.628348,0,11885
1777032308.628514,0,11886
1777032308.628663,0,11887
1777032308.628793,0,11888
1777032308.628934,0,11889
1777032308.629057,0,11890
1777032308.629199,0,11891
1777032308.629357,0,11892
1777032308.629415,1,19013
1777032308.629591,2,3433
1777032308.629765,0,11893
1777032308.629935,1,19014
1777032308.630039,0,11894
1777032308.630126,1,19015
1777032308.630203,0,11895
1777032308.630407,2,3434
1777032308.630500,1,19016
1777032308.630707,0,11896
1777032308.630828,2,3435
1777032308.630912,1,19017
1777032308.631106,0,11897
1777032308.631319,1,19018
1777032308.631266,2,3436
1777032308.631450,1,19019
1777032308.631624,2,3437
1777032308.631675,1,19020
1777032308.631831,0,11898
1777032308.631884,1,19021
1777032308.632026,0,11899
1777032308.632310,2,3438
1777032308.632403,0,11900
1777032308.632582,1,19022
1777032308.632725,0,11901
1777032308.632772,1,19023
1777032308.632935,2,3439
1777032308.633055,0,11902
1777032308.633118,2,3440
1777032308.633265,0,11903
1777032308.633316,2,3441
1777032308.633425,1,19024
1777032308.633525,0,11904
1777032308.633605,2,3442
1777032308.633714,0,11905
1777032308.633793,2,3443
1777032308.633931,0,11906
1777032308.633986,1,19025
1777032308.634100,2,3444
1777032308.634180,0,11907
1777032308.634237,1,19026
1777032308.634394,0,11908
1777032308.634444,2,3445
1777032308.634591,0,11909
1777032308.634701,0,11910
1777032308.634824,0,11911
1777032308.634930,0,11912
1777032308.635053,0,11913
1777032308.635159,0,11914
1777032308.635325,0,11915
1777032308.635386,0,11916
1777032308.635427,0,11917
1777032308.635482,0,11918
1777032308.635522,0,11929
1777032308.635590,0,11930
1777032308.635631,0,11931
1777032308.635669,0,11932
