abs_time,cam_index,rtp_seq
1778933453.750121,2,2476
1778933453.750624,2,2477
1778933453.750855,2,2478
1778933453.751178,2,2479
1778933453.751341,2,2480
1778933453.751407,2,2481
1778933453.751879,2,2482
1778933453.751899,2,2483
1778933453.751908,2,2484
1778933453.751916,2,2485
1778933453.751925,2,2486
1778933453.751934,2,2487
1778933453.751943,2,2488
1778933453.751950,2,2489
1778933453.751959,2,2490
1778933453.751967,2,2491
1778933453.752152,2,2492
1778933453.752163,2,2493
1778933453.752172,2,2494
1778933453.752180,2,2495
1778933453.752188,2,2496
1778933453.752196,2,2497
1778933453.752205,2,2498
1778933453.752213,2,2499
1778933453.752221,2,2500
1778933453.752229,2,2501
1778933453.752237,2,2502
1778933453.752341,2,2503
1778933453.752525,2,2504
1778933453.752537,2,2505
1778933453.752587,2,2506
1778933453.752597,2,2507
1778933453.752634,2,2508
1778933453.752656,2,2509
1778933453.752668,2,2510
1778933453.752699,2,2511
1778933453.752716,2,2512
1778933453.752738,2,2513
1778933453.752756,2,2514
1778933453.752790,2,2515
1778933453.752929,2,2516
1778933453.752939,2,2517
1778933453.752948,2,2518
1778933453.752957,2,2519
1778933453.752967,2,2520
1778933453.753092,2,2521
1778933453.753105,2,2522
1778933453.753137,2,2523
1778933453.753147,2,2524
1778933453.753157,2,2525
1778933453.753167,2,2526
1778933453.753177,2,2527
1778933453.753195,2,2528
1778933453.753229,2,2529
1778933453.753238,2,2530
1778933453.753520,2,2531
1778933453.753621,2,2532
1778933453.753633,2,2533
1778933453.753673,2,2534
1778933453.753684,2,2535
1778933453.753693,2,2536
1778933453.753821,2,2537
1778933453.753979,2,2538
1778933453.753989,2,2539
1778933453.754024,2,2540
1778933453.754034,2,2541
1778933453.754045,2,2542
1778933453.754140,2,2543
1778933453.754214,2,2544
1778933453.754515,2,2545
1778933453.754531,2,2546
1778933453.754541,2,2547
1778933453.754644,2,2548
1778933453.754655,2,2549
1778933453.754750,2,2550
1778933453.754778,2,2551
1778933453.754882,2,2552
1778933453.754913,2,2553
1778933453.754977,2,2554
1778933453.755010,2,2555
1778933453.755019,2,2556
1778933453.755080,2,2557
1778933453.755116,2,2558
1778933453.755240,2,2559
1778933453.755334,2,2560
1778933453.755369,2,2561
1778933453.755441,2,2562
1778933453.755450,2,2563
1778933453.755702,2,2564
1778933453.755712,2,2565
1778933453.755776,2,2566
1778933453.755866,2,2567
1778933453.755876,2,2568
1778933453.755967,2,2569
1778933453.755976,2,2570
1778933453.756034,2,2571
1778933453.756120,2,2572
1778933453.756188,2,2573
1778933453.756198,2,2574
1778933453.756348,2,2575
1778933453.756367,2,2576
1778933453.756438,2,2577
1778933453.756528,2,2578
1778933453.756556,2,2579
1778933453.756669,2,2580
1778933453.756677,2,2581
1778933453.756685,2,2582
1778933453.756694,2,2583
1778933453.756702,2,2584
1778933453.756710,2,2585
1778933453.756719,2,2586
1778933453.756728,2,2587
1778933453.756796,2,2588
1778933453.756826,2,2589
1778933453.756836,2,2590
1778933453.756851,2,2591
1778933453.756860,2,2592
1778933453.756868,2,2593
1778933453.756876,2,2594
1778933453.756952,2,2595
1778933453.756961,2,2596
1778933453.756969,2,2597
1778933453.756979,2,2598
1778933453.756989,2,2599
1778933453.757058,2,2600
1778933453.757096,2,2601
1778933453.757171,2,2602
1778933453.757194,2,2603
1778933453.757203,2,2604
1778933453.757213,2,2605
1778933453.757222,2,2606
1778933453.757245,2,2607
1778933453.757361,2,2608
1778933453.757372,2,2609
1778933453.757446,2,2610
1778933453.757454,2,2611
1778933453.757462,2,2612
1778933453.757469,2,2613
1778933453.757477,2,2614
1778933453.757485,2,2615
1778933453.757493,2,2616
1778933453.757501,2,2617
1778933453.757510,2,2618
1778933453.757587,2,2619
1778933453.757598,2,2620
1778933453.757609,2,2621
1778933453.757692,2,2622
1778933453.757710,2,2623
1778933453.757720,2,2624
1778933453.757915,2,2625
1778933453.757924,2,2626
1778933453.757932,2,2627
1778933453.757941,2,2628
1778933453.757948,2,2629
1778933453.757956,2,2630
1778933453.757964,2,2631
1778933453.757972,2,2632
1778933453.757980,2,2633
1778933453.757988,2,2634
1778933453.757996,2,2635
1778933453.758062,2,2636
1778933453.758073,2,2637
1778933453.758171,2,2638
1778933453.770654,2,2639
1778933453.770752,2,2640
1778933453.770781,2,2641
1778933453.770828,2,2642
1778933453.770837,2,2643
1778933453.770871,2,2644
1778933453.770880,2,2645
1778933453.770889,2,2646
1778933453.770922,2,2647
1778933453.770930,2,2648
1778933453.770959,2,2649
1778933453.770968,2,2650
1778933453.770976,2,2651
1778933453.771007,2,2652
1778933453.771015,2,2653
1778933453.771026,2,2654
1778933453.771060,2,2655
1778933453.771069,2,2656
1778933453.771077,2,2657
1778933453.771117,2,2658
1778933453.771127,2,2659
1778933453.771135,2,2660
1778933453.771170,2,2661
1778933453.771178,2,2662
1778933453.771186,2,2663
1778933453.771219,2,2664
1778933453.771227,2,2665
1778933453.771235,2,2666
1778933453.780230,1,4727
1778933453.780357,1,4728
1778933453.780446,1,4729
1778933453.780527,1,4730
1778933453.780603,1,4731
1778933453.780678,1,4732
1778933453.780800,1,4733
1778933453.780823,1,4734
1778933453.780845,1,4735
1778933453.780867,1,4736
1778933453.780889,1,4737
1778933453.780910,1,4738
1778933453.780932,1,4739
1778933453.780953,1,4740
1778933453.780975,1,4741
1778933453.780996,1,4742
1778933453.781017,1,4743
1778933453.781038,1,4744
1778933453.781059,1,4745
1778933453.781240,1,4746
1778933453.781265,1,4747
1778933453.781287,1,4748
1778933453.781309,1,4749
1778933453.781330,1,4750
1778933453.781351,1,4751
1778933453.781373,1,4752
1778933453.781393,1,4753
1778933453.781414,1,4754
1778933453.781434,1,4755
1778933453.781454,1,4756
1778933453.781474,1,4757
1778933453.781493,1,4758
1778933453.781637,1,4759
1778933453.781687,1,4760
1778933453.781712,1,4761
1778933453.781737,1,4762
1778933453.781764,1,4763
1778933453.781790,1,4764
1778933453.781817,1,4765
1778933453.781954,1,4766
1778933453.781978,1,4767
1778933453.782000,1,4768
1778933453.782022,1,4769
1778933453.782045,1,4770
1778933453.782066,1,4771
1778933453.782089,1,4772
1778933453.782118,1,4773
1778933453.782141,1,4774
1778933453.782165,1,4775
1778933453.782188,1,4776
1778933453.782214,1,4777
1778933453.782237,1,4778
1778933453.782260,1,4779
1778933453.782283,1,4780
1778933453.782307,1,4781
1778933453.782483,1,4782
1778933453.782506,1,4783
1778933453.782526,1,4784
1778933453.782547,1,4785
1778933453.782568,1,4786
1778933453.782588,1,4787
1778933453.782610,1,4788
1778933453.782635,1,4789
1778933453.782659,1,4790
1778933453.782683,1,4791
1778933453.782707,1,4792
1778933453.782731,1,4793
1778933453.782753,1,4794
1778933453.782775,1,4795
1778933453.782798,1,4796
1778933453.782820,1,4797
1778933453.782840,1,4798
1778933453.783010,1,4799
1778933453.783032,1,4800
1778933453.783055,1,4801
1778933453.783077,1,4802
1778933453.783106,1,4803
1778933453.783130,1,4804
1778933453.783153,1,4805
1778933453.783177,1,4806
1778933453.783201,1,4807
1778933453.783225,1,4808
1778933453.783249,1,4809
1778933453.783273,1,4810
1778933453.783296,1,4811
1778933453.783320,1,4812
1778933453.783344,1,4813
1778933453.783368,1,4814
1778933453.783396,1,4815
1778933453.783420,1,4816
1778933453.783441,1,4817
1778933453.783463,1,4818
1778933453.783633,1,4819
1778933453.783657,1,4820
1778933453.783679,1,4821
1778933453.783701,1,4822
1778933453.783722,1,4823
1778933453.783743,1,4824
1778933453.783763,1,4825
1778933453.783783,1,4826
1778933453.783804,1,4827
1778933453.783824,1,4828
1778933453.783844,1,4829
1778933453.783983,1,4830
1778933453.784009,1,4831
1778933453.784031,1,4832
1778933453.784053,1,4833
1778933453.784074,1,4834
1778933453.784103,1,4835
1778933453.784124,1,4836
1778933453.784147,1,4837
1778933453.784169,1,4838
1778933453.784194,1,4839
1778933453.784218,1,4840
1778933453.784242,1,4841
1778933453.784266,1,4842
1778933453.784291,1,4843
1778933453.784450,1,4844
1778933453.784474,1,4845
1778933453.784498,1,4846
1778933453.784523,1,4847
1778933453.784548,1,4848
1778933453.784571,1,4849
1778933453.784595,1,4850
1778933453.784618,1,4851
1778933453.784642,1,4852
1778933453.784667,1,4853
1778933453.784692,1,4854
1778933453.784717,1,4855
1778933453.784742,1,4856
1778933453.784766,1,4857
1778933453.785023,1,4858
1778933453.785051,1,4859
1778933453.785075,1,4860
1778933453.785109,1,4861
1778933453.785134,1,4862
1778933453.785160,1,4863
1778933453.785186,1,4864
1778933453.785211,1,4865
1778933453.785236,1,4866
1778933453.785260,1,4867
1778933453.785284,1,4868
1778933453.785308,1,4869
1778933453.785468,1,4870
1778933453.785495,1,4871
1778933453.785521,1,4872
1778933453.785555,1,4873
1778933453.785578,1,4874
1778933453.785605,1,4875
1778933453.785628,1,4876
1778933453.785652,1,4877
1778933453.785677,1,4878
1778933453.785702,1,4879
1778933453.785727,1,4880
1778933453.785752,1,4881
1778933453.792000,2,2667
1778933453.792080,2,2668
1778933453.792148,2,2669
1778933453.792195,2,2670
1778933453.792205,2,2671
1778933453.792241,2,2672
1778933453.792251,2,2673
1778933453.792259,2,2674
1778933453.792298,2,2675
1778933453.792306,2,2676
1778933453.792314,2,2677
1778933453.792348,2,2678
1778933453.792356,2,2679
1778933453.792363,2,2680
1778933453.792371,2,2681
1778933453.792412,2,2682
1778933453.792419,2,2683
1778933453.792432,2,2684
1778933453.792470,2,2685
1778933453.792481,2,2686
1778933453.792488,2,2687
1778933453.792571,2,2688
1778933453.792586,2,2689
1778933453.792600,2,2690
1778933453.792647,2,2691
1778933453.792660,2,2692
1778933453.792672,2,2693
1778933453.792726,2,2694
1778933453.792735,2,2695
1778933453.792743,2,2696
1778933453.793754,1,4882
1778933453.793877,1,4883
1778933453.793967,1,4884
1778933453.794043,1,4885
1778933453.794131,1,4886
1778933453.794221,1,4887
1778933453.794330,1,4888
1778933453.794358,1,4889
1778933453.794459,1,4890
1778933453.794482,1,4891
1778933453.794504,1,4892
1778933453.794593,1,4893
1778933453.794614,1,4894
1778933453.794634,1,4895
1778933453.794721,1,4896
1778933453.794743,1,4897
1778933453.794763,1,4898
1778933453.794850,1,4899
1778933453.794871,1,4900
1778933453.794891,1,4901
1778933453.794911,1,4902
1778933453.795001,1,4903
1778933453.795023,1,4904
1778933453.795043,1,4905
1778933453.795064,1,4906
1778933453.797622,1,4907
1778933453.797726,1,4908
1778933453.797801,1,4909
1778933453.797888,1,4910
1778933453.797911,1,4911
1778933453.797987,1,4912
1778933453.798054,1,4913
1778933453.798148,1,4914
1778933453.798170,1,4915
1778933453.798260,1,4916
1778933453.798281,1,4917
1778933453.798302,1,4918
1778933453.798323,1,4919
1778933453.798414,1,4920
