abs_time,cam,rtp_seq
1777728932.680263,2,26196
1777728932.695506,0,7412
1777728932.720940,1,8421
1777728933.722155,0,7847
1777728934.718410,2,26955
1777728934.729612,0,8192
1777728934.733920,1,9060
1777728935.727278,0,8552
1777728936.717982,2,27662
1777728936.721569,0,8911
1777728936.734818,1,9761
1777728937.728057,0,9281
1777728938.722809,0,9657
1777728938.728298,2,28382
1777728938.742895,1,10493
1777728939.728641,0,10026
1777728940.724429,2,29120
1777728940.726053,0,10399
1777728940.731071,1,11226
1777728941.721827,0,10760
1777728942.713804,2,29838
1777728942.718719,0,11092
1777728942.724941,1,11923
1777728943.724186,0,11417
1777728944.714831,2,30531
1777728944.717148,0,11772
1777728944.721554,1,12617
1777728945.723469,0,12145
1777728946.720899,2,31234
1777728946.723258,0,12516
1777728946.740449,1,13334
1777728947.727738,0,12888
1777728948.722678,2,31973
1777728948.727526,0,13263
1777728948.734447,1,14076
1777728949.719272,0,13632
1777728950.722573,2,32717
1777728950.729408,0,14007
1777728950.732893,1,14820
1777728951.722750,0,14375
1777728952.728702,0,14746
1777728952.730232,2,33460
1777728952.752979,1,15563
1777728953.719430,0,15128
1777728954.723862,0,15502
1777728954.726366,2,34218
1777728954.732945,1,16319
1777728955.722077,0,15851
1777728956.721861,2,34932
1777728956.728984,0,16223
1777728956.746797,1,17037
1777728957.723827,0,16607
1777728958.723679,0,16986
1777728958.725082,2,35683
1777728958.726315,1,17791
1777728959.730330,0,17342
1777728960.726126,0,17716
1777728960.729371,2,36419
1777728960.737774,1,18521
1777728961.730984,0,18098
1777728962.724368,2,37165
1777728962.729985,0,18455
1777728962.747183,1,19268
1777728963.728948,0,18832
1777728964.732248,0,19207
1777728964.736413,2,37910
1777728964.745497,1,20009
1777728965.729917,0,19579
1777728966.728558,0,19953
1777728966.733883,2,38658
1777728966.755123,1,20759
1777728967.741825,0,20329
1777728968.728669,2,39397
1777728968.729734,0,20700
1777728968.757399,1,21499
1777728969.737447,0,21071
1777728970.727469,2,40131
1777728970.729553,0,21440
1777728970.740195,1,22240
1777728971.737683,0,21814
1777728972.728634,2,40873
1777728972.734250,0,22187
1777728972.738192,1,22984
1777728973.739435,0,22558
1777728974.733628,2,41623
1777728974.734183,0,22934
1777728974.751891,1,23727
1777728975.735131,0,23304
1777728976.734292,2,42357
1777728976.741552,0,23684
1777728976.753300,1,24482
1777728977.733180,0,24060
1777728978.731883,2,43102
1777728978.738931,0,24429
1777728978.755692,1,25217
1777728979.741407,0,24802
1777728980.738310,2,43845
1777728980.749511,0,25189
1777728980.756893,1,25960
1777728981.733627,0,25544
1777728982.736581,2,44587
1777728982.742798,0,25913
1777728982.762216,1,26709
1777728983.738389,0,26285
1777728984.741295,0,26659
1777728984.755226,1,27449
1777728984.756876,2,45336
