abs_time,cam_index,rtp_seq
1777038819.141415,1,22219
1777038819.141735,1,22220
1777038819.189489,0,15537
1777038819.189623,0,15538
1777038819.195606,2,9397
1777038819.195785,2,9398
1777038820.191308,0,15844
1777038820.191454,0,15845
1777038821.188297,1,22951
1777038821.188490,1,22952
1777038821.188765,0,16184
1777038821.188969,0,16185
1777038821.211232,2,10045
1777038821.211387,2,10046
1777038822.192564,0,16536
1777038822.192713,0,16537
1777038823.188071,1,23660
1777038823.188276,1,23661
1777038823.188933,0,16896
1777038823.189080,0,16897
1777038823.210083,2,10752
1777038823.210322,2,10753
1777038824.186961,0,17245
1777038824.187182,0,17246
1777038825.168618,1,24339
1777038825.168939,1,24340
1777038825.178306,0,17527
1777038825.178485,0,17528
1777038825.202377,2,11440
1777038825.202538,2,11441
1777038826.190809,0,17912
1777038826.196337,0,17913
1777038827.176300,1,25007
1777038827.176499,1,25008
1777038827.184949,0,18287
1777038827.185239,0,18288
1777038827.206556,2,12122
1777038827.206707,2,12123
1777038828.185892,0,18648
1777038828.186070,0,18649
1777038829.175166,1,25752
1777038829.175356,1,25753
1777038829.189108,0,19030
1777038829.189276,0,19031
1777038829.203518,2,12842
1777038829.203673,2,12843
1777038830.189732,0,19404
1777038830.189919,0,19405
1777038831.168542,1,26493
1777038831.168699,1,26494
1777038831.182128,0,19768
1777038831.182270,0,19769
1777038831.202055,2,13582
1777038831.202196,2,13583
1777038832.188476,0,20145
1777038832.188632,0,20146
1777038833.184817,1,27235
1777038833.185029,1,27236
1777038833.188249,0,20516
1777038833.188401,0,20517
1777038833.211331,2,14324
1777038833.211481,2,14325
1777038834.192073,0,20889
1777038834.192233,0,20890
1777038835.184879,1,27976
1777038835.185106,1,27977
1777038835.188489,0,21251
1777038835.188639,0,21252
1777038835.208771,2,15071
1777038835.208945,2,15072
1777038836.196533,0,21630
1777038836.196690,0,21631
1777038837.183413,1,28745
1777038837.183605,1,28746
1777038837.192667,0,22022
1777038837.198118,0,22023
1777038837.212675,2,15837
1777038837.212840,2,15838
1777038838.197922,0,22421
1777038838.198156,0,22422
1777038839.181246,1,29504
1777038839.181440,1,29505
1777038839.195996,0,22814
1777038839.196225,0,22815
1777038839.221073,2,16616
1777038839.221229,2,16617
1777038840.203851,0,23197
1777038840.204228,0,23198
1777038841.182081,1,30271
1777038841.182272,1,30272
1777038841.196648,0,23577
1777038841.196812,0,23578
1777038841.217577,2,17381
1777038841.217720,2,17382
1777038842.197523,0,23949
1777038842.203170,0,23950
1777038843.188038,1,31030
1777038843.188250,1,31031
1777038843.197907,0,24323
1777038843.198070,0,24324
1777038843.214613,2,18131
1777038843.214761,2,18132
1777038844.204667,0,24698
1777038844.204839,0,24699
1777038845.185914,1,31781
1777038845.186095,1,31782
1777038845.201021,0,25072
1777038845.201167,0,25073
1777038845.223076,2,18880
1777038845.223219,2,18881
1777038846.203163,0,25445
1777038846.203317,0,25446
1777038847.186925,1,32532
1777038847.187128,1,32533
1777038847.201904,0,25818
1777038847.207596,0,25819
1777038847.217104,2,19624
1777038847.217252,2,19625
1777038848.204781,0,26187
1777038848.204952,0,26188
1777038849.187583,1,33285
1777038849.187771,1,33286
1777038849.196544,0,26559
1777038849.196704,0,26560
1777038849.217068,2,20367
1777038849.217216,2,20368
1777038850.207500,0,26930
1777038850.207700,0,26931
1777038851.190750,1,34030
1777038851.191011,1,34031
1777038851.201185,0,27302
1777038851.201357,0,27303
1777038851.223317,2,21110
1777038851.223514,2,21111
1777038852.208092,0,27676
1777038852.208328,0,27677
1777038853.192159,1,34772
1777038853.192310,1,34773
1777038853.203737,0,28044
1777038853.203900,0,28045
1777038853.218584,2,21854
1777038853.218733,2,21855
1777038854.201144,0,28413
1777038854.201359,0,28414
1777038855.191249,1,35515
1777038855.191443,1,35516
1777038855.208667,0,28784
1777038855.208833,0,28785
1777038855.220212,2,22597
1777038855.220366,2,22598
1777038856.202774,0,29156
1777038856.202980,0,29157
1777038857.192039,1,36260
1777038857.197548,1,36261
1777038857.209428,0,29533
1777038857.209718,0,29534
1777038857.219522,2,23342
1777038857.219674,2,23343
1777038858.212081,0,29906
1777038858.212253,0,29907
1777038859.192751,1,37003
1777038859.192960,1,37004
1777038859.206040,0,30279
1777038859.206190,0,30280
1777038859.220298,2,24089
1777038859.220446,2,24090
1777038860.211690,0,30652
1777038860.211867,0,30653
1777038861.192980,1,37748
1777038861.193211,1,37749
1777038861.202878,0,31024
1777038861.203041,0,31025
1777038861.219761,2,24831
1777038861.219929,2,24832
1777038862.209827,0,31391
1777038862.215288,0,31392
1777038863.201708,1,38491
1777038863.201933,1,38492
1777038863.205096,0,31763
1777038863.205263,0,31764
1777038863.217341,2,25573
1777038863.217488,2,25574
1777038864.210855,0,32135
1777038864.211026,0,32136
1777038865.201963,1,39238
1777038865.202152,1,39239
1777038865.206205,0,32507
1777038865.206352,0,32508
1777038865.221966,2,26313
1777038865.222116,2,26314
1777038866.213489,0,32878
1777038866.213643,0,32879
1777038867.199047,1,39986
1777038867.199233,1,39987
1777038867.210680,0,33250
1777038867.211058,0,33251
1777038867.218688,2,27058
1777038867.218843,2,27059
1777038868.208406,0,33624
1777038868.208558,0,33625
