cam_index,rtp_seq,transit_ms
0,20130,-82973.0670
0,20131,-82919.8501
0,20132,-82919.7590
0,20133,-82919.6808
0,20134,-82919.4689
0,20135,-82919.4438
0,20136,-82919.4160
0,20137,-82919.4140
0,20138,-82919.4281
0,20139,-82891.8569
0,20140,-82891.8409
0,20141,-82891.8409
0,20142,-82891.8431
0,20143,-82891.8462
0,20144,-82891.8490
0,20145,-82891.8471
0,20146,-82891.8490
0,20147,-82891.8490
0,20148,-82850.7321
0,20149,-82850.5809
0,20150,-82850.5571
0,20151,-82850.5511
0,20152,-82850.5530
0,20153,-82850.5521
0,20154,-82850.5540
0,20155,-82850.5549
0,20156,-82850.5609
0,20157,-82782.9762
0,20158,-82782.7020
0,20159,-82782.5048
0,20160,-82782.3620
0,20161,-82782.2609
0,20162,-82782.2220
0,20163,-82782.0261
0,20164,-82776.9830
0,20165,-82776.9310
0,20166,-82776.8939
0,20167,-82776.8581
0,20168,-82776.8240
0,20169,-82776.7901
0,20170,-82776.7558
0,20171,-82776.7210
0,20172,-82776.6860
0,20173,-82718.6310
0,20174,-82718.5459
0,20175,-82718.5090
0,20176,-82718.4041
0,20177,-82718.3681
0,20178,-82718.3359
0,20179,-82718.2291
0,20180,-82718.2200
0,20181,-82718.1630
0,20182,-82689.4588
0,20183,-82688.9591
0,20184,-82688.9040
0,20185,-82688.8649
0,20186,-82688.8270
0,20187,-82688.7910
0,20188,-82688.0450
0,20189,-82688.0291
0,20190,-82688.0238
0,20191,-82645.1831
0,20192,-82645.1550
0,20193,-82645.1490
0,20194,-82645.1449
0,20195,-82645.1421
0,20196,-82645.1390
0,20197,-82645.1280
0,20198,-82645.1259
0,20199,-82645.1221
0,20200,-82621.4349
0,20201,-82621.4130
0,20202,-82621.4080
0,20203,-82621.4051
0,20204,-82621.4080
0,20205,-82621.4080
0,20206,-82621.4070
0,20207,-82621.4070
0,20208,-82572.3498
0,20209,-82572.2580
0,20210,-82593.6050
0,20211,-82593.5712
0,20212,-82593.4291
0,20213,-82593.2889
0,20214,-82593.2078
0,20215,-82593.1449
0,20216,-82593.0860
0,20217,-82546.9041
0,20218,-82546.8240
0,20219,-82546.7730
0,20220,-82546.7491
0,20221,-82546.7060
0,20222,-82587.0011
0,20223,-82586.9758
0,20224,-82586.9529
0,20225,-82586.9350
0,20226,-82552.6190
0,20227,-82552.5620
0,20228,-82552.5150
0,20229,-82552.4862
0,20230,-82552.4590
0,20231,-82552.4509
0,20232,-82593.8911
0,20233,-82593.8959
0,20234,-82593.8962
0,20235,-82553.2110
0,20236,-82552.9959
0,20237,-82552.9480
0,20238,-82552.8769
0,20239,-82552.8340
0,20240,-82550.9930
0,20241,-82582.5219
0,20242,-82582.5210
0,20243,-82582.5419
0,20244,-82582.5500
0,20245,-82582.5500
0,20246,-82554.1620
0,20247,-82554.0819
0,20248,-82554.0159
0,20249,-82553.9880
0,20250,-82598.8400
0,20251,-82598.8450
0,20252,-82598.8429
0,20253,-82598.4480
0,20254,-82598.4409
0,20255,-82556.5779
0,20256,-82556.5522
0,20257,-82556.5460
0,20258,-82597.1251
0,20259,-82597.1189
0,20260,-82597.1119
0,20261,-82597.1029
0,20262,-82597.0960
0,20264,-82509.6071
0,20265,-82551.4071
0,20266,-82551.3580
0,20267,-82551.3110
0,20268,-82551.2662
0,20269,-82551.2209
0,20270,-82551.1780
0,20271,-82551.1351
0,20272,-82551.0919
0,20273,-82582.9999
0,20274,-82582.9601
0,20275,-82582.9151
0,20276,-82582.8719
0,20277,-82582.8290
0,20278,-82582.7880
0,20279,-82582.7448
0,20280,-82581.1889
0,20281,-82625.7620
0,20282,-82625.7620
0,20283,-82625.7610
0,20284,-82625.7608
0,20285,-82625.7601
0,20286,-82625.7589
0,20287,-82622.3791
0,20288,-82622.3731
0,20289,-82664.3691
0,20290,-82664.3710
0,20291,-82664.3708
0,20292,-82664.3691
0,20293,-82664.3682
0,20294,-82664.3651
0,20295,-82664.3641
0,20296,-82664.0670
0,20297,-82664.0608
0,20298,-82704.8440
0,20299,-82704.8531
0,20300,-82704.8440
0,20301,-82704.8368
0,20302,-82704.6361
0,20303,-82699.5571
0,20304,-82699.5389
0,20305,-82699.5299
0,20306,-82699.5220
0,20307,-82699.5161
0,20308,-82739.8679
0,20309,-82739.8629
0,20310,-82739.8558
0,20311,-82739.8469
0,20312,-82739.8410
0,20313,-82739.8341
0,20314,-82739.8269
0,20315,-82739.8210
0,20316,-82771.8310
0,20317,-82771.8260
0,20318,-82771.8179
0,20319,-82771.8110
0,20320,-82771.8060
0,20321,-82771.7950
0,20322,-82771.7891
0,20323,-82815.4690
0,20324,-82813.8371
0,20325,-82813.7701
0,20326,-82813.7200
0,20327,-82813.6761
0,20328,-82813.6289
0,20329,-82813.5860
0,20330,-82813.5400
0,20331,-82855.4821
0,20332,-82855.4399
0,20333,-82855.3901
0,20334,-82855.3460
0,20335,-82855.3040
0,20336,-82855.2530
0,20337,-82855.2039
0,20338,-82855.1610
0,20339,-82855.1190
0,20340,-82896.3130
0,20341,-82896.1680
0,20342,-82896.1070
0,20343,-82896.0590
0,20344,-82896.0159
0,20345,-82895.9742
0,20346,-82895.9329
0,20347,-82895.2291
0,20348,-82927.4170
0,20349,-82927.4139
0,20350,-82927.4111
0,20351,-82927.4061
0,20352,-82927.4030
0,20353,-82927.3989
0,20354,-82927.3942
0,20355,-82927.3889
0,20356,-82927.3860
0,20357,-82971.5290
0,20358,-82971.5261
0,20359,-82971.5049
0,20360,-82971.4990
0,20361,-82971.4940
0,20362,-82971.4890
0,20363,-82971.4820
0,20364,-83012.4700
0,20365,-83012.4650
0,20366,-83012.4588
0,20367,-83012.4540
0,20368,-83012.4469
0,20369,-83012.4390
0,20370,-83012.4331
0,20371,-83051.3999
0,20372,-83051.3921
0,20373,-83051.3790
0,20374,-83051.3718
0,20375,-83051.3551
0,20376,-83051.3480
0,20377,-83050.7810
0,20378,-83050.7720
0,20379,-83091.9440
0,20380,-83091.9421
0,20381,-83091.9349
0,20382,-83086.3068
0,20383,-83086.2930
0,20384,-83086.2870
0,20385,-83086.2792
0,20386,-83086.2701
0,20387,-83086.2610
0,20388,-83086.2539
0,20389,-83118.0348
0,20390,-83118.0320
0,20391,-83118.0100
0,20392,-83118.0019
0,20393,-83117.9950
0,20394,-83097.1191
0,20395,-83097.0888
0,20396,-83097.0769
0,20397,-83141.2051
0,20398,-83141.2201
0,20399,-83141.2101
0,20400,-83141.1340
0,20401,-83141.0980
0,20402,-83141.0890
0,20403,-83125.5169
0,20404,-83167.6519
0,20405,-83167.6390
0,20406,-83167.6280
0,20407,-83167.6161
0,20408,-83167.6061
0,20409,-83167.5951
0,20410,-83167.5849
0,20411,-83167.5739
0,20413,-83237.2169
0,20414,-83225.3220
0,20415,-83225.3079
0,20416,-83225.2989
0,20417,-83225.2910
0,20418,-83225.2841
0,20419,-83225.2769
0,20420,-83225.2700
0,20421,-83225.2629
0,20422,-83225.2560
0,20423,-83225.2479
0,20424,-83223.6500
0,20425,-83223.6331
0,20426,-83223.6221
0,20427,-83223.6111
0,20428,-83223.6011
0,20429,-83223.5911
0,20430,-83223.5801
0,20431,-83223.5620
0,20432,-83223.5520
0,20433,-83223.5420
0,20434,-83176.2538
0,20435,-83176.2011
0,20436,-83176.1591
0,20437,-83176.1470
0,20438,-83176.1360
0,20439,-83176.1210
0,20440,-83176.1091
0,20441,-83173.3348
0,20442,-83173.3050
0,20443,-83101.6181
0,20444,-83101.5711
0,20445,-83090.0161
0,20446,-83089.9661
0,20447,-83081.6889
0,20448,-83081.6481
0,20449,-83081.6360
0,20450,-83081.6209
0,20451,-83081.4130
0,20452,-83081.3920
0,20453,-83072.9799
0,20454,-83072.8898
0,20455,-83072.8319
0,20456,-83072.7851
0,20457,-83072.7260
0,20458,-83072.6619
0,20459,-83072.6168
0,20460,-83072.5751
0,20461,-83072.5310
0,20462,-83072.4871
0,20463,-83064.1050
0,20464,-83064.0721
0,20465,-83064.0569
0,20466,-83064.0371
0,20467,-83064.0261
0,20468,-83064.0161
0,20469,-83064.0070
0,20470,-83063.4429
0,20471,-83063.4310
0,20472,-83021.9939
0,20473,-83021.9669
0,20474,-83021.9581
0,20475,-83021.9488
0,20476,-83021.9412
0,20477,-83019.1460
0,20478,-83019.1200
