cam_index,rtp_seq,transit_ms
0,5944,110.5580
0,5945,110.5981
0,6240,42.1381
0,6241,42.2759
0,6580,38.7111
0,6581,38.8770
0,6929,40.0591
0,6930,40.0569
0,7233,79.2589
0,7234,79.2520
0,7573,45.3620
0,7574,45.3281
0,7933,63.1900
0,7934,63.2479
0,8311,38.3520
0,8312,38.3019
0,8675,49.7570
0,8676,50.6589
0,9052,38.4438
0,9053,38.5020
0,9422,54.4920
0,9423,54.3902
0,9793,39.6290
0,9794,39.6299
0,10161,43.1650
0,10162,43.4031
0,10536,40.3631
0,10537,40.3080
0,10905,44.5530
0,10906,44.8198
0,11279,40.0429
0,11280,40.0081
0,11649,41.7690
0,11650,41.8959
0,12026,42.1150
0,12027,42.0389
0,12395,48.4200
0,12396,48.9271
0,12770,44.1070
0,12771,44.0750
0,13139,53.8809
0,13140,53.9548
0,13512,44.4322
0,13513,44.4191
0,13883,47.7831
0,13884,47.8649
0,14258,43.1318
0,14259,43.1290
0,14626,54.1410
0,14627,54.0330
0,15000,39.0050
0,15001,43.3230
0,15372,44.6200
0,15373,45.4340
0,15743,43.3800
0,15744,43.2942
0,16117,52.2950
0,16118,52.4528
0,16492,43.7891
0,16493,43.7410
0,16860,61.2390
0,16861,69.0870
0,17235,44.0910
0,17236,44.0769
0,17607,67.6370
0,17608,68.4040
0,17979,44.5979
0,17980,44.6198
0,18355,58.6381
0,18356,58.6751
0,18729,43.4861
0,18730,43.4160
0,19099,76.8480
0,19100,76.9620
0,19468,45.6619
0,19469,45.6030
0,19841,47.2569
0,19842,47.3409
0,20215,47.7760
0,20216,47.8179
0,20588,65.7730
0,20589,65.8190
0,20956,51.0271
0,20957,45.9430
0,21335,61.6648
0,21336,62.0039
0,21705,45.7120
0,21706,45.7602
0,22082,45.8789
0,22083,46.0949
0,22455,51.2850
0,22456,51.3859
1,24946,90.6031
1,24947,90.6379
1,25621,47.9851
1,25622,49.5431
1,26305,55.3918
1,26306,55.5120
1,26943,40.7660
1,26944,40.8850
1,27687,40.3671
1,27688,40.5130
1,28429,46.9730
1,28430,47.3239
1,29171,51.6388
1,29172,51.9009
1,29918,45.6302
1,29919,46.5970
1,30662,71.2240
1,30663,71.7590
1,31406,45.7480
1,31407,45.8889
1,32150,63.5519
1,32151,69.9732
1,32893,52.6929
1,32894,53.2079
1,33635,78.4631
1,33636,78.3131
1,34378,69.9310
1,34379,69.8779
1,35114,59.8471
1,35115,60.3700
1,35862,61.8508
1,35863,69.8240
1,36600,48.5198
1,36601,48.6062
1,37345,74.5130
1,37346,74.5511
1,38088,72.2520
1,38089,73.1549
1,38838,65.8650
1,38839,66.2029
1,39581,78.0590
1,39582,78.2681
2,31591,80.4610
2,31592,80.9350
2,32376,71.9750
2,32377,72.3741
2,33075,68.9552
2,33076,69.3500
2,33776,58.3870
2,33777,58.6600
2,34470,63.5209
2,34471,63.5681
2,35197,43.0779
2,35198,43.1769
2,35912,60.6129
2,35913,60.9701
2,36624,58.3940
2,36625,58.6700
2,37382,47.6532
2,37383,47.9991
2,38110,69.5040
2,38111,69.5319
2,38865,39.9020
2,38866,40.0569
2,39610,68.0311
2,39611,68.0161
2,40375,55.3470
2,40376,62.4740
2,41120,45.9349
2,41121,45.4359
2,41873,60.8459
2,41874,61.7671
2,42634,65.5489
2,42635,61.3780
2,43390,70.6520
2,43391,70.9479
2,44140,54.1918
2,44141,54.2879
2,44869,54.4379
2,44870,54.5881
2,45562,52.6948
2,45563,53.1831
2,46332,45.6998
2,46333,45.8040
2,47097,45.8322
2,47098,45.9290
2,47856,46.3300
2,47857,46.3271
