cam_index,rtp_seq,transit_ms
0,29715,72.8881
0,29720,130.7650
0,29743,139.4980
0,29768,123.0290
0,29791,109.0331
0,29815,99.3159
0,29838,77.8759
0,29860,64.3902
0,29885,47.7991
0,29908,30.0689
0,29931,31.3189
0,29953,28.3470
0,29977,38.0940
0,30000,26.7739
0,30023,29.5620
0,30046,33.6261
0,30069,40.6010
0,30092,24.1618
0,30112,41.7120
0,30136,32.3031
0,30158,41.6169
0,30182,22.2208
0,30203,28.3391
0,30225,24.4191
0,30258,30.8368
0,30280,27.8652
0,30301,31.8229
0,30323,70.9701
0,30343,85.7489
0,30477,115.8850
0,30490,100.1520
0,30505,73.0891
0,30524,54.0581
0,30543,36.1230
0,30565,31.2891
0,30584,28.9409
0,30604,26.1018
0,30632,31.1780
0,30658,24.8461
0,30680,37.7340
0,30701,34.7362
0,30722,26.9299
0,30743,20.8771
0,30772,30.7221
0,30795,34.5809
0,30821,25.3270
0,30845,23.5641
0,30867,36.7830
0,30886,52.6819
0,30919,64.6400
0,30959,73.3719
0,30998,71.6569
0,31023,55.3639
0,31052,45.6870
0,31071,42.5680
0,31091,29.4111
0,31112,22.6519
0,31132,55.5201
0,31151,66.6120
0,31250,70.9770
0,31262,42.6080
0,31274,24.3421
0,31291,34.8580
0,31310,26.3929
0,31338,19.3892
0,31371,24.3769
0,31407,36.1719
0,31421,20.0570
0,31440,26.3560
0,31458,30.5569
0,31477,29.1760
0,31497,27.4770
0,31519,27.6551
0,31539,32.5921
0,31560,30.6981
0,31582,27.6980
0,31602,24.0490
0,31625,33.9210
0,31649,27.0391
0,31673,28.6160
0,31698,24.6460
0,31722,28.5771
0,31747,30.0901
0,31772,25.3561
0,31794,31.4050
0,31817,19.9702
0,31840,29.4831
0,31862,68.5010
0,31885,67.0531
0,31984,80.8051
0,31999,53.8189
0,32017,41.9660
0,32036,31.1542
0,32059,20.5090
0,32085,27.5922
0,32113,29.6531
0,32138,31.9319
0,32160,20.9920
0,32187,37.0860
0,32225,46.9289
0,32243,30.7009
0,32268,30.3462
0,32290,25.9380
0,32311,36.3610
0,32331,22.5050
0,32358,30.4170
0,32377,32.4910
0,32403,31.4450
0,32427,25.8400
0,32449,21.7481
0,32471,25.4610
0,32493,29.0079
0,32514,21.5771
0,32539,32.2728
0,32564,33.3269
0,32588,37.6871
0,32609,28.8081
0,32631,43.9179
0,32656,43.6718
0,32736,45.7389
0,32749,27.2660
0,32765,29.3050
0,32780,29.0020
0,32796,36.6631
0,32820,0.4101
0,32844,5.9240
0,32869,10.7188
0,32897,8.0042
0,32913,6.2029
0,32935,6.8870
0,32961,12.5480
0,32987,8.8971
0,33006,6.1140
0,33026,10.7560
0,33047,3.8409
0,33065,7.3080
0,33090,7.2372
0,33119,5.5480
0,33142,10.2680
0,33166,8.0199
0,33187,11.2920
0,33206,6.4409
0,33228,7.6828
0,33250,8.2040
0,33274,11.0810
0,33295,3.8960
0,33314,7.7028
0,33333,9.5630
0,33352,20.1900
0,33450,45.5611
0,33464,7.2019
0,33478,5.8389
0,33498,3.9101
0,33522,4.8690
0,33551,8.7330
0,33579,0.5400
0,33604,4.3571
0,33619,6.8171
0,33644,4.9620
0,33662,3.1271
0,33681,-0.3099
0,33706,6.1729
0,33734,9.3050
0,33759,6.7880
0,33781,6.7279
0,33798,6.6559
0,33816,11.6780
0,33839,5.9762
0,33860,5.9030
0,33878,6.7160
0,33898,8.7790
0,33922,6.8011
0,33941,7.3249
0,33961,6.0010
0,33981,8.9321
0,34004,6.7589
0,34023,7.9491
0,34047,13.6940
0,34065,38.6360
0,34184,22.6080
0,34198,6.0439
0,34212,8.3261
0,34228,-0.5341
0,34250,6.3870
0,34274,7.6301
0,34303,7.9849
0,34326,13.2771
0,34355,7.3791
0,34385,7.5982
0,34407,5.9440
0,34425,7.5040
0,34444,5.7850
0,34464,6.1991
0,34487,6.0091
0,34509,10.2270
0,34526,5.9760
0,34547,6.8018
0,34567,5.8019
0,34586,6.4659
0,34615,23.2449
0,34647,16.5031
0,34676,8.7869
0,34695,8.7810
0,34725,5.7871
0,34755,10.4520
0,34774,4.3130
0,34794,14.0121
0,34815,7.1080
0,34834,64.4391
0,34932,45.9700
0,34946,2.6391
0,34960,6.0978
0,34980,42.9699
0,35007,21.7290
0,35038,18.8050
0,35065,12.7039
0,35081,31.1301
0,35107,13.4680
0,35137,12.6421
0,35151,16.9101
0,35179,12.1479
0,35197,61.1992
0,35216,24.7321
0,35236,6.0830
0,35253,4.4470
0,35278,12.5291
0,35294,7.1480
0,35321,4.4479
0,35339,36.3770
0,35357,10.8340
0,35374,4.8659
0,35394,6.3531
0,35414,39.0620
0,35432,8.5270
0,35455,15.5280
0,35477,5.8661
0,35495,28.3391
0,35513,27.8199
0,35532,33.5071
0,35651,48.6321
0,35665,7.3750
0,35679,-1.5860
0,35698,4.6768
0,35721,6.1922
0,35747,12.2299
0,35779,-0.4621
0,35819,30.3569
0,35839,7.8070
0,35856,20.8960
0,35889,23.6859
0,35909,13.9570
0,35933,4.3690
0,35962,4.0150
0,35987,9.1851
0,36004,0.7281
0,36031,2.7621
0,36052,50.3790
0,36070,12.1899
0,36087,5.7631
0,36104,3.0341
0,36121,23.3369
0,36141,3.0632
0,36158,0.3200
0,36177,8.0209
0,36196,5.6369
0,36215,9.7792
0,36234,15.5420
0,36256,23.8221
0,36275,29.9592
0,36396,5.5940
0,36410,44.6432
0,36424,5.1370
0,36445,3.9070
0,36470,5.9850
0,36497,29.9399
0,36529,1.1230
0,36562,4.9369
0,36577,43.0460
0,36594,19.9389
0,36621,3.2551
0,36642,4.9751
0,36664,3.1600
0,36687,50.8900
0,36709,19.4290
0,36732,6.9489
0,36758,3.0861
0,36780,16.2320
0,36803,2.9159
0,36827,7.0009
0,36850,51.8460
0,36873,23.8268
0,36896,3.7200
0,36919,5.4071
0,36942,35.2521
0,36966,8.0228
0,36990,3.0141
0,37012,3.6938
0,37037,17.7262
0,37063,16.0892
0,37150,27.2210
0,37166,2.2869
0,37181,35.8400
0,37206,4.5619
0,37236,3.3879
0,37266,49.1791
0,37296,18.5530
0,37321,10.6280
0,37350,8.0681
0,37373,32.8031
0,37395,10.3791
0,37416,3.6659
0,37440,9.7580
0,37464,7.4561
0,37486,44.3461
0,37506,15.4021
0,37533,3.7010
0,37560,7.8249
0,37585,5.9812
0,37605,4.4119
0,37624,7.4308
0,37644,41.5900
0,37668,12.8801
0,37693,3.1509
0,37719,16.9981
0,37745,44.9059
0,37774,17.3879
0,37801,7.5181
0,37819,12.2831
0,37844,50.2331
0,37910,26.0379
0,37922,0.2289
0,37940,8.5559
0,37960,4.5340
0,37981,14.0748
0,38005,5.6581
