time_ns,gst_buffer_pts_ns,stage
31127886024317,648539925,post_depay
31127958000484,744388894,post_decode
31127969510779,831512133,post_depay
31127988864302,831665497,post_decode
31127997222468,859261518,post_depay
31128016284377,859389825,post_decode
31128024656370,886846778,post_depay
31128062245047,886975408,post_decode
31128081294649,943083591,post_depay
31128097071835,943242045,post_decode
31128102130299,964142896,post_depay
31128118540340,964409458,post_decode
31128294913866,1154797350,post_depay
31128308273551,1156556663,post_decode
31128315664134,1177156025,post_depay
31128331813362,1177314192,post_decode
31128336455463,1197988902,post_depay
31128345399180,1198134368,post_decode
31128351655124,1213186325,post_depay
31128359404607,1213354627,post_decode
31128363082325,1224629378,post_depay
31128373383993,1224773641,post_decode
31128376697223,1238249593,post_depay
31128387555473,1238395612,post_decode
31128390769928,1252283120,post_depay
31128400179536,1252467341,post_decode
31128402821660,1264409275,post_depay
31128412199262,1264536824,post_decode
31128429103005,1290404223,post_depay
31128439785666,1290807898,post_decode
31128469323875,1330973875,post_depay
31128477261965,1331050569,post_decode
31128623564093,1484879353,post_depay
31128632032085,1485088059,post_decode
31128638278323,1500034673,post_depay
31128650160748,1500117509,post_decode
31128657562552,1519229079,post_depay
31128668240864,1519387031,post_decode
31128671782333,1533599716,post_depay
31128678511074,1533673090,post_decode
31128681314862,1543087547,post_depay
31128688600873,1543217629,post_decode
31128829858525,1684563244,post_depay
31128837878790,1691694662,post_decode
31128854924400,1716393628,post_depay
31128864576722,1716568798,post_decode
31128869959504,1731771446,post_depay
31128877384108,1731867949,post_decode
31128882240838,1743997198,post_depay
31128889328173,1744139880,post_decode
31128894239641,1755994909,post_depay
31128902458442,1756132290,post_decode
31129029494827,1891627241,post_depay
31129035889289,1891738197,post_decode
31129040962464,1903109198,post_depay
31129047513707,1903263976,post_decode
31129050451590,1912705720,post_depay
31129061031294,1912781857,post_decode
31129066600519,1928801912,post_depay
31129072989814,1928885064,post_decode
31129086136609,1948061963,post_depay
31129094034865,1948250201,post_decode
31129107826539,1969857516,post_depay
31129115342943,1969987864,post_decode
31129151009430,2013141426,post_depay
31129158189554,2013310792,post_decode
31129213249415,2074930175,post_depay
31129220730070,2074982530,post_decode
31129231682724,2093841075,post_depay
31129240288850,2093981206,post_decode
31129264580016,2126106412,post_depay
31129273736961,2126277027,post_decode
31129313063400,2174448119,post_depay
31129328975252,2174680185,post_decode
31129350542388,2212096182,post_depay
31129362334601,2212255030,post_decode
31129399927127,2260848954,post_depay
31129406278907,2261657651,post_decode
31129423890517,2285555059,post_depay
31129433913749,2285638481,post_decode
31129469373500,2330919752,post_depay
31129477871623,2331090608,post_decode
31129515848270,2371932308,post_depay
31129523141538,2377752552,post_decode
31129556101148,2414678698,post_depay
31129564465917,2418072204,post_decode
31129603353775,2464853447,post_depay
31129611929466,2465051954,post_decode
31129628943624,2490465871,post_depay
31129636904661,2490848173,post_decode
31129803772121,2594760887,post_depay
31129832424585,2665151607,post_decode
31129839680867,2701289481,post_depay
31129846257996,2701482028,post_decode
31129849286487,2711017708,post_depay
31129857286334,2711097940,post_decode
31129869485206,2731105070,post_depay
31129879556557,2731293820,post_decode
31129916485443,2772767974,post_depay
31129924381318,2778278035,post_decode
31129955406319,2813882468,post_depay
31129962576735,2817205175,post_decode
31129984610120,2846356036,post_depay
31129993537269,2846434536,post_decode
31130030810512,2892507588,post_depay
31130041169501,2892673815,post_decode
31130070452012,2932034700,post_depay
31130078501973,2932236009,post_decode
31130114837544,2976583757,post_depay
31130121791767,2976708094,post_decode
31130144828929,3006505996,post_depay
31130155847041,3006677238,post_decode
31130189501112,3051117699,post_depay
31130198717286,3051360782,post_decode
31130233226396,3091235236,post_depay
31130242868485,3094831009,post_decode
31130277742063,3139018528,post_depay
31130285419140,3139196246,post_decode
31130305016819,3166395575,post_depay
31130312429598,3166553020,post_decode
31130349622546,3210967377,post_depay
31130356557052,3211144230,post_decode
31130391134886,3252574590,post_depay
31130400498881,3252735507,post_decode
31130432655118,3294077484,post_depay
31130440328772,3294234728,post_decode
31130463414330,3324891526,post_depay
31130471442022,3325651654,post_decode
31130508171643,3370112274,post_depay
31130514364438,3370269565,post_decode
31130550395725,3412452664,post_depay
31130562125158,3412607229,post_decode
31130592338316,3454373853,post_depay
31130603575372,3454537500,post_decode
31130624091171,3486105860,post_depay
31130630938876,3486263270,post_decode
31130669025545,3531003267,post_depay
31130679047055,3531231143,post_decode
31130718723103,3580347994,post_depay
31130725692691,3580635022,post_decode
31130756308870,3614860884,post_depay
31130766193514,3618205347,post_decode
31130785896979,3647548566,post_depay
31130796562201,3647696638,post_decode
31130829771818,3691405910,post_depay
31130839011775,3691596165,post_decode
31130870594284,3732334218,post_depay
31130878546292,3732483547,post_decode
31130913553038,3775221584,post_depay
31130922739616,3775353474,post_decode
31130940015641,3806426069,post_depay
31130949126503,3806585461,post_decode
31130985293250,3851655281,post_depay
31130993380385,3851888872,post_decode
31131025957240,3892044859,post_depay
31131035131262,3892535794,post_decode
31131068227071,3934655046,post_depay
31131077730287,3934788783,post_decode
31131099628963,3966044155,post_depay
31131107148104,3966195032,post_decode
31131145582234,4011936960,post_depay
31131154318815,4012098196,post_decode
31131193415975,4052352152,post_depay
31131200999697,4055239817,post_decode
31131232951071,4094660057,post_depay
31131241677997,4094737304,post_decode
31131264010596,4125711933,post_depay
31131272388058,4125828725,post_decode
31131311498967,4173176798,post_depay
31131318816975,4173312668,post_decode
31131351616511,4213053126,post_depay
31131369034437,4213313056,post_decode
31131392284672,4253993700,post_depay
31131399438856,4254077650,post_decode
31131426753077,4288030254,post_depay
31131435639721,4288238277,post_decode
31131477285691,4338588690,post_depay
31131485441359,4338751451,post_decode
31131512450791,4373647620,post_depay
31131519545292,4373784639,post_decode
31131556896826,4417277019,post_depay
31131565281281,4418296060,post_decode
31131585583601,4446911597,post_depay
31131594705303,4447055312,post_decode
31131630680170,4491997836,post_depay
31131639064875,4492139288,post_decode
31131839882916,4610137499,post_depay
31131868602721,4661629275,post_decode
31131871551360,4693391644,post_depay
31131877973189,4693457561,post_decode
31131880248907,4701959338,post_depay
31131888022663,4702096133,post_decode
31131912132652,4733880100,post_depay
31131919321345,4734016809,post_decode
31131950679206,4772415254,post_depay
31131958624579,4772559688,post_decode
31131953372774,4819860834,post_depay
31131960767630,4819999728,post_decode
31131979902187,4846387138,post_depay
31131988186939,4846537672,post_decode
31132024356564,4890286698,post_depay
31132031768825,4890979825,post_decode
31132066650551,4933142430,post_depay
31132074814097,4933281773,post_decode
31132108698043,4975180144,post_depay
31132116046620,4975313712,post_decode
31132141322936,5007828709,post_depay
31132149695118,5007961994,post_decode
31132190174288,5051476726,post_depay
31132196991047,5052101628,post_decode
31132232168790,5093911304,post_depay
31132239228256,5094034599,post_decode
31132282367656,5144114485,post_depay
31132289754721,5144284396,post_decode
31132307587497,5169097913,post_depay
31132314849382,5169486890,post_decode
31132352920647,5214731614,post_depay
31132361943293,5214860063,post_decode
31132391170357,5252832989,post_depay
31132399957074,5253090526,post_decode
31132438155823,5300067946,post_depay
31132445250428,5300213692,post_decode
31132465456262,5327370850,post_depay
31132472757075,5327515054,post_decode
31132510891019,5372823597,post_depay
31132518128116,5372958354,post_decode
31132557546362,5419467683,post_depay
31132564680725,5419607759,post_decode
31132593490833,5455422983,post_depay
31132599501436,5455558794,post_decode
31132626883433,5486700495,post_depay
31132634609135,5488941973,post_decode
