time_ns,gst_buffer_pts_ns,stage
31127830589686,581758490,post_depay
31127887206199,687036605,post_decode
31127963135946,825004426,post_depay
31127977675350,825255086,post_decode
31127982681449,844673774,post_depay
31128003873762,844835578,post_decode
31128008917096,871117284,post_depay
31128029969777,871230609,post_decode
31128035587288,897577598,post_depay
31128065242912,897763679,post_decode
31128080829856,942990669,post_depay
31128098179584,943110144,post_decode
31128105693088,967925538,post_depay
31128118407388,968008161,post_decode
31128125021769,987267551,post_depay
31128135687960,987344238,post_decode
31128295093291,1156538680,post_depay
31128307718076,1156700619,post_decode
31128312025461,1173635306,post_depay
31128329546789,1173713624,post_decode
31128333400777,1194994628,post_depay
31128344924372,1195098011,post_decode
31128348806096,1210120216,post_depay
31128359659911,1210508383,post_decode
31128366652594,1228239311,post_depay
31128373476930,1228340547,post_decode
31128379399814,1241000870,post_depay
31128387390325,1241097239,post_decode
31128393011446,1254621181,post_depay
31128400701850,1254718545,post_decode
31128404922956,1266559852,post_depay
31128412366812,1266620442,post_decode
31128441601924,1303191796,post_depay
31128447826028,1303273917,post_decode
31128476598654,1338062010,post_depay
31128482609503,1338260635,post_decode
31128624996337,1486748390,post_depay
31128632162927,1486880405,post_decode
31128635487063,1497262396,post_depay
31128650033086,1497341563,post_decode
31128653878600,1515576106,post_depay
31128667015169,1515695962,post_decode
31128821646085,1546868404,post_depay
31128858539436,1683068342,post_decode
31128862964247,1724676343,post_depay
31128871836980,1724824404,post_decode
31128874800812,1736579970,post_depay
31128883543100,1736699449,post_decode
31128885853021,1747765035,post_depay
31128896260403,1747814374,post_decode
31128898979189,1760861301,post_depay
31128907171831,1760912965,post_decode
31129029325247,1891509901,post_depay
31129035196521,1891592132,post_decode
31129038436016,1900717789,post_depay
31129047606207,1900766086,post_decode
31129053441472,1915673141,post_depay
31129060662563,1915727529,post_decode
31129063987315,1926227871,post_depay
31129072453213,1926286719,post_decode
31129086544208,1948211817,post_depay
31129093113900,1948875777,post_decode
31129137232745,1996379924,post_depay
31129144385341,1999462385,post_decode
31129153567079,2012977245,post_depay
31129159457522,2015861730,post_decode
31129212711467,2074813225,post_depay
31129219706958,2074877558,post_decode
