time_ns,gst_buffer_pts_ns,frame_seq,stage
39776810154138,17963662660,0,post_depay
39776851328160,18358118105,1,post_decode
39777196810347,18766891466,2,post_depay
39777211041385,18767041020,3,post_decode
39777215523853,18785672527,4,post_depay
39777225850429,18785804803,5,post_decode
39777230901614,18800849159,6,post_depay
39777256664045,18801076339,7,post_decode
39777269323176,18837628355,8,post_depay
39777283982088,18839651493,9,post_decode
39777293647476,18863695791,10,post_depay
39777309829337,18863852924,11,post_decode
39777316465698,18886584706,12,post_depay
39777332437724,18886715060,13,post_decode
39777442015834,18912239349,14,post_depay
39777458457997,19012491527,15,post_decode
39777465768720,19036245143,16,post_depay
39777482123568,19036432480,17,post_decode
39777487579831,19058086176,18,post_depay
39777503022538,19058243699,19,post_decode
39777521521746,19078135001,20,post_depay
39777534464903,19092128571,21,post_decode
39777539182397,19109635907,22,post_depay
39777556365607,19109930160,23,post_decode
39777691267565,19131807865,24,post_depay
39777699369098,19261140673,25,post_decode
39777702989627,19272871544,26,post_depay
39777712422664,19272983812,27,post_decode
39777755692220,19286816554,28,post_depay
39777768552786,19325467544,29,post_decode
39777924251569,19352257428,30,post_depay
39777937558160,19495256468,31,post_decode
39777947730161,19512815227,32,post_depay
39777960125165,19518639622,33,post_decode
39777963836259,19534770170,34,post_depay
39777975195789,19534870905,35,post_decode
39777999412997,19550093639,36,post_depay
39778012869782,19569893481,37,post_decode
39778204113467,19588017958,38,post_depay
39778214440700,19774259195,39,post_decode
39778256180869,19788152902,40,post_depay
39778267007025,19826201265,41,post_decode
39778270718539,19840769090,42,post_depay
39778280562126,19840910623,43,post_decode
39778323206093,19854047322,44,post_depay
39778334568627,19854145607,45,post_decode
39778505701291,19869191705,46,post_depay
39778515625170,20036467474,47,post_decode
39778519650599,20050476496,48,post_depay
39778529940533,20050584221,49,post_decode
39778533953029,20064760492,50,post_depay
39778545714922,20064878602,51,post_decode
39778549708321,20080495915,52,post_depay
39778559391482,20080638508,53,post_decode
39778741576268,20272217973,54,post_depay
39778753323389,20311379712,55,post_decode
39778800799917,20327792757,56,post_depay
39778812810810,20371848499,57,post_decode
39778816453236,20387716461,58,post_depay
39778826431082,20387808969,59,post_decode
39778832306062,20403540975,60,post_depay
39778842692581,20403655507,61,post_decode
39779004932558,20419761009,62,post_depay
39779016363041,20576068035,63,post_decode
39779020004954,20591261795,64,post_depay
39779031166927,20591362328,65,post_decode
39779035338188,20606456525,66,post_depay
39779047092348,20606579671,67,post_decode
39779051774439,20622142218,68,post_depay
39779063319112,20622416426,69,post_decode
39779074475290,20638413858,70,post_depay
39779086804397,20645103185,71,post_decode
39779302933686,20661759432,72,post_depay
39779317865758,20874859051,73,post_decode
39779321797121,20893716035,74,post_depay
39779331383024,20893827016,75,post_decode
39779334696935,20906653234,76,post_depay
39779343361450,20906751992,77,post_decode
39779366248110,20918643137,78,post_depay
39779379005642,20938119946,79,post_decode
39779490495037,20954465343,80,post_depay
