wall_time,cam,rtp_seq,pipeline_ms,dropped_nals
15:49:11.338,1,9994,2.651,0
15:49:11.373,1,10059,1.514,0
15:49:11.388,0,1098,2.286,0
15:49:11.400,2,9757,1.709,0
15:49:11.401,1,10072,0.455,0
15:49:11.413,0,1110,0.334,0
15:49:11.425,2,9771,0.359,0
15:49:11.444,1,10084,0.281,0
15:49:11.454,0,1120,0.311,0
15:49:11.460,2,9783,0.383,0
15:49:11.475,1,10096,0.336,0
15:49:11.485,0,1130,0.273,0
15:49:11.502,2,9795,0.381,0
15:49:11.516,1,10108,0.270,0
15:49:11.529,0,1139,0.469,0
15:49:11.534,2,9807,0.507,0
15:49:11.557,1,10120,0.538,0
15:49:11.569,0,1147,0.150,0
15:49:11.580,2,9819,0.568,0
15:49:11.599,1,10131,0.843,0
15:49:11.611,0,1155,0.166,0
15:49:11.620,2,9831,0.296,0
15:49:11.629,1,10140,0.352,0
15:49:11.643,0,1162,0.154,0
15:49:11.662,2,9843,0.376,0
15:49:11.675,1,10152,0.741,0
15:49:11.684,0,1170,0.181,0
15:49:11.693,2,9852,0.284,0
15:49:11.716,1,10164,0.732,0
15:49:11.729,0,1179,0.211,0
15:49:11.738,2,9865,0.358,0
15:49:11.758,1,10175,0.613,0
15:49:11.770,0,1188,0.205,0
15:49:11.780,2,9878,0.465,0
15:49:11.790,1,10187,0.719,0
15:49:11.811,0,1195,0.170,0
15:49:11.822,2,9891,0.619,0
15:49:11.836,1,10198,0.792,0
15:49:11.843,0,1203,0.124,0
15:49:11.854,2,9903,0.604,0
15:49:11.876,1,10209,0.580,0
15:49:11.885,0,1212,0.146,0
15:49:11.898,2,9915,0.374,0
15:49:11.918,1,10220,0.513,0
15:49:11.929,0,1220,0.121,0
15:49:11.940,2,9926,0.389,0
15:49:11.950,1,10231,0.511,0
15:49:11.970,0,1228,0.147,0
15:49:11.982,2,9938,0.527,0
15:49:11.994,1,10242,0.389,0
15:49:12.012,0,1236,0.140,0
15:49:12.014,2,9950,0.471,0
15:49:12.038,1,10250,0.354,0
15:49:12.043,0,1244,0.199,0
15:49:12.059,2,9962,0.615,0
15:49:12.079,1,10262,0.640,0
15:49:12.088,0,1252,0.147,0
15:49:12.099,2,9968,0.457,0
15:49:12.110,1,10275,0.801,0
