wall_time_ns,gst_buffer_pts_ns,stage
1773673355866642731,6208348657,post_depay
1773673355880868015,6220310669,post_decode
1773673355881429125,6242740478,post_depay
1773673355884893871,6242773558,post_decode
1773673355885014456,6246336778,post_depay
1773673355888011643,6246365807,post_decode
1773673355929920803,6290993312,post_depay
1773673355940005559,6291153988,post_decode
1773673355942943695,6304103276,post_depay
1773673355949046579,6304219399,post_decode
1773673355969761356,6330926717,post_depay
1773673355975813200,6331046677,post_decode
1773673356012462168,6373512307,post_depay
1773673356019744314,6373714790,post_decode
1773673356062165851,6423333645,post_depay
1773673356069177568,6423449348,post_decode
1773673356095685752,6456730720,post_depay
1773673356100383963,6456984957,post_decode
1773673356126672255,6487368235,post_depay
1773673356137634268,6487690604,post_decode
1773673356180722040,6541278985,post_depay
1773673356194284427,6541624591,post_decode
1773673356212873319,6573736331,post_depay
1773673356220345512,6574025173,post_decode
1773673356265473698,6620984099,post_depay
1773673356274647980,6626662267,post_decode
1773673356286294448,6647205706,post_depay
1773673356296935320,6647493005,post_decode
1773673356331921003,6692407854,post_depay
1773673356338854958,6693007605,post_decode
1773673356373884882,6734619702,post_depay
1773673356385714345,6735050888,post_decode
1773673356418973825,6779955034,post_depay
1773673356429098547,6780154929,post_decode
1773673356450382133,6811208429,post_depay
1773673356459580722,6811528187,post_decode
1773673356495090707,6855755904,post_depay
1773673356502408828,6856268342,post_decode
1773673356535398416,6896191712,post_depay
1773673356546220212,6896525499,post_decode
1773673356580101145,6936552988,post_depay
1773673356590730942,6941264360,post_decode
1773673356610007763,6970932145,post_depay
1773673356619764848,6971204492,post_decode
1773673356656689414,7017309534,post_depay
1773673356663764421,7017624430,post_decode
1773673356694147433,7054936354,post_depay
1773673356705457824,7055301363,post_decode
1773673356735780974,7096193223,post_depay
1773673356742733835,7096573284,post_decode
1773673356768837694,7129430507,post_depay
1773673356775617951,7129979265,post_decode
1773673356812987024,7173941252,post_depay
1773673356822213388,7174163460,post_decode
1773673356853589927,7214341267,post_depay
1773673356864447865,7214711324,post_decode
1773673356895887957,7256848917,post_depay
1773673356906247371,7257065263,post_decode
1773673356927184918,7288156446,post_depay
1773673356936868069,7288391973,post_decode
1773673356974817111,7335420213,post_depay
1773673356985149074,7335764455,post_decode
1773673357031084828,7381431497,post_depay
1773673357041939578,7392202617,post_decode
1773673357055337548,7416197517,post_depay
1773673357063420396,7416463331,post_decode
1773673357094202068,7454935468,post_depay
1773673357105499055,7455285415,post_decode
1773673357135124144,7496000706,post_depay
1773673357145512553,7496290073,post_decode
1773673357196147137,7557040591,post_depay
1773673357203675049,7557269380,post_decode
1773673357216882541,7575439112,post_depay
1773673357226712307,7577993271,post_decode
1773673357274672706,7622722520,post_depay
1773673357284274082,7635748295,post_decode
1773673357310462613,7666530339,post_depay
1773673357321929072,7671548459,post_decode
1773673357340248491,7701136406,post_depay
1773673357351235123,7701416513,post_decode
1773673357377384764,7738225883,post_depay
1773673357386365503,7738522868,post_decode
1773673357418788320,7778085598,post_depay
1773673357426664260,7779575000,post_decode
1773673357458900992,7815110859,post_depay
1773673357468002813,7819993662,post_decode
1773673357507195609,7867560429,post_depay
1773673357519768570,7868307894,post_decode
1773673357537478947,7898184068,post_depay
1773673357547796026,7898562936,post_decode
1773673357570182436,7931048476,post_depay
1773673357581104156,7931361041,post_decode
1773673357614460547,7975122249,post_depay
1773673357627047660,7975575570,post_decode
1773673357698626512,8033606525,post_depay
1773673357708692926,8059376865,post_decode
1773673357710277404,8071585953,post_depay
1773673357713314115,8071612741,post_decode
1773673357732752888,8093771019,post_depay
1773673357742821470,8094000842,post_decode
1773673357775754671,8136191937,post_depay
1773673357784055950,8136797150,post_decode
1773673357819599394,8180043922,post_depay
1773673357831483945,8180567185,post_decode
1773673357848457952,8209190733,post_depay
1773673357857706781,8209541913,post_decode
1773673357898088022,8258531057,post_depay
1773673357906194298,8259237632,post_decode
1773673357936737585,8297677891,post_depay
1773673357948069610,8297914542,post_decode
1773673357979009293,8339494262,post_depay
1773673357986353483,8340177998,post_decode
1773673358009456635,8370190923,post_depay
1773673358018533924,8370585300,post_decode
1773673358067113961,8427706534,post_depay
1773673358074744242,8428277084,post_decode
1773673358101829905,8462560350,post_depay
1773673358109452198,8462974191,post_decode
1773673358140335565,8501068997,post_depay
1773673358152608065,8501436563,post_decode
1773673358170437162,8531220956,post_depay
1773673358182081663,8531557662,post_decode
1773673358215664284,8576222310,post_depay
1773673358223144252,8576591896,post_decode
1773673358254725412,8615519463,post_depay
1773673358263663794,8615873448,post_decode
1773673358312518934,8668512078,post_depay
1773673358324859463,8673550089,post_decode
1773673358328773321,8689897411,post_depay
1773673358335882294,8690060957,post_decode
1773673358379542328,8734416339,post_depay
1773673358391579363,8740663377,post_decode
1773673358418984396,8775083020,post_depay
1773673358431148968,8780108640,post_decode
1773673358463174853,8824036405,post_depay
1773673358475158596,8824322040,post_decode
1773673358491284852,8849740128,post_depay
1773673358500662225,8852394803,post_decode
1773673358535126463,8895526053,post_depay
1773673358546743823,8896262846,post_decode
1773673358574695885,8935160636,post_depay
1773673358583831422,8935532077,post_decode
1773673358619713292,8980199740,post_depay
1773673358631379836,8980591989,post_decode
1773673358660763046,9021331324,post_depay
1773673358671006154,9021734650,post_decode
1773673358693854728,9054841053,post_depay
1773673358700627047,9055075340,post_decode
1773673358739399143,9100058340,post_depay
1773673358749584761,9100436132,post_decode
1773673358783831433,9136039236,post_depay
1773673358791765490,9144708496,post_decode
1773673358827489493,9188008638,post_depay
1773673358840466748,9188511797,post_decode
1773673358855584548,9210935389,post_depay
1773673358866423982,9216693860,post_decode
1773673358895310103,9255966563,post_depay
1773673358907375423,9256406792,post_decode
1773673358945599270,9306180617,post_depay
1773673358956439671,9306521579,post_decode
1773673358996519973,9357313361,post_depay
1773673359008055924,9357682918,post_decode
1773673359015282558,9371570388,post_depay
1773673359023238427,9376547397,post_decode
1773673359063135077,9413427460,post_depay
1773673359074571240,9424228846,post_decode
1773673359108931478,9469279856,post_depay
1773673359118948001,9469768456,post_decode
1773673359144805514,9501566605,post_depay
1773673359152942842,9505946766,post_decode
1773673359179306988,9539997140,post_depay
1773673359190212887,9540411171,post_decode
1773673359214232132,9574951913,post_depay
1773673359225570520,9575371623,post_decode
1773673359260033676,9614747003,post_depay
1773673359272686996,9621154740,post_decode
1773673359305014011,9658274315,post_depay
1773673359318805893,9666089010,post_decode
