wall_time_ns,gst_buffer_pts_ns,stage
1773150579436198193,151343338,post_depay
1773150579456832490,191343338,post_depay
1773150579497886144,231343338,post_depay
1773150579529088559,271343338,post_depay
1773150579573966328,311343338,post_depay
1773150579615928736,351343338,post_depay
1773150579657518934,391343338,post_depay
1773150579689318411,431343338,post_depay
1773150579734280436,471343338,post_depay
1773150579776310795,511343338,post_depay
1773150579817045753,552343338,post_depay
1773150579858346110,592343338,post_depay
1773150579889721513,632343338,post_depay
1773150579934775396,672343338,post_depay
1773150579975346565,712343338,post_depay
1773150580017403418,752343338,post_depay
1773150580049974603,792343338,post_depay
1773150580094124180,832343338,post_depay
1773150580135535241,872343338,post_depay
1773150580177714870,912343338,post_depay
1773150580209407134,952343338,post_depay
1773150580255189991,992343338,post_depay
1773150580295463480,1032343338,post_depay
1773150580337945707,1072343338,post_depay
1773150580369719757,1112343338,post_depay
1773150580439715814,1156192255,post_depay
1773150580457869520,1210307763,post_depay
1773150580489887923,1250307763,post_depay
1773150580531381029,1290307763,post_depay
1773150580576079340,1330307763,post_depay
1773150580616673878,1370307763,post_depay
1773150580658095080,1410307763,post_depay
1773150580690280375,1450307763,post_depay
1773150580734935386,1490307763,post_depay
1773150580776753022,1530307763,post_depay
1773150580818163308,1570307763,post_depay
1773150580850038696,1610307763,post_depay
1773150580894216544,1650307763,post_depay
1773150580935971040,1690307763,post_depay
1773150580978142669,1730307763,post_depay
1773150581010349644,1770307763,post_depay
1773150581055379780,1810307763,post_depay
1773150581096086679,1850307763,post_depay
1773150581138482138,1890307763,post_depay
1773150581170182101,1930307763,post_depay
1773150581215200632,1970307763,post_depay
1773150581256379637,2010307763,post_depay
1773150581298167566,2050307763,post_depay
1773150581330184483,2090307763,post_depay
1773150581375106644,2130307763,post_depay
1773150581449851984,2170307763,post_depay
1773150581464380686,2210307763,post_depay
1773150581499045072,2250307763,post_depay
1773150581530816828,2290307763,post_depay
1773150581575264383,2330307763,post_depay
1773150581616370705,2370307763,post_depay
1773150581658330772,2410307763,post_depay
1773150581689997203,2450307763,post_depay
1773150581735128695,2490307763,post_depay
1773150581776095875,2530307763,post_depay
1773150581817180476,2570307763,post_depay
1773150581858346707,2610307763,post_depay
1773150581890490958,2650307763,post_depay
1773150581935176887,2690307763,post_depay
1773150581976341048,2730307763,post_depay
1773150582018518757,2770307763,post_depay
1773150582050412695,2810307763,post_depay
1773150582095018392,2850307763,post_depay
1773150582136535063,2890307763,post_depay
1773150582178949057,2930307763,post_depay
1773150582210450241,2970307763,post_depay
1773150582255805754,3010307763,post_depay
1773150582296502699,3050307763,post_depay
1773150582338734840,3090307763,post_depay
1773150582370799568,3130307763,post_depay
