wall_time,cam_index,decoder_ms
15:24:05.905,0,14.4400
15:24:07.168,1,6.6859
15:24:30.944,2,20.4475
15:24:30.946,0,25040.6218
15:24:30.950,1,23781.7894
15:24:30.953,2,8.3312
15:24:31.056,2,4.2024
15:24:31.068,2,3.4695
15:24:31.075,2,6.6711
15:24:31.084,2,3.2430
15:24:31.084,0,25174.4365
15:24:31.088,0,25088.1652
15:24:31.091,2,6.8854
15:24:31.095,0,25090.9604
15:24:31.099,1,23923.8540
15:24:31.102,0,25094.5718
15:24:31.103,1,23924.2051
15:24:31.109,1,23880.0153
15:24:31.109,0,25066.4240
15:24:31.115,0,25025.7949
15:24:31.118,2,7.6128
15:24:31.119,1,23844.5302
15:24:31.125,1,23825.5832
15:24:31.140,0,25012.4216
15:24:31.148,1,23799.9616
15:24:31.173,0,25013.3847
15:24:31.174,2,4.0299
15:24:31.188,1,23792.1067
15:24:31.191,2,5.3484
15:24:31.204,0,25006.6255
15:24:31.221,1,23808.2309
15:24:31.251,2,4.1512
15:24:31.254,0,25003.0926
15:24:31.284,1,23829.7314
15:24:31.285,2,3.5033
15:24:31.290,0,25007.5143
15:24:31.334,0,25006.2693
15:24:31.335,1,23843.8955
15:24:31.335,2,4.2493
15:24:31.341,2,6.1924
15:24:31.355,1,23826.6764
15:24:31.368,0,25007.6355
15:24:31.375,1,23803.0231
15:24:31.395,2,3.3417
15:24:31.418,0,25001.7646
15:24:31.429,1,23805.1043
15:24:31.429,2,3.1418
15:24:31.461,0,25024.0161
15:24:31.467,2,3.7726
15:24:31.467,1,23797.6612
15:24:31.490,0,25013.5049
15:24:31.535,2,3.5882
15:24:31.538,0,25002.6409
15:24:31.538,1,23855.2751
15:24:31.545,2,6.8266
15:24:31.545,1,23812.4513
15:24:31.580,0,24955.1881
15:24:31.589,1,23817.7945
15:24:31.589,2,3.3617
15:24:31.615,0,24987.7643
15:24:31.640,2,3.2455
15:24:31.640,1,23812.0688
15:24:31.646,0,24995.3938
15:24:31.684,1,23796.5748
15:24:31.684,2,3.5463
15:24:31.698,0,25010.0141
15:24:31.703,2,5.0092
15:24:31.712,1,23749.6987
15:24:31.763,0,25027.0638
15:24:31.763,1,23788.3243
15:24:31.767,2,6.3109
15:24:31.770,0,24993.3647
15:24:31.781,1,23801.6013
15:24:31.790,2,2.8486
15:24:31.829,2,3.3134
15:24:31.829,1,23794.6452
15:24:31.866,2,3.2515
15:24:31.883,1,23840.4905
15:24:31.950,1,23858.8407
15:24:31.952,2,5.2043
15:24:31.955,1,23791.6166
15:24:31.958,2,5.0357
15:24:31.967,0,24853.0750
15:24:31.970,0,24839.2928
15:24:31.974,0,24839.8826
15:24:31.981,0,24843.8686
15:24:31.985,1,23813.8981
15:24:31.991,2,3.2594
15:24:32.024,0,24865.8157
15:24:32.024,2,3.5612
15:24:32.038,1,23822.7353
15:24:32.054,0,24890.9217
15:24:32.086,2,3.4285
15:24:32.086,1,23837.0341
15:24:32.099,0,24931.5585
15:24:32.105,2,3.4314
15:24:32.106,1,23805.1440
15:24:32.168,0,24969.2246
15:24:32.171,2,4.4479
15:24:32.171,1,23809.3025
15:24:32.175,0,24942.3392
15:24:32.185,2,3.3540
15:24:32.185,1,23819.8619
15:24:32.241,0,24959.3755
15:24:32.241,2,3.4932
15:24:32.241,1,23808.6424
15:24:32.249,0,24904.6123
15:24:32.256,1,23793.1120
15:24:32.292,2,3.0245
15:24:32.302,0,24942.8777
15:24:32.307,2,3.7367
15:24:32.307,1,23792.5354
15:24:32.338,0,24935.1341
15:24:32.348,1,23824.6772
15:24:32.357,2,3.2025
15:24:32.364,0,24937.4052
15:24:32.389,1,23819.8929
15:24:32.389,2,3.2114
15:24:32.409,0,24937.2003
15:24:32.415,1,23727.2303
15:24:32.436,2,3.9941
15:24:32.448,0,24928.2432
15:24:32.468,2,3.1440
15:24:32.468,1,23763.5356
15:24:32.502,0,24947.6383
15:24:32.508,1,23799.9079
15:24:32.510,2,3.3046
15:24:32.556,0,24954.4886
15:24:32.558,2,5.5203
15:24:32.561,1,23812.3150
15:24:32.573,0,24937.1549
15:24:32.608,1,23832.8737
15:24:32.608,2,4.0545
15:24:32.616,0,24940.7784
15:24:32.621,1,23534.0646
15:24:32.624,2,3.5283
15:24:32.670,0,24954.4483
15:24:32.671,1,23561.1813
15:24:32.682,2,4.1336
15:24:32.683,0,24917.5337
15:24:32.721,2,3.4918
15:24:32.721,1,23608.1273
15:24:32.724,0,24756.0716
15:24:32.749,2,3.5374
15:24:32.749,1,23633.4668
15:24:32.791,0,24803.4489
15:24:32.793,1,23644.1036
15:24:32.993,2,18.2697
15:24:32.996,2,3.0557
15:24:33.010,2,3.4739
15:24:33.027,2,3.3656
15:24:33.047,0,25056.5174
15:24:33.050,0,25056.9167
15:24:33.055,0,25040.5357
15:24:33.119,0,25081.3956
15:24:33.119,2,3.7823
15:24:33.125,2,5.7500
15:24:33.130,0,25038.8349
15:24:33.133,2,3.7603
15:24:33.135,0,24971.6991
15:24:33.138,2,5.5307
15:24:33.141,0,24974.0125
15:24:33.144,2,4.7741
15:24:33.146,0,24930.5421
15:24:33.146,1,23990.8309
15:24:33.150,1,23933.6357
15:24:33.152,2,4.4124
15:24:33.155,1,23934.9937
15:24:33.159,1,23914.9446
15:24:33.167,0,24922.3702
15:24:33.177,1,23882.1951
15:24:33.208,2,3.1904
15:24:33.222,0,24921.6106
15:24:33.224,2,4.8485
15:24:33.233,1,23868.2284
15:24:33.258,0,24948.9524
15:24:33.263,1,23889.1022
15:24:33.266,2,3.8420
15:24:33.314,0,24951.3469
15:24:33.314,1,23883.1376
15:24:33.321,0,24888.3957
15:24:33.321,2,7.4751
15:24:33.379,2,3.4626
15:24:33.379,1,23920.6202
15:24:33.385,0,24927.6857
15:24:33.385,2,3.7711
15:24:33.385,1,23883.3507
15:24:33.425,0,24911.1514
15:24:33.426,1,23864.1944
15:24:33.432,2,6.6685
15:24:33.455,0,24937.8222
15:24:33.482,1,23915.2660
15:24:33.482,2,3.5924
15:24:33.499,0,24931.3390
15:24:33.529,1,23907.1457
15:24:33.530,2,4.9466
15:24:33.530,0,24933.2025
15:24:33.538,1,23841.7758
15:24:33.543,2,4.1051
15:24:33.573,0,24873.7087
15:24:33.582,1,23878.2457
15:24:33.593,2,3.3831
15:24:33.607,0,24902.5578
15:24:33.629,1,23901.9902
15:24:33.629,2,3.4631
15:24:33.648,0,24930.8930
15:24:33.688,2,4.1877
15:24:33.688,1,23900.7203
15:24:33.693,0,24929.0538
15:24:33.695,1,23878.1881
15:24:33.701,2,5.3553
15:24:33.729,0,24647.4864
15:24:33.763,2,3.5721
15:24:33.763,1,23891.6817
15:24:33.774,0,24675.5492
15:24:33.788,1,23852.3529
15:24:33.803,2,2.9245
15:24:33.831,1,23891.4966
