wall_time,cam_index,rtp_seq,network_ms
11:19:23.756,0,20617,0.0128
11:19:23.760,0,20627,0.0358
11:19:23.802,0,20635,0.0340
11:19:23.859,0,20645,0.0360
11:19:23.896,0,20657,0.0332
11:19:23.917,0,20666,0.0795
11:19:23.961,0,20677,0.0149
11:19:23.987,0,20687,0.0399
11:19:24.031,0,20696,0.0205
11:19:24.066,0,20705,0.0565
11:19:24.109,0,20715,0.0341
11:19:24.179,0,20724,0.0597
11:19:24.197,0,20733,0.0158
11:19:24.238,0,20742,0.1030
11:19:24.273,0,20751,0.0339
11:19:24.309,0,20759,0.0339
11:19:24.350,0,20768,0.0319
11:19:24.398,0,20778,0.0329
11:19:24.474,0,20786,0.0917
11:19:24.477,0,20794,0.0121
11:19:24.517,0,20803,0.0360
11:19:24.563,0,20813,0.0777
11:19:24.586,0,20822,0.0901
11:19:24.752,0,20951,0.2619
11:19:24.784,0,20962,0.0548
11:19:24.792,0,20972,0.0483
11:19:24.800,0,20981,0.0664
11:19:24.810,0,20992,0.0312
11:19:24.845,0,21002,0.0994
11:19:24.859,0,21011,0.0322
11:19:24.904,0,21020,0.0380
11:19:24.979,0,21030,0.1694
11:19:24.989,0,21039,0.0305
11:19:25.027,0,21050,0.0174
11:19:25.088,0,21061,0.0404
11:19:25.106,0,21071,0.0120
11:19:25.161,0,21080,0.0328
11:19:25.180,0,21091,0.0360
11:19:25.226,0,21100,0.0338
11:19:25.284,0,21110,0.0403
11:19:25.310,0,21119,0.0315
11:19:25.369,0,21128,0.0500
11:19:25.387,0,21138,0.0126
11:19:25.430,0,21148,0.0528
11:19:25.495,0,21158,0.0834
11:19:25.512,0,21167,0.0361
11:19:25.592,0,21176,0.0399
11:19:25.596,0,21186,0.0306
11:19:25.745,0,21328,0.1165
11:19:25.761,0,21341,0.0142
11:19:25.764,0,21351,0.0182
11:19:25.792,0,21373,0.0329
11:19:25.857,0,21383,0.0409
11:19:25.867,0,21391,0.0300
11:19:25.936,0,21401,0.0351
11:19:25.985,0,21410,0.0152
11:19:25.996,0,21419,0.0317
11:19:26.068,0,21429,0.0386
11:19:26.080,0,21439,0.0326
11:19:26.129,0,21448,0.0159
11:19:26.143,0,21457,0.0376
11:19:26.214,0,21467,0.0160
11:19:26.229,0,21475,0.0119
11:19:26.275,0,21484,0.0317
11:19:26.303,0,21496,0.0357
11:19:26.352,0,21505,0.0156
11:19:26.414,0,21515,0.0176
11:19:26.429,0,21525,0.0467
