wall_time,cam_index,rtp_seq,network_ms,dropped
12:13:59.978,0,6446,0.1596,0
12:13:59.991,0,6461,0.0391,0
12:13:59.996,1,783,0.0349,0
12:14:00.000,1,797,0.0386,0
12:14:00.002,0,6473,0.1440,0
12:14:00.007,1,812,0.0516,0
12:14:00.032,0,6484,0.0340,0
12:14:00.036,1,825,0.0349,0
12:14:00.064,0,6495,0.0472,0
12:14:00.092,1,837,0.0326,0
12:14:00.107,1,848,0.0611,0
12:14:00.107,0,6505,0.0739,0
12:14:00.154,0,6515,0.1414,0
12:14:00.154,1,858,0.0459,0
12:14:00.196,0,6525,0.1741,0
12:14:00.196,1,870,0.4760,0
12:14:00.223,0,6534,0.0323,0
12:14:00.251,1,882,0.0272,0
12:14:00.267,0,6545,0.0239,0
12:14:00.269,1,894,0.0228,0
12:14:00.311,0,6554,0.0268,0
12:14:00.313,1,905,0.0218,0
12:14:00.357,0,6564,0.4047,0
12:14:00.358,1,917,0.1069,0
12:14:00.384,0,6575,0.0286,0
12:14:00.479,0,6584,0.1233,0
12:14:00.479,1,928,0.0843,0
12:14:00.487,1,939,0.0478,0
12:14:00.491,0,6595,0.1321,0
12:14:00.491,1,951,0.0224,0
12:14:00.500,0,6605,0.0241,0
12:14:00.513,1,963,0.0246,0
12:14:00.545,0,6616,0.0253,0
12:14:00.561,1,974,0.0334,0
12:14:00.588,0,6627,0.0248,0
12:14:00.596,1,986,0.0240,0
12:14:00.642,0,6638,0.0310,0
12:14:00.648,1,998,0.0275,0
12:14:00.669,0,6648,0.0460,0
12:14:00.670,1,1010,0.0247,0
12:14:00.700,0,6659,0.0273,0
12:14:00.716,1,1022,0.0235,0
12:14:00.761,0,6670,0.0275,0
12:14:00.762,1,1034,0.0257,0
12:14:00.790,0,6681,0.0252,0
12:14:00.824,1,1046,0.0296,0
12:14:00.827,0,6692,0.0214,0
12:14:00.841,1,1058,0.0269,0
12:14:00.880,1,1070,0.0294,0
12:14:00.938,0,6810,0.1097,0
12:14:00.940,1,1081,0.0438,0
12:14:00.951,0,6822,0.0208,0
12:14:00.953,0,6835,0.0174,0
12:14:00.962,1,1092,0.1122,0
12:14:00.995,0,6848,0.0297,0
12:14:01.003,1,1104,0.0822,0
12:14:01.029,0,6859,0.0932,0
12:14:01.048,1,1115,0.0270,0
12:14:01.068,1,1127,0.0466,0
12:14:01.068,0,6869,0.0217,0
12:14:01.109,0,6879,0.0270,0
12:14:01.123,1,1139,0.1562,0
12:14:01.158,0,6890,0.0323,0
12:14:01.161,1,1150,0.1769,0
12:14:01.186,0,6900,0.0223,0
12:14:01.211,1,1162,0.0274,0
12:14:01.232,1,1172,0.0253,0
12:14:01.233,0,6910,0.1136,0
12:14:01.282,0,6920,0.3607,0
12:14:01.282,1,1185,0.1631,0
12:14:01.304,0,6930,0.0245,0
12:14:01.328,1,1195,0.0301,0
12:14:01.347,0,6941,0.0253,0
12:14:01.362,1,1206,0.0276,0
12:14:01.395,0,6950,0.0664,0
12:14:01.399,1,1219,0.0257,0
12:14:01.420,0,6961,0.0232,0
12:14:01.447,1,1229,0.0234,0
12:14:01.464,0,6970,0.0230,0
12:14:01.475,1,1241,0.0243,0
12:14:01.511,0,6981,0.0257,0
12:14:01.516,1,1252,0.0308,0
12:14:01.560,0,6991,0.0298,0
12:14:01.564,1,1264,0.0260,0
12:14:01.580,0,7002,0.0476,0
12:14:01.594,1,1277,0.0468,0
12:14:01.628,0,7013,0.0276,0
12:14:01.636,1,1289,0.0233,0
12:14:01.672,0,7024,0.0311,0
12:14:01.685,1,1300,0.0230,0
12:14:01.765,0,7035,0.2295,0
12:14:01.766,1,1313,0.0466,0
12:14:01.770,0,7046,0.0319,0
12:14:01.771,1,1324,0.0489,0
12:14:01.791,0,7056,0.0281,0
12:14:01.799,1,1336,0.0556,0
12:14:01.826,0,7066,0.0288,0
12:14:01.842,1,1348,0.0295,0
12:14:02.069,0,7185,0.0651,0
12:14:02.074,1,1461,0.1552,0
12:14:02.083,0,7198,0.0265,0
12:14:02.086,0,7211,0.0237,0
12:14:02.090,1,1489,0.0767,0
12:14:02.090,0,7224,0.0607,0
12:14:02.093,0,7236,0.0229,0
12:14:02.095,1,1504,0.0230,0
12:14:02.099,1,1516,0.0230,0
12:14:02.099,0,7246,0.0219,0
12:14:02.124,1,1530,0.0329,0
12:14:02.129,0,7257,0.1868,0
12:14:02.130,1,1543,0.0433,0
12:14:02.141,0,7268,0.0254,0
12:14:02.152,1,1554,0.0404,0
12:14:02.186,0,7277,0.0273,0
12:14:02.197,1,1566,0.0226,0
12:14:02.231,0,7285,0.0288,0
12:14:02.237,1,1578,0.1450,0
12:14:02.286,1,1590,0.2491,0
12:14:02.286,0,7294,0.3853,0
12:14:02.309,0,7304,0.0260,0
12:14:02.312,1,1602,0.0257,0
12:14:02.346,0,7314,0.0265,0
12:14:02.356,1,1614,0.0257,0
12:14:02.409,1,1626,0.1357,0
12:14:02.409,0,7324,0.1899,0
12:14:02.430,0,7334,0.0281,0
12:14:02.465,1,1638,0.0425,0
12:14:02.465,0,7344,0.0361,0
12:14:02.470,1,1649,0.0252,0
12:14:02.544,0,7354,0.0871,0
12:14:02.544,1,1661,0.0506,0
12:14:02.549,0,7364,0.0499,0
12:14:02.563,1,1673,0.0343,0
12:14:02.613,0,7374,0.0292,0
12:14:02.621,1,1686,0.0487,0
12:14:02.638,0,7385,0.0525,0
12:14:02.667,0,7395,0.0220,0
12:14:02.676,1,1697,0.0376,0
12:14:02.679,1,1711,0.0238,0
12:14:02.724,0,7407,0.3994,0
12:14:02.725,1,1724,0.0236,0
12:14:02.750,0,7419,0.0280,0
12:14:02.774,1,1736,0.0300,0
12:14:02.791,1,1750,0.1237,0
12:14:02.792,0,7431,0.0242,0
12:14:02.839,0,7443,0.0619,0
12:14:02.842,1,1762,0.0255,0
12:14:02.886,1,1775,0.0271,0
12:14:02.914,0,7560,0.0629,0
12:14:02.941,0,7574,0.0295,0
12:14:02.942,1,1787,0.0245,0
12:14:02.949,0,7588,0.0209,0
12:14:02.960,1,1799,0.0444,0
12:14:03.053,0,7601,0.0300,0
12:14:03.054,1,1813,0.1241,0
12:14:03.057,0,7613,0.0307,0
12:14:03.063,1,1826,0.0309,0
12:14:03.069,0,7624,0.0255,0
12:14:03.077,1,1838,0.0218,0
12:14:03.111,0,7635,0.0282,0
12:14:03.115,1,1850,0.0206,0
12:14:03.173,0,7647,0.0313,0
12:14:03.174,1,1863,0.0229,0
12:14:03.191,0,7658,0.0594,0
12:14:03.198,1,1876,0.0258,0
12:14:03.236,0,7668,0.0966,0
12:14:03.243,1,1888,0.0289,0
12:14:03.260,0,7677,0.0219,0
12:14:03.283,1,1899,0.0275,0
12:14:03.306,0,7686,0.0291,0
12:14:03.309,1,1910,0.0214,0
12:14:03.350,0,7694,0.0273,0
12:14:03.354,1,1921,0.0211,0
12:14:03.391,0,7702,0.0268,0
12:14:03.396,1,1932,0.0224,0
12:14:03.442,0,7710,0.0299,0
12:14:03.445,1,1943,0.0510,0
12:14:03.461,0,7719,0.0237,0
12:14:03.469,1,1954,0.0201,0
12:14:03.506,0,7728,0.0317,0
12:14:03.515,1,1966,0.0240,0
12:14:03.559,0,7737,0.0258,0
12:14:03.563,1,1979,0.0517,0
12:14:03.590,0,7746,0.0261,0
12:14:03.611,1,1989,0.0240,0
12:14:03.621,0,7757,0.0236,0
12:14:03.641,1,2002,0.0321,0
12:14:03.667,0,7767,0.0277,0
12:14:03.675,1,2013,0.0262,0
12:14:03.709,0,7777,0.0335,0
12:14:03.745,1,2026,0.0285,0
12:14:03.753,0,7787,0.0244,0
12:14:03.763,1,2037,0.0272,0
12:14:03.800,0,7797,0.0827,0
12:14:03.809,1,2051,0.0368,0
12:14:03.831,0,7808,0.0311,0
12:14:03.854,1,2065,0.0364,0
12:14:04.006,0,7917,0.0627,0
12:14:04.009,1,2184,0.1028,0
12:14:04.019,0,7928,0.0241,0
12:14:04.032,1,2198,0.0298,0
12:14:04.034,0,7941,0.0261,0
12:14:04.051,1,2213,0.1031,0
12:14:04.051,0,7954,0.0267,0
12:14:04.055,1,2229,0.0356,0
12:14:04.056,0,7966,0.1146,0
12:14:04.059,1,2241,0.0234,0
12:14:04.089,0,7977,0.2613,0
12:14:04.089,1,2254,0.1494,0
12:14:04.107,0,7988,0.0236,0
12:14:04.120,1,2267,0.0306,0
12:14:04.152,0,7998,0.0319,0
12:14:04.159,1,2280,0.0277,0
12:14:04.182,0,8009,0.0290,0
12:14:04.203,1,2293,0.0314,0
12:14:04.225,0,8018,0.0317,0
12:14:04.236,1,2306,0.0270,0
12:14:04.336,0,8027,0.0814,0
12:14:04.336,1,2317,0.0491,0
12:14:04.340,0,8037,0.0649,0
12:14:04.343,1,2330,0.0214,0
12:14:04.376,0,8047,0.4649,0
12:14:04.377,1,2343,0.0374,0
12:14:04.381,0,8058,0.0195,0
12:14:04.399,1,2355,0.0778,0
12:14:04.449,0,8068,0.3363,0
12:14:04.450,1,2368,0.1791,0
12:14:04.478,0,8078,0.0292,0
12:14:04.486,1,2380,0.0285,0
12:14:04.512,0,8089,0.0360,0
12:14:04.514,1,2394,0.0245,0
12:14:04.555,0,8100,0.0599,0
12:14:04.559,1,2406,0.0217,0
12:14:04.594,0,8110,0.0300,0
12:14:04.601,1,2417,0.0264,0
12:14:04.627,0,8121,0.0234,0
12:14:04.650,1,2430,0.0263,0
12:14:04.672,0,8132,0.0251,0
12:14:04.672,1,2442,0.1960,0
12:14:04.710,0,8143,0.0253,0
12:14:04.718,1,2456,0.0254,0
12:14:04.742,0,8154,0.0276,0
12:14:04.767,1,2469,0.0245,0
12:14:04.788,0,8165,0.0312,0
12:14:04.798,1,2483,0.0220,0
12:14:04.828,0,8175,0.0279,0
12:14:04.839,1,2498,0.0243,0
12:14:04.871,1,2513,0.0309,0
12:14:04.926,0,8281,0.0845,0
12:14:04.934,1,2527,0.1347,0
12:14:04.940,0,8295,0.0468,0
12:14:04.998,0,8309,0.0649,0
12:14:04.999,1,2542,0.0993,0
12:14:05.002,0,8322,0.0279,0
12:14:05.005,1,2557,0.0253,0
12:14:05.027,0,8335,0.0270,0
12:14:05.057,1,2570,0.0302,0
12:14:05.073,0,8346,0.0312,0
12:14:05.078,1,2581,0.0259,0
12:14:05.110,0,8356,0.0325,0
12:14:05.116,1,2592,0.0658,0
12:14:05.141,0,8366,0.0275,0
12:14:05.163,1,2603,0.0257,0
12:14:05.185,0,8376,0.0286,0
12:14:05.189,1,2614,0.0242,0
12:14:05.228,0,8385,0.0279,0
12:14:05.239,1,2625,0.0373,0
12:14:05.274,0,8395,0.0248,0
12:14:05.282,1,2635,0.0261,0
12:14:05.310,0,8406,0.0279,0
12:14:05.338,1,2646,0.0320,0
12:14:05.341,0,8416,0.0240,0
12:14:05.370,1,2657,0.0432,0
12:14:05.399,0,8426,0.1047,0
12:14:05.399,1,2667,0.0554,0
12:14:05.428,0,8436,0.0231,0
12:14:05.447,1,2678,0.0288,0
12:14:05.471,0,8447,0.0289,0
12:14:05.479,1,2689,0.0236,0
